open,high,low,close,volume
101.32,101.32,98.33,99.39,8164300
98.09,98.45,95.43,95.51,8089800
95.64,96.72,93.8,95.68,12177900
95.42,96.7,94.14,94.14,6227200
95.89,99.61,95.72,99.61,8066500
99.95,100.4,99.12,99.95,5741700
99.65,99.84,98.07,98.75,7503700
98.82,98.82,97.64,97.77,6907700
98.73,99.61,97.92,99.1,5158300
100.14,100.78,99.76,100.44,7437300
99.33,100.21,99.22,99.65,6488500
99.31,100.46,99.1,100.46,6157900
100.44,100.44,98.28,98.92,5800100
99.44,99.44,98.45,98.71,6244800
99.54,99.67,95.27,95.91,7896900
96.03,97.0,95.0,97.0,9942500
96.36,96.74,95.74,96.23,5158100
96.94,97.19,94.4,95.85,10922700
95.29,95.72,92.62,92.86,11916200
92.82,95.45,92.26,95.38,10768700
95.51,96.83,94.67,96.32,8419900
96.55,97.22,95.93,96.4,6205900
96.28,97.9,95.68,97.86,7997500
97.86,98.41,97.13,97.45,4925400
97.43,97.58,96.66,97.3,5845800
98.39,98.8,98.16,98.63,4936400
98.73,98.73,96.54,96.55,8511500
96.79,97.43,96.28,96.75,6690600
96.94,97.0,94.33,94.78,9849800
95.53,95.53,94.53,95.34,8528800
95.17,96.51,94.17,96.42,11078300
95.93,96.32,94.86,95.0,8845400
95.98,95.98,94.46,94.5,7584200
94.91,94.91,92.01,92.47,9409200
92.39,93.18,91.26,92.24,16415400
92.69,93.95,91.92,93.33,12119000
93.41,93.65,90.96,91.45,17375000
92.39,93.44,90.98,91.12,10559900
91.15,93.41,90.7,93.03,13397800
92.99,93.93,92.77,93.93,8242500
94.06,95.0,93.78,94.61,6868000
94.78,95.08,93.86,94.67,7600200
95.98,96.85,95.49,96.45,12770300
96.23,96.6,94.82,95.51,11967100
95.68,95.79,92.41,93.66,20062000
93.27,94.2,92.28,93.54,11808500
93.8,96.28,93.03,96.28,5500900
95.81,97.05,95.36,95.76,7924600
93.41,96.0,92.73,94.72,10540500
95.19,95.74,93.05,93.37,8263900
93.54,95.98,92.99,95.55,10300800
96.79,100.36,96.28,100.01,25601400
99.9,101.4,99.65,100.67,10272900
100.63,100.95,99.2,100.16,12502300
99.71,102.6,99.0,102.22,13612600
102.47,103.35,101.87,102.84,8260000
102.2,105.15,102.2,104.59,11654500
104.74,106.71,103.95,105.21,11462900
105.09,105.36,104.01,104.1,8798600
103.63,104.82,103.18,103.5,6334400
103.84,104.48,102.54,103.61,6747500
102.88,104.09,100.8,101.87,9491900
102.52,104.36,101.7,103.03,9249100
102.86,103.63,101.87,103.63,8508200
103.97,104.83,96.87,102.86,19585500
101.32,103.33,101.15,102.22,8387200
102.94,103.93,102.09,103.11,6378500
103.84,104.23,103.12,103.76,6023600
103.97,104.9,102.99,103.35,9624200
102.77,103.89,101.66,103.05,9006400
103.03,103.57,100.14,100.23,10779200
101.04,101.51,98.51,98.83,12225800
97.72,97.85,91.47,93.18,29604000
92.62,96.44,92.28,96.44,23918200
96.31,98.98,95.77,98.98,11069200
99.0,99.43,97.66,98.06,6553700
98.36,98.62,97.55,98.53,8537600
96.95,98.19,96.26,97.46,12893100
99.09,101.51,98.96,101.51,14102000
101.38,101.92,100.03,100.36,7711100
97.98,100.95,97.98,100.03,15595300
100.72,101.31,99.39,99.41,8743400
100.42,101.73,99.93,100.76,7328300
99.69,100.8,98.75,98.75,9411900
98.66,98.66,95.77,96.44,12630700
97.29,97.54,96.44,97.16,5963600
96.65,98.66,96.56,98.34,7862400
97.81,98.23,97.18,97.6,5064100
98.02,98.26,96.1,96.82,5620300
96.26,96.59,94.38,94.64,10293900
96.01,96.95,95.32,96.8,7091100
97.16,98.3,97.03,97.85,5960800
97.81,99.76,97.29,99.54,4441300
100.42,101.21,99.56,100.5,8192200
99.82,100.16,98.98,99.45,5907200
99.78,100.25,98.23,98.23,4325600
97.68,98.14,96.2,96.69,6518400
96.78,96.93,93.87,95.96,10839400
96.22,96.48,94.25,94.55,7979200
94.55,96.39,93.52,96.09,11081500
96.39,97.16,94.36,94.44,8278900
95.11,95.71,94.09,94.55,4814000
95.92,97.93,95.56,97.63,5362700
97.68,98.66,97.36,97.85,6056500
98.45,99.65,97.98,99.56,8961600
102.05,102.15,101.05,101.3,8962200
101.04,101.55,100.63,100.8,6998100
100.46,101.25,99.97,100.35,4858900
100.46,101.4,100.03,101.05,4919500
101.06,101.23,100.08,100.65,5723100
101.06,101.38,99.78,100.44,3085300
100.7,100.7,99.26,99.26,3678900
