date,open,high,low,close
2020-02-05,26,31.4,25.5,28.64
2020-02-06,30.45,34.15,29.31,31.92
2020-02-09,32.38,33.45,28.11,28.94
2020-02-10,28.75,29.5197,26.65,26.79
2020-02-11,27.33,28.216,26.66,27.13
2020-02-12,27.08,27.55,26.06,26.6
2020-02-13,26.61,27.1,26.24,26.9
2020-02-17,27.17,32.16,27,31.9
2020-02-18,32.28,36.4142,32.28,35.72
2020-02-19,36.4,48.73,32.84,47.62
2020-02-20,51.55,54.83,45,50
2020-02-23,45,56.65,44,52.99
2020-02-24,54.1,54.5,43.16,43.59
2020-02-25,45.95,47.55,40.06,42.39
2020-02-26,39,51.1247,38,43.43
2020-02-27,43.52,47.49,42.5,46.38
