Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,79.87,81.57,79.87,81.31,986600,0.0,0
2019-03-22,80.85,80.99,78.3,78.32,1435800,0.0,0
2019-03-25,78.42,79.18,77.99,78.85,923000,0.0,0
2019-03-26,79.71,80.35,79.45,79.97,1428200,0.0,0
2019-03-27,79.82,80.09,78.22,78.33,1446100,0.0,0
2019-03-28,78.72,79.11,78.04,79.03,1615600,0.0,0
2019-03-29,79.48,79.99,79.27,79.7,1585100,0.0,0
2019-04-01,80.44,81.24,80.44,81.04,1522700,0.164,0
2019-04-02,81.18,81.23,80.51,80.62,1203000,0.0,0
2019-04-03,81.02,81.49,80.94,81.41,2141000,0.0,0
2019-04-04,81.31,81.52,79.92,80.31,2180100,0.0,0
2019-04-05,80.67,81.39,80.53,80.95,1502900,0.0,0
2019-04-08,81.04,81.18,80.06,81.16,783300,0.0,0
2019-04-09,81.04,81.19,80.75,80.9,1254700,0.0,0
2019-04-10,80.93,81.71,80.93,81.15,982900,0.0,0
2019-04-11,81.35,81.39,80.37,80.56,1071500,0.0,0
2019-04-12,80.91,81.53,80.38,80.46,1249300,0.0,0
2019-04-15,80.48,80.61,79.4,79.88,1627300,0.0,0
2019-04-16,80.3,80.44,76.69,77.05,3441500,0.0,0
2019-04-17,77.65,77.82,73.98,74.94,4472000,0.0,0
2019-04-18,75.24,76.05,74.83,75.68,2874100,0.0,0
2019-04-22,75.44,76.23,74.65,75.08,2016000,0.0,0
2019-04-23,73.8,76.31,73.29,75.07,4607100,0.0,0
2019-04-24,75.35,76.14,74.94,75.3,1942700,0.0,0
2019-04-25,74.78,76.54,74.46,76.23,1481400,0.0,0
2019-04-26,76.48,76.96,75.81,76.92,1608900,0.0,0
2019-04-29,76.97,77.94,76.82,76.83,2177700,0.0,0
2019-04-30,76.94,78.08,76.88,77.99,1726200,0.0,0
2019-05-01,77.98,78.41,76.78,76.97,1078600,0.0,0
2019-05-02,76.91,77.84,76.65,77.7,946800,0.0,0
2019-05-03,78.07,79.05,78.07,78.78,1303200,0.0,0
2019-05-06,77.12,78.9,76.71,78.84,1624300,0.0,0
2019-05-07,78.08,78.26,75.54,76.18,1732200,0.0,0
2019-05-08,76.29,76.8,75.64,76.12,2243600,0.0,0
2019-05-09,75.18,76.56,74.37,76.5,1717500,0.0,0
2019-05-10,76.15,76.64,73.61,76.6,2849800,0.0,0
2019-05-13,75.26,75.42,72.76,73.36,3547300,0.0,0
2019-05-14,73.95,76.18,73.82,75.52,2557700,0.0,0
2019-05-15,66.93,69.45,65.81,67.2,14523800,0.0,0
2019-05-16,67.16,68.97,67.16,68.85,4567700,0.0,0
2019-05-17,68.0,69.42,67.75,68.67,3935700,0.0,0
2019-05-20,68.22,69.52,68.2,68.49,4029700,0.0,0
2019-05-21,68.92,69.99,67.81,67.88,3928200,0.0,0
2019-05-22,67.73,68.2,67.08,67.53,4985400,0.0,0
2019-05-23,66.75,67.41,65.6,67.26,5358500,0.0,0
2019-05-24,67.7,69.44,67.64,67.92,3852900,0.0,0
2019-05-28,67.99,68.42,66.53,66.65,2984700,0.0,0
2019-05-29,66.16,67.55,66.16,66.87,3722100,0.0,0
2019-05-30,67.15,67.46,66.3,66.46,2947900,0.0,0
2019-05-31,65.81,67.13,65.64,66.62,2829300,0.0,0
2019-06-03,66.61,67.66,66.39,66.56,2560600,0.0,0
2019-06-04,67.22,67.56,65.98,67.51,4402800,0.0,0
2019-06-05,68.17,68.57,67.45,67.91,2289200,0.0,0
2019-06-06,68.08,69.23,68.08,68.71,2469000,0.0,0
2019-06-07,69.25,69.77,68.88,69.07,1547400,0.0,0
2019-06-10,69.23,70.1,68.91,69.84,1477100,0.0,0
2019-06-11,71.78,72.13,69.36,69.64,1748200,0.0,0
2019-06-12,69.63,69.84,68.49,69.84,1546800,0.0,0
2019-06-13,70.11,70.25,69.44,69.85,1886900,0.0,0
