Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,75.51,76.87,74.93,76.8,5159200,0.0,0
2019-03-22,76.37,77.51,75.33,75.4,4992500,0.0,0
2019-03-25,75.16,75.67,74.12,75.16,4008400,0.0,0
2019-03-26,75.49,76.75,75.44,76.35,4921900,0.0,0
2019-03-27,76.57,76.57,75.44,75.52,4006200,0.0,0
2019-03-28,75.94,76.09,75.16,75.59,3082300,0.0,0
2019-03-29,75.7,76.48,75.59,76.19,7105900,0.0,0
2019-04-01,76.55,76.68,75.6,76.37,4759400,0.0,0
2019-04-02,76.47,78.93,76.38,78.53,6355800,0.0,0
2019-04-03,79.05,80.1,78.27,78.54,6083500,0.0,0
2019-04-04,78.5,78.82,77.58,78.28,4827900,0.0,0
2019-04-05,78.29,79.58,78.15,78.89,3996300,0.0,0
2019-04-08,79.13,79.41,78.26,79.39,3499200,0.0,0
2019-04-09,79.19,79.2,77.99,78.17,3712700,0.0,0
2019-04-10,78.65,78.82,78.09,78.42,3641900,0.0,0
2019-04-11,78.65,78.7,76.79,77.3,9094200,0.0,0
2019-04-12,77.27,78.36,76.48,77.38,5011500,1.07,0
2019-04-15,77.55,78.08,76.99,77.62,3495500,0.0,0
2019-04-16,77.69,77.88,76.65,76.83,3624700,0.0,0
2019-04-17,76.73,76.82,74.28,74.7,6817100,0.0,0
2019-04-18,74.77,74.92,73.57,74.3,7784900,0.0,0
2019-04-22,74.33,75.77,74.24,74.86,5358600,0.0,0
2019-04-23,74.86,76.3,74.48,75.35,9920600,0.0,0
2019-04-24,75.89,76.24,75.14,75.36,7056400,0.0,0
2019-04-25,76.68,77.08,73.67,76.0,10442900,0.0,0
2019-04-26,76.31,77.25,76.06,76.34,5790000,0.0,0
2019-04-29,77.07,77.57,76.54,76.92,6444500,0.0,0
2019-04-30,77.28,77.29,75.37,76.05,9367400,0.0,0
2019-05-01,76.25,76.32,75.3,75.57,5231700,0.0,0
2019-05-02,75.41,75.46,74.33,75.17,5206300,0.0,0
2019-05-03,75.4,75.48,74.95,75.39,4527300,0.0,0
2019-05-06,74.48,76.17,74.08,75.92,5413200,0.0,0
2019-05-07,75.29,75.66,73.92,74.67,4275300,0.0,0
2019-05-08,74.67,75.57,74.06,74.71,3820700,0.0,0
2019-05-09,74.25,74.84,73.5,74.63,3792200,0.0,0
2019-05-10,74.19,74.46,72.44,74.19,4731800,0.0,0
2019-05-13,73.09,74.04,72.96,73.63,3858400,0.0,0
2019-05-14,73.91,76.02,73.76,75.14,6365200,0.0,0
2019-05-15,75.2,75.82,74.22,75.46,4795700,0.0,0
2019-05-16,75.65,77.35,75.39,76.15,5404700,0.0,0
2019-05-17,75.22,76.71,74.73,76.11,4756400,0.0,0
2019-05-20,75.69,77.0,75.59,76.46,4395500,0.0,0
2019-05-21,76.95,78.07,76.94,77.47,4841900,0.0,0
2019-05-22,77.12,78.31,76.52,78.15,4219500,0.0,0
2019-05-23,77.0,78.19,76.94,77.73,3299100,0.0,0
2019-05-24,77.67,77.68,76.51,76.69,3872700,0.0,0
2019-05-28,76.63,76.73,74.64,74.74,6557800,0.0,0
2019-05-29,74.3,74.98,73.85,74.77,4182200,0.0,0
2019-05-30,75.21,75.28,73.88,74.34,3533100,0.0,0
2019-05-31,74.05,74.3,73.18,73.48,4003200,0.0,0
2019-06-03,73.4,73.6,70.7,72.51,8434400,0.0,0
2019-06-04,72.93,74.18,72.7,73.52,6447100,0.0,0
2019-06-05,74.15,74.88,73.43,73.81,3804400,0.0,0
2019-06-06,73.91,74.45,73.62,73.82,4032800,0.0,0
2019-06-07,74.23,75.08,73.83,74.17,4829100,0.0,0
2019-06-10,74.2,74.48,73.37,73.71,3969400,0.0,0
2019-06-11,74.23,75.58,74.23,74.88,4210200,0.0,0
2019-06-12,74.95,75.91,74.89,75.26,4165200,0.0,0
2019-06-13,75.61,75.86,75.0,75.62,2924900,0.0,0
2019-06-14,75.62,76.0,74.92,75.38,4075900,0.0,0
2019-06-17,75.1,75.72,75.1,75.34,3083200,0.0,0
2019-06-18,75.56,75.86,73.77,74.95,5433500,0.0,0
2019-06-19,75.1,75.17,74.03,74.34,6147300,0.0,0
2019-06-20,74.94,75.84,74.79,75.04,5347000,0.0,0
2019-06-21,74.86,75.75,73.21,75.46,10516900,0.0,0
2019-06-24,75.11,75.97,74.57,75.15,5182700,0.0,0
2019-06-25,67.5,67.69,62.32,62.93,90131800,0.0,0
2019-06-26,64.41,65.53,63.99,65.14,42093800,0.0,0
2019-06-27,65.29,67.63,65.23,67.05,22129200,0.0,0
2019-06-28,67.61,69.68,67.37,69.66,21381500,0.0,0
2019-07-01,70.4,70.74,69.24,70.31,18105500,0.0,0
2019-07-02,70.12,71.12,69.27,71.1,12862200,0.0,0
2019-07-03,71.22,71.81,70.67,71.8,7434100,0.0,0
2019-07-05,71.51,71.64,69.55,69.92,10854900,0.0,0
2019-07-08,69.47,69.93,67.89,68.22,13487400,0.0,0
2019-07-09,68.18,69.4,67.9,68.24,11832500,0.0,0
2019-07-10,68.57,68.72,67.97,68.63,9170400,0.0,0
2019-07-11,69.25,69.35,66.91,68.24,13001000,0.0,0
2019-07-12,68.37,68.37,66.65,68.35,12903000,1.07,0
2019-07-15,68.38,69.07,67.78,68.34,10253300,0.0,0
2019-07-16,68.22,68.37,67.23,67.26,10141600,0.0,0
2019-07-17,67.42,67.94,66.43,66.44,12205000,0.0,0
2019-07-18,66.68,67.05,66.13,66.37,8573300,0.0,0
2019-07-19,66.27,66.93,66.23,66.65,9806900,0.0,0
2019-07-22,66.62,66.86,65.97,66.13,9961800,0.0,0
2019-07-23,66.13,66.56,65.74,65.87,8025300,0.0,0
2019-07-24,65.91,66.02,64.92,65.6,12595300,0.0,0
2019-07-25,65.6,66.0,64.67,64.83,12403500,0.0,0
2019-07-26,65.78,67.24,65.52,65.9,12259300,0.0,0
2019-07-29,66.0,66.53,65.04,65.33,10117300,0.0,0
2019-07-30,65.08,65.67,64.44,65.33,8143700,0.0,0
2019-07-31,65.07,65.53,63.82,64.79,11300000,0.0,0
2019-08-01,65.09,65.35,63.32,63.99,13106700,0.0,0
2019-08-02,63.7,63.98,63.24,63.55,9653900,0.0,0
2019-08-05,63.19,64.3,62.76,63.44,11618800,0.0,0
2019-08-06,63.47,64.03,62.52,62.99,10248700,0.0,0
2019-08-07,62.61,63.11,61.57,62.69,10532100,0.0,0
2019-08-08,63.01,63.65,62.56,63.65,7427400,0.0,0
2019-08-09,63.57,65.03,62.52,63.78,10893500,0.0,0
2019-08-12,63.45,63.68,62.32,62.75,5724400,0.0,0
2019-08-13,63.08,64.12,62.86,63.22,7082500,0.0,0
2019-08-14,62.73,63.2,61.75,61.75,9373300,0.0,0
2019-08-15,62.36,62.47,60.94,61.25,9195700,0.0,0
2019-08-16,61.76,63.03,61.33,62.66,8348100,0.0,0
2019-08-19,63.25,65.04,63.18,64.73,9826300,0.0,0
2019-08-20,65.53,66.58,64.51,64.58,12043400,0.0,0
2019-08-21,65.49,66.05,64.77,65.68,7615700,0.0,0
