Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,77.52,78.93,77.52,78.86,919600,0.0,0
2019-03-22,78.64,78.88,77.2,77.3,978800,0.0,0
2019-03-25,77.3,77.3,75.43,75.66,1670400,0.0,0
2019-03-26,76.11,76.47,74.63,75.13,1667200,0.0,0
2019-03-27,74.93,75.43,74.23,75.07,1339200,0.0,0
2019-03-28,75.61,76.47,75.26,76.43,1111500,0.0,0
2019-03-29,76.85,78.15,76.55,78.03,1249800,0.0,0
2019-04-01,78.54,78.75,77.52,77.61,1413000,0.0,0
2019-04-02,75.44,75.61,73.02,73.1,2275800,0.0,0
2019-04-03,73.67,74.83,72.74,73.65,1977300,0.0,0
2019-04-04,73.86,74.7,72.89,74.55,1523100,0.0,0
2019-04-05,74.94,76.71,74.74,75.82,1383900,0.0,0
2019-04-08,75.66,76.92,75.07,76.66,1717300,0.0,0
2019-04-09,76.27,76.58,75.07,75.98,957100,0.0,0
2019-04-10,73.94,74.04,70.8,72.62,3073600,0.0,0
2019-04-11,73.12,73.86,72.09,72.79,1603600,0.0,0
2019-04-12,73.18,74.81,73.09,73.34,1552800,0.0,0
2019-04-15,73.66,74.74,73.2,74.69,871000,0.0,0
2019-04-16,74.86,75.46,73.04,73.94,1547500,0.0,0
2019-04-17,74.18,74.37,70.29,70.95,1587300,0.0,0
2019-04-18,70.95,71.42,69.95,71.09,1431900,0.0,0
2019-04-22,71.08,71.61,69.23,69.73,1270400,0.0,0
2019-04-23,69.87,72.61,69.58,72.06,1908800,0.0,0
2019-04-24,72.23,73.26,71.97,72.7,1207700,0.0,0
2019-04-25,72.45,72.48,71.27,72.34,1006700,0.0,0
2019-04-26,72.7,73.45,72.17,72.66,815000,0.0,0
2019-04-29,72.65,73.38,72.37,73.12,719000,0.0,0
2019-04-30,73.4,73.66,72.23,73.36,1052500,0.0,0
2019-05-01,73.72,73.84,71.67,72.02,2035500,0.0,0
2019-05-02,74.11,77.3,73.89,75.62,3064500,0.0,0
2019-05-03,76.52,78.1,76.19,77.66,2090500,0.0,0
2019-05-06,76.67,77.09,74.21,76.85,1204600,0.0,0
2019-05-07,76.16,77.58,75.33,76.01,1727900,0.0,0
2019-05-08,76.38,78.07,75.08,77.25,1826600,0.0,0
2019-05-09,76.28,78.3,75.73,77.7,1774000,0.0,0
2019-05-10,77.42,78.02,74.71,76.02,1336100,0.0,0
2019-05-13,74.62,74.84,73.27,74.26,1087000,0.0,0
2019-05-14,74.52,77.45,74.06,75.26,1605100,0.0,0
2019-05-15,74.86,76.5,73.77,76.4,1333300,0.0,0
2019-05-16,76.38,77.28,75.91,76.14,1382000,0.0,0
2019-05-17,75.79,77.76,75.39,76.67,1199600,0.4,0
2019-05-20,76.03,78.58,76.0,78.15,1605900,0.0,0
2019-05-21,78.69,80.15,78.39,79.47,1910900,0.0,0
2019-05-22,79.37,80.96,79.07,80.69,1672000,0.0,0
2019-05-23,80.05,80.56,78.86,79.34,1187400,0.0,0
2019-05-24,79.34,80.18,78.85,79.58,809300,0.0,0
2019-05-28,79.47,80.58,79.47,79.79,1900300,0.0,0
2019-05-29,79.43,79.48,77.13,77.28,2047000,0.0,0
2019-05-30,77.28,77.85,76.41,77.25,802800,0.0,0
2019-05-31,76.49,77.28,76.02,76.8,841900,0.0,0
2019-06-03,77.06,79.97,77.06,79.28,1357500,0.0,0
2019-06-04,80.18,81.75,79.9,81.09,1891500,0.0,0
2019-06-05,81.73,82.06,79.92,80.54,1145400,0.0,0
2019-06-06,80.44,81.34,80.43,80.64,1412900,0.0,0
2019-06-07,81.21,82.53,80.84,82.34,1232200,0.0,0
2019-06-10,82.49,84.32,82.44,83.62,1418000,0.0,0
2019-06-11,83.84,84.11,83.3,83.57,1253900,0.0,0
2019-06-12,83.52,84.25,83.12,84.22,1136000,0.0,0
2019-06-13,84.43,85.5,84.15,85.26,1022700,0.0,0
2019-06-14,85.52,85.81,83.68,83.89,1003800,0.0,0
2019-06-17,84.3,84.44,83.24,84.18,1058800,0.0,0
2019-06-18,84.77,85.91,83.98,84.29,915500,0.0,0
2019-06-19,84.57,85.61,84.37,84.89,1377300,0.0,0
2019-06-20,85.79,85.79,83.21,84.39,1880400,0.0,0
2019-06-21,84.22,84.33,83.1,83.31,2403100,0.0,0
2019-06-24,83.45,83.98,81.76,82.38,2042900,0.0,0
2019-06-25,82.73,83.99,81.99,83.13,1699400,0.0,0
2019-06-26,83.2,83.68,82.12,82.64,1067600,0.0,0
2019-06-27,83.24,85.35,82.76,84.46,1137500,0.0,0
2019-06-28,84.66,85.09,83.9,84.1,1565400,0.0,0
2019-07-01,84.61,84.74,83.5,84.42,1193700,0.0,0
2019-07-02,84.42,84.88,83.37,84.3,1043700,0.0,0
2019-07-03,84.94,87.57,84.91,86.4,1066500,0.0,0
2019-07-05,86.21,87.65,85.4,86.77,710400,0.0,0
2019-07-08,86.43,86.86,85.36,86.63,968700,0.0,0
2019-07-09,86.23,87.54,85.98,87.03,1121500,0.0,0
2019-07-10,87.62,88.55,86.9,88.08,1542400,0.0,0
2019-07-11,90.51,92.92,88.57,89.3,2191200,0.0,0
2019-07-12,89.17,90.06,87.66,88.63,1495000,0.0,0
2019-07-15,88.78,89.17,87.75,88.71,810000,0.0,0
2019-07-16,88.65,88.68,87.55,87.79,942800,0.0,0
2019-07-17,87.19,87.31,83.47,84.3,2198400,0.0,0
2019-07-18,84.32,85.82,83.4,85.58,1190900,0.0,0
2019-07-19,85.46,85.46,83.93,84.36,928300,0.0,0
2019-07-22,84.68,85.01,83.77,83.89,840300,0.0,0
2019-07-23,84.11,84.99,83.62,84.64,812500,0.0,0
2019-07-24,84.84,85.85,84.43,85.71,757400,0.0,0
2019-07-25,86.04,86.43,84.37,84.76,595900,0.0,0
2019-07-26,85.09,85.51,84.42,84.95,723400,0.0,0
2019-07-29,84.94,86.07,84.93,86.04,803000,0.0,0
2019-07-30,85.32,87.8,84.32,87.51,1414300,0.0,0
2019-07-31,87.51,87.52,84.37,85.96,1503100,0.0,0
2019-08-01,89.64,93.46,89.35,90.45,3230300,0.0,0
2019-08-02,90.7,91.62,87.49,89.21,1252700,0.0,0
2019-08-05,88.36,89.62,86.62,87.49,1392200,0.0,0
2019-08-06,88.08,89.75,81.52,82.96,4485000,0.0,0
2019-08-07,82.64,84.87,80.69,84.68,1998900,0.0,0
2019-08-08,84.63,87.19,84.32,86.69,1446000,0.0,0
2019-08-09,86.74,86.97,85.36,86.26,898800,0.0,0
2019-08-12,86.18,86.67,85.37,86.19,862900,0.0,0
2019-08-13,86.42,88.73,85.77,88.04,1411500,0.0,0
2019-08-14,87.27,87.27,84.97,85.16,1368800,0.0,0
2019-08-15,85.25,85.7,84.18,84.8,1098500,0.0,0
2019-08-16,85.37,87.11,84.57,86.55,811800,0.4,0
2019-08-19,87.42,88.17,86.84,86.96,904000,0.0,0
2019-08-20,87.25,87.81,85.44,85.52,1017800,0.0,0
2019-08-21,85.66,86.79,85.45,85.54,1033200,0.0,0
2019-08-22,85.78,86.34,84.56,84.78,1008300,0.0,0
2019-08-23,84.69,85.62,82.35,82.79,1177000,0.0,0
2019-08-26,83.65,85.15,83.34,85.13,1183900,0.0,0
2019-08-27,85.17,85.81,80.47,80.55,1848300,0.0,0
2019-08-28,80.3,81.29,79.69,80.28,1918000,0.0,0
2019-08-29,81.09,82.02,80.4,81.17,1179400,0.0,0
2019-08-30,81.56,81.75,80.87,81.53,1091700,0.0,0
2019-09-03,81.13,83.74,80.83,83.28,1613400,0.0,0
2019-09-04,83.6,84.68,83.58,84.41,848400,0.0,0
2019-09-05,85.51,86.38,85.02,85.26,935200,0.0,0
2019-09-06,85.34,85.83,84.79,85.54,963900,0.0,0
2019-09-09,85.53,86.78,85.38,86.35,1231500,0.0,0
2019-09-10,85.68,86.04,83.47,85.11,1895200,0.0,0
2019-09-11,85.27,87.66,84.56,87.0,1026100,0.0,0
2019-09-12,87.09,87.44,83.76,83.88,1118900,0.0,0
2019-09-13,84.42,85.55,82.2,82.67,1262200,0.0,0
2019-09-16,81.94,83.13,81.63,83.04,1120900,0.0,0
2019-09-17,83.41,83.8,82.4,82.43,1049900,0.0,0
2019-09-18,82.53,82.53,81.17,82.25,1392700,0.0,0
2019-09-19,82.5,84.43,82.1,83.87,1315100,0.0,0
2019-09-20,84.18,85.68,84.0,84.35,2180200,0.0,0
2019-09-23,84.11,84.49,82.54,83.09,920100,0.0,0
2019-09-24,83.47,84.36,81.78,81.95,910300,0.0,0
2019-09-25,81.43,83.31,81.43,82.48,881900,0.0,0
2019-09-26,82.68,83.11,80.13,81.26,943300,0.0,0
2019-09-27,81.59,81.62,79.71,80.21,1400300,0.0,0
2019-09-30,80.27,82.66,80.27,81.59,1141900,0.0,0
2019-10-01,81.74,83.45,81.33,81.38,1298200,0.0,0
2019-10-02,80.59,81.04,79.73,80.25,1366400,0.0,0
2019-10-03,80.08,80.84,79.03,80.61,760500,0.0,0
2019-10-04,80.57,81.14,79.55,81.11,767300,0.0,0
2019-10-07,80.66,81.95,80.01,81.12,1212300,0.0,0
2019-10-08,80.53,81.13,79.41,79.45,1345000,0.0,0
2019-10-09,80.1,80.45,79.57,79.65,657500,0.0,0
2019-10-10,79.82,80.84,79.12,80.09,741800,0.0,0
2019-10-11,81.06,82.4,80.43,81.22,958100,0.0,0
2019-10-14,81.05,81.41,80.65,80.85,506000,0.0,0
2019-10-15,81.47,82.86,81.12,82.45,777800,0.0,0
2019-10-16,83.35,87.89,83.26,85.27,2691700,0.0,0
2019-10-17,85.33,89.02,85.33,88.69,3243000,0.0,0
