Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,162.49,166.17,162.49,165.5,1666400,0.0,0
2019-03-22,165.07,165.68,162.43,162.55,1602600,0.0,0
2019-03-25,162.3,162.78,161.33,162.4,1769900,0.0,0
2019-03-26,163.77,164.87,163.24,164.23,1777800,0.0,0
2019-03-27,164.28,165.07,162.68,163.76,2376200,0.0,0
2019-03-28,168.14,174.6,167.71,172.27,5398700,0.0,0
2019-03-29,172.45,174.09,172.11,173.16,2773000,0.0,0
2019-04-01,172.65,173.65,171.95,173.45,2977900,0.0,0
2019-04-02,172.97,173.68,171.72,172.52,1923600,0.0,0
2019-04-03,173.04,174.51,172.63,174.31,2481800,0.0,0
2019-04-04,174.31,174.55,173.0,174.28,2270200,0.0,0
2019-04-05,174.55,175.52,174.16,175.25,1861500,0.0,0
2019-04-08,174.78,176.17,174.49,176.0,1373300,0.0,0
2019-04-09,174.86,175.57,174.4,174.84,1813900,0.0,0
2019-04-10,175.37,176.31,174.67,175.56,1582600,1.46,0
2019-04-11,175.74,177.02,175.46,176.91,1417200,0.0,0
2019-04-12,177.05,177.9,176.36,177.19,2663400,0.0,0
2019-04-15,176.96,178.18,176.51,177.85,1619800,0.0,0
2019-04-16,178.34,178.44,176.81,177.61,1618200,0.0,0
2019-04-17,178.12,178.54,177.45,177.5,1637400,0.0,0
2019-04-18,177.27,177.55,175.95,177.16,1319700,0.0,0
2019-04-22,175.81,176.8,175.58,176.63,1393900,0.0,0
2019-04-23,176.75,179.09,176.52,179.02,1785500,0.0,0
2019-04-24,179.39,179.94,178.81,179.34,1463900,0.0,0
2019-04-25,179.11,179.11,177.16,178.49,1035300,0.0,0
2019-04-26,178.66,179.38,177.64,179.36,1010300,0.0,0
2019-04-29,179.31,180.25,179.17,179.74,1111900,0.0,0
2019-04-30,180.11,181.35,179.7,181.19,1535800,0.0,0
2019-05-01,181.71,181.86,179.82,179.84,1242400,0.0,0
2019-05-02,179.53,180.85,177.04,177.93,1889900,0.0,0
2019-05-03,175.59,176.52,175.09,175.54,2680200,0.0,0
2019-05-06,172.42,175.44,171.49,174.83,1630200,0.0,0
2019-05-07,173.5,173.73,170.96,172.53,2308500,0.0,0
2019-05-08,172.66,173.83,171.76,172.41,1984900,0.0,0
2019-05-09,170.7,173.16,170.0,173.04,2044800,0.0,0
2019-05-10,172.31,173.56,169.29,172.89,2139600,0.0,0
2019-05-13,170.0,170.6,168.97,169.63,1853800,0.0,0
2019-05-14,170.52,173.35,170.52,172.2,2181200,0.0,0
2019-05-15,170.81,174.71,170.78,173.98,2060800,0.0,0
2019-05-16,174.84,178.29,174.68,176.72,2232100,0.0,0
2019-05-17,174.96,177.74,174.96,176.88,1551100,0.0,0
2019-05-20,175.54,178.01,175.01,177.09,1566000,0.0,0
2019-05-21,178.15,178.54,177.36,178.11,1224900,0.0,0
2019-05-22,177.87,179.91,177.74,178.93,1212300,0.0,0
2019-05-23,177.49,177.49,175.01,176.82,1250200,0.0,0
2019-05-24,178.1,178.87,177.19,177.36,1288100,0.0,0
2019-05-28,177.81,178.65,176.36,176.94,2336500,0.0,0
2019-05-29,176.2,177.25,175.18,176.17,1547700,0.0,0
2019-05-30,176.22,178.0,176.22,177.37,1047900,0.0,0
2019-05-31,176.03,177.18,175.06,176.63,1799600,0.0,0
2019-06-03,176.43,176.91,172.82,173.74,1774600,0.0,0
2019-06-04,175.83,176.58,174.34,176.53,2269700,0.0,0
2019-06-05,177.96,178.89,176.94,178.1,1492100,0.0,0
2019-06-06,178.54,179.51,177.88,178.94,1737700,0.0,0
2019-06-07,180.16,182.74,179.8,181.44,1965900,0.0,0
2019-06-10,182.83,183.77,182.24,182.94,1525000,0.0,0
2019-06-11,184.25,185.17,181.58,181.88,1423400,0.0,0
2019-06-12,182.13,183.57,181.73,183.09,1402100,0.0,0
2019-06-13,184.36,184.59,182.75,183.45,1323700,0.0,0
2019-06-14,183.16,184.32,182.65,183.47,1864700,0.0,0
2019-06-17,183.5,183.83,182.29,182.41,1177900,0.0,0
2019-06-18,183.49,184.16,182.79,183.0,1972600,0.0,0
2019-06-19,183.23,183.88,182.02,182.46,2023500,0.0,0
2019-06-20,183.29,185.44,182.98,185.01,2122000,0.0,0
2019-06-21,185.58,185.79,183.69,184.05,3306600,0.0,0
2019-06-24,184.56,185.63,184.07,184.6,1703100,0.0,0
2019-06-25,185.01,185.15,182.98,183.4,1863300,0.0,0
2019-06-26,184.12,184.42,181.82,181.82,2395300,0.0,0
2019-06-27,177.35,181.62,176.55,181.52,3434500,0.0,0
2019-06-28,182.74,184.0,181.39,183.27,2937900,0.0,0
2019-07-01,183.33,185.44,182.93,185.35,2397800,0.0,0
2019-07-02,185.39,187.21,184.73,187.07,2123500,0.0,0
2019-07-03,187.79,189.42,186.57,189.42,1106900,0.0,0
2019-07-05,188.38,190.18,186.72,189.84,2111000,0.0,0
2019-07-08,189.51,189.59,188.32,188.77,1877200,0.0,0
2019-07-09,187.54,189.6,187.54,189.54,1732500,0.0,0
2019-07-10,189.96,190.53,189.43,190.15,1584400,0.0,0
2019-07-11,190.93,193.09,190.69,193.09,1922200,0.0,0
2019-07-12,193.42,194.64,192.25,194.62,2059400,0.0,0
2019-07-15,194.63,194.77,193.5,193.74,1267000,0.0,0
2019-07-16,193.57,194.01,191.81,192.67,1460100,0.0,0
2019-07-17,193.26,193.53,191.97,192.24,1557700,0.0,0
2019-07-18,192.12,194.05,191.62,193.24,1562400,0.0,0
2019-07-19,193.25,194.37,192.29,192.36,1583200,0.0,0
2019-07-22,193.07,193.81,192.73,192.86,1090000,0.0,0
2019-07-23,193.74,193.91,191.43,192.88,1111800,0.0,0
2019-07-24,192.43,192.97,191.32,192.89,1250900,0.0,0
2019-07-25,193.43,194.01,192.12,193.39,1531000,0.0,0
2019-07-26,193.52,195.43,193.0,195.33,1255400,0.0,0
2019-07-29,195.4,195.87,194.61,195.75,1319700,0.0,0
2019-07-30,194.78,195.63,193.77,194.06,1143900,0.0,0
2019-07-31,194.47,194.8,188.96,191.02,1566000,0.0,0
2019-08-01,191.76,195.62,191.66,192.58,1837100,0.0,0
2019-08-02,192.89,192.89,188.95,191.44,1833100,0.0,0
2019-08-05,188.04,189.45,182.74,184.04,2422000,0.0,0
2019-08-06,185.16,188.02,185.0,187.28,2055600,0.0,0
2019-08-07,185.69,187.82,182.9,187.34,2495100,0.0,0
2019-08-08,188.46,192.7,187.84,192.6,1804100,0.0,0
2019-08-09,192.04,192.11,188.67,189.93,1831800,0.0,0
2019-08-12,189.93,190.33,187.78,188.46,1597200,0.0,0
2019-08-13,187.23,191.45,187.23,191.32,2072000,0.0,0
2019-08-14,188.86,189.84,185.29,185.45,2316500,0.0,0
2019-08-15,185.83,188.69,185.19,188.02,1932600,0.0,0
2019-08-16,189.57,192.09,188.92,191.65,2526900,0.0,0
2019-08-19,193.42,194.7,192.94,193.6,1891000,0.0,0
2019-08-20,193.53,194.39,191.55,192.62,1423500,0.0,0
2019-08-21,194.1,195.24,193.49,194.14,1044700,0.0,0
2019-08-22,194.87,195.37,192.69,194.75,1160900,0.0,0
2019-08-23,193.42,196.32,190.02,191.25,2290400,0.0,0
2019-08-26,192.76,193.88,191.9,193.88,1641500,0.0,0
2019-08-27,194.43,195.8,193.66,195.56,1632700,0.0,0
2019-08-28,195.29,195.93,192.99,195.24,1326200,0.0,0
2019-08-29,196.39,198.29,195.84,197.13,1494200,0.0,0
2019-08-30,198.38,199.05,195.17,196.56,2176600,0.0,0
2019-09-03,194.77,196.16,193.85,194.16,1696500,0.0,0
2019-09-04,196.23,196.75,195.77,196.11,1250700,0.0,0
2019-09-05,198.18,198.18,196.84,197.87,2216100,0.0,0
2019-09-06,198.38,201.15,197.43,199.49,2184100,0.0,0
2019-09-09,199.34,199.49,191.28,193.25,2702800,0.0,0
2019-09-10,191.41,191.97,186.37,188.12,3631000,0.0,0
2019-09-11,188.46,190.91,187.7,189.82,2430300,0.0,0
2019-09-12,193.12,194.64,190.37,193.93,2122200,0.0,0
2019-09-13,194.41,194.41,192.39,193.04,1592600,0.0,0
2019-09-16,191.8,193.64,191.44,192.58,1360000,0.0,0
2019-09-17,191.79,194.2,191.79,193.37,1457800,0.0,0
2019-09-18,192.6,193.01,189.99,192.56,1780500,0.0,0
2019-09-19,192.9,194.54,192.64,193.09,1567900,0.0,0
2019-09-20,193.47,194.64,190.89,191.52,2541000,0.0,0
