Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,106.77,108.85,106.28,107.93,3724900,0.0,0
2019-03-22,107.54,107.74,105.12,105.2,2300200,0.0,0
2019-03-25,102.69,103.92,101.87,103.1,2690800,0.0,0
2019-03-26,103.86,104.95,103.56,104.91,3310000,0.0,0
2019-03-27,104.77,105.27,101.66,102.81,2621100,0.0,0
2019-03-28,102.91,103.48,101.19,101.94,2615200,0.0,0
2019-03-29,103.02,103.6,102.46,103.12,2777700,0.0,0
2019-04-01,104.34,106.4,104.09,106.06,3445800,0.0,0
2019-04-02,105.92,106.27,105.21,105.9,1684200,0.0,0
2019-04-03,107.38,108.79,106.93,107.59,2739500,0.0,0
2019-04-04,107.51,108.69,106.91,108.28,2435700,0.0,0
2019-04-05,108.82,109.51,108.29,109.18,2529000,0.0,0
2019-04-08,108.48,109.54,108.1,109.45,2237900,0.0,0
2019-04-09,109.22,109.44,107.83,108.23,1856900,0.0,0
2019-04-10,108.14,109.83,107.7,109.78,1966700,0.0,0
2019-04-11,110.07,110.37,108.9,109.53,1784900,0.0,0
2019-04-12,110.51,111.95,109.85,111.87,1984200,0.0,0
2019-04-15,112.1,112.25,110.32,110.63,1420500,0.0,0
2019-04-16,111.01,112.64,110.93,112.25,2298600,0.0,0
2019-04-17,112.73,113.56,111.52,112.06,2505900,0.0,0
2019-04-18,112.73,112.73,111.43,112.44,2052800,0.0,0
2019-04-22,112.07,112.25,111.13,111.29,2295900,0.0,0
2019-04-23,111.25,112.06,110.9,111.77,3437900,0.0,0
2019-04-24,112.43,116.11,111.81,114.89,5727100,0.0,0
2019-04-25,114.0,114.02,111.19,112.67,2952900,0.0,0
2019-04-26,110.93,112.25,109.86,112.1,2244900,0.0,0
2019-04-29,111.91,112.44,111.08,111.55,1877100,0.0,0
2019-04-30,112.12,114.44,111.6,113.86,2624800,0.0,0
2019-05-01,114.17,114.57,112.29,112.35,1601800,0.0,0
2019-05-02,112.48,115.02,112.21,114.57,2223200,0.0,0
2019-05-03,115.17,115.55,113.56,114.56,2476300,0.0,0
2019-05-06,111.74,113.03,111.08,112.58,2247800,0.0,0
2019-05-07,111.08,111.95,109.5,111.35,2965400,0.0,0
2019-05-08,110.16,110.66,108.21,108.29,3819500,0.0,0
2019-05-09,106.91,108.82,105.64,108.29,3408800,0.0,0
2019-05-10,107.95,108.88,105.48,108.34,2422000,0.0,0
2019-05-13,104.95,105.48,101.54,102.1,4900300,0.0,0
2019-05-14,103.02,105.02,102.83,104.57,2271900,0.0,0
2019-05-15,103.43,106.6,103.37,105.68,2305600,0.0,0
2019-05-16,103.5,104.01,101.93,102.56,4409800,0.0,0
2019-05-17,101.11,101.73,98.14,98.77,5468000,0.0,0
2019-05-20,95.88,97.21,94.74,95.5,4506000,0.0,0
2019-05-21,99.34,99.67,97.07,97.84,4636600,0.0,0
2019-05-22,96.82,100.99,96.57,99.36,5187100,0.0,0
2019-05-23,97.44,98.5,95.6,96.71,3387300,0.0,0
2019-05-24,97.53,98.37,96.32,96.41,2283100,0.0,0
2019-05-28,96.64,97.11,94.78,95.12,3602400,0.0,0
2019-05-29,94.15,96.81,93.98,96.1,3051200,0.0,0
2019-05-30,96.35,98.07,95.91,96.58,2099600,0.54,0
2019-05-31,95.53,97.11,95.03,95.17,2156800,0.0,0
2019-06-03,95.85,96.84,94.07,94.62,2900000,0.0,0
2019-06-04,96.04,99.56,95.45,99.45,3588600,0.0,0
2019-06-05,100.11,100.89,96.95,98.37,1785600,0.0,0
2019-06-06,98.21,98.8,97.15,98.47,1881100,0.0,0
2019-06-07,99.16,99.47,98.23,99.18,3046400,0.0,0
2019-06-10,102.72,105.91,101.58,104.95,4179100,0.0,0
2019-06-11,106.05,106.93,103.1,103.59,2325100,0.0,0
2019-06-12,103.31,103.31,102.1,102.8,1506600,0.0,0
2019-06-13,103.2,104.28,102.92,104.19,1696200,0.0,0
2019-06-14,101.88,102.84,101.23,102.46,2327200,0.0,0
2019-06-17,102.63,104.19,101.91,103.52,1859200,0.0,0
2019-06-18,105.09,108.93,104.45,108.29,3190000,0.0,0
