Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,150.2,152.75,150.2,152.06,1848300,0.0,0
2019-03-22,151.66,152.02,150.41,150.56,1659700,0.0,0
2019-03-25,150.24,150.96,149.54,150.51,1235200,0.0,0
2019-03-26,151.84,152.97,150.98,152.9,1473900,0.0,0
2019-03-27,153.12,153.94,151.72,153.48,1481400,0.0,0
2019-03-28,153.72,155.18,153.57,155.03,1412400,0.0,0
2019-03-29,156.12,156.54,155.26,156.37,2333900,0.0,0
2019-04-01,157.8,158.89,156.6,158.65,2489500,0.0,0
2019-04-02,159.11,159.28,157.44,158.03,987800,0.0,0
2019-04-03,159.02,159.02,157.1,157.7,1374700,0.0,0
2019-04-04,157.96,157.96,154.84,155.98,1682400,0.0,0
2019-04-05,156.69,157.03,155.79,156.96,1497800,0.0,0
2019-04-08,156.57,157.21,155.54,157.07,952100,0.0,0
2019-04-09,156.46,157.27,155.77,156.31,1238600,0.0,0
2019-04-10,156.75,157.43,156.3,157.03,998900,0.0,0
2019-04-11,157.63,158.35,157.03,158.26,1526000,0.0,0
2019-04-12,158.74,159.93,157.54,159.86,1014300,0.0,0
2019-04-15,159.59,160.4,159.18,160.23,987100,0.0,0
2019-04-16,160.94,160.94,158.12,158.72,1080800,0.0,0
2019-04-17,159.1,159.53,158.14,159.41,1145400,0.0,0
2019-04-18,160.27,160.27,158.66,159.01,1423800,0.0,0
2019-04-22,158.24,158.98,157.93,158.49,813900,0.0,0
2019-04-23,158.59,161.64,158.39,161.56,1467300,0.0,0
2019-04-24,161.75,162.01,160.03,160.05,1771000,0.0,0
2019-04-25,159.25,160.71,158.08,160.4,1406400,0.0,0
2019-04-26,160.96,160.96,159.26,160.25,911900,0.0,0
2019-04-29,160.4,160.78,159.15,159.55,1270000,0.0,0
2019-04-30,159.83,161.09,157.61,160.92,2007200,0.0,0
2019-05-01,157.6,157.8,151.44,154.16,3333900,0.0,0
2019-05-02,154.14,155.82,152.51,155.08,2178100,0.0,0
2019-05-03,156.32,157.24,155.16,156.81,1431500,0.0,0
2019-05-06,154.06,157.3,154.06,156.87,1328200,0.0,0
2019-05-07,154.82,157.55,154.02,155.01,2132300,0.0,0
2019-05-08,154.67,156.6,154.24,155.83,1410200,0.0,0
2019-05-09,154.67,157.62,154.45,157.18,1604800,0.0,0
2019-05-10,156.5,157.99,154.58,157.63,1661500,0.0,0
2019-05-13,155.07,156.36,153.69,153.94,1898900,0.0,0
2019-05-14,154.23,156.44,154.03,155.16,1905000,0.0,0
2019-05-15,154.34,156.4,153.78,156.01,2042200,0.0,0
2019-05-16,155.89,159.02,155.38,158.12,2243800,0.0,0
2019-05-17,157.0,158.66,156.48,158.31,2101100,0.0,0
2019-05-20,156.72,159.32,156.72,157.93,1593500,0.0,0
2019-05-21,159.01,160.09,158.09,159.56,1171800,0.0,0
2019-05-22,159.25,160.57,158.81,159.92,1098300,0.0,0
2019-05-23,158.33,158.87,156.74,157.73,1453800,0.0,0
2019-05-24,158.7,159.6,157.76,158.43,911900,0.0,0
2019-05-28,158.55,160.28,158.16,158.47,1425300,0.0,0
2019-05-29,157.69,157.79,155.59,156.5,1046100,0.0,0
2019-05-30,157.08,158.0,156.37,157.51,743500,0.0,0
2019-05-31,155.96,157.68,155.96,156.74,1091900,0.0,0
2019-06-03,157.16,158.01,151.98,152.71,2066900,0.0,0
2019-06-04,154.23,156.29,152.77,156.08,1550800,0.0,0
2019-06-05,156.73,159.34,156.72,159.22,1451700,0.0,0
2019-06-06,159.24,160.88,158.24,160.83,1280800,0.0,0
2019-06-07,161.53,164.33,161.46,163.4,1419300,0.0,0
2019-06-10,163.78,164.88,163.11,164.15,1283200,0.0,0
2019-06-11,164.97,165.31,160.89,161.63,1361600,0.0,0
2019-06-12,161.82,162.66,161.1,161.73,1076000,0.0,0
2019-06-13,162.5,162.9,160.65,161.75,1205200,0.79,0
2019-06-14,161.77,163.63,161.37,162.82,1458600,0.0,0
2019-06-17,163.37,163.76,162.58,163.22,1213200,0.0,0
2019-06-18,164.82,166.42,164.05,165.46,1716500,0.0,0
2019-06-19,165.52,166.1,163.96,165.49,1153100,0.0,0
2019-06-20,167.18,167.31,165.38,166.83,1192100,0.0,0
2019-06-21,166.62,167.65,165.26,165.4,2437000,0.0,0
2019-06-24,165.99,166.47,164.95,165.01,1514800,0.0,0
2019-06-25,165.3,165.3,162.39,162.81,1555800,0.0,0
2019-06-26,163.02,163.48,160.04,160.15,1271600,0.0,0
2019-06-27,161.01,161.53,159.44,161.32,1417900,0.0,0
2019-06-28,161.63,162.99,160.87,162.62,1947000,0.0,0
2019-07-01,164.87,165.07,162.81,163.66,1623600,0.0,0
2019-07-02,157.06,159.38,156.31,159.3,17110800,0.0,0
2019-07-03,160.33,161.49,158.88,161.4,1938800,0.0,0
2019-07-05,160.32,162.39,159.7,162.14,2001700,0.0,0
2019-07-08,161.88,162.0,161.01,161.38,1108700,0.0,0
2019-07-09,160.48,161.05,159.83,160.86,1703000,0.0,0
2019-07-10,161.59,162.0,159.99,161.84,1730000,0.0,0
2019-07-11,162.18,162.87,161.42,162.5,1958500,0.0,0
2019-07-12,162.24,162.74,161.29,162.42,2239500,0.0,0
2019-07-15,162.77,163.43,161.99,162.3,2064500,0.0,0
2019-07-16,162.34,163.13,161.34,161.51,1898700,0.0,0
2019-07-17,161.76,163.42,161.64,162.68,1885100,0.0,0
2019-07-18,162.62,165.17,162.01,165.02,1500700,0.0,0
2019-07-19,165.9,166.2,163.64,163.73,1434600,0.0,0
2019-07-22,164.24,165.61,163.53,164.4,1423100,0.0,0
2019-07-23,165.52,166.23,163.98,165.16,934600,0.0,0
2019-07-24,164.72,164.72,163.35,164.47,2063300,0.0,0
2019-07-25,164.21,165.21,163.89,164.32,1305100,0.0,0
2019-07-26,164.86,166.8,164.57,166.49,1035500,0.0,0
2019-07-29,166.36,166.36,164.92,165.16,1066000,0.0,0
2019-07-30,164.59,165.09,162.2,162.29,1934100,0.0,0
2019-07-31,169.18,169.18,162.24,163.79,4170900,0.0,0
2019-08-01,162.54,163.9,161.01,161.61,4099000,0.0,0
2019-08-02,161.3,162.89,159.14,161.58,2873700,0.0,0
2019-08-05,160.04,160.75,156.13,157.13,4644800,0.0,0
2019-08-06,157.41,161.21,157.19,160.71,2113900,0.0,0
2019-08-07,159.23,162.76,157.89,161.77,2139100,0.0,0
2019-08-08,163.29,167.6,162.82,167.53,2306700,0.0,0
2019-08-09,167.16,167.16,163.69,164.98,2105800,0.0,0
2019-08-12,164.66,164.85,162.41,163.15,1633200,0.0,0
2019-08-13,162.62,166.41,162.54,165.94,1303000,0.0,0
2019-08-14,163.73,164.86,161.05,161.15,2204500,0.0,0
2019-08-15,161.49,163.63,159.84,162.36,1670300,0.0,0
2019-08-16,164.08,165.3,163.69,164.28,1339600,0.0,0
2019-08-19,166.26,166.6,164.8,166.19,1125000,0.0,0
2019-08-20,165.82,167.01,164.89,165.13,1143400,0.0,0
2019-08-21,166.12,166.91,165.67,166.91,1235100,0.0,0
2019-08-22,166.77,167.91,164.55,166.75,1174400,0.0,0
2019-08-23,166.29,167.38,161.51,162.1,1685100,0.0,0
2019-08-26,163.92,164.24,162.28,164.07,1197500,0.0,0
2019-08-27,165.38,165.38,163.36,164.11,1595100,0.0,0
2019-08-28,163.23,164.74,162.02,164.48,1532100,0.0,0
2019-08-29,166.53,168.01,165.99,166.66,1186800,0.0,0
2019-08-30,167.91,168.12,166.26,167.05,1586200,0.0,0
2019-09-03,165.0,166.72,163.87,164.47,1528200,0.0,0
2019-09-04,165.77,167.3,165.74,166.93,1359900,0.0,0
2019-09-05,168.34,170.69,168.0,170.43,1742600,0.0,0
2019-09-06,170.89,171.64,170.18,170.41,4866000,0.0,0
2019-09-09,170.71,170.84,164.39,165.29,1670200,0.0,0
2019-09-10,164.2,165.27,158.96,161.63,2010100,0.0,0
2019-09-11,160.46,162.21,157.77,158.5,2659400,0.0,0
2019-09-12,159.3,160.91,158.3,158.56,2209200,0.79,0
2019-09-13,159.18,159.64,157.11,157.89,1906900,0.0,0
2019-09-16,157.06,157.89,155.93,156.34,2427900,0.0,0
2019-09-17,156.57,157.4,155.78,156.99,2600700,0.0,0
2019-09-18,156.5,157.02,154.24,155.95,1711900,0.0,0
2019-09-19,157.43,158.13,156.68,157.51,1854400,0.0,0
2019-09-20,157.38,158.95,156.92,157.46,2651100,0.0,0
2019-09-23,156.94,158.78,156.67,157.85,1732600,0.0,0
2019-09-24,158.27,160.56,156.94,158.18,2724800,0.0,0
2019-09-25,158.23,160.08,156.98,159.81,2361500,0.0,0
2019-09-26,160.37,162.06,159.83,161.38,2092900,0.0,0
2019-09-27,161.9,162.08,157.1,158.58,2067400,0.0,0
2019-09-30,158.97,160.23,158.89,159.55,1489400,0.0,0
2019-10-01,160.43,161.06,158.23,158.58,1809300,0.0,0
2019-10-02,157.13,157.4,153.68,154.81,2669100,0.0,0
2019-10-03,154.55,155.78,151.94,155.72,1620400,0.0,0
2019-10-04,156.3,157.58,156.08,157.33,1363400,0.0,0
2019-10-07,157.11,157.96,156.15,157.05,1006300,0.0,0
2019-10-08,155.73,156.52,154.04,154.51,1477600,0.0,0
2019-10-09,155.82,157.1,154.79,156.63,1657100,0.0,0
2019-10-10,156.1,159.11,156.04,158.86,1571200,0.0,0
2019-10-11,160.53,161.95,159.14,160.64,1989500,0.0,0
2019-10-14,160.77,161.92,160.25,160.58,1282500,0.0,0
2019-10-15,160.66,162.55,160.61,162.22,1327800,0.0,0
2019-10-16,161.85,162.55,160.19,162.26,1661500,0.0,0
2019-10-17,162.64,163.29,161.72,161.94,1091700,0.0,0
2019-10-18,162.43,162.55,161.04,161.65,1661800,0.0,0
2019-10-21,162.18,162.59,159.44,160.16,1714300,0.0,0
2019-10-22,160.47,161.4,157.62,157.65,1322400,0.0,0
2019-10-23,157.43,158.9,157.25,158.19,1707400,0.0,0
2019-10-24,159.09,160.76,158.25,160.66,1093200,0.0,0
2019-10-25,160.14,161.47,159.7,160.09,2200000,0.0,0
2019-10-28,160.7,161.04,159.07,160.6,1378500,0.0,0
2019-10-29,160.75,162.46,160.58,160.95,1557100,0.0,0
2019-10-30,156.96,162.43,156.43,162.25,2878300,0.0,0
2019-10-31,161.53,162.51,158.82,160.36,6511300,0.0,0
2019-11-01,161.51,161.86,160.26,161.1,1375900,0.0,0
2019-11-04,162.31,162.71,159.84,160.01,2542900,0.0,0
2019-11-05,159.49,159.87,155.08,155.2,3924400,0.0,0
2019-11-06,156.05,158.33,155.53,157.81,2142900,0.0,0
2019-11-07,158.68,161.69,158.03,160.23,2166800,0.0,0
2019-11-08,159.86,161.2,159.32,160.85,1787500,0.0,0
2019-11-11,160.13,162.03,159.77,161.53,1417900,0.0,0
2019-11-12,162.25,164.57,161.87,164.44,1921700,0.0,0
2019-11-13,165.05,167.56,164.55,167.03,2325600,0.0,0
2019-11-14,166.82,168.51,165.85,168.17,2367900,0.0,0
2019-11-15,169.21,169.21,167.12,169.19,1611200,0.0,0
2019-11-18,168.67,169.35,168.04,168.76,1444500,0.0,0
2019-11-19,169.52,170.73,168.93,169.11,1284000,0.0,0
2019-11-20,168.57,169.6,167.05,168.61,1286900,0.0,0
2019-11-21,168.26,168.77,167.2,167.9,1184800,0.0,0
2019-11-22,169.14,169.52,167.12,167.69,1279100,0.0,0
2019-11-25,168.3,168.96,167.82,168.23,1259500,0.0,0
2019-11-26,168.24,169.93,168.18,169.64,2021000,0.0,0
2019-11-27,169.81,169.91,168.98,169.5,1093400,0.0,0
2019-11-29,168.85,169.52,168.27,168.81,706200,0.0,0
2019-12-02,168.56,168.9,166.21,166.64,1341500,0.0,0
2019-12-03,164.84,165.51,164.3,165.2,2930100,0.0,0
2019-12-04,165.19,166.92,164.91,166.62,1863700,0.0,0
2019-12-05,166.94,167.06,165.58,166.41,1748200,0.0,0
2019-12-06,167.65,168.62,167.55,168.02,1300100,0.0,0
2019-12-09,167.72,168.14,166.86,167.12,1500800,0.0,0
2019-12-10,167.12,167.27,166.22,166.48,1523400,0.0,0
2019-12-11,166.12,166.37,164.59,165.31,1245800,0.0,0
2019-12-12,165.24,166.52,164.21,166.13,1931100,0.91,0
2019-12-13,165.67,167.35,164.99,167.23,1308400,0.0,0
2019-12-16,168.12,168.62,167.44,167.55,2404000,0.0,0
2019-12-17,167.77,168.4,167.01,167.29,1838800,0.0,0
2019-12-18,167.34,168.7,166.22,166.53,2069900,0.0,0
2019-12-19,166.23,168.35,165.71,167.7,1924800,0.0,0
2019-12-20,169.23,170.27,167.2,170.04,3947200,0.0,0
2019-12-23,170.22,170.31,168.7,168.97,1139900,0.0,0
2019-12-24,168.91,169.26,168.31,168.87,350200,0.0,0
2019-12-26,169.3,169.77,168.54,169.3,1713700,0.0,0
2019-12-27,169.72,169.9,168.71,169.72,821400,0.0,0
2019-12-30,169.46,169.8,167.99,168.55,867100,0.0,0
2019-12-31,168.18,169.61,168.18,169.45,903000,0.0,0
2020-01-02,170.9,170.94,168.16,169.27,1364600,0.0,0
2020-01-03,167.03,169.4,167.03,168.92,1000100,0.0,0
2020-01-06,168.04,169.29,167.79,169.14,1205900,0.0,0
2020-01-07,168.25,168.42,166.92,167.1,1878900,0.0,0
2020-01-08,167.75,169.46,167.14,168.67,1675500,0.0,0
2020-01-09,169.33,170.29,169.07,170.16,1189600,0.0,0
2020-01-10,170.94,170.94,169.59,170.04,968700,0.0,0
2020-01-13,170.47,171.41,170.05,171.3,926700,0.0,0
2020-01-14,171.06,171.29,169.45,170.18,1688100,0.0,0
2020-01-15,171.01,173.42,170.75,171.75,2114600,0.0,0
2020-01-16,172.79,173.86,171.88,173.8,2281200,0.0,0
2020-01-17,174.95,175.82,174.02,175.78,2818200,0.0,0
2020-01-21,173.87,176.51,173.87,175.12,2016400,0.0,0
2020-01-22,177.22,178.78,176.1,177.23,2060100,0.0,0
2020-01-23,176.68,177.36,175.92,176.74,1520300,0.0,0
2020-01-24,177.73,177.83,175.1,176.12,1676700,0.0,0
2020-01-27,174.11,175.54,173.42,174.66,1622500,0.0,0
2020-01-28,174.95,177.86,174.82,177.2,1642000,0.0,0
2020-01-29,170.79,173.21,169.89,169.99,3842800,0.0,0
2020-01-30,167.92,174.0,167.31,173.93,2731700,0.0,0
2020-01-31,173.43,174.36,169.79,170.34,3316700,0.0,0
2020-02-03,172.81,174.09,171.94,172.87,2162800,0.0,0
2020-02-04,175.58,176.98,173.73,174.84,3423400,0.0,0
2020-02-05,177.27,177.91,175.72,177.52,2675200,0.0,0
2020-02-06,178.64,179.36,177.7,179.15,1600800,0.0,0
2020-02-07,178.67,178.79,177.39,178.0,2311500,0.0,0
2020-02-10,177.56,178.71,177.21,178.26,2153800,0.0,0
2020-02-11,179.14,179.14,176.7,176.88,1584200,0.0,0
2020-02-12,177.59,179.74,175.81,176.94,2622500,0.0,0
2020-02-13,176.38,179.88,175.98,179.0,1913900,0.0,0
2020-02-14,179.05,180.17,178.3,180.14,1566500,0.0,0
2020-02-18,180.24,181.2,178.63,178.82,1512200,0.0,0
2020-02-19,179.39,180.62,179.08,180.14,1651500,0.0,0
2020-02-20,179.56,180.63,177.4,179.66,1501600,0.0,0
2020-02-21,178.69,179.32,176.26,177.48,3538400,0.0,0
2020-02-24,174.7,176.09,172.83,173.47,2084100,0.0,0
2020-02-25,173.58,174.41,165.87,166.15,2606400,0.0,0
2020-02-26,167.96,169.75,165.21,165.31,2319700,0.0,0
2020-02-27,163.05,164.95,156.49,156.56,2843300,0.0,0
2020-02-28,152.47,158.47,149.6,153.79,4585800,0.0,0
2020-03-02,154.59,162.09,153.29,162.0,3194400,0.0,0
2020-03-03,160.64,163.43,153.05,154.29,3095200,0.0,0
2020-03-04,157.45,163.61,155.85,163.38,2847600,0.0,0
2020-03-05,158.46,162.15,157.95,159.68,3359700,0.0,0
2020-03-06,152.48,159.13,152.07,158.17,3137400,0.0,0
2020-03-09,148.18,154.27,145.38,149.99,4551300,0.0,0
2020-03-10,155.99,156.15,146.3,153.47,4152200,0.0,0
2020-03-11,148.73,150.99,144.79,147.1,2751000,0.0,0
2020-03-12,137.55,137.87,125.86,130.28,5497200,0.91,0
2020-03-13,136.99,144.53,129.27,144.5,3604900,0.0,0
2020-03-16,128.06,131.72,122.05,122.46,4415900,0.0,0
2020-03-17,124.45,130.53,118.43,129.39,4274800,0.0,0
2020-03-18,120.86,122.59,103.11,117.6,5108600,0.0,0
2020-03-19,117.8,123.17,110.0,117.37,4022100,0.0,0
