Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,80.44,81.84,80.29,81.6,3243400,0.0,0
2019-03-22,82.08,83.17,81.84,82.62,3595300,0.0,0
2019-03-25,82.74,83.11,82.4,82.8,2383800,0.0,0
2019-03-26,82.84,83.46,82.67,83.44,2166400,0.0,0
2019-03-27,83.48,83.55,82.33,82.71,3297400,0.0,0
2019-03-28,82.7,83.08,81.31,81.31,4990000,0.0,0
2019-03-29,81.13,81.42,80.82,81.27,4625700,0.0,0
2019-04-01,81.42,81.48,79.86,80.37,4769700,0.0,0
2019-04-02,80.76,80.82,79.92,80.62,3306400,0.0,0
2019-04-03,80.58,80.8,79.8,80.46,2771300,0.0,0
2019-04-04,80.8,80.8,79.72,80.18,2401200,0.0,0
2019-04-05,80.37,81.12,80.05,81.1,2194600,0.0,0
2019-04-08,80.91,81.14,80.22,80.69,3121000,0.0,0
2019-04-09,80.62,81.29,80.52,81.1,1898500,0.0,0
2019-04-10,81.42,81.99,80.71,80.88,1795000,0.0,0
2019-04-11,80.93,81.5,80.83,81.46,2757100,0.0,0
2019-04-12,81.06,81.74,80.58,81.66,2458800,0.0,0
2019-04-15,81.66,82.11,81.48,81.77,2425500,0.0,0
2019-04-16,81.56,82.03,80.34,80.59,2187000,0.0,0
2019-04-17,80.64,81.16,80.28,80.74,2094100,0.0,0
2019-04-18,80.57,81.1,80.4,80.55,2268200,0.0,0
2019-04-22,80.48,80.67,80.07,80.48,2320100,0.0,0
2019-04-23,80.54,81.21,80.22,81.1,2722700,0.0,0
2019-04-24,81.2,81.85,80.93,81.53,2292200,0.0,0
2019-04-25,81.05,82.65,80.99,82.32,2249400,0.0,0
2019-04-26,82.94,83.23,82.06,82.2,1761200,0.0,0
2019-04-29,81.94,82.15,81.3,81.55,1474600,0.0,0
2019-04-30,81.57,83.05,81.39,83.02,2545300,0.0,0
2019-05-01,82.69,83.07,82.15,82.44,2282600,0.0,0
2019-05-02,82.32,82.7,81.55,82.19,1789600,0.0,0
2019-05-03,82.35,82.98,82.13,82.9,1323200,0.0,0
2019-05-06,83.01,83.13,82.1,82.32,1993800,0.0,0
2019-05-07,82.46,82.49,81.92,82.13,1808700,0.0,0
2019-05-08,81.92,81.99,81.06,81.25,3040300,0.0,0
2019-05-09,81.33,81.66,80.76,81.07,2452100,0.67,0
2019-05-10,81.18,82.97,80.87,82.82,2584500,0.0,0
2019-05-13,82.82,84.66,82.47,84.46,3566700,0.0,0
2019-05-14,84.42,84.59,83.51,83.7,2403100,0.0,0
2019-05-15,83.9,84.11,83.13,83.2,2169900,0.0,0
2019-05-16,83.14,83.99,82.92,83.54,1866600,0.0,0
2019-05-17,83.08,84.49,83.08,83.98,2212300,0.0,0
2019-05-20,84.31,84.88,84.01,84.72,2142000,0.0,0
2019-05-21,84.44,85.24,84.44,84.73,1768400,0.0,0
2019-05-22,84.88,85.47,84.59,85.39,1916600,0.0,0
2019-05-23,85.67,86.34,85.41,86.26,2037100,0.0,0
2019-05-24,86.23,87.07,86.01,86.37,1485000,0.0,0
2019-05-28,86.47,86.58,84.73,84.78,2650300,0.0,0
2019-05-29,85.17,85.31,83.49,83.83,2137400,0.0,0
2019-05-30,83.84,84.24,83.25,83.44,2341200,0.0,0
2019-05-31,83.71,84.5,83.51,84.25,2250000,0.0,0
2019-06-03,84.47,85.52,84.06,85.47,2216100,0.0,0
2019-06-04,85.24,85.36,83.4,85.16,1904600,0.0,0
2019-06-05,85.51,87.84,85.34,87.43,2155500,0.0,0
2019-06-06,87.55,88.29,87.36,88.04,1739600,0.0,0
2019-06-07,88.57,89.09,87.56,87.59,2274900,0.0,0
2019-06-10,87.36,87.38,86.69,87.08,1956700,0.0,0
2019-06-11,87.03,87.17,85.97,86.4,1988400,0.0,0
2019-06-12,86.96,87.79,86.93,87.44,1910900,0.0,0
2019-06-13,87.59,87.9,86.98,87.64,1794800,0.0,0
