Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,150.68,152.78,149.64,150.84,1790000,0.0,0
2019-03-22,149.59,150.67,146.55,146.68,2288800,0.0,0
2019-03-25,146.27,146.99,143.28,143.77,3233500,0.0,0
2019-03-26,144.6,147.77,144.28,146.77,1934200,0.0,0
2019-03-27,146.74,147.23,144.48,144.64,1695000,0.0,0
2019-03-28,145.09,145.61,143.48,144.29,1496300,0.0,0
2019-03-29,144.49,144.72,142.79,143.84,1980900,0.0,0
2019-04-01,144.95,145.21,142.36,145.06,1892400,0.0,0
2019-04-02,145.41,146.34,143.64,143.7,1262300,0.0,0
2019-04-03,144.13,144.41,142.7,143.16,2236400,0.0,0
2019-04-04,143.93,147.22,143.82,146.73,2302300,0.0,0
2019-04-05,147.37,148.71,146.83,147.02,1641100,0.0,0
2019-04-08,147.53,148.12,146.75,147.85,1180200,0.0,0
2019-04-09,147.17,147.36,144.53,144.86,1224300,0.0,0
2019-04-10,144.91,145.34,142.56,143.54,1545500,0.0,0
2019-04-11,143.63,144.42,141.64,142.5,1693600,0.0,0
2019-04-12,143.18,144.2,141.83,142.41,1632600,0.0,0
2019-04-15,142.32,142.32,140.17,141.06,2364800,0.0,0
2019-04-16,142.14,144.72,141.5,142.86,1742100,0.0,0
2019-04-17,143.14,143.14,135.09,137.58,2854200,0.0,0
2019-04-18,137.7,138.81,134.37,137.85,2107900,0.0,0
2019-04-22,137.02,139.23,136.52,137.8,1156900,0.0,0
2019-04-23,138.05,140.51,136.59,139.68,2470800,0.0,0
2019-04-24,140.09,140.09,136.91,137.21,1864200,0.0,0
2019-04-25,136.72,139.52,136.08,139.01,1259100,0.0,0
2019-04-26,139.59,142.89,137.98,142.84,1460100,0.0,0
2019-04-29,142.46,144.04,141.55,143.74,1590100,0.0,0
2019-04-30,144.09,144.62,142.51,144.42,1348100,0.0,0
2019-05-01,143.74,144.34,139.02,142.78,2904800,0.0,0
2019-05-02,142.12,142.92,139.83,141.72,2321200,0.0,0
2019-05-03,141.94,143.89,141.07,143.25,1534300,0.0,0
2019-05-06,141.45,145.22,140.53,145.17,1881500,0.0,0
2019-05-07,142.4,144.18,137.27,138.88,4082000,0.0,0
2019-05-08,138.02,139.04,136.56,137.59,2530500,0.0,0
2019-05-09,136.61,139.55,135.92,137.8,2903600,0.0,0
2019-05-10,136.69,138.38,133.66,137.7,2574100,0.0,0
2019-05-13,135.67,138.28,132.7,133.35,2105500,0.74,0
2019-05-14,133.35,136.04,132.85,134.29,2473200,0.0,0
2019-05-15,133.4,135.51,131.89,135.03,2365000,0.0,0
2019-05-16,135.16,141.48,134.61,138.32,4134100,0.0,0
2019-05-17,137.18,142.09,137.05,138.47,2017900,0.0,0
2019-05-20,137.58,137.99,136.77,137.07,1475700,0.0,0
2019-05-21,137.5,137.96,136.23,136.77,1706300,0.0,0
2019-05-22,136.3,138.4,136.09,137.79,1082300,0.0,0
2019-05-23,136.81,136.89,134.24,136.34,2196200,0.0,0
2019-05-24,136.78,137.51,133.76,133.84,2156200,0.0,0
2019-05-28,133.83,134.35,129.78,129.79,2297100,0.0,0
2019-05-29,128.83,129.32,119.83,124.12,8416500,0.0,0
2019-05-30,123.95,124.69,120.32,120.91,3684700,0.0,0
2019-05-31,119.63,122.33,119.19,120.41,3451000,0.0,0
2019-06-03,120.5,123.02,119.68,121.61,3486400,0.0,0
2019-06-04,122.88,127.41,122.47,127.03,2995200,0.0,0
2019-06-05,128.17,128.29,123.95,124.94,2189400,0.0,0
2019-06-06,124.42,125.83,123.13,123.51,1917200,0.0,0
2019-06-07,124.47,127.0,123.64,125.56,2857800,0.0,0
2019-06-10,125.92,126.73,124.05,125.05,2282500,0.0,0
2019-06-11,125.07,125.09,121.0,121.34,2589700,0.0,0
2019-06-12,121.74,123.06,120.42,120.76,2802000,0.0,0
2019-06-13,120.91,121.01,119.3,119.51,2739500,0.0,0
2019-06-14,119.14,119.35,113.77,114.49,5222100,0.0,0
2019-06-17,114.09,115.98,112.86,114.3,4390200,0.0,0
2019-06-18,114.81,119.52,113.62,119.15,7653200,0.0,0
2019-06-19,121.4,127.56,120.65,126.58,6970900,0.0,0
2019-06-20,126.93,130.3,126.92,129.21,3850000,0.0,0
2019-06-21,129.4,130.0,126.96,129.2,4616600,0.0,0
2019-06-24,129.06,129.06,126.19,127.97,2390100,0.0,0
2019-06-25,166.32,166.57,160.33,160.43,33047500,0.0,0
2019-06-26,161.78,163.12,160.5,161.98,15977900,0.0,0
2019-06-27,162.18,165.38,162.18,163.97,6760500,0.0,0
2019-06-28,164.18,166.2,164.05,165.37,7410000,0.0,0
2019-07-01,166.34,166.77,164.51,165.46,6142200,0.0,0
2019-07-02,165.25,168.09,164.66,167.45,5185400,0.0,0
