Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,47.99,48.85,47.99,48.77,1546300,0.0,0
2019-03-22,48.79,49.23,48.45,48.47,1109000,0.0,0
2019-03-25,48.6,48.74,48.22,48.52,1332200,0.0,0
2019-03-26,48.57,48.9,48.48,48.89,879700,0.0,0
2019-03-27,48.91,49.04,48.44,48.89,987400,0.0,0
2019-03-28,49.05,49.1,48.65,48.99,1137100,0.0,0
2019-03-29,48.96,49.08,48.66,48.77,1549800,0.0,0
2019-04-01,48.77,48.82,48.13,48.71,809800,0.0,0
2019-04-02,48.79,49.39,48.44,49.3,1146000,0.0,0
2019-04-03,49.28,49.56,48.87,49.39,1154500,0.0,0
2019-04-04,49.43,49.43,48.8,49.0,667000,0.0,0
2019-04-05,48.97,49.31,48.84,49.24,608200,0.0,0
2019-04-08,49.31,49.33,48.84,49.12,656100,0.0,0
2019-04-09,49.12,49.18,48.85,48.95,827600,0.0,0
2019-04-10,49.18,49.49,49.05,49.29,1620200,0.0,0
2019-04-11,49.27,49.61,48.94,49.18,1365200,0.0,0
2019-04-12,49.12,49.54,48.77,49.48,1134900,0.0,0
2019-04-15,49.55,49.7,49.15,49.35,1155500,0.0,0
2019-04-16,49.36,49.5,47.82,47.91,1113700,0.0,0
2019-04-17,48.01,48.01,46.83,46.86,1290700,0.0,0
2019-04-18,46.84,47.29,46.76,47.12,1398200,0.0,0
2019-04-22,47.04,47.1,46.11,46.41,1424200,0.0,0
2019-04-23,46.66,47.42,46.54,47.29,983900,0.0,0
2019-04-24,47.5,47.92,47.34,47.73,648300,0.0,0
2019-04-25,47.52,47.95,47.4,47.7,541500,0.0,0
2019-04-26,47.88,48.16,47.62,48.02,547700,0.0,0
2019-04-29,47.95,48.13,47.32,47.35,717000,0.0,0
2019-04-30,47.34,47.92,47.09,47.87,1301800,0.0,0
2019-05-01,48.05,48.42,47.69,47.85,947300,0.0,0
2019-05-02,47.83,48.28,47.43,47.58,1054600,0.0,0
2019-05-03,47.58,48.59,47.5,48.54,1996900,0.0,0
2019-05-06,48.31,48.55,48.15,48.26,981300,0.0,0
2019-05-07,48.14,48.36,47.35,47.6,1037600,0.0,0
2019-05-08,47.72,48.03,47.46,47.63,914000,0.0,0
2019-05-09,47.54,47.98,47.4,47.92,1233300,0.0,0
2019-05-10,47.91,48.52,47.75,48.38,745100,0.0,0
2019-05-13,47.98,48.43,47.88,48.35,945200,0.0,0
2019-05-14,48.32,48.53,48.07,48.24,1002300,0.0,0
2019-05-15,48.22,48.66,48.07,48.56,640400,0.0,0
2019-05-16,48.52,49.17,48.41,49.14,886700,0.39,0
2019-05-17,48.92,49.33,48.65,49.27,796000,0.0,0
2019-05-20,49.3,49.3,48.27,48.51,519600,0.0,0
2019-05-21,48.6,49.26,48.58,49.19,776200,0.0,0
2019-05-22,49.19,49.35,48.99,49.34,411900,0.0,0
2019-05-23,49.25,49.85,49.14,49.84,973600,0.0,0
2019-05-24,50.0,50.18,49.74,49.89,1557000,0.0,0
2019-05-28,50.29,50.29,49.14,49.14,1673100,0.0,0
2019-05-29,49.21,49.24,48.12,48.21,1609900,0.0,0
2019-05-30,48.2,48.76,48.04,48.47,721100,0.0,0
2019-05-31,48.32,49.09,48.14,48.82,1032200,0.0,0
2019-06-03,49.01,49.08,48.53,48.87,794700,0.0,0
2019-06-04,48.91,49.0,48.21,48.85,1067600,0.0,0
2019-06-05,49.12,50.0,48.92,50.0,600100,0.0,0
2019-06-06,50.05,50.54,49.87,50.44,686100,0.0,0
2019-06-07,50.69,50.83,50.09,50.09,642300,0.0,0
2019-06-10,50.11,50.21,49.61,50.09,571800,0.0,0
2019-06-11,50.2,50.2,49.5,49.98,540000,0.0,0
2019-06-12,50.02,50.33,49.88,50.19,727500,0.0,0
2019-06-13,50.25,50.4,50.0,50.22,571700,0.0,0
2019-06-14,50.2,50.38,49.87,49.98,1115200,0.0,0
2019-06-17,50.17,50.6,49.97,50.2,1031700,0.0,0
2019-06-18,50.48,50.69,49.55,49.9,977100,0.0,0
2019-06-19,49.75,50.2,49.37,50.12,918000,0.0,0
2019-06-20,50.31,50.67,50.15,50.52,1523100,0.0,0
2019-06-21,50.41,50.41,49.4,50.01,2883000,0.0,0
2019-06-24,50.09,50.2,49.57,49.96,754600,0.0,0
2019-06-25,50.07,50.43,49.41,49.47,859300,0.0,0
2019-06-26,49.47,49.47,48.18,48.45,1619800,0.0,0
