Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,76.07,77.61,76.07,77.45,795300,0.0,0
2019-03-22,76.96,77.72,76.88,77.43,992300,0.0,0
2019-03-25,77.59,77.68,76.99,77.15,657500,0.0,0
2019-03-26,77.59,77.86,77.01,77.24,876100,0.0,0
2019-03-27,77.12,77.42,76.43,76.78,939300,0.0,0
2019-03-28,76.78,77.09,75.24,75.71,1976200,0.0,0
2019-03-29,76.13,76.73,75.92,76.66,1856000,0.0,0
2019-04-01,77.3,77.65,76.92,77.57,1019400,0.0,0
2019-04-02,77.69,77.85,77.12,77.12,649000,0.0,0
2019-04-03,77.51,77.51,76.73,76.93,794800,0.0,0
2019-04-04,77.11,77.33,76.68,77.22,687300,0.0,0
2019-04-05,77.18,77.35,76.65,76.86,1124300,0.0,0
2019-04-08,76.84,76.88,76.4,76.52,847800,0.0,0
2019-04-09,76.34,76.6,76.15,76.54,1812500,0.0,0
2019-04-10,76.63,77.17,76.54,77.15,872300,0.0,0
2019-04-11,77.18,78.33,77.18,78.2,1329900,0.0,0
2019-04-12,78.67,79.25,78.54,79.04,909000,0.0,0
2019-04-15,79.02,79.24,78.64,79.12,681100,0.0,0
2019-04-16,79.26,79.58,79.14,79.41,670000,0.0,0
2019-04-17,79.56,79.56,77.79,78.78,1133900,0.0,0
2019-04-18,78.67,79.09,78.3,78.94,1030300,0.0,0
2019-04-22,78.6,78.72,78.21,78.7,751800,0.0,0
2019-04-23,78.89,80.14,78.81,80.08,1141400,0.0,0
2019-04-24,80.04,81.14,79.92,80.55,872300,0.0,0
2019-04-25,80.12,81.46,79.77,81.26,918000,0.0,0
2019-04-26,81.47,82.59,80.39,81.62,1369700,0.0,0
2019-04-29,81.79,82.35,81.33,81.42,1021600,0.0,0
2019-04-30,81.27,82.13,80.88,82.08,1139200,0.0,0
2019-05-01,81.93,81.96,80.61,80.8,972100,0.0,0
2019-05-02,80.86,81.43,80.38,81.36,755400,0.0,0
2019-05-03,81.52,81.93,80.96,81.6,586200,0.0,0
2019-05-06,80.7,82.57,80.7,82.02,670500,0.0,0
2019-05-07,81.56,81.92,80.31,80.74,638600,0.0,0
2019-05-08,80.46,81.48,80.37,81.17,924200,0.0,0
2019-05-09,80.68,81.07,79.89,80.7,869500,0.0,0
2019-05-10,80.43,82.01,80.08,81.93,620500,0.0,0
2019-05-13,81.05,81.8,80.06,80.44,892900,0.0,0
2019-05-14,80.35,81.54,80.35,80.96,877700,0.0,0
2019-05-15,80.6,81.72,80.56,81.19,664200,0.0,0
2019-05-16,81.48,82.56,81.45,82.25,847200,0.0,0
2019-05-17,81.6,82.55,81.47,81.81,780200,0.0,0
2019-05-20,81.7,82.06,81.36,81.76,1146800,0.0,0
2019-05-21,82.08,82.6,82.08,82.3,689500,0.0,0
2019-05-22,82.36,83.25,81.98,83.23,845500,0.0,0
2019-05-23,82.74,82.94,81.99,82.6,769700,0.0,0
2019-05-24,82.95,83.02,82.37,82.73,527000,0.0,0
2019-05-28,82.76,83.28,82.3,82.36,1121400,0.0,0
2019-05-29,82.28,82.54,81.73,82.49,526200,0.0,0
2019-05-30,82.72,83.12,82.46,82.92,861200,0.0,0
2019-05-31,82.48,83.19,82.36,82.65,852700,0.0,0
2019-06-03,82.65,84.12,82.14,84.0,988400,0.0,0
2019-06-04,84.65,84.89,83.28,84.29,1005000,0.0,0
2019-06-05,84.28,86.16,84.19,86.14,816400,0.0,0
2019-06-06,86.15,86.45,85.69,86.12,576300,0.43,0
2019-06-07,86.38,87.12,86.31,86.6,905600,0.0,0
2019-06-10,86.96,87.14,86.42,86.63,698400,0.0,0
2019-06-11,86.81,87.11,86.03,86.26,671200,0.0,0
2019-06-12,86.5,87.38,86.3,86.52,610500,0.0,0
2019-06-13,86.8,86.8,85.78,85.94,950300,0.0,0
2019-06-14,85.94,86.7,85.64,86.51,614500,0.0,0
2019-06-17,86.58,86.79,85.06,85.12,901900,0.0,0
2019-06-18,85.15,85.43,84.47,84.87,850800,0.0,0
2019-06-19,85.0,85.89,85.0,85.61,790200,0.0,0
2019-06-20,86.04,86.68,85.84,86.31,1667900,0.0,0
2019-06-21,86.43,86.43,85.33,85.36,1239000,0.0,0
2019-06-24,85.54,86.13,85.29,85.8,634700,0.0,0
2019-06-25,85.7,85.91,84.97,85.03,873500,0.0,0
2019-06-26,84.99,85.18,83.47,83.48,798200,0.0,0
