Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,72.14,73.68,72.13,73.44,1021700,0,0
2019-03-22,73.09,73.43,71.16,71.23,1025900,0,0
2019-03-25,68.23,69.26,67.28,69.12,2553900,0,0
2019-03-26,69.53,70.85,69.47,69.82,1307600,0,0
2019-03-27,69.77,71.02,69.26,70.78,1494200,0,0
2019-03-28,71.04,71.41,70.27,71.09,929600,0,0
2019-03-29,71.68,71.87,71.28,71.71,871700,0,0
2019-04-01,72.24,73.1,72.08,73.0,919000,0,0
2019-04-02,73.0,73.05,72.22,72.73,1226600,0,0
2019-04-03,73.19,73.78,72.73,73.45,704500,0,0
2019-04-04,73.61,73.71,72.33,73.39,567100,0,0
2019-04-05,73.56,74.08,73.36,74.07,840400,0,0
2019-04-08,73.98,74.5,73.47,74.47,582800,0,0
2019-04-09,74.16,74.6,74.16,74.32,839200,0,0
2019-04-10,74.34,75.42,74.34,75.09,1040500,0,0
2019-04-11,75.1,75.74,74.77,75.43,632600,0,0
2019-04-12,75.8,77.1,75.63,77.05,1576400,0,0
2019-04-15,76.77,77.0,75.59,76.65,1447800,0,0
2019-04-16,77.13,77.19,76.32,76.61,1039800,0,0
2019-04-17,77.0,77.25,75.75,76.03,1047800,0,0
2019-04-18,75.6,75.7,74.86,75.34,1185700,0,0
2019-04-22,75.52,76.77,75.52,76.69,820600,0,0
2019-04-23,76.87,77.73,76.45,77.66,883600,0,0
2019-04-24,77.96,78.7,77.92,78.14,808900,0,0
2019-04-25,78.15,78.8,77.02,78.61,978100,0,0
2019-04-26,78.5,79.08,78.46,78.86,899900,0,0
2019-04-29,78.95,79.75,78.87,79.35,1229300,0,0
2019-04-30,79.37,80.09,79.0,80.06,2549000,0,0
2019-05-01,86.01,86.19,80.65,81.04,4597600,0,0
2019-05-02,80.95,81.05,78.67,80.27,1730100,0,0
2019-05-03,80.4,80.88,79.47,80.03,1029900,0,0
2019-05-06,78.5,79.04,77.19,78.96,1604100,0,0
2019-05-07,78.14,78.58,76.78,77.31,1451100,0,0
2019-05-08,77.0,77.61,76.42,76.97,971100,0,0
2019-05-09,76.17,76.52,75.33,76.15,1203100,0,0
2019-05-10,75.86,76.86,74.81,76.63,900900,0,0
2019-05-13,74.68,75.48,74.06,74.45,1006500,0,0
2019-05-14,74.92,76.38,74.92,75.72,871100,0,0
2019-05-15,75.04,76.96,75.04,76.62,843800,0,0
2019-05-16,76.88,78.5,76.63,77.92,1000200,0,0
2019-05-17,77.04,78.1,76.83,77.55,847000,0,0
2019-05-20,76.83,77.68,76.55,76.9,955400,0,0
2019-05-21,77.5,78.13,77.5,77.9,703300,0,0
2019-05-22,77.73,79.29,77.53,79.14,1126900,0,0
2019-05-23,78.5,78.86,77.36,77.76,1104200,0,0
2019-05-24,78.17,78.4,76.79,77.89,750900,0,0
2019-05-28,78.23,79.07,77.8,77.83,855100,0,0
2019-05-29,77.44,77.89,76.92,77.4,709100,0,0
2019-05-30,77.68,78.1,76.55,76.81,698300,0,0
2019-05-31,76.0,76.33,75.08,75.36,1227600,0,0
2019-06-03,74.7,75.3,73.19,73.66,1605600,0,0
2019-06-04,74.16,75.93,73.91,75.92,1049800,0,0
2019-06-05,76.48,78.12,76.34,78.05,1023600,0,0
2019-06-06,78.12,78.37,77.32,78.18,693300,0,0
2019-06-07,78.5,79.74,77.57,79.42,917900,0,0
2019-06-10,79.99,80.99,79.43,79.55,860000,0,0
2019-06-11,80.37,80.85,78.84,79.41,667400,0,0
2019-06-12,79.1,79.68,78.79,79.35,822200,0,0
2019-06-13,79.6,80.05,78.85,79.19,586200,0,0
2019-06-14,79.16,79.21,78.08,78.62,869300,0,0
2019-06-17,78.54,78.54,76.39,76.58,1246200,0,0
2019-06-18,77.55,78.39,77.02,78.24,1297300,0,0
2019-06-19,78.52,79.66,78.05,79.58,939600,0,0
2019-06-20,80.39,80.78,79.48,79.88,1147700,0,0
2019-06-21,79.81,80.0,78.29,78.55,3469700,0,0
2019-06-24,78.72,79.33,78.44,78.74,1069900,0,0
2019-06-25,78.64,79.54,77.4,77.81,905900,0,0
2019-06-26,78.37,79.38,78.37,78.61,872900,0,0
2019-06-27,79.08,79.69,78.91,79.42,633300,0,0
2019-06-28,79.85,80.22,79.31,80.14,1163300,0,0
2019-07-01,81.35,81.56,80.27,80.38,1018800,0,0
2019-07-02,80.38,80.96,80.09,80.46,688600,0,0
2019-07-03,80.69,81.33,80.68,81.28,728500,0,0
2019-07-05,80.92,81.81,80.5,81.7,428400,0,0
2019-07-08,81.02,81.49,80.65,81.19,701400,0,0
2019-07-09,80.92,81.49,80.53,81.36,1889400,0,0
2019-07-10,81.73,82.38,81.5,81.73,521900,0,0
2019-07-11,81.88,82.32,81.4,82.29,671600,0,0
2019-07-12,82.41,82.69,81.94,82.46,785700,0,0
2019-07-15,82.74,83.67,82.39,83.47,767300,0,0
2019-07-16,83.47,83.68,82.76,83.37,684100,0,0
2019-07-17,83.56,84.04,83.06,83.83,1097800,0,0
2019-07-18,83.37,83.67,82.62,83.5,1232500,0,0
2019-07-19,84.0,84.74,83.38,83.45,1687100,0,0
2019-07-22,83.9,84.1,82.18,82.66,1046200,0,0
2019-07-23,83.16,83.91,82.59,83.2,939000,0,0
2019-07-24,82.27,83.49,81.91,83.42,807800,0,0
2019-07-25,83.08,83.32,82.23,82.7,836300,0,0
2019-07-26,83.08,84.01,83.08,83.92,934600,0,0
2019-07-29,84.04,84.4,82.54,83.52,1020700,0,0
2019-07-30,83.33,84.33,82.54,84.03,1552800,0,0
2019-07-31,85.0,90.76,84.94,88.13,4730100,0,0
