Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,82.64,84.27,82.46,83.69,916900,0.0,0
2019-03-22,83.19,83.57,80.75,80.96,890500,0.0,0
2019-03-25,80.39,80.5,79.13,79.84,1013400,0.0,0
2019-03-26,80.08,81.1,78.68,79.31,1568200,0.0,0
2019-03-27,79.32,79.62,78.1,78.44,1091900,0.0,0
2019-03-28,78.29,79.68,78.1,79.44,975000,0.0,0
2019-03-29,79.59,80.61,79.09,80.23,1794400,0.0,0
2019-04-01,80.67,82.76,80.67,82.4,1439100,0.0,0
2019-04-02,82.57,82.7,80.27,81.13,1782900,0.0,0
2019-04-03,81.93,82.75,81.61,82.41,1976500,0.0,0
2019-04-04,82.65,84.15,82.33,83.73,1544500,0.0,0
2019-04-05,84.03,84.78,83.6,84.3,1424500,0.0,0
2019-04-08,84.36,85.1,83.95,85.09,964300,0.0,0
2019-04-09,84.86,85.04,82.86,82.97,1484000,0.0,0
2019-04-10,83.07,83.97,82.35,83.73,821500,0.0,0
2019-04-11,83.38,83.48,80.87,80.95,1404700,0.0,0
2019-04-12,81.31,82.45,80.98,81.88,1090200,0.0,0
2019-04-15,81.8,81.85,80.24,80.51,1352400,0.0,0
2019-04-16,80.77,81.67,80.36,81.44,1399300,0.0,0
2019-04-17,82.07,83.39,80.35,80.35,1357500,0.0,0
2019-04-18,80.43,80.89,79.46,80.81,790800,0.0,0
2019-04-22,80.7,80.81,79.82,80.42,576400,0.0,0
2019-04-23,79.9,79.9,75.98,77.36,2307300,0.0,0
2019-04-24,77.41,77.98,75.04,75.16,1653900,0.0,0
2019-04-25,74.97,75.11,73.21,73.27,1545300,0.0,0
2019-04-26,73.11,74.24,72.0,73.95,1622300,0.0,0
2019-04-29,73.89,74.49,73.12,74.1,1191800,0.0,0
2019-04-30,74.23,74.68,73.33,73.46,1239900,0.0,0
2019-05-01,73.4,73.79,72.38,72.49,1045500,0.0,0
2019-05-02,72.3,74.55,71.69,74.47,2306400,0.0,0
2019-05-03,75.13,75.75,74.68,75.41,1515800,0.0,0
2019-05-06,74.05,75.57,73.49,75.41,1968300,0.0,0
2019-05-07,74.89,75.21,73.5,74.23,2447500,0.0,0
2019-05-08,70.49,71.91,69.71,71.03,3919100,0.0,0
2019-05-09,70.01,71.55,67.54,71.06,3164500,0.0,0
2019-05-10,71.18,71.5,68.7,71.08,2037100,0.0,0
2019-05-13,69.76,69.97,66.99,67.09,3315500,0.0,0
2019-05-14,67.39,69.06,67.29,68.72,1605800,0.0,0
2019-05-15,67.8,69.16,67.57,68.1,2012600,0.0,0
2019-05-16,68.61,68.91,67.74,67.93,1497200,0.0,0
2019-05-17,67.27,67.52,66.16,66.32,1406300,0.0,0
2019-05-20,66.11,66.72,65.63,66.33,1206300,0.0,0
2019-05-21,66.64,67.93,66.45,67.04,1100100,0.0,0
2019-05-22,66.63,67.15,66.41,66.51,734100,0.0,0
2019-05-23,65.08,65.79,64.57,64.93,2144900,0.0,0
2019-05-24,65.54,65.99,64.67,65.38,1544400,0.0,0
2019-05-28,65.64,66.35,65.18,65.99,1514500,0.0,0
2019-05-29,65.08,65.49,64.06,64.4,1783800,0.0,0
2019-05-30,64.2,65.08,63.91,64.17,1167400,0.0,0
2019-05-31,63.61,63.61,61.78,61.95,1593200,0.0,0
2019-06-03,61.86,63.74,61.75,63.66,2087900,0.0,0
2019-06-04,64.03,66.13,64.03,66.1,1452700,0.0,0
2019-06-05,66.85,66.85,64.73,65.93,1044400,0.0,0
2019-06-06,65.71,67.08,65.61,67.0,1177000,0.0,0
2019-06-07,67.5,68.16,66.79,67.61,1311800,0.0,0
2019-06-10,68.34,69.64,68.16,69.42,1278800,0.0,0
2019-06-11,70.7,72.28,70.2,71.86,2485400,0.0,0
2019-06-12,71.81,72.36,70.47,70.64,1366300,0.0,0
2019-06-13,70.92,71.59,70.35,71.57,920600,0.3675,0
2019-06-14,71.54,71.66,69.39,69.72,966800,0.0,0
2019-06-17,69.54,70.69,68.63,70.08,1008100,0.0,0
2019-06-18,70.67,71.29,69.58,69.62,1230200,0.0,0
2019-06-19,69.96,70.01,67.06,67.82,1805400,0.0,0
2019-06-20,68.78,69.03,67.09,68.36,1999900,0.0,0
2019-06-21,67.88,68.0,66.15,67.23,1889800,0.0,0
2019-06-24,67.16,67.74,66.48,66.9,988000,0.0,0
