Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,53.82,54.36,53.82,54.01,1544700,0.0,0
2019-03-22,53.88,54.17,53.06,53.07,1550500,0.0,0
2019-03-25,52.91,53.2,52.22,52.43,1435100,0.0,0
2019-03-26,52.75,53.3,52.36,52.73,1323900,0.0,0
2019-03-27,52.81,54.09,52.63,53.79,1873300,0.0,0
2019-03-28,53.97,54.17,53.53,53.97,1118000,0.0,0
2019-03-29,54.26,55.02,54.07,54.89,1521600,0.0,0
2019-04-01,55.07,56.63,54.88,56.07,1950700,0.0,0
2019-04-02,56.92,57.24,55.87,56.87,1563400,0.0,0
2019-04-03,57.36,57.77,56.46,56.53,1923000,0.0,0
2019-04-04,56.67,57.11,55.88,56.56,1055800,0.0,0
2019-04-05,56.72,57.56,56.72,57.26,1010800,0.0,0
2019-04-08,56.92,57.35,56.56,57.06,988700,0.0,0
2019-04-09,56.74,57.04,56.28,56.58,1026700,0.0,0
2019-04-10,57.38,57.75,56.46,57.5,1838400,0.0,0
2019-04-11,57.63,59.25,57.57,58.41,2174200,0.0,0
2019-04-12,59.07,59.76,58.46,59.31,1988600,0.0,0
2019-04-15,59.49,59.49,58.51,58.75,1065800,0.0,0
2019-04-16,58.98,59.78,58.88,59.64,1040700,0.0,0
2019-04-17,60.52,60.74,59.74,60.04,1156800,0.0,0
2019-04-18,59.95,60.4,59.37,60.32,976600,0.0,0
2019-04-22,59.82,59.86,58.74,58.98,2194100,0.0,0
2019-04-23,58.95,59.89,58.87,59.56,1118900,0.0,0
2019-04-24,59.66,60.21,58.96,59.47,985600,0.0,0
2019-04-25,59.46,59.91,56.98,57.88,1959900,0.0,0
2019-04-26,57.81,59.66,57.42,59.3,2519200,0.0,0
2019-04-29,58.98,59.65,58.84,59.22,1373200,0.0,0
2019-04-30,60.07,61.02,59.84,60.55,1500400,0.0,0
2019-05-01,60.65,61.1,60.37,60.71,1126300,0.0,0
2019-05-02,60.79,61.82,60.63,60.98,1166300,0.0,0
2019-05-03,60.99,61.88,60.99,61.12,702500,0.0,0
2019-05-06,60.03,60.93,59.81,60.83,716400,0.0,0
2019-05-07,60.36,60.36,58.93,59.76,944800,0.0,0
2019-05-08,59.51,59.93,58.99,59.36,762200,0.0,0
2019-05-09,58.9,59.08,58.16,58.98,1097500,0.0,0
2019-05-10,58.9,60.08,58.0,59.93,862200,0.0,0
2019-05-13,58.7,58.87,57.93,58.82,939800,0.0,0
2019-05-14,58.96,60.32,58.77,60.04,989300,0.0,0
2019-05-15,59.46,60.44,59.18,60.15,1128600,0.0,0
2019-05-16,60.36,61.81,60.25,61.27,1353800,0.0,0
2019-05-17,60.59,61.82,60.33,61.03,870900,0.0,0
2019-05-20,60.5,61.43,60.22,60.94,935300,0.35,0
2019-05-21,61.12,61.84,60.89,61.6,803700,0.0,0
2019-05-22,61.07,61.23,59.61,59.69,1308500,0.0,0
2019-05-23,59.25,60.45,58.44,60.36,1104800,0.0,0
2019-05-24,60.34,60.87,59.38,59.6,722500,0.0,0
2019-05-28,59.56,59.82,58.87,59.07,853300,0.0,0
2019-05-29,59.03,59.28,57.77,58.3,957900,0.0,0
2019-05-30,58.53,58.77,57.55,57.82,1240000,0.0,0
2019-05-31,57.2,57.51,56.88,57.25,812400,0.0,0
2019-06-03,57.06,58.41,56.91,58.11,877500,0.0,0
2019-06-04,58.71,60.0,58.71,59.87,1197400,0.0,0
2019-06-05,60.46,60.81,60.21,60.6,1103100,0.0,0
2019-06-06,60.51,60.69,59.31,59.96,618500,0.0,0
2019-06-07,60.0,60.53,59.5,59.54,984100,0.0,0
2019-06-10,59.89,60.79,59.58,59.65,815000,0.0,0
2019-06-11,60.0,60.28,59.54,59.77,645400,0.0,0
2019-06-12,59.93,60.38,59.53,59.97,593900,0.0,0
2019-06-13,60.01,61.31,60.01,61.15,916600,0.0,0
2019-06-14,61.31,62.38,60.61,62.09,1236900,0.0,0
2019-06-17,62.17,62.17,61.47,61.5,916100,0.0,0
2019-06-18,61.68,62.59,61.49,61.91,673000,0.0,0
2019-06-19,62.14,62.19,61.36,61.83,589900,0.0,0
2019-06-20,62.22,62.27,59.34,59.73,2019300,0.0,0
2019-06-21,59.87,61.57,59.32,61.07,2177600,0.0,0
2019-06-24,61.21,61.65,60.9,61.4,936500,0.0,0
2019-06-25,61.35,62.17,60.64,60.93,1388300,0.0,0
2019-06-26,60.84,61.21,60.42,60.9,646500,0.0,0
2019-06-27,61.14,62.45,61.14,62.08,862600,0.0,0
2019-06-28,62.27,62.96,62.02,62.87,2179700,0.0,0
2019-07-01,63.05,63.55,61.88,62.67,1121500,0.0,0
2019-07-02,63.15,63.48,62.05,62.06,1096800,0.0,0
2019-07-03,62.38,63.63,62.27,62.8,759900,0.0,0
2019-07-05,62.68,63.17,62.12,63.02,566800,0.0,0
2019-07-08,63.12,63.85,63.03,63.62,1228500,0.0,0
2019-07-09,63.25,63.57,62.29,62.65,910700,0.0,0
2019-07-10,63.1,63.34,61.54,61.91,1197000,0.0,0
2019-07-11,62.17,62.51,61.4,62.28,982500,0.0,0
2019-07-12,62.52,63.56,62.3,63.19,958700,0.0,0
2019-07-15,63.09,63.53,62.22,62.33,946300,0.0,0
2019-07-16,62.33,64.55,62.27,64.34,1385000,0.0,0
2019-07-17,64.2,64.25,62.69,62.74,1179000,0.0,0
2019-07-18,62.71,63.37,62.31,63.31,1018800,0.0,0
2019-07-19,63.47,64.08,62.44,62.45,1143300,0.0,0
2019-07-22,62.72,63.15,61.83,61.84,1303700,0.0,0
2019-07-23,62.07,64.33,61.8,64.04,1458400,0.0,0
2019-07-24,64.04,64.83,63.79,64.5,1007400,0.0,0
2019-07-25,63.67,64.5,62.29,62.82,1599000,0.0,0
2019-07-26,63.17,64.16,63.03,63.86,1637800,0.0,0
2019-07-29,63.18,63.19,61.65,62.93,1397800,0.0,0
2019-07-30,62.65,63.51,62.45,62.97,812300,0.0,0
2019-07-31,62.94,63.46,62.23,62.33,1171000,0.0,0
2019-08-01,62.53,63.2,61.87,62.11,1069500,0.0,0
2019-08-02,61.97,62.73,61.42,62.24,1021100,0.0,0
2019-08-05,61.52,61.63,59.52,60.52,1208400,0.0,0
2019-08-06,60.96,61.64,60.83,61.45,797300,0.0,0
2019-08-07,61.11,62.34,60.56,62.08,749700,0.0,0
2019-08-08,62.43,63.61,62.4,63.48,769000,0.0,0
2019-08-09,63.11,63.73,62.86,62.89,746600,0.0,0
2019-08-12,62.39,62.39,60.36,61.1,1016700,0.0,0
2019-08-13,60.81,61.77,60.11,60.17,1160200,0.0,0
2019-08-14,59.61,59.99,57.38,58.26,1416600,0.0,0
2019-08-15,58.37,58.56,57.86,58.06,1223100,0.0,0
2019-08-16,58.34,59.52,58.23,59.37,952800,0.0,0
2019-08-19,60.04,60.86,59.84,59.95,903200,0.35,0
2019-08-20,59.67,59.7,58.88,59.47,740400,0.0,0
2019-08-21,59.75,60.0,59.04,59.18,1038900,0.0,0
2019-08-22,59.25,59.38,58.37,59.1,929300,0.0,0
2019-08-23,58.93,59.27,56.96,57.32,1180800,0.0,0
2019-08-26,57.82,58.23,57.12,57.76,1044900,0.0,0
2019-08-27,58.16,58.26,56.52,57.4,1455500,0.0,0
2019-08-28,57.18,58.42,57.1,58.12,728400,0.0,0
2019-08-29,58.7,59.53,58.43,59.33,788300,0.0,0
2019-08-30,59.49,59.7,58.74,59.09,842100,0.0,0
2019-09-03,58.8,59.87,58.8,59.79,1110600,0.0,0
2019-09-04,59.99,61.22,59.42,61.12,1067000,0.0,0
2019-09-05,61.52,63.24,61.4,62.72,1285700,0.0,0
2019-09-06,63.1,63.5,62.23,62.42,1034000,0.0,0
2019-09-09,62.41,64.36,61.99,64.08,951200,0.0,0
2019-09-10,64.32,64.79,63.83,64.3,723000,0.0,0
2019-09-11,64.29,65.2,63.64,65.13,787500,0.0,0
2019-09-12,65.09,65.77,64.61,64.98,668200,0.0,0
2019-09-13,65.58,65.82,65.12,65.17,588400,0.0,0
2019-09-16,63.32,65.14,62.97,63.98,1295200,0.0,0
2019-09-17,63.57,64.8,63.49,64.23,657000,0.0,0
2019-09-18,64.13,64.3,63.41,64.24,758600,0.0,0
2019-09-19,64.03,64.62,63.75,63.9,604500,0.0,0
2019-09-20,64.26,64.77,63.93,64.31,1249100,0.0,0
2019-09-23,64.04,64.52,63.74,63.96,632600,0.0,0
2019-09-24,64.44,64.58,63.7,63.97,596500,0.0,0
2019-09-25,64.0,64.74,63.91,64.36,522600,0.0,0
2019-09-26,64.36,64.39,63.5,63.89,541200,0.0,0
2019-09-27,64.29,64.88,63.25,63.5,814000,0.0,0
2019-09-30,63.72,64.55,63.56,64.22,808800,0.0,0
2019-10-01,64.76,65.21,63.96,64.26,612700,0.0,0
2019-10-02,63.45,63.52,60.85,62.06,1334100,0.0,0
2019-10-03,62.03,62.2,60.5,61.64,980000,0.0,0
2019-10-04,61.72,62.96,61.59,62.84,478200,0.0,0
2019-10-07,62.93,63.51,62.81,63.28,621300,0.0,0
2019-10-08,62.61,64.07,62.29,62.51,962300,0.0,0
2019-10-09,63.37,64.0,63.35,63.43,536900,0.0,0
2019-10-10,62.33,64.27,62.1,64.19,565600,0.0,0
2019-10-11,65.3,66.91,64.31,65.38,1585100,0.0,0
2019-10-14,65.17,65.89,64.7,65.51,593500,0.0,0
2019-10-15,65.72,67.01,65.28,66.62,928100,0.0,0
2019-10-16,66.63,66.76,65.87,66.12,942100,0.0,0
2019-10-17,66.43,67.04,65.81,66.27,749200,0.0,0
2019-10-18,65.9,66.81,65.38,66.13,969700,0.0,0
2019-10-21,67.19,68.55,66.64,68.31,1441600,0.0,0
2019-10-22,68.26,69.03,67.61,68.46,1129400,0.0,0
2019-10-23,68.36,68.65,68.12,68.18,741200,0.0,0
2019-10-24,68.57,68.96,67.56,68.03,1480900,0.0,0
2019-10-25,68.27,71.24,68.07,70.81,1669900,0.0,0
2019-10-28,69.65,70.58,69.13,69.34,1438600,0.0,0
2019-10-29,69.26,69.67,68.83,69.02,801800,0.0,0
2019-10-30,68.9,69.72,68.62,69.64,932700,0.0,0
2019-10-31,69.16,69.41,68.31,68.7,715500,0.0,0
2019-11-01,69.15,69.82,68.9,69.41,666600,0.0,0
2019-11-04,70.08,70.25,69.51,69.88,740700,0.0,0
2019-11-05,70.1,71.16,70.02,70.62,777600,0.0,0
2019-11-06,70.32,70.71,69.73,70.61,709600,0.0,0
2019-11-07,70.82,71.46,69.89,70.18,681200,0.0,0
2019-11-08,70.04,70.51,69.21,70.42,506100,0.0,0
2019-11-11,70.28,71.15,69.81,71.15,603300,0.0,0
2019-11-12,71.22,71.22,69.85,70.09,513100,0.0,0
