Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,91.21,93.1,90.73,92.77,1950100,0.0,0
2019-03-22,92.51,93.09,92.08,92.35,1524200,0.0,0
2019-03-25,92.54,92.97,92.01,92.18,1386400,0.0,0
2019-03-26,92.27,92.8,91.89,92.28,1769600,0.0,0
2019-03-27,92.24,92.75,91.86,92.33,1349300,0.0,0
2019-03-28,92.6,93.07,91.45,92.13,1380000,0.0,0
2019-03-29,92.61,92.64,91.86,92.36,2085200,0.0,0
2019-04-01,92.7,93.71,92.64,93.26,1536700,0.0,0
2019-04-02,93.52,93.59,92.92,92.98,1605300,0.0,0
2019-04-03,93.41,94.02,92.64,93.8,2522100,0.0,0
2019-04-04,93.59,94.4,93.59,94.22,1549800,0.0,0
2019-04-05,94.58,95.25,94.14,94.45,1411600,0.0,0
2019-04-08,93.82,94.4,92.38,93.04,1572000,0.0,0
2019-04-09,92.59,93.07,92.27,92.54,1079500,0.0,0
2019-04-10,92.76,93.22,92.43,93.17,1431700,0.0,0
2019-04-11,93.41,94.05,93.29,93.96,1168700,0.0,0
2019-04-12,94.45,95.23,94.33,95.14,1416000,0.0,0
2019-04-15,95.15,95.31,94.35,94.54,930000,0.0,0
2019-04-16,94.88,96.34,94.74,96.3,1768600,0.0,0
2019-04-17,96.43,96.6,95.32,95.55,1337200,0.0,0
2019-04-18,95.46,96.38,94.83,94.85,2533100,0.0,0
2019-04-22,94.38,95.25,94.18,95.2,1049400,0.0,0
2019-04-23,94.88,95.73,94.67,95.41,1754300,0.0,0
2019-04-24,95.21,95.56,94.52,94.55,1765000,0.0,0
2019-04-25,94.19,95.0,93.68,94.61,1483200,0.0,0
2019-04-26,94.7,95.65,94.51,95.53,1218500,0.0,0
2019-04-29,95.66,96.36,95.66,95.87,1174200,0.0,0
2019-04-30,96.01,97.23,95.85,97.15,1759600,0.0,0
2019-05-01,97.14,97.92,96.11,96.11,2089700,0.0,0
2019-05-02,97.07,98.07,95.31,96.39,1949200,0.0,0
2019-05-03,96.78,97.09,95.27,96.68,2028500,0.0,0
2019-05-06,95.63,96.29,95.03,95.8,1619800,0.0,0
2019-05-07,95.37,95.91,93.42,93.81,2222400,0.0,0
2019-05-08,93.41,94.34,92.99,93.48,2123500,0.0,0
2019-05-09,92.85,93.26,92.17,92.57,2007700,0.0,0
2019-05-10,92.2,94.65,92.14,94.52,1883900,0.0,0
2019-05-13,93.38,93.5,91.74,92.27,1350200,0.0,0
2019-05-14,92.14,93.88,92.12,92.91,2301500,0.0,0
2019-05-15,92.61,94.24,92.61,93.65,1851100,0.0,0
2019-05-16,93.76,94.87,93.66,94.02,1950700,0.0,0
2019-05-17,93.19,94.42,93.19,93.8,1416300,0.0,0
2019-05-20,93.69,94.62,93.6,94.09,1236800,0.0,0
2019-05-21,94.54,95.13,93.96,95.04,1865300,0.0,0
2019-05-22,94.82,95.47,94.24,95.22,1876200,0.0,0
2019-05-23,94.63,94.64,93.62,94.13,1316200,0.0,0
2019-05-24,94.37,94.64,93.92,94.51,1049600,0.0,0
2019-05-28,94.46,95.02,93.19,93.26,1894700,0.0,0
2019-05-29,94.05,94.52,93.42,94.37,1828700,0.0,0
2019-05-30,94.72,95.03,94.08,94.53,1395800,0.5,0
2019-05-31,93.59,94.38,93.48,94.16,1403100,0.0,0
2019-06-03,93.98,95.59,93.92,95.4,2059800,0.0,0
2019-06-04,96.22,96.67,95.76,96.49,1747300,0.0,0
2019-06-05,96.52,98.09,96.42,97.92,2047100,0.0,0
2019-06-06,98.01,98.26,97.55,98.09,1771600,0.0,0
2019-06-07,98.17,99.69,98.12,99.29,2270300,0.0,0
2019-06-10,99.59,99.83,99.12,99.36,1583600,0.0,0
2019-06-11,99.62,99.93,98.32,99.01,1488100,0.0,0
2019-06-12,99.13,99.73,98.91,99.18,1127700,0.0,0
2019-06-13,99.26,99.82,98.95,99.67,1881200,0.0,0
2019-06-14,99.75,101.03,99.73,100.69,1019400,0.0,0
2019-06-17,100.8,100.85,99.62,99.85,1295000,0.0,0
2019-06-18,99.86,100.6,99.64,100.43,1467300,0.0,0
2019-06-19,100.6,101.57,100.6,101.3,2555300,0.0,0
2019-06-20,101.53,102.52,101.15,102.08,2870900,0.0,0
2019-06-21,101.87,102.02,99.5,99.78,2704700,0.0,0
2019-06-24,99.72,101.12,99.68,100.74,1197500,0.0,0
2019-06-25,100.85,100.99,100.17,100.17,1890200,0.0,0
2019-06-26,100.18,100.28,97.97,98.08,1850200,0.0,0
2019-06-27,98.53,98.93,98.17,98.72,1074900,0.0,0
2019-06-28,99.44,100.3,99.31,100.25,1756000,0.0,0
2019-07-01,101.52,101.74,100.47,101.69,1418000,0.0,0
2019-07-02,101.5,102.1,101.15,101.81,1437100,0.0,0
2019-07-03,101.81,105.91,101.81,103.15,1090800,0.0,0
2019-07-05,103.15,103.21,102.09,103.01,1074000,0.0,0
2019-07-08,102.84,103.19,102.56,102.9,1251600,0.0,0
2019-07-09,102.64,103.32,102.54,103.18,1321900,0.0,0
2019-07-10,103.13,103.77,102.34,102.78,1125200,0.0,0
2019-07-11,101.89,102.34,100.84,101.69,1767300,0.0,0
2019-07-12,101.89,102.46,101.43,102.44,979400,0.0,0
2019-07-15,102.55,102.91,102.14,102.91,1263800,0.0,0
2019-07-16,103.04,103.43,102.75,103.36,1161000,0.0,0
2019-07-17,103.2,103.2,101.01,101.48,1402100,0.0,0
2019-07-18,101.47,101.92,100.98,101.74,1205900,0.0,0
2019-07-19,101.87,101.87,99.92,99.97,1294700,0.0,0
2019-07-22,99.9,100.53,99.64,99.78,1008700,0.0,0
2019-07-23,99.77,100.17,99.01,100.07,1257500,0.0,0
2019-07-24,100.04,100.71,99.46,100.63,1017300,0.0,0
2019-07-25,100.79,100.98,100.24,100.59,1034900,0.0,0
2019-07-26,100.61,101.52,100.08,101.47,893600,0.0,0
2019-07-29,101.54,101.98,100.28,100.37,1407600,0.0,0
2019-07-30,100.06,101.05,99.8,100.39,1265000,0.0,0
2019-07-31,103.8,107.58,103.8,105.88,3523900,0.0,0
2019-08-01,106.16,106.31,102.8,103.39,2090800,0.0,0
2019-08-02,103.2,103.57,101.86,103.03,1727200,0.0,0
2019-08-05,102.22,102.59,99.89,100.34,1853100,0.0,0
2019-08-06,100.45,102.43,99.88,102.4,1913800,0.0,0
2019-08-07,101.04,102.86,99.41,101.87,1771400,0.0,0
2019-08-08,102.51,104.09,102.1,103.81,1462400,0.0,0
2019-08-09,103.61,103.82,101.7,102.62,1984700,0.0,0
2019-08-12,102.29,103.26,101.13,101.39,925800,0.0,0
2019-08-13,101.08,103.39,100.59,102.96,1444100,0.0,0
2019-08-14,101.93,102.25,99.4,100.25,2244900,0.0,0
2019-08-15,100.42,100.91,99.7,100.4,1244600,0.0,0
