Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,130.47,134.56,130.03,134.21,1729700,0,0
2019-03-22,133.86,134.9,130.1,130.21,1512000,0,0
2019-03-25,130.29,132.34,128.3,132.29,1684000,0,0
2019-03-26,133.15,136.95,132.61,136.79,1737700,0,0
2019-03-27,136.71,137.5,133.1,134.6,1106400,0,0
2019-03-28,134.65,135.78,131.73,133.26,1124900,0,0
2019-03-29,134.5,135.79,133.37,135.18,1240800,0,0
2019-04-01,136.58,137.62,135.2,135.32,869900,0,0
2019-04-02,135.58,139.65,135.09,138.92,1516300,0,0
2019-04-03,139.66,140.18,138.37,139.99,1699700,0,0
2019-04-04,140.07,141.8,139.01,139.93,1189300,0,0
2019-04-05,139.97,141.65,139.66,141.2,1208300,0,0
2019-04-08,141.21,141.21,138.58,139.75,929000,0,0
2019-04-09,139.17,140.35,137.21,137.65,992100,0,0
2019-04-10,138.02,141.86,137.35,141.3,1148900,0,0
2019-04-11,141.38,141.59,137.24,137.42,947500,0,0
2019-04-12,138.4,139.39,135.83,136.2,990500,0,0
2019-04-15,136.87,137.93,135.39,137.49,855400,0,0
2019-04-16,138.15,139.95,136.58,136.94,1172900,0,0
2019-04-17,137.32,137.77,124.4,125.91,3077700,0,0
2019-04-18,126.66,128.22,122.68,126.01,2094900,0,0
2019-04-22,126.48,129.29,126.1,128.96,1245600,0,0
2019-04-23,128.68,133.23,128.15,132.37,1488700,0,0
2019-04-24,132.0,133.89,127.7,130.09,1250800,0,0
2019-04-25,131.0,135.81,128.93,135.68,1739500,0,0
2019-04-26,136.0,137.16,132.61,134.57,1498500,0,0
2019-04-29,134.52,135.91,133.96,135.29,1163800,0,0
2019-04-30,135.19,136.31,132.59,136.13,1171900,0,0
2019-05-01,135.86,136.92,134.05,134.14,987400,0,0
2019-05-02,133.71,135.41,132.21,133.13,1347700,0,0
2019-05-03,134.0,136.83,133.46,136.69,1042100,0,0
2019-05-06,134.23,137.52,132.64,136.96,752500,0,0
2019-05-07,135.43,136.51,133.03,134.52,997000,0,0
2019-05-08,134.42,135.49,133.12,133.65,807700,0,0
2019-05-09,132.45,132.84,128.62,131.77,1297300,0,0
2019-05-10,131.42,131.96,127.46,131.69,1323700,0,0
2019-05-13,128.68,129.44,125.61,125.92,1648000,0,0
2019-05-14,126.97,129.14,126.22,127.93,1033700,0,0
2019-05-15,126.86,129.43,125.98,128.41,838500,0,0
2019-05-16,128.77,131.97,128.45,131.4,1303600,0,0
2019-05-17,130.6,131.99,129.86,130.9,1165900,0,0
2019-05-20,129.7,129.7,125.48,127.23,1129600,0,0
2019-05-21,128.0,129.57,127.44,128.8,1128000,0,0
2019-05-22,128.49,128.96,125.32,127.55,1170500,0,0
2019-05-23,125.86,126.69,123.12,125.33,1593600,0,0
2019-05-24,126.27,128.26,125.7,127.04,973900,0,0
2019-05-28,127.0,127.9,124.68,125.0,1237600,0,0
2019-05-29,124.17,124.49,121.03,121.3,1382900,0,0
2019-05-30,122.21,123.13,119.71,120.49,1547700,0,0
2019-05-31,118.56,118.58,112.86,113.68,2403300,0,0
2019-06-03,113.97,116.47,113.31,114.05,1815500,0,0
2019-06-04,115.21,117.62,114.69,117.54,2045700,0,0
2019-06-05,118.21,119.02,117.11,118.78,1339400,0,0
2019-06-06,119.19,120.28,118.52,118.81,2003700,0,0
2019-06-07,119.41,119.7,117.18,118.4,1439300,0,0
2019-06-10,118.61,119.52,116.35,116.42,1729800,0,0
2019-06-11,117.45,118.4,115.66,117.14,1326600,0,0
2019-06-12,117.11,121.77,116.55,120.65,1644900,0,0
2019-06-13,120.93,122.93,116.21,117.24,1893400,0,0
2019-06-14,117.34,118.97,116.77,117.93,981600,0,0
2019-06-17,118.29,122.08,118.29,120.14,1064000,0,0
2019-06-18,122.85,124.53,121.91,122.37,1271500,0,0
2019-06-19,122.22,124.04,120.91,123.77,807800,0,0
2019-06-20,124.78,129.76,124.78,128.83,2412800,0,0
2019-06-21,129.11,132.74,125.54,132.39,3357800,0,0
2019-06-24,132.45,132.77,126.35,126.98,1972300,0,0
2019-06-25,128.51,129.0,124.82,125.15,1717500,0,0
2019-06-26,125.39,126.74,123.1,125.34,1620200,0,0
2019-06-27,125.64,127.2,124.31,126.11,1021100,0,0
2019-06-28,126.64,131.21,126.64,130.98,2159400,0,0
2019-07-01,132.78,132.98,129.76,131.28,1203300,0,0
2019-07-02,131.33,134.2,130.3,134.08,1389200,0,0
2019-07-03,134.25,134.84,132.28,133.35,1017100,0,0
2019-07-05,132.71,133.53,129.92,130.3,1239500,0,0
2019-07-08,129.47,129.47,124.27,125.3,1841000,0,0
2019-07-09,124.5,126.48,123.34,125.72,1384300,0,0
2019-07-10,125.62,127.74,123.2,124.37,1740500,0,0
2019-07-11,124.2,124.2,120.02,121.49,1618300,0,0
2019-07-12,121.53,122.03,119.53,120.82,1340000,0,0
2019-07-15,120.72,123.16,120.59,123.04,929000,0,0
2019-07-16,123.59,124.81,122.65,122.82,1532900,0,0
