Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,39.15,41.32,39.14,40.67,13135700,0.0,0
2019-03-22,40.38,40.55,39.17,39.22,9468300,0.0,0
2019-03-25,39.05,39.48,38.44,38.77,6710200,0.0,0
2019-03-26,39.19,39.83,38.56,38.99,8138100,0.0,0
2019-03-27,39.03,39.27,37.95,38.3,7737600,0.0,0
2019-03-28,38.29,38.57,37.63,37.89,8298300,0.0,0
2019-03-29,38.43,39.21,38.37,39.02,9221500,0.0,0
2019-04-01,39.65,40.51,39.56,40.47,11731000,0.0,0
2019-04-02,40.34,40.56,39.96,40.33,8688600,0.0,0
2019-04-03,40.99,42.32,40.95,41.75,13204800,0.0,0
2019-04-04,41.39,42.14,41.34,41.93,8472800,0.0,0
2019-04-05,42.31,42.69,42.0,42.35,8502800,0.0,0
2019-04-08,42.24,42.32,41.43,42.23,6314200,0.0,0
2019-04-09,41.87,41.92,40.99,41.33,7412500,0.0,0
2019-04-10,41.24,41.66,41.06,41.49,5442400,0.0,0
2019-04-11,41.75,42.25,41.61,41.79,6577500,0.0,0
2019-04-12,42.31,42.66,42.08,42.3,4923500,0.0,0
2019-04-15,42.06,42.44,41.65,42.02,5739300,0.0,0
2019-04-16,42.41,43.44,42.36,43.02,9881100,0.0,0
2019-04-17,43.64,43.81,42.87,43.18,8290900,0.0,0
2019-04-18,43.3,43.56,43.09,43.24,6122100,0.0,0
2019-04-22,43.16,43.27,42.57,43.09,4672200,0.0,0
2019-04-23,43.1,43.28,42.7,43.13,6703900,0.0,0
2019-04-24,43.2,44.91,43.17,43.75,10613300,0.0,0
2019-04-25,44.43,45.01,43.59,43.74,9547000,0.0,0
2019-04-26,42.9,43.99,42.63,43.94,7203900,0.0,0
2019-04-29,43.85,44.19,43.49,43.53,5847300,0.0,0
2019-04-30,43.44,43.86,43.02,43.36,10447200,0.0,0
2019-05-01,43.33,43.95,42.68,42.68,9388100,0.0,0
2019-05-02,42.49,43.54,42.17,43.0,12709000,0.0,0
2019-05-03,43.32,43.44,42.91,43.25,7375400,0.0,0
2019-05-06,41.73,42.46,41.12,42.42,11824300,0.0,0
2019-05-07,41.58,41.74,40.54,41.37,9898300,0.0,0
2019-05-08,41.03,41.52,40.6,40.91,7709200,0.0,0
2019-05-09,40.11,40.53,39.21,40.28,11580600,0.0,0
2019-05-10,40.16,40.53,39.15,40.14,9025500,0.0,0
2019-05-13,38.63,39.0,38.05,38.46,10724700,0.0,0
2019-05-14,38.89,39.74,38.77,39.37,8370100,0.0,0
2019-05-15,39.76,41.19,39.47,40.83,12051000,0.0,0
2019-05-16,40.64,41.51,40.3,40.99,11932500,0.0,0
2019-05-17,42.65,43.65,41.89,42.01,20218200,0.0,0
2019-05-20,41.13,42.07,39.57,39.7,21371800,0.0,0
2019-05-21,40.52,40.7,40.16,40.61,8949900,0.0,0
2019-05-22,40.3,40.43,39.71,40.04,5897500,0.21,0
2019-05-23,39.21,39.64,38.72,39.5,8459800,0.0,0
2019-05-24,39.83,39.95,39.01,39.06,8541800,0.0,0
2019-05-28,39.37,39.59,38.57,38.58,10715500,0.0,0
2019-05-29,38.29,39.11,37.98,38.94,10137000,0.0,0
2019-05-30,39.01,39.95,38.86,39.31,7491700,0.0,0
2019-05-31,38.77,39.52,38.25,38.26,8394900,0.0,0
2019-06-03,38.54,39.22,38.11,38.35,7795300,0.0,0
2019-06-04,39.08,40.2,38.85,39.97,14138900,0.0,0
2019-06-05,40.35,40.72,39.72,40.14,10143400,0.0,0
2019-06-06,40.09,41.03,40.04,40.92,8101700,0.0,0
2019-06-07,41.14,41.42,40.63,41.05,6391200,0.0,0
2019-06-10,41.54,43.07,41.33,42.66,9651700,0.0,0
2019-06-11,43.43,44.06,43.16,43.27,10536500,0.0,0
2019-06-12,42.17,42.22,40.9,41.04,10059800,0.0,0
2019-06-13,41.15,41.56,40.7,41.19,6979500,0.0,0
2019-06-14,40.51,41.03,40.11,40.77,7695100,0.0,0
2019-06-17,40.66,40.75,39.8,40.05,12453300,0.0,0
2019-06-18,40.48,42.13,40.39,41.84,11291800,0.0,0
2019-06-19,42.22,42.37,41.77,42.06,9333000,0.0,0
2019-06-20,43.26,43.5,42.53,42.73,8633300,0.0,0
2019-06-21,42.43,42.72,42.14,42.49,12096400,0.0,0
2019-06-24,42.44,42.46,41.77,41.86,10997100,0.0,0
2019-06-25,41.78,42.23,41.44,41.52,9637900,0.0,0
2019-06-26,42.53,43.32,42.46,43.1,10023900,0.0,0
2019-06-27,43.41,44.37,43.31,44.2,8894400,0.0,0
2019-06-28,44.63,44.89,44.19,44.41,15599700,0.0,0
2019-07-01,46.12,47.03,44.72,45.18,11475900,0.0,0
2019-07-02,44.61,44.72,43.63,44.17,13869000,0.0,0
2019-07-03,44.03,44.29,43.87,44.18,5559100,0.0,0
2019-07-05,43.75,43.93,43.08,43.49,6618200,0.0,0
2019-07-08,42.68,43.27,42.58,42.97,9733000,0.0,0
2019-07-09,42.75,43.57,42.41,43.48,12432400,0.0,0
2019-07-10,44.01,44.93,43.96,44.23,7184700,0.0,0
2019-07-11,44.57,44.87,43.88,44.78,8128500,0.0,0
