Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,79.99,81.6,79.99,81.57,809300,0.0,0
2019-03-22,81.58,81.74,78.81,78.86,1596000,0.0,0
2019-03-25,78.97,79.27,78.57,79.07,1131800,0.0,0
2019-03-26,79.69,80.18,79.34,80.09,889800,0.0,0
2019-03-27,80.18,80.42,79.55,80.12,924500,0.0,0
2019-03-28,80.49,81.75,80.49,81.66,903100,0.0,0
2019-03-29,82.17,82.54,82.03,82.39,1286500,0.0,0
2019-04-01,83.14,83.49,82.83,83.42,1188800,0.0,0
2019-04-02,83.42,83.43,82.83,83.14,1286900,0.0,0
2019-04-03,83.61,84.04,83.28,83.74,1498700,0.0,0
2019-04-04,84.0,84.15,83.03,83.43,979000,0.0,0
2019-04-05,83.5,83.73,83.3,83.7,644500,0.0,0
2019-04-08,83.48,84.07,83.02,84.03,755700,0.0,0
2019-04-09,83.58,83.58,82.84,82.97,642000,0.0,0
2019-04-10,83.21,83.54,82.86,83.46,560600,0.0,0
2019-04-11,83.54,84.28,83.38,84.21,487900,0.0,0
2019-04-12,84.45,85.32,84.41,85.21,1260000,0.0,0
2019-04-15,85.33,85.61,84.76,85.02,661800,0.0,0
2019-04-16,85.41,85.65,84.83,85.31,690400,0.0,0
2019-04-17,86.13,86.13,85.1,85.15,601700,0.0,0
2019-04-18,85.6,85.96,85.17,85.89,954000,0.0,0
2019-04-22,85.42,86.13,85.11,86.02,456200,0.0,0
2019-04-23,85.92,86.98,85.82,86.68,753400,0.0,0
2019-04-24,86.68,87.16,86.47,86.49,700600,0.0,0
2019-04-25,85.89,86.32,84.88,85.31,1107100,0.0,0
2019-04-26,85.39,86.73,85.12,86.69,1048200,0.0,0
2019-04-29,87.18,87.37,86.48,86.83,1050000,0.0,0
2019-04-30,87.25,87.63,86.78,87.56,1689100,0.0,0
2019-05-01,87.88,88.14,85.72,85.76,1709100,0.0,0
2019-05-02,85.85,86.74,85.52,86.41,973900,0.0,0
2019-05-03,86.94,87.11,86.49,86.74,1048800,0.0,0
2019-05-06,85.18,85.98,84.66,85.92,953300,0.0,0
2019-05-07,84.9,85.93,84.25,84.87,1461200,0.0,0
2019-05-08,84.81,85.52,84.3,84.9,947000,0.0,0
2019-05-09,83.85,85.0,83.38,84.86,608000,0.0,0
2019-05-10,84.28,85.25,82.92,84.98,749400,0.0,0
2019-05-13,83.19,83.9,82.58,83.52,1241600,0.0,0
2019-05-14,83.86,85.26,83.86,84.43,923400,0.0,0
2019-05-15,83.98,85.54,83.42,85.17,943100,0.0,0
2019-05-16,85.52,86.14,85.16,85.99,693800,0.0,0
2019-05-17,85.08,85.96,85.02,85.3,757900,0.0,0
2019-05-20,84.73,85.31,84.26,84.57,786400,0.0,0
2019-05-21,85.16,86.0,85.04,85.87,1090400,0.0,0
2019-05-22,85.52,85.8,84.99,85.01,1040500,0.0,0
2019-05-23,84.05,84.3,83.52,84.28,1224100,0.0,0
