Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,184.25,186.81,183.71,186.34,2292900,0.0,0
2019-03-22,185.44,187.3,181.16,181.3,3144700,0.0,0
2019-03-25,181.25,182.35,179.69,181.2,2523700,0.0,0
2019-03-26,182.13,184.11,181.62,182.83,2359100,0.0,0
2019-03-27,182.81,183.15,179.87,180.93,2022600,0.0,0
2019-03-28,181.67,182.46,180.62,182.23,1885600,0.0,0
2019-03-29,183.9,185.48,183.05,184.49,3189700,0.0,0
2019-04-01,185.62,186.99,185.0,186.23,2660500,0.0,0
2019-04-02,186.27,187.25,185.67,186.87,2141800,0.0,0
2019-04-03,187.6,188.27,186.17,187.34,1948100,0.0,0
2019-04-04,187.28,188.81,185.47,186.77,1785900,0.0,0
2019-04-05,188.28,191.18,187.71,189.76,2163300,0.0,0
2019-04-08,188.91,189.67,186.99,189.25,1629800,0.0,0
2019-04-09,187.99,188.39,186.95,187.4,1872600,0.0,0
2019-04-10,188.54,189.36,186.78,188.29,1653200,0.0,0
2019-04-11,188.95,189.16,185.14,186.56,2082600,0.0,0
2019-04-12,187.44,187.89,185.28,185.89,2060800,0.0,0
2019-04-15,186.3,187.6,184.36,185.67,2038300,0.0,0
2019-04-16,186.71,187.0,182.02,182.61,2727300,0.0,0
2019-04-17,182.91,183.28,176.28,177.2,5242100,0.0,0
2019-04-18,177.94,178.19,171.74,172.34,8266600,0.0,0
2019-04-22,171.98,172.44,169.82,171.26,3215800,0.0,0
2019-04-23,171.83,175.43,170.67,174.56,3471700,0.0,0
2019-04-24,174.93,175.6,173.11,173.15,2711600,0.0,0
2019-04-25,171.96,175.79,170.84,175.26,2453700,0.0,0
2019-04-26,175.48,176.59,174.83,176.23,2445400,0.0,0
2019-04-29,176.21,177.2,174.4,175.93,2662500,0.0,0
2019-04-30,176.38,176.78,172.74,174.14,3963000,0.0,0
2019-05-01,170.33,173.34,166.3,171.05,6109100,0.0,0
2019-05-02,170.97,173.15,169.26,171.4,3014000,0.0,0
2019-05-03,171.82,172.63,171.37,172.19,2944500,0.0,0
2019-05-06,170.42,172.12,168.85,171.94,2735000,0.0,0
2019-05-07,170.08,171.31,167.51,168.84,2797000,0.0,0
2019-05-08,168.49,170.43,166.74,167.17,3368400,0.0,0
2019-05-09,166.29,168.17,164.54,167.87,2854400,0.0,0
2019-05-10,167.48,167.48,163.57,166.88,2942300,0.0,0
2019-05-13,164.35,164.7,162.34,162.76,3371800,0.0,0
2019-05-14,162.83,164.81,162.46,162.96,2525300,0.0,0
2019-05-15,162.4,165.67,161.49,164.96,2860200,0.0,0
2019-05-16,165.92,168.49,165.86,166.43,2716200,1.45,0
2019-05-17,165.79,167.72,165.64,166.42,2266600,0.0,0
2019-05-20,165.22,166.9,164.7,164.93,2144300,0.0,0
