Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,125.04,126.91,123.93,126.3,1071600,0.0,0
2019-03-22,125.02,125.21,119.98,121.01,1237300,0.0,0
2019-03-25,120.89,122.41,119.68,120.69,744400,0.0,0
2019-03-26,122.38,123.15,121.29,122.71,666700,0.0,0
2019-03-27,122.71,123.65,121.66,122.44,828800,0.0,0
2019-03-28,122.83,124.13,122.26,123.8,903400,0.0,0
2019-03-29,125.23,126.2,124.51,124.88,846700,0.0,0
2019-04-01,126.34,129.55,126.33,129.35,961900,0.0,0
2019-04-02,133.07,134.61,131.8,132.7,1578200,0.0,0
2019-04-03,134.18,135.01,132.47,133.13,833400,0.0,0
2019-04-04,133.15,134.8,133.15,133.83,440600,0.0,0
2019-04-05,134.52,135.19,133.66,134.48,662400,0.0,0
2019-04-08,134.19,135.11,133.41,135.06,500000,0.0,0
2019-04-09,134.46,134.58,132.41,133.04,584500,0.0,0
2019-04-10,133.51,135.43,132.87,135.06,544300,0.0,0
2019-04-11,135.67,137.18,135.45,136.14,512800,0.0,0
2019-04-12,138.35,140.47,137.51,138.96,885400,0.0,0
2019-04-15,138.75,139.5,137.16,137.72,692800,0.0,0
2019-04-16,138.21,140.46,138.06,140.45,719000,0.0,0
2019-04-17,140.82,141.13,138.87,139.65,681900,0.0,0
2019-04-18,139.36,140.3,138.24,139.67,1019900,0.0,0
2019-04-22,139.82,140.01,138.81,139.52,479300,0.0,0
2019-04-23,139.71,142.11,138.75,141.21,845000,0.0,0
2019-04-24,140.51,141.51,140.32,140.39,1126600,0.0,0
2019-04-25,139.89,143.09,139.89,141.42,1197100,0.0,0
2019-04-26,141.76,143.1,140.76,142.95,812700,0.0,0
2019-04-29,143.62,145.09,142.77,144.01,612000,0.0,0
2019-04-30,144.39,144.51,141.33,143.09,1423600,0.0,0
2019-05-01,143.2,144.52,142.47,142.92,1139700,0.0,0
2019-05-02,142.48,144.43,141.56,143.67,942600,0.0,0
2019-05-03,144.21,146.46,144.21,145.09,701700,0.97,0
2019-05-06,142.77,145.14,141.65,144.53,574200,0.0,0
2019-05-07,143.02,143.03,140.19,141.58,801900,0.0,0
2019-05-08,140.92,142.18,139.88,140.36,782100,0.0,0
2019-05-09,138.13,140.32,137.63,140.17,761500,0.0,0
2019-05-10,139.28,142.32,137.87,141.86,855300,0.0,0
2019-05-13,141.31,141.62,136.64,136.78,1366300,0.0,0
2019-05-14,137.39,141.45,137.29,139.86,916800,0.0,0
2019-05-15,138.91,140.19,137.4,139.6,781200,0.0,0
2019-05-16,140.09,143.33,140.06,142.27,636500,0.0,0
2019-05-17,140.68,142.64,139.93,141.11,691000,0.0,0
2019-05-20,140.23,143.44,139.65,143.16,1024500,0.0,0
2019-05-21,144.05,146.11,144.05,145.63,1079300,0.0,0
2019-05-22,145.1,146.64,143.61,143.63,1034200,0.0,0
2019-05-23,142.19,142.46,140.81,141.67,780900,0.0,0
2019-05-24,142.71,143.96,142.27,143.66,480100,0.0,0
2019-05-28,143.32,144.21,141.56,141.56,943900,0.0,0
2019-05-29,140.42,141.41,138.66,141.34,850200,0.0,0
2019-05-30,141.83,142.82,140.52,140.68,536900,0.0,0
2019-05-31,138.31,138.88,135.08,135.65,1035400,0.0,0
2019-06-03,135.39,138.6,134.68,138.16,945100,0.0,0
2019-06-04,139.93,144.5,139.93,144.18,989500,0.0,0
2019-06-05,144.16,144.75,141.76,144.75,1003800,0.0,0
2019-06-06,144.96,147.22,144.51,146.96,729500,0.0,0
2019-06-07,147.06,148.18,146.63,147.08,629900,0.0,0
2019-06-10,149.05,149.48,147.93,148.43,948700,0.0,0
2019-06-11,149.55,150.15,148.25,149.09,748100,0.0,0
2019-06-12,148.63,148.75,146.21,147.59,669400,0.0,0
2019-06-13,147.29,149.12,147.03,148.71,414800,0.0,0
2019-06-14,149.2,151.04,147.72,150.67,681500,0.0,0
2019-06-17,150.13,150.51,144.78,145.03,1402300,0.0,0
2019-06-18,145.44,149.75,144.74,147.24,1027700,0.0,0
2019-06-19,147.59,148.18,145.08,145.33,800700,0.0,0
2019-06-20,146.79,147.17,143.1,146.51,1083700,0.0,0
2019-06-21,146.66,147.22,143.92,144.03,1360500,0.0,0
2019-06-24,143.97,146.3,143.34,144.97,742000,0.0,0
2019-06-25,144.85,144.96,140.57,141.02,1096100,0.0,0
2019-06-26,141.67,144.1,140.62,143.4,1221700,0.0,0
2019-06-27,142.62,143.13,141.16,141.34,1209000,0.0,0
2019-06-28,143.1,144.19,142.0,142.45,1383500,0.0,0
2019-07-01,144.81,145.72,141.6,143.03,1591000,0.0,0
2019-07-02,142.8,143.97,142.31,143.3,947100,0.0,0
2019-07-03,144.41,145.49,143.7,145.06,633700,0.0,0
2019-07-05,145.55,147.33,144.78,147.32,724200,0.0,0
2019-07-08,146.08,147.21,145.33,146.16,841200,0.0,0
2019-07-09,144.85,147.69,144.57,147.4,748300,0.0,0
2019-07-10,147.68,148.82,145.23,145.55,523800,0.0,0
2019-07-11,146.36,147.8,144.83,147.62,573500,0.0,0
2019-07-12,147.66,148.51,146.99,148.32,403400,0.0,0
2019-07-15,149.11,149.11,146.88,147.49,512500,0.0,0
2019-07-16,147.87,148.81,147.17,148.08,635700,0.0,0
2019-07-17,147.58,147.95,145.31,145.7,653300,0.0,0
2019-07-18,145.06,147.83,144.63,147.28,698000,0.0,0
2019-07-19,147.95,148.41,145.86,145.89,711300,0.0,0
2019-07-22,146.03,146.25,143.53,145.07,738400,0.0,0
2019-07-23,145.94,146.83,145.66,146.31,594800,0.0,0
2019-07-24,145.4,149.1,145.4,148.65,809700,0.0,0
2019-07-25,148.41,148.69,142.19,144.23,1549200,0.0,0
2019-07-26,144.93,147.53,143.49,147.13,1020300,0.0,0
2019-07-29,146.99,148.46,146.2,146.95,803000,0.0,0
2019-07-30,145.5,145.93,144.14,145.76,533500,0.0,0
2019-07-31,145.61,145.99,141.38,142.8,795800,0.0,0
2019-08-01,142.17,142.89,137.18,137.94,1042200,0.0,0
2019-08-02,137.74,137.88,133.53,133.7,1948100,0.97,0
2019-08-05,131.34,131.98,127.9,128.91,1728300,0.0,0
2019-08-06,130.99,132.07,128.68,131.69,1313300,0.0,0
2019-08-07,129.17,129.72,126.1,129.5,1395500,0.0,0
2019-08-08,130.24,133.4,130.12,133.34,1074500,0.0,0
2019-08-09,132.44,133.39,130.14,130.26,983200,0.0,0
2019-08-12,127.77,127.92,123.7,124.0,1636900,0.0,0
