Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,187.41,190.93,187.06,190.89,1761300,0.0,0
2019-03-22,190.43,192.93,189.42,189.85,2050300,0.0,0
2019-03-25,190.29,192.46,189.73,191.85,2157600,0.0,0
2019-03-26,192.79,192.81,190.16,191.22,1948100,0.0,0
2019-03-27,191.22,192.2,188.84,190.28,2250600,0.0,0
2019-03-28,190.2,191.17,189.41,191.11,2455300,0.0,0
2019-03-29,191.63,193.46,190.84,193.2,3017700,0.0,0
2019-04-01,193.67,194.3,188.39,188.73,4105700,0.0,0
2019-04-02,189.21,191.96,188.34,191.29,2762400,0.0,0
2019-04-03,191.23,192.08,188.71,190.48,2230300,0.0,0
2019-04-04,191.12,191.23,188.87,189.26,1684000,0.0,0
2019-04-05,189.47,192.14,188.54,191.92,1656500,0.0,0
2019-04-08,191.24,192.62,190.38,192.37,2166500,0.0,0
2019-04-09,192.29,193.26,192.11,192.86,1708200,0.0,0
2019-04-10,193.49,194.29,193.04,193.65,1304500,0.9,0
2019-04-11,194.14,194.21,192.49,193.68,1027100,0.0,0
2019-04-12,193.67,195.07,191.86,194.97,1412300,0.0,0
2019-04-15,193.73,194.84,191.58,193.13,1765500,0.0,0
2019-04-16,193.21,193.21,188.16,189.3,2108300,0.0,0
2019-04-17,191.16,191.16,186.56,188.28,2105100,0.0,0
2019-04-18,188.05,190.68,187.18,190.0,1325400,0.0,0
2019-04-22,189.65,189.99,188.06,189.41,942500,0.0,0
2019-04-23,190.67,191.45,189.6,190.48,1457700,0.0,0
2019-04-24,191.06,191.56,189.57,190.31,1324500,0.0,0
2019-04-25,189.52,190.39,187.93,189.39,993100,0.0,0
2019-04-26,189.55,190.43,188.75,190.29,870000,0.0,0
2019-04-29,189.99,190.99,189.06,189.53,901400,0.0,0
2019-04-30,189.9,192.56,188.23,192.35,1476200,0.0,0
2019-05-01,192.0,192.1,189.24,190.0,1384700,0.0,0
2019-05-02,190.36,190.8,189.24,189.89,1412700,0.0,0
2019-05-03,190.42,191.59,189.37,190.04,1059100,0.0,0
2019-05-06,189.52,190.62,187.59,189.28,1548700,0.0,0
2019-05-07,189.07,189.4,185.68,186.98,1510000,0.0,0
2019-05-08,187.3,190.59,187.3,188.74,1339000,0.0,0
2019-05-09,188.81,190.01,187.22,189.61,1240400,0.0,0
2019-05-10,189.6,193.27,189.42,192.7,1283100,0.0,0
2019-05-13,191.58,194.42,191.15,193.91,1790600,0.0,0
2019-05-14,194.22,197.35,193.73,195.08,1788000,0.0,0
2019-05-15,195.21,198.16,194.04,197.44,1285400,0.0,0
2019-05-16,198.76,200.31,197.18,198.97,1507400,0.0,0
2019-05-17,197.86,199.68,197.5,199.37,1421400,0.0,0
2019-05-20,196.77,197.92,194.41,195.26,2764800,0.0,0
2019-05-21,196.47,197.0,195.0,195.18,1338100,0.0,0
2019-05-22,195.56,198.2,195.23,197.64,998000,0.0,0
2019-05-23,197.15,200.77,197.15,199.85,1436800,0.0,0
2019-05-24,201.06,202.21,199.86,199.93,1412600,0.0,0
2019-05-28,201.07,201.66,199.42,199.49,1936300,0.0,0
2019-05-29,199.58,200.36,197.21,198.09,1448500,0.0,0
2019-05-30,198.3,201.92,197.5,201.6,1568600,0.0,0
2019-05-31,201.6,207.07,201.13,205.62,2706200,0.0,0
2019-06-03,205.7,206.62,203.38,206.13,1730800,0.0,0
2019-06-04,206.08,206.37,203.29,204.87,2351500,0.0,0
2019-06-05,206.44,209.74,205.56,209.56,2193300,0.0,0
2019-06-06,209.64,210.48,208.3,209.49,1237800,0.0,0
2019-06-07,210.32,211.28,208.83,209.25,1132200,0.0,0
2019-06-10,209.78,210.31,205.87,206.68,1976600,0.0,0
2019-06-11,206.67,207.29,204.34,205.81,1715600,0.0,0
2019-06-12,206.36,209.15,206.35,208.3,2974400,0.0,0
2019-06-13,208.9,209.44,205.38,205.85,2586500,0.0,0
2019-06-14,205.84,208.75,205.04,208.04,1568100,0.0,0
2019-06-17,208.52,211.45,208.11,210.86,1780900,0.0,0
