Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,164.14,167.08,163.85,166.69,784800,0.0,0
2019-03-22,164.62,166.18,164.42,164.82,822700,0.0,0
2019-03-25,165.07,165.45,163.74,165.14,814800,0.0,0
2019-03-26,165.4,166.34,164.53,166.25,777200,0.0,0
2019-03-27,166.35,167.17,165.4,166.47,982200,0.0,0
2019-03-28,166.91,167.8,166.41,167.65,676600,0.0,0
2019-03-29,168.47,169.3,168.01,169.17,1170800,0.0,0
2019-04-01,170.18,172.02,169.75,171.88,1035000,0.0,0
2019-04-02,172.54,173.69,171.34,171.59,836700,0.0,0
2019-04-03,172.21,172.42,170.29,171.19,1072300,0.0,0
2019-04-04,171.51,172.04,170.06,170.99,537600,0.0,0
2019-04-05,170.95,171.96,170.4,171.04,672700,0.0,0
2019-04-08,170.65,171.32,170.08,171.24,430500,0.0,0
2019-04-09,170.32,170.79,169.85,170.46,731000,0.0,0
2019-04-10,170.66,171.48,170.41,171.29,390100,0.0,0
2019-04-11,171.27,172.65,170.35,172.33,939300,0.0,0
2019-04-12,173.64,174.72,173.08,174.54,724200,0.0,0
2019-04-15,174.45,175.16,174.09,174.38,554000,0.0,0
2019-04-16,174.29,175.37,174.27,175.34,718200,0.0,0
2019-04-17,176.41,177.26,172.28,173.8,955900,0.0,0
2019-04-18,173.02,174.28,171.76,173.6,838300,0.0,0
2019-04-22,173.09,174.36,172.93,173.32,600500,0.0,0
2019-04-23,173.36,176.87,173.17,176.78,900000,0.0,0
2019-04-24,176.79,178.48,176.36,176.69,1087500,0.0,0
2019-04-25,175.75,178.44,175.32,178.0,883600,0.0,0
2019-04-26,178.78,180.97,175.5,178.55,899600,0.0,0
2019-04-29,178.18,179.08,176.38,176.97,787300,0.0,0
2019-04-30,176.58,179.17,175.2,178.96,1005800,0.44,0
2019-05-01,178.67,178.68,174.37,174.57,853600,0.0,0
2019-05-02,174.42,175.76,173.12,175.33,687100,0.0,0
2019-05-03,175.92,178.2,175.86,177.58,866700,0.0,0
2019-05-06,175.54,179.03,175.54,178.51,831600,0.0,0
2019-05-07,177.57,177.92,174.93,175.64,807000,0.0,0
2019-05-08,175.61,177.63,175.1,176.26,659200,0.0,0
2019-05-09,175.19,176.1,173.71,175.36,639900,0.0,0
2019-05-10,175.2,178.5,174.01,177.93,755700,0.0,0
2019-05-13,175.4,175.99,174.19,175.08,754700,0.0,0
2019-05-14,175.48,178.53,175.45,176.89,772500,0.0,0
2019-05-15,175.8,179.48,175.43,177.71,752300,0.0,0
2019-05-16,178.11,181.18,177.96,180.51,994500,0.0,0
2019-05-17,178.68,180.47,178.35,179.36,1095400,0.0,0
2019-05-20,179.03,179.34,176.94,177.36,762200,0.0,0
2019-05-21,177.98,179.61,177.98,179.17,881100,0.0,0
2019-05-22,178.37,179.94,177.31,179.78,1022500,0.0,0
2019-05-23,179.04,179.07,176.24,177.09,1096600,0.0,0
2019-05-24,177.4,177.44,175.6,176.63,864700,0.0,0
2019-05-28,176.84,179.02,176.35,178.14,2300800,0.0,0
2019-05-29,177.72,178.54,175.85,177.95,878100,0.0,0
2019-05-30,178.67,180.95,178.42,180.57,1083200,0.0,0
2019-05-31,179.75,180.95,178.48,178.89,933400,0.0,0
2019-06-03,179.32,181.04,178.76,180.91,867900,0.0,0
2019-06-04,181.81,182.05,179.57,181.62,1024700,0.0,0
2019-06-05,182.26,186.26,181.77,186.24,1093600,0.0,0
2019-06-06,186.69,187.07,185.44,186.51,792300,0.0,0
2019-06-07,186.03,190.35,186.01,189.0,1037000,0.0,0
2019-06-10,190.46,191.53,189.27,189.62,1010600,0.0,0
2019-06-11,190.22,190.72,187.46,188.21,878700,0.0,0
2019-06-12,188.75,190.33,187.68,187.99,781400,0.0,0
2019-06-13,188.09,189.02,187.29,188.44,788000,0.0,0
2019-06-14,187.9,190.46,187.46,189.51,678000,0.0,0
2019-06-17,189.99,190.23,187.29,187.58,632300,0.0,0
2019-06-18,188.33,189.62,187.54,188.89,657700,0.0,0
2019-06-19,188.43,191.0,188.43,190.75,759100,0.0,0
2019-06-20,191.55,192.73,190.72,192.26,930300,0.0,0
2019-06-21,192.29,192.73,190.64,190.77,1535800,0.0,0
2019-06-24,191.17,192.88,191.12,192.26,871000,0.0,0
2019-06-25,192.14,193.24,191.83,191.99,737700,0.0,0
2019-06-26,191.95,192.99,188.29,188.65,861600,0.0,0
2019-06-27,188.96,191.5,188.19,191.31,490700,0.0,0
2019-06-28,191.94,192.43,190.69,191.72,905700,0.0,0
2019-07-01,193.1,193.88,191.7,193.87,739600,0.0,0
2019-07-02,194.16,195.22,193.16,194.65,588900,0.0,0
2019-07-03,194.9,197.31,194.81,197.18,481800,0.0,0
2019-07-05,196.76,196.76,194.46,196.29,444300,0.0,0
2019-07-08,195.99,196.38,195.16,195.19,635600,0.0,0
2019-07-09,194.48,195.32,193.65,195.27,629200,0.0,0
2019-07-10,195.74,196.66,194.85,196.53,630600,0.0,0
2019-07-11,196.66,196.66,194.82,195.36,584800,0.0,0
2019-07-12,196.2,196.31,194.97,196.18,450800,0.0,0
2019-07-15,196.61,196.7,195.83,196.24,739400,0.0,0
2019-07-16,196.61,196.67,195.41,195.79,454300,0.0,0
2019-07-17,195.66,196.01,193.46,193.49,584200,0.0,0
2019-07-18,193.96,196.15,192.83,195.75,660900,0.0,0
2019-07-19,196.11,196.11,193.4,193.64,593300,0.0,0
2019-07-22,193.83,194.43,192.6,192.88,493700,0.0,0
2019-07-23,192.92,193.74,192.11,193.43,629500,0.0,0
2019-07-24,192.96,194.64,192.1,194.61,683700,0.0,0
2019-07-25,195.7,196.1,194.42,195.57,827400,0.0,0
2019-07-26,195.43,196.71,191.71,193.29,1851100,0.0,0
2019-07-29,193.29,195.75,192.81,194.51,840200,0.0,0
2019-07-30,193.87,193.87,191.17,191.91,877400,0.0,0
2019-07-31,192.09,193.3,187.07,188.44,811800,0.44,0
2019-08-01,188.14,192.54,187.59,189.16,721400,0.0,0
2019-08-02,189.1,191.47,187.97,190.23,810800,0.0,0
2019-08-05,188.11,188.49,181.12,182.47,1325000,0.0,0
2019-08-06,182.73,186.71,182.5,186.59,840400,0.0,0
2019-08-07,185.36,186.36,182.55,185.58,872000,0.0,0
2019-08-08,186.39,189.54,186.26,188.89,925400,0.0,0
2019-08-09,189.12,190.3,186.5,188.62,693400,0.0,0
2019-08-12,187.23,188.26,184.8,185.42,480200,0.0,0
2019-08-13,185.39,190.48,184.41,190.17,886700,0.0,0
2019-08-14,187.67,189.85,186.07,186.36,1338800,0.0,0
2019-08-15,186.14,189.12,185.5,188.37,861400,0.0,0
2019-08-16,189.47,191.47,188.06,190.69,835800,0.0,0
2019-08-19,191.68,194.64,191.68,193.47,696600,0.0,0
2019-08-20,192.97,193.75,190.3,190.52,683000,0.0,0
2019-08-21,191.91,193.09,191.17,192.35,651900,0.0,0
2019-08-22,192.67,193.9,190.91,193.29,493500,0.0,0
2019-08-23,192.58,193.8,187.38,188.31,783300,0.0,0
2019-08-26,189.62,190.77,188.08,190.7,428000,0.0,0
2019-08-27,191.32,192.28,189.26,190.33,675600,0.0,0
2019-08-28,189.68,189.95,188.27,189.74,492400,0.0,0
2019-08-29,191.18,192.97,190.3,191.37,526600,0.0,0
2019-08-30,192.78,194.67,192.66,194.02,694000,0.0,0
2019-09-03,192.47,193.28,190.61,191.79,720900,0.0,0
2019-09-04,192.57,194.64,192.29,194.57,679000,0.0,0
2019-09-05,196.45,197.25,194.22,194.77,628600,0.0,0
2019-09-06,195.17,196.0,194.33,194.45,529900,0.0,0
2019-09-09,195.56,195.56,191.64,192.61,661300,0.0,0
2019-09-10,192.36,192.36,184.51,186.49,1718000,0.0,0
