Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,50.91,52.32,50.91,51.84,1096800,0.0,0
2019-03-22,51.68,51.74,50.47,50.75,1007100,0.0,0
2019-03-25,50.84,51.44,50.61,50.69,988300,0.0,0
2019-03-26,50.89,51.15,50.49,50.56,1159600,0.0,0
2019-03-27,50.65,51.1,50.58,50.98,1114200,0.0,0
2019-03-28,51.25,51.75,51.11,51.52,948600,0.0,0
2019-03-29,51.88,52.55,51.75,52.3,1612000,0.0,0
2019-04-01,52.82,53.55,52.66,52.96,1299800,0.0,0
2019-04-02,53.05,53.19,52.74,53.02,1030800,0.0,0
2019-04-03,53.4,53.85,53.07,53.46,1065500,0.0,0
2019-04-04,53.42,54.1,53.42,53.77,879400,0.0,0
2019-04-05,53.96,54.15,53.8,54.12,806500,0.0,0
2019-04-08,53.75,54.43,53.5,54.16,1277400,0.0,0
2019-04-09,53.78,53.91,52.77,52.81,1021100,0.0,0
2019-04-10,52.96,53.16,52.52,53.15,1085500,0.0,0
2019-04-11,53.22,53.89,53.13,53.84,725700,0.0,0
2019-04-12,54.17,54.53,53.99,54.45,740400,0.0,0
2019-04-15,54.48,54.69,54.23,54.53,503500,0.0,0
2019-04-16,54.76,54.96,54.59,54.87,623900,0.0,0
2019-04-17,55.12,55.29,54.6,54.93,767700,0.0,0
2019-04-18,55.01,55.58,54.86,55.41,822200,0.0,0
2019-04-22,55.13,55.42,54.9,55.02,760100,0.0,0
2019-04-23,55.12,55.36,54.75,55.2,630100,0.0,0
2019-04-24,55.2,55.41,54.82,55.16,985400,0.0,0
2019-04-25,54.93,54.97,54.21,54.28,1054600,0.0,0
2019-04-26,54.41,54.84,54.27,54.84,692600,0.0,0
2019-04-29,55.03,55.26,54.67,54.96,1060600,0.22,0
2019-04-30,52.76,53.14,51.46,51.77,4882200,0.0,0
2019-05-01,51.63,52.5,51.26,51.7,1846500,0.0,0
2019-05-02,51.81,52.21,51.24,51.72,1127100,0.0,0
2019-05-03,52.01,52.9,51.97,52.82,775600,0.0,0
2019-05-06,52.0,52.01,51.08,51.09,1569800,0.0,0
2019-05-07,50.63,50.76,49.97,50.61,1176000,0.0,0
2019-05-08,50.6,50.66,49.5,49.53,1399300,0.0,0
2019-05-09,49.11,49.77,48.46,49.7,1391400,0.0,0
2019-05-10,49.43,49.66,48.55,49.45,1090500,0.0,0
2019-05-13,48.58,48.81,47.23,47.37,1712100,0.0,0
2019-05-14,47.51,48.12,47.34,47.56,1798500,0.0,0
2019-05-15,47.25,47.61,46.92,47.41,1773000,0.0,0
2019-05-16,47.46,47.46,42.09,44.43,13528800,0.0,0
2019-05-17,43.82,44.16,41.91,43.18,8016300,0.0,0
2019-05-20,42.94,43.05,42.16,42.6,3084100,0.0,0
2019-05-21,43.17,43.92,43.1,43.92,3063100,0.0,0
2019-05-22,43.72,44.03,43.16,43.31,2069300,0.0,0
2019-05-23,42.71,43.4,42.41,43.02,2158300,0.0,0
2019-05-24,43.33,43.57,43.14,43.36,1156300,0.0,0
2019-05-28,43.45,43.63,42.39,42.39,1864700,0.0,0
2019-05-29,42.05,42.05,40.46,40.56,5460000,0.0,0
2019-05-30,40.61,41.16,40.4,40.56,2441600,0.0,0
2019-05-31,40.08,40.48,39.76,39.88,2394300,0.0,0
2019-06-03,40.27,41.01,40.06,40.7,1773400,0.0,0
2019-06-04,41.36,42.55,41.12,42.5,2468800,0.0,0
2019-06-05,42.78,42.96,41.66,42.71,2052100,0.0,0
2019-06-06,42.4,42.77,41.44,42.58,1953000,0.0,0
2019-06-07,42.65,43.35,42.36,43.16,1735100,0.0,0
2019-06-10,43.33,44.07,43.33,43.7,1818400,0.0,0
2019-06-11,44.19,44.25,43.61,43.91,2520000,0.0,0
2019-06-12,43.78,44.55,43.62,44.24,2170500,0.0,0
2019-06-13,44.47,44.96,44.3,44.61,1963700,0.0,0
2019-06-14,44.45,45.03,44.3,44.84,1582700,0.0,0
2019-06-17,44.86,45.1,44.64,44.72,1691600,0.0,0
2019-06-18,44.97,45.62,44.49,44.56,2038800,0.0,0
2019-06-19,44.66,44.72,44.04,44.64,1210300,0.0,0
2019-06-20,45.2,45.23,44.37,45.12,1525600,0.0,0
2019-06-21,45.14,45.49,44.8,45.27,2274100,0.0,0
2019-06-24,45.37,45.81,45.13,45.17,1526700,0.0,0
2019-06-25,45.14,45.54,45.02,45.39,1023400,0.0,0
2019-06-26,45.48,45.69,45.15,45.48,1311500,0.0,0
2019-06-27,45.62,45.97,45.25,45.38,1309700,0.0,0
2019-06-28,45.57,46.59,45.39,46.44,3325500,0.0,0
2019-07-01,47.27,47.28,45.97,46.22,1596500,0.0,0
2019-07-02,46.06,46.4,45.64,46.27,1525900,0.0,0
2019-07-03,46.39,46.39,45.83,46.08,816700,0.0,0
2019-07-05,45.79,46.35,45.4,46.29,825200,0.0,0
2019-07-08,45.92,45.99,44.36,44.52,1971500,0.0,0
2019-07-09,44.52,44.81,43.97,44.37,2025600,0.0,0
2019-07-10,44.5,44.56,43.47,44.09,1830700,0.0,0
2019-07-11,44.22,44.36,43.47,43.64,1590400,0.0,0
2019-07-12,43.71,44.81,43.45,44.5,1379400,0.0,0
2019-07-15,44.54,44.59,43.1,43.92,1646900,0.0,0
2019-07-16,44.0,44.59,43.62,44.51,1584500,0.0,0
2019-07-17,44.52,44.54,43.76,43.77,1851500,0.0,0
2019-07-18,43.77,43.9,43.22,43.32,1427500,0.0,0
2019-07-19,43.65,43.79,42.91,42.92,1550600,0.0,0
2019-07-22,42.93,43.42,42.61,42.75,1246800,0.0,0
2019-07-23,43.07,44.08,43.0,43.99,1966800,0.0,0
2019-07-24,43.92,44.54,43.83,44.45,1529100,0.0,0
2019-07-25,44.47,45.04,44.27,44.39,1488900,0.0,0
2019-07-26,44.43,44.43,43.68,44.2,2323600,0.0,0
2019-07-29,44.07,44.39,43.01,43.15,3026800,0.0,0
2019-07-30,41.43,44.88,40.59,44.83,6616300,0.22,0
2019-07-31,44.93,45.96,44.0,44.98,5941500,0.0,0
2019-08-01,44.98,45.31,42.93,43.24,2526800,0.0,0
2019-08-02,43.05,43.69,42.73,43.29,1433400,0.0,0
2019-08-05,42.47,43.22,42.1,43.2,4015200,0.0,0
2019-08-06,43.35,44.46,43.16,44.44,2390300,0.0,0
2019-08-07,43.99,45.1,43.66,44.94,3431400,0.0,0
2019-08-08,45.0,45.6,44.35,45.44,2669800,0.0,0
2019-08-09,45.39,45.49,44.83,45.06,1230500,0.0,0
2019-08-12,44.91,45.16,44.68,45.03,1790000,0.0,0
2019-08-13,45.05,46.35,44.9,45.1,1602700,0.0,0
2019-08-14,44.5,44.64,44.08,44.39,2931100,0.0,0
