Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,33.8657,34.8782,33.7307,34.7915,3700600,0.0,0
2019-03-22,34.454,34.5793,33.2968,33.5765,4100900,0.0,0
2019-03-25,33.5282,33.8465,33.0172,33.6729,3352600,0.0,0
2019-03-26,34.2707,34.7915,34.049,34.3865,2763500,0.0,0
2019-03-27,34.2322,34.5311,33.615,33.7693,2613200,0.0,0
2019-03-28,33.4993,33.9043,33.3932,33.8368,3066200,0.0,0
2019-03-29,34.2707,34.3961,33.345,33.4222,3890900,0.0,0
2019-04-01,33.779,33.9236,33.3547,33.7211,3325500,0.0,0
2019-04-02,33.75,33.8754,33.0461,33.0557,2819500,0.0,0
2019-04-03,33.1907,33.4125,31.8407,31.8793,5193600,0.0,0
2019-04-04,31.8793,32.294,30.8379,32.1782,5901800,0.0,0
2019-04-05,32.4772,34.3575,32.4,34.2997,5549200,0.0,0
2019-04-08,34.4154,34.7625,34.155,34.29,3383400,0.0,0
2019-04-09,34.0779,34.2418,33.5379,33.6343,2700400,0.0,0
2019-04-10,33.7211,34.5215,33.4993,34.4443,3149000,0.0,0
2019-04-11,34.1357,34.6854,33.7404,34.3672,3060500,0.0,0
2019-04-12,36.0354,36.7586,34.8879,35.1965,6469000,0.0,0
2019-04-15,35.1,35.4568,34.6565,34.6661,3387800,0.0,0
2019-04-16,34.8879,35.4182,34.4347,35.2543,4585000,0.0,0
2019-04-17,35.5918,35.7654,35.3218,35.5243,3302300,0.0,0
2019-04-18,35.6311,35.7088,34.534,34.8253,3965400,0.25,0
2019-04-22,35.3884,36.1166,35.0486,36.0098,3905100,0.0,0
2019-04-23,36.0971,36.3107,35.0486,35.369,4767500,0.0,0
2019-04-24,35.602,35.8156,34.4272,34.4466,2994800,0.0,0
2019-04-25,34.3204,34.4369,32.903,33.068,4333500,0.0,0
2019-04-26,32.7282,32.9127,31.7379,32.0971,4654600,0.0,0
2019-04-29,31.9709,32.7864,31.8544,32.2525,2711300,0.0,0
2019-04-30,32.7282,32.7379,31.6505,31.9515,3237800,0.0,0
2019-05-01,32.0389,32.1165,30.7864,30.7864,5228500,0.0,0
2019-05-02,29.903,30.534,28.8738,28.9127,7311500,0.0,0
2019-05-03,29.1068,30.3107,29.1068,29.6991,4709500,0.0,0
2019-05-06,29.233,30.0195,29.0097,29.8835,4255000,0.0,0
2019-05-07,29.4661,29.6311,28.9515,29.6214,3984100,0.0,0
2019-05-08,29.4369,30.4758,29.2719,29.7185,12127000,0.0,0
2019-05-09,29.4078,30.1942,29.1651,30.1554,3795600,0.0,0
2019-05-10,30.0971,30.4758,29.3593,30.3107,4259300,0.0,0
2019-05-13,29.9127,30.2428,28.9903,29.2622,2916700,0.0,0
2019-05-14,29.2816,30.3884,29.2816,30.1068,2964000,0.0,0
2019-05-15,29.7767,30.4175,29.5631,30.2622,2934800,0.0,0
2019-05-16,30.5146,30.7282,30.136,30.3204,3023700,0.0,0
2019-05-17,29.9709,30.1263,29.5049,29.5243,2706100,0.0,0
2019-05-20,29.5729,29.6602,28.8544,29.0583,3508200,0.0,0
2019-05-21,29.0874,29.9806,29.0195,29.9321,3024000,0.0,0
2019-05-22,29.6991,29.6991,28.4855,28.6311,3697500,0.0,0
2019-05-23,27.9029,27.9224,26.6894,26.8544,5127900,0.0,0
2019-05-24,27.1748,27.6117,26.3981,26.534,4125700,0.0,0
2019-05-28,26.6796,26.7864,26.1262,26.1262,4909700,0.0,0
2019-05-29,25.6894,25.9127,25.0,25.8835,6622500,0.0,0
2019-05-30,25.7573,25.9321,25.1068,25.4175,3831300,0.0,0
2019-05-31,24.9321,25.6408,24.7962,25.3107,4687500,0.0,0
2019-06-03,25.835,26.4078,25.6311,26.1068,5466500,0.0,0
2019-06-04,26.5049,27.6311,26.3495,27.5146,6135900,0.0,0
2019-06-05,27.5146,27.7573,26.6796,27.2233,5178100,0.0,0
2019-06-06,27.2428,28.0389,27.2428,28.0,4630800,0.0,0
2019-06-07,28.0874,28.5923,27.6214,28.1068,4068600,0.0,0
2019-06-10,28.0486,28.3496,27.8544,28.0389,3624500,0.0,0
2019-06-11,28.3107,28.4563,27.8544,28.0097,3965300,0.0,0
2019-06-12,27.6117,27.7088,27.0097,27.1942,10080100,0.0,0
2019-06-13,27.7962,27.9127,27.0292,27.534,3409700,0.0,0
2019-06-14,27.5826,27.6991,26.5534,26.6894,3115100,0.0,0
2019-06-17,26.5146,27.1165,26.2913,27.0292,2166100,0.0,0
2019-06-18,27.233,28.1262,27.233,27.8059,4158800,0.0,0
2019-06-19,27.8738,28.136,27.4175,27.7864,2542100,0.0,0
2019-06-20,28.3593,28.835,28.2622,28.6505,3466400,0.0,0
2019-06-21,28.7573,29.1068,28.369,28.7767,5130900,0.0,0
2019-06-24,28.7573,29.0292,28.1457,28.2233,2658100,0.0,0
2019-06-25,28.0874,28.3301,27.369,27.3981,3739100,0.0,0
2019-06-26,28.1165,28.7185,27.6117,28.1845,3576000,0.0,0
2019-06-27,28.233,28.4661,27.7185,27.8059,2559200,0.0,0
2019-06-28,27.8156,28.2816,27.7864,28.1262,3426400,0.0,0
2019-07-01,28.8156,29.0292,27.9903,28.3496,3664000,0.0,0
2019-07-02,28.2816,28.2816,26.5437,26.602,4430400,0.0,0
2019-07-03,26.6505,26.6602,26.2233,26.4855,3235500,0.0,0
2019-07-05,26.3204,26.6602,25.6505,26.3884,8024100,0.0,0
2019-07-08,26.1554,26.2525,25.6408,25.7282,6944300,0.0,0
2019-07-09,25.6311,26.2136,25.1748,26.1651,5497900,0.0,0
2019-07-10,26.3884,27.1651,26.1554,26.6699,6288600,0.0,0
2019-07-11,26.6408,26.6894,25.8932,25.9612,4659400,0.0,0
2019-07-12,26.0097,26.3884,25.7088,26.1262,3776400,0.0,0
2019-07-15,26.2622,26.2913,25.534,25.5826,3141600,0.0,0
2019-07-16,25.4661,25.4661,24.4272,24.5049,8309900,0.0,0
2019-07-17,24.5049,24.6311,23.7573,23.767,4842900,0.0,0
2019-07-18,23.6408,23.7864,22.6117,22.8641,9291500,0.0,0
2019-07-19,22.9132,23.6491,22.7267,23.5805,8065500,0.25,0
2019-07-22,23.5412,23.7963,23.1094,23.4136,3533900,0.0,0
2019-07-23,23.3744,23.9239,23.3057,23.8552,3310800,0.0,0
2019-07-24,23.816,24.758,23.7571,24.3262,4433100,0.0,0
2019-07-25,24.5421,24.5519,23.5706,23.7276,3618800,0.0,0
2019-07-26,23.6884,23.9239,23.1094,23.4823,4457000,0.0,0
2019-07-29,23.5118,23.5216,22.5697,22.8935,5418200,0.0,0
2019-07-30,22.7758,23.9141,22.6482,23.6491,5125800,0.0,0
2019-07-31,23.6001,24.4734,23.3744,23.9632,6042300,0.0,0
2019-08-01,22.6384,24.0613,22.1772,23.6688,8212100,0.0,0
2019-08-02,23.7767,24.13,23.0407,23.7375,4508700,0.0,0
2019-08-05,23.0898,23.2174,22.6482,22.815,5613300,0.0,0
2019-08-06,22.8837,23.1683,22.0987,22.4912,4861000,0.0,0
2019-08-07,21.9123,22.0202,21.0389,21.5786,6174800,0.0,0
2019-08-08,22.0202,22.1281,21.402,22.03,5480300,0.0,0
2019-08-09,22.0987,22.187,21.5394,21.559,3270800,0.0,0
2019-08-12,21.3922,21.5884,20.7445,21.1468,8989900,0.0,0
2019-08-13,20.9506,22.1085,20.7445,21.5099,15545900,0.0,0
2019-08-14,20.7543,20.823,19.7043,19.7043,6008300,0.0,0
2019-08-15,19.6258,19.7829,19.0763,19.5572,5149100,0.0,0
2019-08-16,19.5473,20.6268,19.3903,20.4501,5316900,0.0,0
2019-08-19,20.8525,21.5688,20.7249,21.4903,5531700,0.0,0
2019-08-20,21.3627,21.5099,21.0782,21.3431,2915100,0.0,0
2019-08-21,21.6375,21.8141,21.1861,21.3235,5031300,0.0,0
2019-08-22,21.3529,21.4707,20.9996,21.0585,4558300,0.0,0
2019-08-23,20.5384,21.1174,20.2048,20.3029,7435100,0.0,0
2019-08-26,20.5973,20.8328,20.3913,20.6071,4647400,0.0,0
2019-08-27,20.7838,20.931,20.2048,20.5679,5230000,0.0,0
2019-08-28,20.7249,21.5492,20.5286,21.2253,3999400,0.0,0
2019-08-29,21.4314,21.8338,21.402,21.6277,4466900,0.0,0
2019-08-30,21.6669,21.8534,20.98,21.1665,3152300,0.0,0
2019-09-03,20.6758,21.0978,19.8908,21.0095,4961000,0.0,0
2019-09-04,21.4707,21.7945,21.2057,21.6277,4052600,0.0,0
2019-09-05,21.8534,22.7169,21.8338,22.2459,4962100,0.0,0
