Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,180.29,183.49,180.29,183.2,691800,0.0,0
2019-03-22,182.07,183.59,182.02,182.33,1573500,0.0,0
2019-03-25,182.38,183.02,181.77,181.96,1178500,0.0,0
2019-03-26,183.05,183.23,182.03,183.17,948600,0.0,0
2019-03-27,183.41,184.16,182.26,183.65,1168400,0.0,0
2019-03-28,184.7,186.16,183.81,186.12,1066400,0.0,0
2019-03-29,186.19,188.24,186.05,188.04,1551100,1.16,0
2019-04-01,189.21,189.97,187.48,188.56,1134700,0.0,0
2019-04-02,188.38,188.77,186.26,187.57,1198700,0.0,0
2019-04-03,188.93,189.99,187.42,188.79,1080800,0.0,0
2019-04-04,189.25,189.92,187.51,188.84,852200,0.0,0
2019-04-05,189.31,190.64,188.69,190.24,769200,0.0,0
2019-04-08,190.59,191.33,189.25,190.08,844100,0.0,0
2019-04-09,189.0,189.97,188.17,189.34,600100,0.0,0
2019-04-10,189.93,190.24,189.21,190.09,594300,0.0,0
2019-04-11,189.55,190.98,188.55,190.59,765800,0.0,0
2019-04-12,191.47,192.37,190.78,191.19,1349200,0.0,0
2019-04-15,190.34,191.15,189.34,190.97,1209400,0.0,0
2019-04-16,191.56,194.31,190.95,194.09,1156800,0.0,0
2019-04-17,195.11,195.62,194.11,194.73,1091000,0.0,0
2019-04-18,195.04,195.3,194.09,195.07,1322900,0.0,0
2019-04-22,194.41,194.78,193.34,193.61,750900,0.0,0
2019-04-23,193.58,194.2,192.68,193.66,992100,0.0,0
2019-04-24,194.43,198.88,193.16,196.37,1741300,0.0,0
2019-04-25,196.36,196.97,193.96,196.55,1118900,0.0,0
2019-04-26,197.27,200.3,196.28,199.47,1055900,0.0,0
2019-04-29,199.9,201.05,199.33,200.46,928900,0.0,0
2019-04-30,201.23,202.92,200.58,202.64,1425600,0.0,0
2019-05-01,203.56,203.78,199.06,199.06,974500,0.0,0
2019-05-02,199.36,204.54,198.32,204.48,1404500,0.0,0
2019-05-03,204.33,206.65,203.92,206.38,1268000,0.0,0
2019-05-06,204.12,204.36,202.1,202.84,2010900,0.0,0
2019-05-07,200.95,201.3,196.41,198.09,1556700,0.0,0
2019-05-08,197.23,203.24,197.0,202.17,1500100,0.0,0
2019-05-09,199.9,201.92,197.58,201.31,1271200,0.0,0
2019-05-10,201.08,205.44,200.56,205.11,1329400,0.0,0
2019-05-13,200.68,202.8,198.62,201.42,1422400,0.0,0
2019-05-14,202.25,204.19,201.65,202.62,1218500,0.0,0
2019-05-15,200.77,203.37,200.11,201.89,920800,0.0,0
2019-05-16,203.88,206.55,203.33,206.23,974200,0.0,0
2019-05-17,205.38,206.94,204.68,206.71,1130600,0.0,0
2019-05-20,205.73,206.93,201.87,202.27,1391800,0.0,0
2019-05-21,203.59,204.67,202.29,203.82,1294900,0.0,0
2019-05-22,203.15,204.52,202.14,203.11,976900,0.0,0
2019-05-23,201.68,202.23,199.41,201.09,1065600,0.0,0
2019-05-24,203.71,203.71,200.98,201.36,776000,0.0,0
2019-05-28,202.08,202.73,199.0,199.15,2362700,0.0,0
2019-05-29,197.64,200.37,196.94,199.88,1183700,0.0,0
2019-05-30,199.96,201.22,199.72,201.12,752000,0.0,0
2019-05-31,199.37,201.72,198.69,200.48,926800,0.0,0
2019-06-03,201.06,205.77,200.4,205.77,1815700,0.0,0
2019-06-04,206.74,210.41,206.3,210.38,1874700,0.0,0
2019-06-05,211.61,213.96,209.39,213.96,1544000,0.0,0
2019-06-06,214.49,218.52,212.88,218.1,1839900,0.0,0
2019-06-07,218.55,221.03,218.38,219.65,1659000,0.0,0
2019-06-10,220.86,221.18,217.69,217.95,1109900,0.0,0
2019-06-11,219.58,219.93,214.8,215.7,1552900,0.0,0
2019-06-12,215.94,217.16,215.68,216.59,1101000,0.0,0
2019-06-13,217.18,218.02,215.56,216.81,921800,0.0,0
2019-06-14,216.91,217.03,215.56,215.9,721000,0.0,0
2019-06-17,216.05,216.13,212.28,213.55,838000,0.0,0
2019-06-18,215.04,216.41,213.77,215.57,941700,0.0,0
2019-06-19,215.44,217.26,211.4,217.02,1342500,0.0,0
2019-06-20,218.7,219.44,217.02,218.66,1397200,0.0,0
2019-06-21,219.03,220.49,217.89,218.74,1542200,0.0,0
2019-06-24,219.36,221.84,218.75,220.22,765100,0.0,0
2019-06-25,220.77,221.9,220.16,221.26,926300,0.0,0
2019-06-26,221.51,221.54,218.01,220.51,843700,0.0,0
2019-06-27,220.94,221.66,219.52,220.08,738700,0.0,0
2019-06-28,221.21,224.35,220.35,224.07,1522000,1.16,0
2019-07-01,225.2,226.65,222.82,226.5,810700,0.0,0
2019-07-02,226.27,227.93,225.19,227.93,729500,0.0,0
2019-07-03,227.49,229.1,226.56,229.05,696600,0.0,0
2019-07-05,227.27,228.26,225.32,228.24,569700,0.0,0
2019-07-08,228.02,228.15,225.62,225.99,1006200,0.0,0
2019-07-09,226.02,226.02,222.94,223.76,1124600,0.0,0
2019-07-10,225.53,226.17,223.39,223.96,848600,0.0,0
2019-07-11,223.21,225.45,222.09,225.45,763100,0.0,0
2019-07-12,224.22,226.0,223.07,224.85,653100,0.0,0
2019-07-15,225.12,225.88,224.47,225.35,701900,0.0,0
2019-07-16,225.36,226.4,224.65,224.79,599500,0.0,0
2019-07-17,225.55,225.79,223.86,224.13,1000900,0.0,0
2019-07-18,222.34,223.92,221.54,223.25,1205300,0.0,0
2019-07-19,223.65,224.59,222.14,222.25,1245000,0.0,0
2019-07-22,223.25,224.12,222.58,223.72,855500,0.0,0
2019-07-23,224.4,226.94,223.25,226.54,939000,0.0,0
2019-07-24,225.26,226.22,222.3,222.58,1106400,0.0,0
2019-07-25,221.73,225.53,217.35,225.34,1292400,0.0,0
2019-07-26,225.41,228.25,223.81,228.21,2272400,0.0,0
2019-07-29,228.32,229.58,226.68,228.84,921600,0.0,0
2019-07-30,227.99,230.11,226.92,229.46,968200,0.0,0
2019-07-31,228.57,229.25,223.12,225.95,2174000,0.0,0
2019-08-01,223.96,228.51,223.21,224.07,1486600,0.0,0
2019-08-02,222.75,222.78,218.49,220.58,1011000,0.0,0
2019-08-05,218.85,220.23,215.4,217.83,1369700,0.0,0
2019-08-06,218.76,219.7,215.8,219.17,851000,0.0,0
2019-08-07,217.91,221.72,216.29,221.2,1030600,0.0,0
2019-08-08,223.0,226.74,222.36,225.67,951900,0.0,0
2019-08-09,226.03,228.86,225.33,227.54,1063300,0.0,0
2019-08-12,226.98,229.14,224.59,224.82,766800,0.0,0
2019-08-13,225.44,229.82,223.71,227.34,772500,0.0,0
2019-08-14,224.4,227.59,220.24,220.33,971600,0.0,0
2019-08-15,221.31,224.95,220.42,224.04,1132200,0.0,0
2019-08-16,224.87,227.07,223.67,226.44,713800,0.0,0
2019-08-19,227.01,228.0,225.08,226.25,747900,0.0,0
2019-08-20,224.35,225.05,222.77,223.44,592000,0.0,0
2019-08-21,225.36,226.62,224.68,226.32,584400,0.0,0
2019-08-22,226.27,227.21,222.68,222.99,733100,0.0,0
2019-08-23,223.16,223.54,217.19,218.4,942300,0.0,0
2019-08-26,220.29,221.16,219.58,220.53,641500,0.0,0
2019-08-27,222.18,223.61,221.23,223.25,644500,0.0,0
2019-08-28,222.94,224.3,221.73,223.5,489000,0.0,0
2019-08-29,226.18,226.61,221.76,222.16,948100,0.0,0
2019-08-30,224.35,224.35,221.51,223.63,875100,0.0,0
2019-09-03,221.7,223.96,221.42,223.27,728600,0.0,0
2019-09-04,225.07,226.06,224.14,225.11,647200,0.0,0
2019-09-05,226.64,227.17,221.63,222.29,1233100,0.0,0
2019-09-06,222.92,223.96,221.74,223.3,822900,0.0,0
2019-09-09,223.66,223.66,212.64,214.16,1580100,0.0,0
2019-09-10,214.07,214.36,209.84,211.61,2356400,0.0,0
2019-09-11,210.86,214.24,208.23,214.14,1494100,0.0,0
2019-09-12,216.01,220.0,215.62,218.43,1203500,0.0,0
2019-09-13,218.42,220.32,217.74,219.98,1042500,0.0,0
2019-09-16,219.71,219.94,212.97,213.06,1033800,0.0,0
2019-09-17,214.67,220.25,213.27,219.32,1008900,0.0,0
2019-09-18,219.92,220.0,217.32,219.37,546100,0.0,0
2019-09-19,220.43,221.91,219.61,220.02,858200,0.0,0
2019-09-20,221.06,221.47,217.84,219.3,1149400,0.0,0
2019-09-23,218.0,219.87,217.5,218.22,632500,0.0,0
2019-09-24,218.41,220.59,217.56,218.17,929600,0.0,0
2019-09-25,217.56,218.81,216.49,218.39,573500,0.0,0
2019-09-26,219.09,222.03,217.62,221.02,561300,0.0,0
2019-09-27,221.95,222.56,217.65,218.82,509500,0.0,0
