Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,94.11,95.98,93.91,95.54,747100,0.0,0
2019-03-22,94.79,95.14,93.49,93.54,894200,0.0,0
2019-03-25,93.4,93.93,92.86,93.19,692100,0.0,0
2019-03-26,94.02,94.03,93.04,93.5,595000,0.0,0
2019-03-27,93.72,93.8,92.23,92.73,1121800,0.0,0
2019-03-28,93.42,93.51,92.28,93.03,1046700,0.0,0
2019-03-29,93.67,93.76,93.01,93.45,1234800,0.0,0
2019-04-01,94.66,96.89,94.33,96.78,1784200,0.0,0
2019-04-02,96.97,98.83,96.97,98.71,2139800,0.0,0
2019-04-03,98.95,100.21,98.95,99.86,1771100,0.0,0
2019-04-04,99.86,101.46,99.73,100.64,1463500,0.0,0
2019-04-05,101.0,101.63,100.82,101.62,1007600,0.0,0
2019-04-08,101.45,101.73,100.61,101.71,759400,0.0,0
2019-04-09,101.18,101.35,100.19,100.36,798500,0.0,0
2019-04-10,100.52,100.82,100.11,100.8,606400,0.0,0
2019-04-11,100.93,101.89,100.26,101.84,686800,0.0,0
2019-04-12,101.93,102.75,101.93,102.7,541300,0.0,0
2019-04-15,102.7,103.1,102.04,102.8,869000,0.0,0
2019-04-16,103.0,103.42,102.3,102.49,1043200,0.0,0
2019-04-17,103.18,103.89,102.65,102.9,1111700,0.0,0
2019-04-18,103.11,103.57,102.85,103.47,935100,0.0,0
2019-04-22,102.97,103.42,102.66,102.82,741900,0.0,0
2019-04-23,102.98,104.4,102.81,104.27,1250300,0.0,0
2019-04-24,94.1,102.64,93.5,101.44,3577900,0.0,0
2019-04-25,101.23,101.23,98.9,99.57,1558700,0.0,0
2019-04-26,99.46,99.46,98.27,98.92,2012000,0.0,0
2019-04-29,98.92,99.41,97.76,97.88,1694200,0.0,0
2019-04-30,97.54,98.66,97.16,98.51,1724000,0.0,0
2019-05-01,99.46,99.69,98.45,98.87,1837400,0.0,0
2019-05-02,99.05,99.1,97.94,98.1,1050300,0.0,0
2019-05-03,98.72,99.22,98.54,98.96,1138400,0.0,0
2019-05-06,96.82,97.84,95.49,97.35,2288300,0.0,0
2019-05-07,96.14,96.82,94.7,95.26,2597300,0.0,0
2019-05-08,95.09,95.29,93.49,93.57,3425500,0.0,0
2019-05-09,92.52,93.82,91.85,93.27,1703600,0.0,0
2019-05-10,92.74,94.11,91.79,93.72,1586200,0.0,0
2019-05-13,91.27,92.19,90.66,91.19,2098600,0.0,0
2019-05-14,91.56,92.36,91.26,91.33,1290000,0.0,0
2019-05-15,90.75,92.59,90.67,92.27,1114000,0.0,0
2019-05-16,92.2,93.34,91.91,92.1,1416400,0.0,0
2019-05-17,91.06,91.45,90.47,90.66,2580500,0.0,0
2019-05-20,89.46,89.74,88.69,88.77,1297600,0.0,0
2019-05-21,89.62,90.53,89.33,90.31,1066900,0.0,0
2019-05-22,90.21,90.47,89.59,89.63,789500,0.0,0
2019-05-23,88.57,89.11,88.0,88.55,970600,0.0,0
2019-05-24,89.01,89.27,88.06,88.57,1480200,0.0,0
2019-05-28,89.08,89.7,87.43,87.82,1841300,0.0,0
2019-05-29,87.6,88.12,86.49,86.69,2343700,0.0,0
2019-05-30,86.94,87.64,86.76,87.57,1291400,0.0,0
2019-05-31,86.82,87.2,85.93,86.08,1534100,0.0,0
2019-06-03,86.28,86.95,85.67,86.22,1326400,0.0,0
2019-06-04,87.4,88.79,86.79,88.63,2255100,0.0,0
2019-06-05,89.49,89.92,88.2,89.83,1017900,0.0,0
2019-06-06,90.32,91.32,89.56,90.96,1185700,0.0,0
2019-06-07,91.58,92.39,91.01,92.21,1092900,0.0,0
2019-06-10,92.73,94.21,92.73,93.16,1213500,0.0,0
