Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,136.14,139.21,135.92,138.66,594600,0.0,0
2019-03-22,138.38,139.73,137.89,137.95,436400,0.0,0
2019-03-25,137.99,138.58,136.74,137.9,363000,0.0,0
2019-03-26,138.09,140.06,138.09,140.01,416800,0.0,0
2019-03-27,139.99,140.27,138.35,139.11,412100,0.0,0
2019-03-28,139.44,140.41,138.88,140.38,432100,0.97,0
2019-03-29,140.42,140.42,139.15,139.72,755400,0.0,0
2019-04-01,139.79,140.16,137.72,138.72,845200,0.0,0
2019-04-02,139.03,140.55,137.6,140.38,651900,0.0,0
2019-04-03,140.23,140.74,139.21,140.67,714500,0.0,0
2019-04-04,140.57,140.57,139.26,140.28,373900,0.0,0
2019-04-05,140.05,141.2,139.42,141.1,378800,0.0,0
2019-04-08,141.3,141.58,139.85,140.77,417100,0.0,0
2019-04-09,140.6,140.83,140.04,140.27,347400,0.0,0
2019-04-10,140.62,141.05,139.95,140.97,616500,0.0,0
2019-04-11,141.11,141.43,140.15,140.64,508000,0.0,0
2019-04-12,140.71,141.47,139.63,141.47,515400,0.0,0
2019-04-15,141.38,141.38,140.19,140.8,351100,0.0,0
2019-04-16,140.82,141.04,135.46,136.45,874800,0.0,0
2019-04-17,136.67,136.67,133.6,133.68,1122700,0.0,0
2019-04-18,133.78,137.17,133.58,135.9,747400,0.0,0
2019-04-22,135.58,135.71,133.44,134.77,670200,0.0,0
2019-04-23,135.52,137.99,134.78,137.74,681700,0.0,0
2019-04-24,138.14,139.69,137.85,139.39,406700,0.0,0
2019-04-25,138.9,140.14,138.24,139.53,399300,0.0,0
2019-04-26,140.25,140.71,139.63,140.46,290700,0.0,0
2019-04-29,140.3,140.51,137.93,138.08,554300,0.0,0
2019-04-30,138.65,140.22,137.81,139.55,891400,0.0,0
2019-05-01,139.72,140.96,138.74,139.16,555900,0.0,0
2019-05-02,139.35,140.87,137.97,138.11,624000,0.0,0
2019-05-03,138.22,140.19,137.83,139.46,532500,0.0,0
2019-05-06,138.38,139.63,138.07,139.04,325600,0.0,0
2019-05-07,138.73,138.75,135.99,136.73,432500,0.0,0
2019-05-08,136.95,138.77,136.83,136.99,557800,0.0,0
2019-05-09,136.6,138.3,135.71,137.99,543600,0.0,0
2019-05-10,137.86,140.05,137.83,139.89,538400,0.0,0
2019-05-13,138.54,140.52,138.43,139.85,657800,0.0,0
2019-05-14,139.83,141.55,139.83,140.98,611800,0.0,0
2019-05-15,141.02,143.29,140.69,142.64,3376600,0.0,0
2019-05-16,142.7,144.65,142.7,143.56,1376400,0.0,0
2019-05-17,142.91,143.82,142.2,143.38,516600,0.0,0
2019-05-20,143.42,143.78,141.25,141.93,597100,0.0,0
2019-05-21,142.01,143.91,141.96,143.14,864300,0.0,0
2019-05-22,143.14,143.38,142.38,142.66,467300,0.0,0
2019-05-23,142.27,142.27,140.49,141.18,1115300,0.0,0
2019-05-24,141.87,142.74,140.93,142.44,978200,0.0,0
2019-05-28,143.07,143.68,141.79,141.94,1279300,0.0,0
2019-05-29,141.91,141.98,140.36,141.29,740100,0.0,0
2019-05-30,141.61,142.9,141.38,142.64,534800,0.0,0
2019-05-31,142.06,144.23,141.7,143.49,555000,0.0,0
2019-06-03,143.84,144.59,143.0,144.34,813100,0.0,0
2019-06-04,144.85,144.85,142.08,144.2,810000,0.0,0
2019-06-05,144.82,147.68,144.62,147.64,673200,0.0,0
2019-06-06,147.95,148.23,146.7,147.66,456900,0.0,0
2019-06-07,148.27,149.23,147.64,147.7,402700,0.0,0
2019-06-10,147.87,147.93,146.44,147.32,341500,0.0,0
2019-06-11,147.95,148.02,146.31,148.02,545100,0.0,0
2019-06-12,148.1,149.63,147.86,148.97,364500,0.0,0
2019-06-13,148.99,149.76,148.85,149.72,353100,0.0,0
2019-06-14,149.63,150.45,147.98,148.28,644600,0.0,0
2019-06-17,148.34,148.79,145.9,146.19,1490500,0.0,0
2019-06-18,147.07,147.91,144.6,145.78,1126700,0.0,0
2019-06-19,146.12,147.07,144.8,146.57,978800,0.0,0
2019-06-20,147.23,147.61,146.39,146.94,1056400,0.0,0
2019-06-21,143.03,143.45,142.05,142.38,6812200,0.0,0
2019-06-24,143.08,143.34,141.8,142.72,1250200,0.0,0
2019-06-25,143.01,143.46,139.06,139.34,1279300,0.0,0
2019-06-26,139.59,139.83,134.7,136.14,1687800,0.0,0
2019-06-27,136.8,138.59,136.8,138.26,1234400,1.0,0
2019-06-28,138.42,140.23,138.18,139.28,1297500,0.0,0
2019-07-01,140.36,141.74,139.32,141.35,1038100,0.0,0
2019-07-02,141.59,142.76,141.26,142.42,954400,0.0,0
2019-07-03,142.42,144.03,142.36,143.93,380600,0.0,0
2019-07-05,142.82,143.53,140.93,143.14,433900,0.0,0
2019-07-08,142.89,145.07,142.89,143.87,623500,0.0,0
2019-07-09,143.7,146.15,143.7,146.08,1061000,0.0,0
2019-07-10,146.68,147.95,145.92,147.01,1051000,0.0,0
2019-07-11,147.01,147.01,143.29,143.38,650600,0.0,0
2019-07-12,143.64,144.17,142.8,143.83,640700,0.0,0
2019-07-15,144.02,144.36,143.09,143.47,579800,0.0,0
2019-07-16,143.23,143.23,141.12,141.21,498000,0.0,0
2019-07-17,141.63,141.87,140.06,141.16,349400,0.0,0
2019-07-18,141.08,142.4,140.28,142.01,1282900,0.0,0
2019-07-19,142.37,142.37,139.63,139.76,627600,0.0,0
2019-07-22,139.71,140.18,138.89,139.08,482700,0.0,0
2019-07-23,139.51,140.79,138.3,140.56,480200,0.0,0
2019-07-24,140.73,141.46,140.09,141.03,440100,0.0,0
2019-07-25,141.08,141.65,140.24,141.23,634000,0.0,0
2019-07-26,141.68,142.29,140.83,141.62,814500,0.0,0
2019-07-29,142.05,143.61,141.66,142.3,535700,0.0,0
2019-07-30,144.39,148.54,144.39,146.12,1319400,0.0,0
2019-07-31,145.66,147.52,143.72,144.48,709200,0.0,0
2019-08-01,144.17,144.93,143.17,143.67,631500,0.0,0
2019-08-02,143.67,143.73,142.47,143.01,500100,0.0,0
2019-08-05,142.23,142.23,139.16,140.84,774300,0.0,0
2019-08-06,141.25,143.36,140.74,142.43,716800,0.0,0
2019-08-07,141.67,143.7,140.0,142.51,529900,0.0,0
2019-08-08,142.62,145.21,142.02,144.57,402900,0.0,0
2019-08-09,144.1,145.1,141.8,143.46,566800,0.0,0
2019-08-12,143.17,143.69,140.85,141.02,746500,0.0,0
2019-08-13,141.28,142.75,140.21,142.41,743300,0.0,0
2019-08-14,141.88,142.63,140.77,141.32,710500,0.0,0
2019-08-15,141.99,143.42,141.6,143.3,900500,0.0,0
2019-08-16,143.62,146.46,143.54,146.2,684600,0.0,0
2019-08-19,147.28,148.12,146.56,147.04,970700,0.0,0
2019-08-20,147.91,147.91,145.85,145.94,530600,0.0,0
2019-08-21,146.43,147.62,146.04,146.65,493900,0.0,0
2019-08-22,147.04,147.75,146.25,147.49,315400,0.0,0
2019-08-23,147.05,148.67,144.55,144.95,505700,0.0,0
2019-08-26,145.93,146.03,143.67,145.35,770800,0.0,0
2019-08-27,146.04,146.47,144.31,144.36,558700,0.0,0
