Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,99.22,100.75,99.21,100.62,428700,0.0,0
2019-03-22,100.99,101.56,100.64,100.77,536100,0.0,0
2019-03-25,100.7,101.21,100.23,100.89,847300,0.0,0
2019-03-26,101.09,101.75,100.75,101.67,571500,0.0,0
2019-03-27,101.79,102.01,100.69,100.9,591100,0.0,0
2019-03-28,101.04,101.37,99.84,100.45,500600,0.0,0
2019-03-29,100.5,101.11,100.12,100.89,852300,0.0,0
2019-04-01,100.89,100.93,99.51,100.05,684400,0.0,0
2019-04-02,100.27,100.27,97.68,98.19,2501900,0.0,0
2019-04-03,98.37,99.63,97.52,99.5,827900,0.0,0
2019-04-04,99.69,99.69,98.21,98.65,541400,0.0,0
2019-04-05,98.66,99.55,98.27,99.52,598500,0.0,0
2019-04-08,99.4,99.44,98.77,98.92,453900,0.0,0
2019-04-09,98.91,99.2,98.42,98.59,430400,0.0,0
2019-04-10,98.79,99.45,98.29,98.44,433400,0.0,0
2019-04-11,98.47,98.79,98.05,98.7,429300,0.0,0
2019-04-12,98.42,99.37,98.01,99.19,404400,0.0,0
2019-04-15,99.47,99.7,98.85,99.11,332600,0.0,0
2019-04-16,99.2,99.57,97.86,98.19,761500,0.0,0
2019-04-17,98.13,98.13,97.13,97.47,462800,0.0,0
2019-04-18,97.6,97.94,97.17,97.22,754400,0.0,0
2019-04-22,97.12,97.34,96.71,97.11,398800,0.0,0
2019-04-23,97.4,98.1,97.18,97.6,1003800,0.0,0
2019-04-24,97.83,98.52,97.42,98.11,878600,0.0,0
2019-04-25,97.82,99.28,97.66,98.98,395000,0.0,0
2019-04-26,99.48,99.88,98.91,98.98,355400,0.0,0
2019-04-29,98.61,98.86,98.26,98.49,814600,0.0,0
2019-04-30,98.82,100.35,98.51,100.31,779900,0.0,0
2019-05-01,100.04,100.6,99.36,99.97,666600,0.0,0
2019-05-02,99.92,100.49,99.35,100.06,504900,0.0,0
2019-05-03,99.82,101.09,99.79,100.9,459100,0.0,0
2019-05-06,101.15,101.37,100.56,101.02,604900,0.0,0
2019-05-07,100.96,101.37,99.42,100.21,793200,0.0,0
2019-05-08,99.71,100.03,98.25,98.75,930400,0.0,0
2019-05-09,98.9,99.75,98.25,98.71,627300,0.0,0
2019-05-10,98.83,100.02,98.31,99.9,708700,0.0,0
2019-05-13,99.45,100.61,99.32,100.47,1166500,0.0,0
2019-05-14,100.4,100.53,99.27,99.43,787100,0.0,0
2019-05-15,99.51,99.66,98.72,98.75,725100,0.0,0
2019-05-16,98.56,100.05,98.39,99.64,670100,0.0,0
2019-05-17,99.68,101.32,99.53,100.63,2563400,0.0,0
2019-05-20,100.8,101.29,100.37,100.81,985200,0.0,0
2019-05-21,100.79,101.24,99.98,100.04,717100,0.0,0
2019-05-22,100.23,100.89,99.88,100.85,579100,0.0,0
2019-05-23,100.89,101.43,100.25,101.31,773300,0.0,0
2019-05-24,101.51,101.82,101.11,101.29,664200,0.525,0
2019-05-28,101.47,101.53,99.88,100.01,1327100,0.0,0
2019-05-29,100.29,100.29,98.8,99.25,965100,0.0,0
2019-05-30,98.82,99.77,98.82,99.15,729600,0.0,0
2019-05-31,99.23,100.34,98.84,100.29,761700,0.0,0
2019-06-03,100.54,101.49,99.88,101.35,589700,0.0,0
2019-06-04,101.52,101.52,98.49,100.05,931600,0.0,0
2019-06-05,100.54,102.68,100.07,102.3,733300,0.0,0
2019-06-06,102.34,103.24,102.07,102.68,609600,0.0,0
2019-06-07,103.14,103.63,102.56,102.67,554100,0.0,0
2019-06-10,102.25,102.25,101.16,101.59,475400,0.0,0
2019-06-11,101.61,102.29,100.58,101.1,477100,0.0,0
2019-06-12,101.29,102.87,101.29,102.79,431800,0.0,0
2019-06-13,103.04,103.45,102.59,102.99,421400,0.0,0
2019-06-14,103.07,103.63,102.98,103.44,396300,0.0,0
2019-06-17,103.41,103.72,102.62,103.2,312600,0.0,0
