Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,45.71,48.44,45.53,48.21,13972900,0.0,0
2019-03-22,47.93,48.06,45.91,46.5,11117700,0.0,0
2019-03-25,46.38,47.17,46.05,46.61,6976900,0.0,0
2019-03-26,46.9,47.5,45.59,46.06,9712000,0.0,0
2019-03-27,46.29,46.29,45.24,45.52,7813600,0.37,0
2019-03-28,45.34,45.71,44.87,45.62,8347800,0.0,0
2019-03-29,46.18,46.37,45.01,45.53,6643600,0.0,0
2019-04-01,46.5,47.31,46.16,47.12,9233400,0.0,0
2019-04-02,47.42,47.78,46.2,47.46,9697700,0.0,0
2019-04-03,47.75,48.6,47.4,47.65,9741800,0.0,0
2019-04-04,47.68,47.82,46.58,46.96,6941800,0.0,0
2019-04-05,47.08,47.54,46.68,47.29,5976900,0.0,0
2019-04-08,47.23,47.63,46.37,47.57,5563800,0.0,0
2019-04-09,47.19,47.65,46.85,47.01,5090900,0.0,0
2019-04-10,47.34,47.96,47.15,47.86,3548000,0.0,0
2019-04-11,48.06,48.24,46.86,47.17,5198500,0.0,0
2019-04-12,47.4,47.68,46.94,47.28,3802100,0.0,0
2019-04-15,47.27,47.57,45.64,45.75,7343500,0.0,0
2019-04-16,45.95,45.95,44.74,45.06,9742200,0.0,0
2019-04-17,45.17,45.34,43.96,44.98,6663100,0.0,0
2019-04-18,45.18,45.59,44.65,45.31,4582700,0.0,0
2019-04-22,45.24,45.53,44.7,45.34,4229300,0.0,0
2019-04-23,45.6,46.76,45.47,46.51,6263400,0.0,0
2019-04-24,46.45,46.89,46.04,46.75,5327800,0.0,0
2019-04-25,46.66,47.46,46.14,47.41,7637100,0.0,0
2019-04-26,47.48,48.48,47.3,48.15,6233200,0.0,0
2019-04-29,48.43,48.98,48.22,48.4,7098200,0.0,0
2019-04-30,48.41,48.65,47.78,48.21,6906400,0.0,0
2019-05-01,48.35,49.56,48.24,48.56,9474500,0.0,0
2019-05-02,48.78,49.83,48.72,49.55,13565600,0.0,0
2019-05-03,48.2,48.67,46.16,47.15,25671000,0.0,0
2019-05-06,46.03,48.2,46.0,48.16,10300500,0.0,0
2019-05-07,47.71,47.97,46.35,46.68,7918500,0.0,0
2019-05-08,47.05,47.32,46.4,46.82,9392500,0.0,0
2019-05-09,46.14,47.04,45.7,46.64,7115400,0.0,0
2019-05-10,46.56,46.63,43.52,46.02,5415400,0.0,0
2019-05-13,44.73,45.13,43.17,43.41,9803000,0.0,0
2019-05-14,43.7,45.18,43.38,44.7,7171500,0.0,0
2019-05-15,44.49,46.52,44.43,46.28,6965600,0.0,0
2019-05-16,46.27,47.32,45.82,47.29,5798700,0.0,0
2019-05-17,46.81,47.37,46.3,46.39,4280800,0.0,0
2019-05-20,45.65,45.65,43.33,43.61,9204200,0.0,0
2019-05-21,43.97,44.06,43.4,43.45,8279600,0.0,0
2019-05-22,42.94,43.64,42.83,42.91,7222900,0.0,0
2019-05-23,42.43,42.79,41.95,42.19,7390000,0.0,0
2019-05-24,42.46,42.78,41.84,42.29,5076100,0.0,0
2019-05-28,43.76,44.7,43.28,43.51,12150000,0.0,0
2019-05-29,43.2,44.16,42.84,43.99,9134300,0.0,0
2019-05-30,44.04,44.48,43.16,43.56,5552900,0.0,0
2019-05-31,43.11,43.78,43.01,43.37,5978700,0.0,0
2019-06-03,43.32,43.39,42.1,42.38,6711100,0.0,0
2019-06-04,42.98,43.64,42.25,43.61,7621500,0.0,0
2019-06-05,43.77,44.68,43.49,44.52,5768800,0.0,0
2019-06-06,44.15,44.74,43.7,44.08,4699000,0.0,0
2019-06-07,44.28,45.63,44.06,45.38,6785800,0.0,0
2019-06-10,45.77,46.47,45.2,46.01,6405400,0.0,0
2019-06-11,46.49,47.06,46.19,46.7,6679700,0.0,0
2019-06-12,46.46,46.53,44.97,45.09,6155400,0.0,0
2019-06-13,45.45,46.11,45.08,46.05,6204700,0.0,0
2019-06-14,45.8,45.96,45.12,45.62,4629400,0.0,0
2019-06-17,45.7,45.95,45.0,45.07,7710000,0.0,0
2019-06-18,45.55,46.48,45.33,45.77,6839000,0.0,0
2019-06-19,45.77,45.77,44.59,45.33,5441900,0.0,0
2019-06-20,45.99,46.33,45.45,45.67,4574600,0.0,0
2019-06-21,45.53,45.94,45.19,45.91,7895500,0.0,0
2019-06-24,45.64,47.21,45.64,47.15,7299700,0.0,0
2019-06-25,47.07,47.49,45.66,46.2,8688600,0.0,0
2019-06-26,46.36,47.47,46.21,46.73,5328700,0.0,0
2019-06-27,47.09,47.57,46.52,47.28,6918600,0.0,0
2019-06-28,47.5,47.73,46.56,47.2,15179000,0.0,0
2019-07-01,47.88,48.46,47.21,47.5,5122000,0.0,0
2019-07-02,47.96,48.82,47.69,47.98,6682700,0.0,0
2019-07-03,48.05,48.79,47.73,48.66,4024700,0.0,0
2019-07-05,48.33,48.35,46.64,48.15,6379600,0.0,0
2019-07-08,47.8,47.91,46.23,46.47,7680700,0.0,0
2019-07-09,46.17,46.71,45.73,46.37,4349600,0.0,0
2019-07-10,46.9,47.37,46.57,46.84,4476200,0.0,0
2019-07-11,46.92,47.58,46.43,47.34,5206200,0.0,0
2019-07-12,47.63,47.67,47.04,47.2,3707600,0.0,0
2019-07-15,47.26,47.85,46.88,47.66,4361700,0.0,0
2019-07-16,47.61,47.66,46.66,46.99,4876700,0.0,0
2019-07-17,46.92,47.32,46.43,46.68,4791100,0.0,0
2019-07-18,46.45,46.5,45.49,45.72,8158500,0.0,0
2019-07-19,46.0,46.11,45.09,45.14,5514600,0.0,0
2019-07-22,45.33,45.6,44.81,45.57,3771800,0.0,0
