Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,190.12,193.67,190.12,192.89,562400,0.0,0
2019-03-22,193.26,195.93,193.18,193.78,639000,0.0,0
2019-03-25,193.98,194.45,192.82,193.37,318900,0.0,0
2019-03-26,194.0,195.1,193.66,195.02,444300,0.0,0
2019-03-27,194.83,195.57,193.74,195.0,513300,0.0,0
2019-03-28,195.55,196.62,194.59,196.56,572900,1.52,0
2019-03-29,196.83,197.13,195.36,196.37,737800,0.0,0
2019-04-01,196.37,196.5,193.5,196.32,666300,0.0,0
2019-04-02,196.38,198.38,194.37,197.82,673200,0.0,0
2019-04-03,198.22,198.49,196.19,197.96,529400,0.0,0
2019-04-04,198.41,198.41,196.21,197.35,358200,0.0,0
2019-04-05,197.27,198.14,196.69,197.79,405000,0.0,0
2019-04-08,197.77,197.95,196.13,197.13,383300,0.0,0
2019-04-09,197.27,197.45,195.97,196.24,464200,0.0,0
2019-04-10,197.01,197.97,196.22,197.81,621000,0.0,0
2019-04-11,198.27,199.15,197.17,198.74,358600,0.0,0
2019-04-12,198.53,199.71,197.03,199.65,375700,0.0,0
2019-04-15,199.62,200.09,198.66,199.7,392500,0.0,0
2019-04-16,199.65,199.91,193.19,193.64,621400,0.0,0
2019-04-17,194.25,194.25,188.86,189.62,730500,0.0,0
2019-04-18,189.99,192.25,189.24,191.89,593400,0.0,0
2019-04-22,191.29,191.32,187.26,189.44,462000,0.0,0
2019-04-23,190.37,192.53,189.61,192.0,517800,0.0,0
2019-04-24,193.24,194.16,191.09,193.86,482000,0.0,0
2019-04-25,191.9,196.09,191.9,195.61,580700,0.0,0
2019-04-26,197.05,197.08,195.29,196.16,340100,0.0,0
2019-04-29,195.32,196.33,193.49,193.71,343400,0.0,0
2019-04-30,194.11,196.68,193.38,196.57,621100,0.0,0
2019-05-01,196.46,199.08,195.67,196.79,389500,0.0,0
2019-05-02,197.05,198.91,195.79,197.06,448000,0.0,0
2019-05-03,197.31,197.94,195.7,197.77,317200,0.0,0
2019-05-06,197.03,198.03,194.85,196.21,428000,0.0,0
2019-05-07,195.11,196.07,191.39,192.52,400500,0.0,0
2019-05-08,191.9,194.26,190.91,192.18,473400,0.0,0
2019-05-09,192.08,194.41,191.37,194.22,572000,0.0,0
2019-05-10,194.22,196.71,193.59,196.35,403600,0.0,0
2019-05-13,194.89,196.53,194.56,196.28,406700,0.0,0
2019-05-14,195.99,197.19,195.08,195.41,572600,0.0,0
2019-05-15,195.55,197.07,194.8,196.34,383000,0.0,0
2019-05-16,197.41,198.7,196.39,198.36,488400,0.0,0
2019-05-17,197.45,198.86,196.98,198.73,470900,0.0,0
2019-05-20,198.78,198.78,195.3,196.19,508800,0.0,0
2019-05-21,196.35,198.21,196.25,197.82,616400,0.0,0
2019-05-22,198.05,199.0,197.49,198.89,466600,0.0,0
2019-05-23,198.39,199.62,197.28,199.31,517200,0.0,0
2019-05-24,199.96,201.54,199.81,200.82,545000,0.0,0
2019-05-28,201.73,202.1,198.31,198.31,1347200,0.0,0
2019-05-29,198.79,198.98,195.91,196.94,811200,0.0,0
2019-05-30,197.03,198.1,196.45,197.02,500300,0.0,0
2019-05-31,196.74,199.77,196.06,198.6,657600,0.0,0
2019-06-03,199.04,199.92,197.57,199.41,632500,0.0,0
2019-06-04,199.26,199.54,195.93,197.61,550400,0.0,0
2019-06-05,198.65,203.32,197.76,203.25,461400,0.0,0
2019-06-06,203.25,204.37,202.03,204.21,326500,0.0,0
2019-06-07,204.84,206.35,204.04,204.52,352700,0.0,0
2019-06-10,204.7,204.83,202.65,204.81,460300,0.0,0
2019-06-11,205.11,205.5,202.89,204.79,528000,0.0,0
2019-06-12,204.52,206.0,201.67,202.69,815300,0.0,0
2019-06-13,202.69,203.08,201.44,202.59,616200,0.0,0
2019-06-14,202.32,203.77,202.16,203.57,518700,0.0,0
2019-06-17,204.29,205.62,204.29,205.08,672500,0.0,0
2019-06-18,206.08,207.15,202.52,204.09,639500,0.0,0
2019-06-19,203.05,205.5,202.53,204.65,621000,0.0,0
2019-06-20,205.54,207.13,205.48,205.9,772400,0.0,0
2019-06-21,206.46,206.46,201.79,203.29,1434400,0.0,0
2019-06-24,203.76,204.86,202.57,203.62,488000,0.0,0
2019-06-25,203.96,204.7,199.89,199.97,623400,0.0,0
2019-06-26,200.15,200.15,195.71,196.91,680500,0.0,0
2019-06-27,197.84,200.09,197.47,198.56,482500,1.52,0
2019-06-28,198.77,200.93,198.32,200.28,818300,0.0,0
2019-07-01,201.17,201.17,196.43,199.42,513000,0.0,0
2019-07-02,199.99,202.77,199.71,202.63,672900,0.0,0
2019-07-03,203.5,206.38,203.1,206.34,405400,0.0,0
2019-07-05,204.98,205.31,201.4,204.9,294700,0.0,0
2019-07-08,205.0,207.29,204.97,207.11,509300,0.0,0
2019-07-09,206.92,208.8,206.24,208.49,582400,0.0,0
2019-07-10,209.68,211.04,208.01,210.72,624700,0.0,0
2019-07-11,210.33,210.48,207.21,208.38,577300,0.0,0
2019-07-12,208.48,208.68,206.72,207.47,410900,0.0,0
2019-07-15,207.52,209.51,206.9,208.27,409300,0.0,0
2019-07-16,208.27,208.48,206.89,208.0,446100,0.0,0
2019-07-17,208.22,209.11,206.23,207.96,465900,0.0,0
2019-07-18,207.6,207.88,205.39,207.19,355600,0.0,0
2019-07-19,207.47,208.05,203.15,203.88,562100,0.0,0
2019-07-22,204.12,204.31,201.8,202.22,411600,0.0,0
2019-07-23,202.68,204.48,201.16,203.89,488900,0.0,0
2019-07-24,204.35,204.35,202.71,203.9,333200,0.0,0
2019-07-25,203.9,204.26,202.45,203.9,372400,0.0,0
2019-07-26,204.02,205.52,203.53,205.4,527900,0.0,0
2019-07-29,206.16,208.78,205.35,207.44,456900,0.0,0
2019-07-30,206.9,210.14,206.9,207.85,767100,0.0,0
2019-07-31,207.85,210.51,204.72,205.81,912600,0.0,0
2019-08-01,200.83,201.67,196.52,200.24,1511400,0.0,0
2019-08-02,200.72,204.5,200.34,202.82,857300,0.0,0
2019-08-05,202.01,204.03,195.03,197.76,716000,0.0,0
2019-08-06,197.76,200.76,196.62,200.19,689900,0.0,0
2019-08-07,199.64,203.21,197.42,201.35,604300,0.0,0
2019-08-08,201.06,203.7,199.78,203.57,548400,0.0,0
2019-08-09,203.15,204.52,200.74,203.07,847000,0.0,0
2019-08-12,202.93,204.61,201.96,202.63,452400,0.0,0
2019-08-13,202.53,202.53,199.64,201.28,911700,0.0,0
2019-08-14,201.1,201.91,198.34,198.71,552000,0.0,0
2019-08-15,199.31,201.94,199.0,201.5,607600,0.0,0
2019-08-16,202.19,203.9,200.92,202.9,544600,0.0,0
2019-08-19,203.96,205.5,202.34,204.74,374100,0.0,0
