Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,108.44,110.63,108.29,110.27,3111000,0.0,0
2019-03-22,109.75,109.78,107.48,107.95,3737400,0.0,0
2019-03-25,107.77,108.55,106.69,107.53,3596200,0.0,0
2019-03-26,108.47,108.87,107.54,107.98,2844500,0.0,0
2019-03-27,108.16,108.48,106.83,107.47,3346600,0.0,0
2019-03-28,107.91,108.36,106.99,107.65,2693300,0.0,0
2019-03-29,108.68,108.86,107.63,107.79,4891000,0.0,0
2019-04-01,108.76,110.49,108.56,110.15,5125100,0.0,0
2019-04-02,109.67,109.92,108.84,109.46,3568900,0.0,0
2019-04-03,110.27,110.45,108.82,109.03,3719700,0.0,0
2019-04-04,109.19,109.35,108.37,108.98,3619600,0.39,0
2019-04-05,109.34,110.06,109.3,109.81,4553700,0.0,0
2019-04-08,109.48,109.7,108.78,109.55,4776600,0.0,0
2019-04-09,108.87,109.17,108.36,108.71,2869300,0.0,0
2019-04-10,109.34,109.34,108.39,109.02,2650100,0.0,0
2019-04-11,109.37,109.68,108.29,108.71,2320600,0.0,0
2019-04-12,109.67,110.4,109.31,109.76,2316900,0.0,0
2019-04-15,109.77,109.82,109.11,109.39,2285000,0.0,0
2019-04-16,109.94,110.87,109.79,110.72,2523400,0.0,0
2019-04-17,111.15,111.34,110.1,110.6,3799900,0.0,0
2019-04-18,111.09,112.96,110.17,112.49,6186800,0.0,0
2019-04-22,111.44,112.23,111.07,111.17,3174400,0.0,0
2019-04-23,111.03,112.86,110.74,112.79,3342800,0.0,0
2019-04-24,112.58,113.18,112.25,112.84,2318400,0.0,0
2019-04-25,114.04,115.29,113.56,114.68,4595200,0.0,0
2019-04-26,115.38,116.51,114.9,116.38,2990600,0.0,0
2019-04-29,116.03,116.48,115.34,115.55,3096200,0.0,0
2019-04-30,115.84,116.14,114.9,116.02,2387900,0.0,0
2019-05-01,116.25,116.77,115.72,115.81,2450500,0.0,0
2019-05-02,115.79,116.43,115.47,116.04,2538700,0.0,0
2019-05-03,116.69,118.42,116.41,118.12,2856200,0.0,0
2019-05-06,116.05,118.37,115.84,118.11,2924500,0.0,0
2019-05-07,117.15,118.17,116.43,117.0,6282300,0.0,0
2019-05-08,116.61,116.89,115.61,116.27,4037500,0.0,0
2019-05-09,114.95,116.08,114.19,116.05,3219600,0.0,0
2019-05-10,115.65,117.7,115.01,117.23,2435100,0.0,0
2019-05-13,115.22,115.68,114.42,114.7,3710600,0.0,0
2019-05-14,114.78,116.51,114.57,115.8,2460700,0.0,0
2019-05-15,114.98,117.01,114.7,116.44,2711400,0.0,0
2019-05-16,116.55,119.1,116.55,118.6,4143500,0.0,0
2019-05-17,117.37,118.35,117.28,117.84,5273600,0.0,0
2019-05-20,117.6,119.08,117.39,118.6,2765600,0.0,0
2019-05-21,119.22,119.43,118.11,119.3,3369100,0.0,0
2019-05-22,119.11,119.63,118.2,118.77,2941100,0.0,0
2019-05-23,118.04,118.16,116.63,117.2,3290200,0.0,0
2019-05-24,117.98,118.39,117.11,118.27,2240100,0.0,0
2019-05-28,118.13,118.88,116.95,116.95,2550300,0.0,0
2019-05-29,116.49,116.59,114.84,115.8,2553900,0.0,0
2019-05-30,116.0,116.1,114.91,115.53,1882400,0.0,0
2019-05-31,114.57,114.78,113.37,113.52,2969100,0.0,0
2019-06-03,113.37,114.73,112.71,113.43,2968500,0.0,0
2019-06-04,114.51,115.79,114.04,115.64,3043200,0.0,0
2019-06-05,115.97,117.02,115.8,116.9,2568100,0.0,0
2019-06-06,117.19,118.4,116.93,118.19,2209300,0.0,0
2019-06-07,118.63,120.1,118.32,119.86,2481800,0.0,0
2019-06-10,120.34,122.17,120.15,121.39,3453700,0.0,0
2019-06-11,122.27,123.45,121.81,121.96,3303800,0.0,0
2019-06-12,121.65,121.92,120.33,120.77,2685700,0.0,0
2019-06-13,120.83,121.43,120.16,120.6,2343900,0.0,0
2019-06-14,120.75,121.34,119.69,120.74,2483800,0.0,0
2019-06-17,120.98,120.98,120.05,120.19,2094200,0.0,0
2019-06-18,121.54,123.76,120.95,122.15,2729200,0.0,0
2019-06-19,122.95,123.63,122.4,123.39,2951700,0.0,0
2019-06-20,124.39,125.09,123.18,123.63,3303200,0.0,0
2019-06-21,123.9,125.0,123.27,123.44,5703800,0.0,0
2019-06-24,123.69,124.12,122.73,122.86,2680900,0.0,0
2019-06-25,122.98,123.28,121.77,121.89,2387800,0.0,0
2019-06-26,121.91,122.72,121.76,122.31,1902500,0.0,0
2019-06-27,122.41,123.12,122.28,122.66,1504300,0.0,0
2019-06-28,123.0,123.26,121.93,122.16,4338900,0.0,0
2019-07-01,124.0,125.09,123.26,123.63,4023500,0.0,0
2019-07-02,123.49,124.03,123.31,123.81,4076100,0.0,0
2019-07-03,124.3,125.14,124.03,124.95,3714300,0.39,0
2019-07-05,125.22,125.28,123.41,124.49,3731500,0.0,0
2019-07-08,124.08,124.32,123.74,123.94,3332000,0.0,0
2019-07-09,123.37,125.13,123.28,124.99,2237100,0.0,0
2019-07-10,125.78,127.49,125.78,125.97,2733800,0.0,0
2019-07-11,126.06,126.76,125.52,126.36,2928100,0.0,0
2019-07-12,126.63,127.07,125.95,127.03,1639400,0.0,0
2019-07-15,127.32,127.75,126.83,127.64,2355700,0.0,0
2019-07-16,128.28,128.4,126.87,127.13,2734000,0.0,0
2019-07-17,127.09,127.71,126.09,126.16,2248900,0.0,0
2019-07-18,125.77,128.15,125.74,127.47,3528400,0.0,0
2019-07-19,125.88,127.07,122.9,123.91,7819000,0.0,0
2019-07-22,123.85,125.1,123.8,125.09,4839700,0.0,0
2019-07-23,125.46,128.04,125.44,127.27,4055100,0.0,0
2019-07-24,126.78,127.29,125.87,127.02,3628300,0.0,0
2019-07-25,126.88,127.26,125.58,126.23,2663500,0.0,0
2019-07-26,126.17,126.64,125.38,125.86,4236200,0.0,0
2019-07-29,125.99,126.54,125.62,126.27,1829500,0.0,0
2019-07-30,125.65,125.99,125.38,125.55,1575400,0.0,0
2019-07-31,125.61,125.67,122.72,123.47,3221000,0.0,0
2019-08-01,122.87,125.22,122.62,123.19,4489800,0.0,0
2019-08-02,123.02,124.0,122.19,123.41,3268800,0.0,0
2019-08-05,121.57,122.19,119.29,119.84,5876200,0.0,0
2019-08-06,120.18,121.96,119.99,121.66,3497000,0.0,0
2019-08-07,120.04,122.95,119.35,122.64,3170800,0.0,0
2019-08-08,122.95,124.79,122.8,124.38,2976100,0.0,0
2019-08-09,124.67,125.82,123.82,125.26,2138300,0.0,0
2019-08-12,124.08,124.8,122.9,123.05,2638800,0.0,0
2019-08-13,122.96,125.58,121.62,125.4,3175700,0.0,0
2019-08-14,123.45,124.42,121.24,121.76,5626300,0.0,0
2019-08-15,121.76,122.11,120.26,121.49,3031700,0.0,0
2019-08-16,122.6,123.85,121.8,123.73,2343400,0.0,0
2019-08-19,125.19,125.24,123.44,123.5,3286700,0.0,0
2019-08-20,122.73,122.88,120.46,120.54,3641600,0.0,0
2019-08-21,121.61,122.17,121.11,121.61,2948300,0.0,0
2019-08-22,122.42,122.81,120.89,121.38,2322100,0.0,0
2019-08-23,121.12,121.17,116.21,116.91,4800400,0.0,0
2019-08-26,117.47,118.08,116.53,117.67,3170600,0.0,0
2019-08-27,118.23,118.47,116.0,116.9,3145800,0.0,0
2019-08-28,116.18,118.44,116.12,118.23,2327400,0.0,0
2019-08-29,119.59,120.32,119.09,119.86,1901300,0.0,0
2019-08-30,120.59,120.78,118.95,119.5,2366200,0.0,0
2019-09-03,118.99,119.41,116.67,116.75,3198700,0.0,0
2019-09-04,117.56,117.87,116.95,117.54,3746900,0.0,0
2019-09-05,118.63,120.75,118.63,119.8,5261100,0.0,0
2019-09-06,120.26,120.31,119.13,119.32,4552400,0.0,0
2019-09-09,120.33,120.53,118.65,119.05,5336000,0.0,0
2019-09-10,118.73,118.74,115.46,116.46,6196100,0.0,0
2019-09-11,116.27,117.24,115.9,117.14,3674400,0.0,0
2019-09-12,118.14,119.56,117.92,118.16,3733500,0.0,0
2019-09-13,118.38,119.1,117.43,118.34,3941100,0.0,0
2019-09-16,117.28,117.58,115.83,116.79,4280600,0.0,0
2019-09-17,117.05,118.27,116.65,118.19,3054700,0.0,0
2019-09-18,117.73,117.94,116.62,117.88,2844500,0.0,0
2019-09-19,117.75,118.65,116.75,116.94,1975800,0.0,0
2019-09-20,116.98,117.38,115.53,115.95,5301500,0.0,0
2019-09-23,115.52,117.56,115.26,117.38,5089400,0.0,0
2019-09-24,118.03,119.33,116.67,117.31,5128400,0.0,0
2019-09-25,117.01,118.57,116.21,118.26,2742900,0.0,0
2019-09-26,118.44,119.16,117.98,118.05,3411200,0.0,0
2019-09-27,118.27,118.75,117.12,117.73,2909200,0.0,0
2019-09-30,118.19,118.38,117.28,117.42,2345800,0.0,0
2019-10-01,117.84,118.63,115.76,115.85,2841300,0.0,0
2019-10-02,114.92,114.97,111.93,112.04,4908800,0.0,0
2019-10-03,111.81,112.57,110.68,112.16,3529300,0.43,0
2019-10-04,112.27,114.13,112.21,114.01,2728200,0.0,0
2019-10-07,113.52,114.25,113.21,113.26,2556000,0.0,0
