Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,27.78,27.93,27.38,27.52,77444400,0.0,0
2019-03-22,27.25,27.41,26.08,26.38,118851600,0.0,0
2019-03-25,26.28,26.74,25.99,26.21,65568000,0.0,0
2019-03-26,26.51,26.71,26.25,26.57,59878500,0.0,0
2019-03-27,26.45,26.73,26.32,26.4,57621700,0.0,0
2019-03-28,26.56,26.77,26.39,26.69,45872300,0.0,0
2019-03-29,26.9,27.03,26.66,26.94,83446300,0.0,0
2019-04-01,27.24,28.07,27.2,27.87,91751100,0.0,0
2019-04-02,27.8,28.19,27.68,28.19,66694000,0.0,0
2019-04-03,28.39,28.55,28.03,28.16,63110600,0.0,0
2019-04-04,28.17,28.62,28.16,28.47,53712100,0.0,0
2019-04-05,28.63,28.81,28.3,28.4,46383400,0.0,0
2019-04-08,28.21,28.51,28.19,28.48,35272800,0.0,0
2019-04-09,28.32,28.39,28.07,28.21,40535300,0.0,0
2019-04-10,28.22,28.47,28.07,28.39,42669700,0.0,0
2019-04-11,28.56,28.8,28.31,28.39,50440100,0.0,0
2019-04-12,28.87,29.51,28.87,29.46,100192000,0.0,0
2019-04-15,29.39,29.43,28.96,29.14,57438800,0.0,0
2019-04-16,28.61,29.34,28.32,29.18,105168400,0.0,0
2019-04-17,29.13,29.41,28.77,29.32,94831600,0.0,0
2019-04-18,29.25,29.45,29.12,29.32,61796600,0.0,0
2019-04-22,29.23,29.39,29.08,29.34,34763400,0.0,0
2019-04-23,29.29,29.5,29.22,29.36,41889700,0.0,0
2019-04-24,29.25,29.46,29.15,29.32,40078100,0.0,0
2019-04-25,29.21,29.61,29.2,29.37,43243800,0.0,0
2019-04-26,29.46,29.68,29.34,29.64,40627500,0.0,0
2019-04-29,29.72,30.44,29.7,30.05,68408600,0.0,0
2019-04-30,30.08,30.15,29.7,29.86,47764200,0.0,0
2019-05-01,29.84,30.16,29.47,29.55,56161000,0.0,0
2019-05-02,29.55,29.84,29.44,29.78,40634100,0.0,0
2019-05-03,29.94,30.08,29.78,29.99,35256100,0.0,0
2019-05-06,29.4,29.89,29.36,29.75,39882000,0.0,0
2019-05-07,29.45,29.46,28.93,29.22,58528400,0.0,0
2019-05-08,29.03,29.4,28.97,29.1,39903400,0.0,0
2019-05-09,28.73,29.08,28.59,29.01,44173500,0.0,0
2019-05-10,28.77,29.01,28.5,28.89,59649900,0.0,0
2019-05-13,28.28,28.32,27.39,27.59,72547000,0.0,0
2019-05-14,27.69,28.31,27.55,27.95,52216100,0.0,0
2019-05-15,27.44,27.82,27.35,27.63,51973200,0.0,0
2019-05-16,27.79,28.15,27.76,27.92,42791500,0.0,0
2019-05-17,27.59,27.97,27.56,27.73,43772500,0.0,0
2019-05-20,27.73,27.85,27.58,27.73,41717600,0.0,0
2019-05-21,27.9,28.07,27.78,28.02,39258700,0.0,0
2019-05-22,27.84,27.96,27.68,27.82,29177600,0.0,0
2019-05-23,27.47,27.54,26.85,27.11,59772900,0.0,0
2019-05-24,27.27,27.6,27.21,27.52,35524400,0.0,0
2019-05-28,27.39,27.59,27.23,27.24,44273400,0.0,0
2019-05-29,26.88,27.2,26.74,27.1,49818900,0.0,0
2019-05-30,27.12,27.27,26.35,26.52,58649300,0.0,0
2019-05-31,25.88,26.24,25.86,25.98,68304200,0.0,0
2019-06-03,25.97,26.36,25.78,26.05,50109900,0.0,0
2019-06-04,26.54,27.29,26.5,27.26,58426400,0.0,0
2019-06-05,27.19,27.35,26.82,27.25,44874400,0.0,0
2019-06-06,27.25,27.53,27.04,27.37,38633600,0.15,0
2019-06-07,27.24,27.28,26.92,27.03,51317200,0.0,0
2019-06-10,27.35,27.95,27.33,27.56,48305800,0.0,0
