Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,67.02,68.63,66.78,68.47,2693200,0.0,0
2019-03-22,69.99,71.17,68.02,68.03,4006500,0.0,0
2019-03-25,67.75,69.21,67.7,68.79,2242000,0.0,0
2019-03-26,69.32,69.73,68.18,68.41,2804200,0.0,0
2019-03-27,68.3,69.08,67.95,68.41,4090300,0.0,0
2019-03-28,68.75,69.56,68.3,68.99,3805100,0.0,0
2019-03-29,69.17,69.41,68.71,68.96,2788300,0.0,0
2019-04-01,69.25,70.12,68.98,69.95,2787100,0.0,0
2019-04-02,69.9,69.9,69.01,69.33,1997700,0.0,0
2019-04-03,69.71,70.62,69.62,70.39,2347700,0.0,0
2019-04-04,70.33,72.38,70.15,72.36,2465500,0.0,0
2019-04-05,72.73,72.92,72.13,72.56,3171600,0.0,0
2019-04-08,72.41,73.06,72.18,72.6,2236000,0.0,0
2019-04-09,72.29,72.98,72.19,72.54,1772400,0.0,0
2019-04-10,72.56,73.29,72.01,72.28,2360600,0.0,0
2019-04-11,72.32,72.33,71.42,71.79,1771100,0.0,0
2019-04-12,71.92,72.12,71.26,71.39,1711800,0.0,0
2019-04-15,70.78,71.34,70.55,71.07,2295800,0.0,0
2019-04-16,71.22,71.57,70.83,70.99,2111000,0.0,0
2019-04-17,71.45,72.21,71.0,71.23,1702000,0.0,0
2019-04-18,71.2,71.89,70.82,71.46,2377400,0.0,0
2019-04-22,71.04,71.45,70.42,70.45,2439500,0.0,0
2019-04-23,70.75,71.71,70.07,71.44,2075500,0.0,0
2019-04-24,73.25,73.66,72.26,72.48,2126400,0.0,0
2019-04-25,72.27,72.27,70.92,71.6,2083800,0.0,0
2019-04-26,70.27,71.16,69.29,70.64,3032900,0.0,0
2019-04-29,70.72,71.83,70.64,71.22,2231800,0.0,0
2019-04-30,70.97,72.33,70.97,72.21,2552800,0.0,0
2019-05-01,72.21,72.76,71.58,71.64,1752600,0.0,0
2019-05-02,71.81,72.95,71.66,72.95,2288200,0.0,0
2019-05-03,73.05,73.29,72.37,72.81,2031100,0.0,0
2019-05-06,71.57,72.85,70.73,72.74,2804300,0.0,0
2019-05-07,72.08,72.94,70.6,71.12,3156900,0.0,0
2019-05-08,70.96,72.48,70.31,71.3,2746600,0.0,0
2019-05-09,70.65,70.79,68.65,70.15,3433300,0.0,0
2019-05-10,69.94,70.06,66.51,69.21,3965800,0.0,0
2019-05-13,68.22,68.25,64.04,65.11,5408500,0.0,0
2019-05-14,65.26,66.5,64.56,65.62,3780600,0.0,0
2019-05-15,65.16,66.13,65.03,65.85,2370000,0.0,0
2019-05-16,66.41,67.58,66.04,66.7,3272400,0.0,0
2019-05-17,66.0,67.75,65.99,66.89,2439200,0.0,0
2019-05-20,66.45,67.24,66.28,66.8,2794500,0.0,0
2019-05-21,66.89,68.16,66.47,67.88,2616200,0.0,0
2019-05-22,67.67,68.65,67.12,67.12,4517400,0.0,0
2019-05-23,67.01,67.93,62.5,63.87,7999700,0.0,0
2019-05-24,63.49,64.25,61.46,63.99,6090000,0.0,0
2019-05-28,63.73,64.73,63.43,63.46,3484000,0.0,0
2019-05-29,62.74,63.7,61.52,62.63,3671100,0.0,0
2019-05-30,63.31,63.55,62.5,63.08,3604900,0.0,0
2019-05-31,61.92,62.11,60.52,60.81,3542900,0.0,0
2019-06-03,60.54,61.87,60.38,61.35,3851500,0.0,0
2019-06-04,62.11,62.88,61.94,62.05,2819800,0.0,0
2019-06-05,62.26,62.94,61.06,61.35,2481100,0.0,0
2019-06-06,61.17,61.53,59.76,60.45,2605500,0.0,0
2019-06-07,60.77,62.23,60.69,61.83,2655100,0.0,0
2019-06-10,62.67,64.09,62.05,63.26,3210400,0.0,0
2019-06-11,63.55,64.08,62.9,63.58,2212100,0.0,0
2019-06-12,63.63,63.93,62.93,63.02,1555000,0.5,0
2019-06-13,63.37,64.4,63.37,64.38,1619700,0.0,0
2019-06-14,64.52,64.82,63.51,64.57,2148000,0.0,0
2019-06-17,64.34,65.43,64.18,65.15,1968600,0.0,0
2019-06-18,65.46,68.17,65.24,67.13,3482500,0.0,0
2019-06-19,67.17,67.47,65.82,66.12,2750100,0.0,0
2019-06-20,66.75,66.99,65.84,66.87,1741300,0.0,0
2019-06-21,66.85,66.98,65.72,66.04,2868300,0.0,0
2019-06-24,66.01,66.21,65.34,65.97,1472400,0.0,0
2019-06-25,66.03,66.49,64.79,64.92,1963700,0.0,0
2019-06-26,65.65,67.18,65.25,66.63,2453200,0.0,0
2019-06-27,66.88,67.07,66.5,66.95,1679900,0.0,0
2019-06-28,66.65,68.27,66.65,68.18,3051900,0.0,0
2019-07-01,69.66,72.02,69.34,70.82,3998800,0.0,0
2019-07-02,70.82,70.9,69.41,70.05,2116900,0.0,0
2019-07-03,70.31,70.68,70.19,70.38,1338800,0.0,0
2019-07-05,70.14,70.54,69.69,70.3,1422900,0.0,0
2019-07-08,70.53,71.53,69.93,70.4,2527500,0.0,0
2019-07-09,70.08,70.72,69.92,70.27,3624500,0.0,0
2019-07-10,70.45,70.63,69.73,70.34,2687600,0.0,0
2019-07-11,70.38,72.13,70.12,72.12,2415700,0.0,0
2019-07-12,72.31,73.55,72.31,73.11,2262600,0.0,0
2019-07-15,73.09,73.96,72.78,73.83,2030900,0.0,0
2019-07-16,73.62,73.8,72.56,73.12,2301900,0.0,0
2019-07-17,73.06,73.35,72.41,72.59,1671900,0.0,0
2019-07-18,72.3,72.77,71.79,72.2,1665800,0.0,0
2019-07-19,72.41,73.41,72.34,73.05,1787800,0.0,0
2019-07-22,73.33,74.24,73.07,74.02,2947800,0.0,0
2019-07-23,74.16,75.1,73.84,74.81,1954400,0.0,0
2019-07-24,74.79,76.4,74.72,76.13,1772300,0.0,0
2019-07-25,75.1,76.79,75.1,75.36,1873300,0.0,0
2019-07-26,75.95,76.35,74.52,76.03,1662500,0.0,0
2019-07-29,76.01,76.14,75.34,75.88,1199600,0.0,0
2019-07-30,75.63,76.13,75.03,75.29,2016400,0.0,0
2019-07-31,75.13,75.9,73.89,74.83,1848100,0.0,0
2019-08-01,75.01,75.52,66.37,66.76,7551400,0.0,0
2019-08-02,66.75,67.44,65.53,67.01,3954400,0.0,0
2019-08-05,65.32,65.32,63.42,64.67,3758600,0.0,0
2019-08-06,65.08,66.37,64.42,66.2,2590600,0.0,0
2019-08-07,65.53,66.46,64.3,66.21,2670600,0.0,0
2019-08-08,66.97,67.62,66.55,67.38,1819600,0.0,0
2019-08-09,67.32,67.6,65.59,65.87,1628500,0.0,0
2019-08-12,65.25,65.62,64.93,65.48,1116500,0.0,0
2019-08-13,65.26,72.84,64.39,69.71,5658400,0.0,0
2019-08-14,66.98,67.13,64.92,65.49,3271700,0.0,0
2019-08-15,66.16,66.16,61.56,62.51,3727400,0.0,0
2019-08-16,63.15,64.45,63.09,64.03,1897300,0.0,0
2019-08-19,65.09,65.73,64.46,64.79,1431000,0.0,0
2019-08-20,64.54,65.76,64.26,64.58,1299100,0.0,0
2019-08-21,66.21,67.09,65.97,66.36,1793100,0.0,0
2019-08-22,66.49,67.96,66.03,67.28,2433100,0.0,0
2019-08-23,66.5,66.7,63.79,64.74,4726800,0.0,0
2019-08-26,65.7,66.25,64.47,66.15,2685500,0.0,0
2019-08-27,67.13,67.6,66.14,66.32,3432200,0.0,0
2019-08-28,66.12,67.94,66.04,67.47,3405100,0.0,0
2019-08-29,63.83,64.43,60.67,62.08,13762500,0.0,0
2019-08-30,61.5,62.96,61.49,62.24,4712800,0.0,0
2019-09-03,61.63,63.4,61.1,61.81,4072500,0.0,0
2019-09-04,62.29,63.04,62.1,62.51,2731900,0.0,0
2019-09-05,63.61,64.73,63.21,64.3,2745100,0.0,0
2019-09-06,64.59,65.52,64.58,64.88,2626200,0.0,0
2019-09-09,65.53,67.76,65.53,67.69,2620400,0.0,0
2019-09-10,67.31,68.35,66.75,67.49,3092600,0.0,0
2019-09-11,67.23,67.95,65.96,66.34,2451600,0.0,0
2019-09-12,66.38,67.74,65.33,66.36,2720100,0.0,0
2019-09-13,66.84,67.32,65.69,66.04,2579700,0.0,0
2019-09-16,65.79,67.49,65.44,67.38,2335900,0.0,0
2019-09-17,67.16,67.34,66.07,66.9,2514800,0.0,0
2019-09-18,66.84,67.55,65.48,66.15,1710100,0.5,0
2019-09-19,66.59,66.98,66.42,66.58,1377800,0.0,0
2019-09-20,66.98,67.35,65.51,65.77,2265800,0.0,0
2019-09-23,65.6,66.8,65.36,66.4,1550500,0.0,0
2019-09-24,66.66,67.58,65.8,66.7,2175900,0.0,0
