Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,239.92,242.62,239.57,242.36,1112400,0.0,0
2019-03-22,241.38,241.69,237.05,237.13,1094200,0.0,0
2019-03-25,237.73,238.51,235.24,238.24,1143900,0.0,0
2019-03-26,240.31,244.94,240.31,243.92,1380900,0.0,0
2019-03-27,244.14,244.81,241.11,242.54,1075900,0.0,0
2019-03-28,243.05,244.3,241.62,243.92,990000,0.0,0
2019-03-29,245.16,246.87,244.11,246.62,1483600,0.0,0
2019-04-01,247.75,249.6,247.07,248.25,1122000,0.0,0
2019-04-02,248.27,248.88,247.29,247.61,981900,0.0,0
2019-04-03,248.39,248.41,245.26,246.28,1374100,0.0,0
2019-04-04,246.76,248.74,245.32,248.45,1155700,0.0,0
2019-04-05,249.37,250.49,247.81,248.15,1475000,0.0,0
2019-04-08,248.43,248.69,246.0,247.86,1245100,0.0,0
2019-04-09,246.22,247.35,244.56,246.66,1341100,0.0,0
2019-04-10,246.82,250.66,246.28,249.08,835100,0.0,0
2019-04-11,250.05,250.18,248.11,248.59,959400,0.0,0
2019-04-12,249.46,250.44,243.3,243.63,1338400,0.0,0
2019-04-15,243.71,244.6,242.13,243.13,1102300,0.0,0
2019-04-16,244.41,245.96,236.65,237.03,1559300,0.0,0
2019-04-17,237.71,237.71,218.75,223.05,4695200,0.0,0
2019-04-18,223.18,228.0,220.84,225.05,2542700,0.0,0
2019-04-22,224.29,226.67,221.81,222.23,1489600,0.0,0
2019-04-23,222.25,228.36,221.48,225.2,2557300,0.0,0
2019-04-24,225.03,230.37,223.27,229.6,1768800,0.0,0
2019-04-25,228.88,235.39,227.82,234.47,1816900,0.0,0
2019-04-26,235.54,236.02,233.12,235.15,806900,0.0,0
2019-04-29,234.35,235.96,232.76,233.76,1103200,0.0,0
2019-04-30,234.47,237.95,230.99,237.74,1807900,0.0,0
2019-05-01,237.29,237.73,232.17,232.71,937500,0.0,0
2019-05-02,232.69,234.73,231.39,233.72,954600,0.0,0
2019-05-03,234.93,235.13,232.97,234.92,925400,0.0,0
2019-05-06,231.2,235.92,229.74,235.55,1403700,0.0,0
2019-05-07,233.85,234.56,228.12,229.65,1487900,0.0,0
2019-05-08,230.14,231.09,227.81,229.43,1560200,0.0,0
2019-05-09,222.15,228.62,219.73,226.93,2916900,0.0,0
2019-05-10,225.42,226.92,220.78,222.59,2487200,0.0,0
2019-05-13,220.22,225.5,219.73,220.9,1609300,0.0,0
2019-05-14,221.03,224.26,220.0,220.06,1409200,0.0,0
2019-05-15,219.3,224.36,218.71,222.6,1439100,0.0,0
2019-05-16,222.69,225.19,221.72,223.11,1531800,0.0,0
2019-05-17,221.14,226.92,221.11,225.51,2490100,0.0,0
2019-05-20,224.79,227.87,224.41,226.5,1568000,0.0,0
2019-05-21,227.66,232.31,227.66,231.05,1724300,0.0,0
2019-05-22,230.38,233.47,229.53,232.74,1278200,0.0,0
2019-05-23,232.11,232.11,229.03,231.08,1131300,0.0,0
2019-05-24,231.96,235.36,231.2,232.26,1300100,0.0,0
2019-05-28,233.55,236.47,231.23,231.24,2259800,0.0,0
2019-05-29,230.65,233.94,229.59,231.08,1135000,0.0,0
2019-05-30,231.24,234.65,230.96,234.24,721700,0.0,0
2019-05-31,232.65,232.8,230.31,230.53,1039000,0.0,0
2019-06-03,231.05,233.11,228.37,229.76,1127500,0.0,0
2019-06-04,231.8,233.54,230.15,232.29,1005100,0.0,0
2019-06-05,234.38,238.15,232.4,236.37,1470900,0.0,0
2019-06-06,235.5,235.81,230.93,234.43,1673100,0.77,0
2019-06-07,235.97,237.32,234.95,236.17,1270000,0.0,0
2019-06-10,237.11,239.22,236.14,237.98,1280700,0.0,0
2019-06-11,239.09,239.59,233.99,234.82,954200,0.0,0
2019-06-12,234.08,237.02,233.84,234.77,1006100,0.0,0
2019-06-13,235.61,235.61,232.47,234.84,1232500,0.0,0
2019-06-14,235.22,235.22,231.86,231.99,984200,0.0,0
2019-06-17,232.24,233.41,230.95,232.02,948400,0.0,0
2019-06-18,233.04,235.32,233.04,234.36,875200,0.0,0
2019-06-19,234.17,236.87,233.87,236.03,1529100,0.0,0
2019-06-20,237.77,243.06,237.14,242.84,1565900,0.0,0
2019-06-21,243.17,246.09,241.98,245.0,2411600,0.0,0
2019-06-24,245.11,247.76,244.31,247.66,1106500,0.0,0
2019-06-25,247.68,250.07,245.66,245.92,1358500,0.0,0
2019-06-26,245.98,246.5,241.85,245.81,1217000,0.0,0
2019-06-27,246.95,249.0,246.05,246.84,897300,0.0,0
2019-06-28,248.06,249.77,247.13,249.67,1552200,0.0,0
2019-07-01,250.81,252.58,248.97,252.19,1036500,0.0,0
2019-07-02,252.43,252.63,249.16,251.5,836700,0.0,0
2019-07-03,251.81,252.87,250.29,252.87,607900,0.0,0
2019-07-05,251.04,252.65,248.98,251.84,575000,0.0,0
2019-07-08,250.83,251.64,248.4,248.64,1065900,0.0,0
2019-07-09,247.65,249.79,247.27,249.38,922500,0.0,0
2019-07-10,249.96,252.36,249.96,251.12,711700,0.0,0
2019-07-11,252.23,253.89,250.58,253.79,1026000,0.0,0
2019-07-12,253.67,253.9,248.92,250.53,645200,0.0,0
2019-07-15,251.02,251.94,249.45,250.89,674300,0.0,0
