Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,50.29,50.73,49.72,50.57,4643100,0.0,0
2019-03-22,50.17,50.27,48.6,49.22,5566900,0.0,0
2019-03-25,49.21,49.73,48.75,49.0,2751600,0.0,0
2019-03-26,49.37,49.7,48.98,49.55,3642900,0.0,0
2019-03-27,49.47,49.58,48.62,48.83,7443100,0.0,0
2019-03-28,48.99,49.32,48.77,49.11,3814100,0.0,0
2019-03-29,49.43,49.66,49.04,49.15,4933000,0.0,0
2019-04-01,49.51,50.23,49.49,50.15,3496300,0.0,0
2019-04-02,50.23,50.61,50.02,50.05,3301000,0.0,0
2019-04-03,50.48,50.79,49.82,49.94,4972000,0.0,0
2019-04-04,50.11,50.38,49.87,50.14,5998300,0.0,0
2019-04-05,50.26,50.45,49.73,49.88,4263700,0.0,0
2019-04-08,49.59,50.03,49.59,49.95,6959000,0.0,0
2019-04-09,49.76,50.01,49.29,49.7,3827600,0.0,0
2019-04-10,49.7,50.03,49.39,49.99,2743100,0.0,0
2019-04-11,50.23,50.68,50.02,50.38,3857600,0.0,0
2019-04-12,51.17,51.59,50.96,51.47,4663100,0.0,0
2019-04-15,51.46,51.79,51.09,51.27,4596200,0.0,0
2019-04-16,51.4,52.25,51.4,52.08,5443800,0.0,0
2019-04-17,48.44,48.73,46.86,47.12,13434500,0.0,0
2019-04-18,47.14,47.47,46.68,47.18,8317200,0.0,0
2019-04-22,47.03,47.35,46.68,46.97,7990100,0.0,0
2019-04-23,46.85,47.53,46.17,47.24,8468400,0.0,0
2019-04-24,47.0,47.23,46.56,46.93,7659200,0.0,0
2019-04-25,46.8,47.72,46.54,47.32,6818800,0.0,0
2019-04-26,47.24,47.5,46.57,47.48,5431500,0.28,0
2019-04-29,47.35,48.96,47.32,48.41,5983800,0.0,0
2019-04-30,48.51,48.8,48.01,48.68,6349500,0.0,0
2019-05-01,48.72,49.28,48.38,48.46,6204600,0.0,0
2019-05-02,48.57,49.42,48.36,48.85,5597900,0.0,0
2019-05-03,48.95,49.29,48.82,48.98,4360600,0.0,0
2019-05-06,48.1,48.53,47.58,48.36,3165700,0.0,0
2019-05-07,47.78,47.97,46.9,47.19,4235900,0.0,0
2019-05-08,47.04,47.62,46.9,47.1,3959300,0.0,0
2019-05-09,46.59,46.93,46.26,46.84,3113600,0.0,0
2019-05-10,46.73,47.29,46.25,47.15,3987700,0.0,0
2019-05-13,46.36,46.87,46.0,46.22,4658000,0.0,0
2019-05-14,46.22,46.43,45.81,46.08,3942900,0.0,0
2019-05-15,45.63,45.84,45.22,45.59,3306700,0.0,0
2019-05-16,45.65,46.03,45.54,45.62,3173300,0.0,0
2019-05-17,45.2,45.86,45.11,45.17,3497400,0.0,0
2019-05-20,45.18,45.4,44.87,45.06,3067600,0.0,0
2019-05-21,45.23,45.49,45.19,45.3,3595600,0.0,0
2019-05-22,45.17,45.3,44.98,45.25,3232100,0.0,0
2019-05-23,44.98,45.02,44.11,44.35,6228500,0.0,0
2019-05-24,44.49,44.49,44.09,44.27,4366200,0.0,0
2019-05-28,44.15,44.25,43.46,43.46,8718900,0.0,0
2019-05-29,42.99,43.28,42.45,43.19,6047200,0.0,0
2019-05-30,43.16,43.27,42.06,42.4,5268500,0.0,0
2019-05-31,41.74,42.2,41.59,41.85,6760000,0.0,0
2019-06-03,41.85,42.41,41.66,42.2,6694500,0.0,0
2019-06-04,42.79,43.46,42.57,43.42,4339700,0.0,0
2019-06-05,43.33,43.5,42.57,42.75,3570700,0.0,0
2019-06-06,42.72,43.11,42.31,42.96,3587400,0.0,0
2019-06-07,42.92,43.85,42.89,43.52,4644700,0.0,0
2019-06-10,43.97,44.45,43.66,44.01,4970300,0.0,0
2019-06-11,44.25,44.45,43.28,43.62,5493900,0.0,0
2019-06-12,43.62,43.79,43.12,43.23,4257400,0.0,0
2019-06-13,43.38,43.86,43.24,43.65,2573100,0.0,0
2019-06-14,43.67,43.82,43.17,43.61,2842200,0.0,0
2019-06-17,43.63,43.68,43.03,43.08,2516600,0.0,0
2019-06-18,42.7,43.34,42.33,42.39,10901900,0.0,0
2019-06-19,42.64,42.64,41.59,41.85,14111600,0.0,0
2019-06-20,41.84,42.34,41.3,42.27,11226500,0.0,0
2019-06-21,42.46,43.19,42.25,42.55,8578600,0.0,0
2019-06-24,42.47,43.15,42.12,42.23,4117500,0.0,0
2019-06-25,42.23,42.67,41.82,42.57,5941300,0.0,0
2019-06-26,42.62,42.72,42.05,42.27,5682600,0.0,0
2019-06-27,42.41,42.92,42.3,42.53,3025000,0.0,0
2019-06-28,43.13,43.68,42.91,43.28,7683500,0.0,0
2019-07-01,44.03,44.08,43.35,43.59,4124000,0.0,0
2019-07-02,43.59,43.86,43.19,43.36,5205800,0.0,0
2019-07-03,43.44,43.78,43.09,43.76,2714100,0.0,0
2019-07-05,43.98,44.23,43.29,43.65,3527900,0.0,0
2019-07-08,42.99,43.14,41.98,42.18,6209500,0.0,0
2019-07-09,41.79,42.56,41.62,42.54,4179800,0.0,0
2019-07-10,42.6,42.63,42.07,42.19,3804400,0.0,0
2019-07-11,42.31,42.88,42.17,42.79,3951800,0.0,0
2019-07-12,42.92,43.01,42.3,42.7,3290200,0.0,0
2019-07-15,42.74,42.74,42.12,42.3,4958700,0.0,0
2019-07-16,42.49,42.78,42.2,42.26,4872600,0.0,0
2019-07-17,42.51,43.83,42.51,43.25,6527000,0.0,0
2019-07-18,43.41,44.09,43.24,43.98,5705600,0.0,0
2019-07-19,44.17,44.87,44.08,44.38,7744200,0.0,0
2019-07-22,44.3,45.09,44.15,44.92,4900400,0.0,0
2019-07-23,45.32,46.02,45.13,45.8,6243100,0.0,0
2019-07-24,45.64,46.38,45.49,46.17,5310800,0.0,0
2019-07-25,46.37,46.49,45.76,46.36,5004900,0.0,0
2019-07-26,46.62,47.03,45.99,46.97,4789700,0.31,0
2019-07-29,46.81,46.94,46.19,46.2,4524000,0.0,0
2019-07-30,45.78,46.54,45.67,46.42,4222100,0.0,0
2019-07-31,46.29,46.73,46.04,46.3,6635700,0.0,0
2019-08-01,45.77,46.87,45.21,45.36,6863700,0.0,0
2019-08-02,45.36,45.67,43.71,45.42,4764700,0.0,0
2019-08-05,44.64,45.02,43.97,44.46,5557800,0.0,0
2019-08-06,44.59,44.86,43.97,44.85,5007700,0.0,0
2019-08-07,43.91,44.4,43.05,44.14,6223600,0.0,0
2019-08-08,44.4,45.36,44.34,44.97,5054800,0.0,0
2019-08-09,44.84,45.5,44.61,45.2,5077300,0.0,0
2019-08-12,44.66,44.91,43.73,43.79,4074300,0.0,0
2019-08-13,43.68,44.07,42.99,43.09,6093100,0.0,0
2019-08-14,42.18,42.49,41.36,41.4,4952500,0.0,0
2019-08-15,41.46,41.79,40.87,41.12,3583700,0.0,0
2019-08-16,41.39,41.94,41.36,41.77,2938200,0.0,0
2019-08-19,42.46,42.5,42.14,42.15,2843700,0.0,0
2019-08-20,41.96,42.03,41.35,41.4,2441700,0.0,0
2019-08-21,41.57,41.81,41.27,41.38,3295600,0.0,0
2019-08-22,41.67,41.91,41.27,41.61,3712700,0.0,0
2019-08-23,41.34,41.68,40.23,40.48,3737300,0.0,0
2019-08-26,40.78,40.9,40.3,40.57,4231900,0.0,0
2019-08-27,40.79,40.98,40.36,40.41,3878300,0.0,0
2019-08-28,40.25,40.64,39.98,40.51,4186600,0.0,0
2019-08-29,40.92,41.5,40.85,41.17,3051500,0.0,0
2019-08-30,41.46,41.69,41.28,41.5,3051000,0.0,0
2019-09-03,41.14,41.29,40.47,40.98,3613200,0.0,0
2019-09-04,41.4,41.48,40.94,41.36,2671600,0.0,0
2019-09-05,41.99,42.78,41.76,42.25,4544400,0.0,0
2019-09-06,42.37,42.53,42.04,42.46,3388900,0.0,0
2019-09-09,42.74,45.19,42.6,44.88,7858900,0.0,0
2019-09-10,45.16,45.64,44.69,45.17,5969900,0.0,0
2019-09-11,45.35,45.75,44.7,45.73,3986700,0.0,0
2019-09-12,45.52,45.94,45.11,45.7,3106600,0.0,0
2019-09-13,46.26,46.55,45.96,46.28,3209600,0.0,0
2019-09-16,45.77,46.38,45.53,46.13,2811500,0.0,0
2019-09-17,44.83,45.76,44.76,45.74,4949200,0.0,0
2019-09-18,45.76,46.61,45.32,46.38,4656500,0.0,0
2019-09-19,46.33,46.82,46.03,46.36,3252500,0.0,0
2019-09-20,46.36,46.57,45.62,45.77,8319400,0.0,0
2019-09-23,45.47,46.22,45.42,46.15,2351400,0.0,0
2019-09-24,45.98,46.27,45.39,45.64,2777400,0.0,0
2019-09-25,45.76,46.37,45.67,46.27,2776500,0.0,0
2019-09-26,46.2,46.29,45.77,46.01,2603000,0.0,0
2019-09-27,45.37,45.53,43.5,43.94,13736500,0.0,0
2019-09-30,44.29,44.88,44.19,44.61,5694300,0.0,0
2019-10-01,44.61,44.68,43.01,43.15,4879400,0.0,0
2019-10-02,42.83,42.92,41.87,41.93,7540900,0.0,0
2019-10-03,41.98,42.22,41.46,41.87,9524100,0.0,0
