Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,36.46,37.2,36.31,37.05,1149300,0.0,0
2019-03-22,36.61,36.69,35.51,35.54,1228000,0.0,0
2019-03-25,35.52,36.59,35.33,35.73,1431300,0.0,0
2019-03-26,35.87,36.33,35.78,36.09,1203000,0.0,0
2019-03-27,36.24,36.65,35.93,36.41,2138800,0.0,0
2019-03-28,36.47,37.37,36.41,37.08,1919500,0.0,0
2019-03-29,37.46,37.9,37.46,37.67,2053500,0.0,0
2019-04-01,38.41,39.76,38.41,39.74,2288600,0.0,0
2019-04-02,39.76,40.14,39.37,39.93,2158600,0.0,0
2019-04-03,40.6,41.32,40.43,40.83,1795400,0.0,0
2019-04-04,40.98,41.6,40.87,41.56,2505200,0.0,0
2019-04-05,41.54,41.85,41.28,41.34,2071900,0.0,0
2019-04-08,41.21,41.83,41.16,41.8,2811600,0.0,0
2019-04-09,41.55,41.7,40.97,41.02,1278400,0.0,0
2019-04-10,40.98,42.27,40.98,41.96,2049100,0.0,0
2019-04-11,41.94,42.2,41.56,41.95,1327400,0.0,0
2019-04-12,42.53,43.45,42.52,43.38,1802600,0.0,0
2019-04-15,43.23,43.56,42.76,43.04,1062800,0.0,0
2019-04-16,43.1,43.3,42.89,43.03,1524700,0.0,0
2019-04-17,43.45,43.92,42.62,42.66,3005800,0.0,0
2019-04-18,42.66,43.17,42.4,43.15,1198500,0.0,0
2019-04-22,42.94,43.17,42.71,42.87,1186800,0.0,0
2019-04-23,42.95,43.16,42.49,42.79,1349200,0.0,0
2019-04-24,42.62,42.89,42.49,42.71,1554100,0.0,0
2019-04-25,43.16,43.64,40.51,40.77,2660900,0.0,0
2019-04-26,41.17,41.82,40.73,41.7,1852500,0.0,0
2019-04-29,41.5,41.71,41.23,41.23,904400,0.0,0
2019-04-30,41.1,41.28,40.48,40.97,1503700,0.0,0
2019-05-01,41.07,41.23,40.25,40.26,1872900,0.0,0
2019-05-02,40.2,40.37,39.67,40.05,1557000,0.0,0
2019-05-03,40.25,40.57,39.96,40.5,789800,0.0,0
2019-05-06,39.23,40.06,38.67,39.96,1173000,0.0,0
2019-05-07,39.35,39.51,38.68,39.01,1159100,0.0,0
2019-05-08,39.02,39.27,38.62,38.63,1103300,0.0,0
2019-05-09,37.73,37.95,37.08,37.84,1477500,0.0,0
2019-05-10,37.56,37.85,36.91,37.74,958500,0.0,0
2019-05-13,36.7,36.81,35.88,35.91,1684400,0.0,0
2019-05-14,36.13,36.49,35.77,35.84,1435900,0.0,0
2019-05-15,35.35,36.42,34.78,36.28,2223600,0.0,0
2019-05-16,36.27,36.46,35.76,35.95,1597200,0.0,0
2019-05-17,35.62,36.1,35.45,35.56,1415800,0.0,0
2019-05-20,34.96,35.46,34.66,35.25,2216700,0.0,0
2019-05-21,35.49,36.22,35.38,36.1,2133500,0.0,0
2019-05-22,35.79,35.94,34.63,34.63,1573200,0.0,0
2019-05-23,34.27,34.85,33.73,34.79,1977100,0.0,0
2019-05-24,35.18,35.44,34.9,34.95,1321900,0.0,0
2019-05-28,35.09,35.82,35.04,35.74,2454900,0.0,0
2019-05-29,35.46,35.56,34.79,35.4,1901700,0.0,0
2019-05-30,36.23,36.5,35.67,36.07,2103700,0.0,0
2019-05-31,35.06,35.72,34.6,34.96,2498000,0.17,0
2019-06-03,34.96,36.65,34.81,36.48,2669500,0.0,0
2019-06-04,37.6,38.21,36.98,37.78,2162700,0.0,0
2019-06-05,37.84,38.27,37.05,38.25,1862100,0.0,0
2019-06-06,38.1,38.55,37.46,38.38,1354900,0.0,0
2019-06-07,38.63,39.33,38.43,39.19,1575400,0.0,0
2019-06-10,39.73,40.2,39.37,39.74,1529300,0.0,0
2019-06-11,40.17,40.6,40.09,40.32,1288000,0.0,0
2019-06-12,40.27,40.27,39.65,39.98,1620700,0.0,0
2019-06-13,40.0,40.52,39.83,40.51,1316100,0.0,0
2019-06-14,40.35,40.43,39.58,40.35,1267800,0.0,0
2019-06-17,40.27,40.82,40.19,40.43,1323900,0.0,0
2019-06-18,40.67,41.5,40.67,40.85,1395100,0.0,0
2019-06-19,41.12,41.15,40.61,40.83,1296400,0.0,0
2019-06-20,41.35,41.71,41.14,41.6,1531600,0.0,0
2019-06-21,41.58,41.72,41.18,41.39,1972300,0.0,0
2019-06-24,41.16,41.51,40.81,41.09,1092500,0.0,0
2019-06-25,41.26,41.34,40.8,40.88,1162800,0.0,0
2019-06-26,40.97,41.42,40.88,40.98,1887300,0.0,0
2019-06-27,41.45,41.77,41.32,41.51,1290300,0.0,0
2019-06-28,41.54,41.96,41.3,41.36,2950100,0.0,0
2019-07-01,42.17,42.58,40.96,41.33,1848200,0.0,0
2019-07-02,41.25,41.35,40.3,40.49,1714200,0.0,0
2019-07-03,40.75,40.77,40.04,40.09,762700,0.0,0
2019-07-05,39.79,40.73,39.79,40.17,1039600,0.0,0
2019-07-08,39.9,40.22,39.43,39.67,1425000,0.0,0
2019-07-09,39.23,39.48,38.25,38.72,1595500,0.0,0
2019-07-10,38.81,39.18,38.18,38.65,1312300,0.0,0
2019-07-11,38.58,38.64,37.95,38.45,1340600,0.0,0
2019-07-12,38.72,39.56,38.47,39.38,1103800,0.0,0
2019-07-15,39.53,39.68,38.83,39.14,1318900,0.0,0
2019-07-16,37.98,39.91,37.67,39.8,2308800,0.0,0
2019-07-17,39.63,39.78,38.75,38.9,1422200,0.0,0
2019-07-18,38.71,39.01,38.58,38.77,1156200,0.0,0
2019-07-19,39.0,40.17,38.95,39.45,1910100,0.0,0
2019-07-22,39.62,40.13,39.27,39.39,2174400,0.0,0
2019-07-23,40.46,41.44,40.18,41.07,3197500,0.0,0
2019-07-24,40.95,41.88,40.92,41.86,2379700,0.0,0
2019-07-25,41.31,41.43,39.27,39.97,3449900,0.0,0
2019-07-26,39.46,39.46,38.12,38.59,2909900,0.0,0
2019-07-29,38.48,38.8,38.25,38.28,1961000,0.0,0
2019-07-30,37.73,37.91,37.16,37.52,2874400,0.0,0
2019-07-31,37.7,37.84,36.66,37.25,2190200,0.0,0
2019-08-01,37.39,37.52,35.5,35.72,2114300,0.0,0
2019-08-02,35.47,35.56,34.64,35.31,2011600,0.0,0
2019-08-05,34.5,34.73,33.82,33.95,2384500,0.0,0
2019-08-06,34.4,34.61,33.59,33.86,2354000,0.0,0
2019-08-07,33.36,33.96,33.21,33.9,2222700,0.0,0
2019-08-08,34.06,34.65,33.84,34.47,1636300,0.0,0
2019-08-09,34.2,34.24,33.26,33.31,1739900,0.0,0
2019-08-12,32.98,33.3,32.47,32.54,1263100,0.0,0
2019-08-13,32.49,33.72,32.21,32.75,1446800,0.0,0
2019-08-14,32.12,32.16,30.92,31.04,2236500,0.0,0
2019-08-15,31.07,31.23,30.39,30.62,1530200,0.0,0
2019-08-16,30.92,31.65,30.39,31.53,1391200,0.0,0
2019-08-19,32.08,32.25,31.85,32.04,1527300,0.0,0
2019-08-20,31.89,31.89,31.08,31.28,1205600,0.0,0
2019-08-21,31.82,32.01,31.58,31.59,1070500,0.0,0
2019-08-22,31.74,31.92,31.22,31.33,985800,0.0,0
2019-08-23,31.12,31.36,30.26,30.43,2411900,0.0,0
2019-08-26,30.87,31.01,30.32,30.6,1232200,0.0,0
2019-08-27,31.12,31.64,30.56,30.68,1875600,0.0,0
2019-08-28,30.55,31.41,30.39,31.35,1420700,0.0,0
2019-08-29,31.73,32.39,31.73,32.27,1590400,0.0,0
2019-08-30,32.67,32.92,32.21,32.32,1173900,0.17,0
2019-09-03,31.95,32.04,31.45,32.01,1439600,0.0,0
2019-09-04,32.56,32.95,32.46,32.89,1569500,0.0,0
2019-09-05,33.49,35.02,33.45,34.76,2203700,0.0,0
2019-09-06,34.9,35.26,34.66,35.08,1358000,0.0,0
2019-09-09,35.45,36.47,35.32,36.31,1480400,0.0,0
2019-09-10,36.19,38.09,36.14,38.04,2163200,0.0,0
2019-09-11,38.07,38.77,37.1,38.75,2527900,0.0,0
2019-09-12,38.4,38.95,37.67,38.87,1729800,0.0,0
2019-09-13,39.23,40.06,39.17,39.62,2034900,0.0,0
2019-09-16,39.11,39.92,38.79,39.11,1379300,0.0,0
2019-09-17,38.68,38.8,37.74,38.17,2181100,0.0,0
2019-09-18,38.17,38.29,36.99,37.21,2330600,0.0,0
2019-09-19,37.13,37.35,36.63,36.68,1506500,0.0,0
2019-09-20,36.77,37.26,36.14,36.42,2876000,0.0,0
2019-09-23,35.96,36.94,35.89,36.46,1046500,0.0,0
2019-09-24,36.59,36.78,35.74,35.88,1106400,0.0,0
2019-09-25,35.8,36.57,35.42,36.49,1119500,0.0,0
2019-09-26,36.54,36.54,35.9,36.22,1080700,0.0,0
2019-09-27,36.41,36.73,35.81,36.04,1313600,0.0,0
2019-09-30,36.19,36.51,35.82,36.33,1276100,0.0,0
2019-10-01,36.46,36.68,35.43,35.59,1395900,0.0,0
2019-10-02,35.03,35.1,34.03,34.37,1579200,0.0,0
2019-10-03,34.2,34.5,33.69,34.49,1343500,0.0,0
2019-10-04,34.57,34.82,34.36,34.81,1247800,0.0,0
2019-10-07,34.66,35.23,34.24,34.63,973100,0.0,0
2019-10-08,34.06,34.18,33.57,33.79,1032200,0.0,0
2019-10-09,34.3,34.55,33.95,34.38,1032700,0.0,0
2019-10-10,34.59,35.22,34.59,35.06,1013500,0.0,0
2019-10-11,35.79,37.03,35.75,36.85,1905900,0.0,0
2019-10-14,36.65,36.73,36.14,36.72,951900,0.0,0
2019-10-15,36.75,37.66,36.41,37.37,1076700,0.0,0
2019-10-16,37.47,38.09,37.39,37.96,1894200,0.0,0
2019-10-17,38.12,38.12,37.45,37.66,2206900,0.0,0
2019-10-18,37.7,38.59,37.49,38.37,1885100,0.0,0
2019-10-21,38.63,39.17,38.43,38.61,1299800,0.0,0
2019-10-22,38.44,39.37,38.19,39.36,1307800,0.0,0
2019-10-23,39.36,39.62,38.8,39.6,1087600,0.0,0
2019-10-24,39.7,40.11,38.87,38.93,948400,0.0,0
2019-10-25,38.75,39.51,38.62,39.34,1400800,0.0,0
2019-10-28,39.7,40.22,39.63,40.02,1364000,0.0,0
2019-10-29,39.56,39.95,39.14,39.31,1065900,0.0,0
2019-10-30,39.12,39.29,38.15,38.86,1698900,0.0,0
2019-10-31,41.1,43.18,40.41,41.28,4298000,0.0,0
2019-11-01,41.77,43.27,41.72,43.23,2359000,0.0,0
2019-11-04,43.81,45.0,43.58,44.87,3007300,0.0,0
2019-11-05,44.9,45.25,44.3,44.63,2051100,0.0,0
2019-11-06,44.57,44.72,43.95,44.39,1197000,0.0,0
2019-11-07,44.87,45.85,44.78,45.53,1403800,0.0,0
2019-11-08,45.57,45.89,44.85,45.87,1049000,0.0,0
2019-11-11,45.55,46.16,45.45,45.81,1035400,0.0,0
2019-11-12,45.85,45.92,45.14,45.28,1283700,0.0,0
2019-11-13,44.93,45.03,44.14,44.27,1463600,0.0,0
2019-11-14,44.36,44.52,43.81,43.92,1078800,0.0,0
2019-11-15,44.3,44.5,44.02,44.16,1014300,0.0,0
2019-11-18,43.73,43.87,43.23,43.34,1592100,0.0,0
2019-11-19,43.53,43.6,42.88,43.1,1601900,0.0,0
2019-11-20,42.82,43.09,41.57,41.62,2061300,0.0,0
2019-11-21,42.01,42.33,41.69,42.01,1568500,0.0,0
2019-11-22,42.23,42.53,41.89,42.38,1371700,0.0,0
2019-11-25,42.26,43.13,42.08,43.06,1335400,0.0,0
2019-11-26,42.96,43.06,42.41,42.43,2011600,0.0,0
2019-11-27,42.54,42.71,41.79,42.09,1141700,0.0,0
2019-11-29,41.8,42.18,41.8,41.82,792700,0.17,0
2019-12-02,42.07,42.85,41.79,42.23,1491200,0.0,0
2019-12-03,41.57,41.64,40.91,41.34,1473800,0.0,0
2019-12-04,41.63,42.17,41.39,41.71,1478000,0.0,0
2019-12-05,41.88,42.43,41.73,42.42,1294500,0.0,0
2019-12-06,42.99,43.47,42.77,43.11,1195600,0.0,0
2019-12-09,42.92,43.21,42.71,43.11,1044100,0.0,0
2019-12-10,43.01,43.32,42.82,43.23,989400,0.0,0
2019-12-11,43.36,43.88,43.26,43.69,978500,0.0,0
2019-12-12,43.78,44.69,43.56,44.25,2422400,0.0,0
2019-12-13,44.52,44.75,43.53,43.56,1249300,0.0,0
2019-12-16,43.89,44.42,43.76,43.89,1976400,0.0,0
2019-12-17,44.15,44.5,44.0,44.38,1043000,0.0,0
2019-12-18,44.4,45.1,44.19,44.95,1609500,0.0,0
2019-12-19,44.81,45.04,44.47,44.65,1071200,0.0,0
2019-12-20,44.75,44.82,43.84,43.97,2069200,0.0,0
2019-12-23,44.03,44.2,43.54,44.05,876600,0.0,0
2019-12-24,44.05,44.05,43.45,43.64,331500,0.0,0
2019-12-26,43.77,43.83,43.15,43.57,599200,0.0,0
2019-12-27,43.69,43.89,43.35,43.52,665800,0.0,0
2019-12-30,43.53,43.65,43.07,43.16,600400,0.0,0
2019-12-31,43.1,43.51,43.03,43.14,662000,0.0,0
2020-01-02,43.76,43.81,43.11,43.71,1189300,0.0,0
2020-01-03,42.75,43.11,41.99,42.12,1050700,0.0,0
2020-01-06,41.77,42.05,41.38,41.95,846500,0.0,0
2020-01-07,41.87,42.47,41.69,42.2,1383300,0.0,0
2020-01-08,42.24,42.76,41.86,42.46,1072000,0.0,0
2020-01-09,42.68,42.69,41.69,41.7,1190900,0.0,0
2020-01-10,41.61,41.72,41.07,41.19,827100,0.0,0
2020-01-13,41.07,41.27,40.83,41.15,1703700,0.0,0
2020-01-14,41.09,41.89,41.09,41.5,1516800,0.0,0
2020-01-15,41.1,41.48,40.78,41.06,1075500,0.0,0
2020-01-16,41.27,41.65,41.03,41.65,1393900,0.0,0
2020-01-17,41.61,41.95,40.99,41.3,1426300,0.0,0
2020-01-21,41.02,41.1,40.25,40.27,1423300,0.0,0
2020-01-22,40.26,40.48,39.85,40.07,1197300,0.0,0
2020-01-23,39.74,40.41,39.09,40.33,1411500,0.0,0
2020-01-24,40.27,40.41,38.91,39.02,853400,0.0,0
