Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,127.69,129.57,127.69,129.12,759800,0.0,0
2019-03-22,129.11,130.04,127.72,127.76,1092500,0.0,0
2019-03-25,128.23,128.23,126.82,127.37,828700,0.0,0
2019-03-26,127.71,129.17,127.65,128.98,817100,0.0,0
2019-03-27,129.1,129.21,127.42,128.53,804300,0.0,0
2019-03-28,128.93,130.85,128.42,130.72,667100,0.95,0
2019-03-29,130.87,131.7,130.42,131.0,1171400,0.0,0
2019-04-01,131.23,132.6,130.7,132.54,1001000,0.0,0
2019-04-02,132.66,134.81,131.38,134.65,1035900,0.0,0
2019-04-03,135.05,135.63,133.98,135.39,893500,0.0,0
2019-04-04,135.2,135.71,133.66,134.95,595000,0.0,0
2019-04-05,134.79,135.46,134.35,135.4,451200,0.0,0
2019-04-08,135.49,135.51,134.29,135.05,499100,0.0,0
2019-04-09,134.86,134.9,134.06,134.33,737400,0.0,0
2019-04-10,134.49,135.47,134.3,135.41,605700,0.0,0
2019-04-11,135.72,136.41,134.93,135.47,525900,0.0,0
2019-04-12,135.44,135.44,133.92,134.92,1226200,0.0,0
2019-04-15,135.27,135.27,133.5,134.1,672400,0.0,0
2019-04-16,133.91,134.56,130.63,131.37,783500,0.0,0
2019-04-17,131.61,131.61,128.92,128.95,885500,0.0,0
2019-04-18,129.0,130.59,128.86,130.13,568900,0.0,0
2019-04-22,129.88,130.02,127.31,128.72,576200,0.0,0
2019-04-23,130.05,132.03,129.38,131.89,638400,0.0,0
2019-04-24,132.59,133.43,131.93,133.01,516800,0.0,0
2019-04-25,133.13,133.31,131.88,132.97,507800,0.0,0
2019-04-26,133.24,134.23,132.99,134.0,388600,0.0,0
2019-04-29,133.7,134.67,132.34,132.47,375500,0.0,0
2019-04-30,132.8,134.76,132.26,134.66,722500,0.0,0
2019-05-01,134.77,137.33,134.63,134.95,952900,0.0,0
2019-05-02,134.89,135.56,131.94,132.33,891200,0.0,0
2019-05-03,132.57,133.17,131.35,131.83,713400,0.0,0
2019-05-06,130.67,131.72,129.89,130.93,519900,0.0,0
2019-05-07,130.38,130.86,127.51,128.75,519400,0.0,0
2019-05-08,128.96,130.08,127.72,127.76,495200,0.0,0
2019-05-09,127.39,128.05,126.19,128.05,454100,0.0,0
2019-05-10,127.9,129.65,126.94,129.36,374700,0.0,0
2019-05-13,128.23,128.54,127.32,128.14,526300,0.0,0
2019-05-14,128.48,130.2,128.0,130.15,770400,0.0,0
2019-05-15,129.86,131.3,129.27,131.01,591100,0.0,0
2019-05-16,130.94,132.83,130.63,131.81,631900,0.0,0
2019-05-17,130.85,131.51,129.94,130.77,591000,0.0,0
2019-05-20,130.7,131.01,128.48,129.3,423400,0.0,0
2019-05-21,130.07,130.49,129.65,129.89,639900,0.0,0
2019-05-22,129.87,130.04,129.12,129.61,481300,0.0,0
2019-05-23,129.26,129.26,127.53,128.75,844800,0.0,0
2019-05-24,129.27,129.98,128.72,129.18,565900,0.0,0
2019-05-28,129.81,130.56,129.3,129.89,1564700,0.0,0
2019-05-29,129.78,129.79,127.9,128.72,838600,0.0,0
2019-05-30,128.9,129.85,127.57,128.0,881100,0.0,0
2019-05-31,126.89,129.08,126.26,128.01,572300,0.0,0
2019-06-03,128.43,129.56,128.06,128.99,840800,0.0,0
2019-06-04,129.15,129.63,127.78,129.27,670100,0.0,0
2019-06-05,129.86,132.35,129.86,132.27,569000,0.0,0
2019-06-06,132.41,133.0,131.45,132.97,518800,0.0,0
2019-06-07,133.44,134.3,133.23,133.23,520100,0.0,0
2019-06-10,133.63,133.63,131.43,131.73,518400,0.0,0
2019-06-11,132.32,132.32,129.86,130.81,640100,0.0,0
2019-06-12,130.38,131.82,129.57,131.37,455200,0.0,0
2019-06-13,132.03,132.33,130.72,132.29,502500,0.0,0
2019-06-14,132.2,132.94,131.78,132.29,483800,0.0,0
2019-06-17,133.32,134.09,133.17,133.86,585500,0.0,0
2019-06-18,134.55,135.9,132.67,133.42,468500,0.0,0
2019-06-19,133.12,134.9,132.44,134.35,543800,0.0,0
2019-06-20,135.27,136.25,134.84,135.78,981400,0.0,0
2019-06-21,135.52,135.52,132.78,133.14,1975400,0.0,0
2019-06-24,133.46,133.46,130.42,130.82,769800,0.0,0
2019-06-25,131.08,131.44,127.91,127.99,584800,0.0,0
2019-06-26,128.12,128.92,124.17,125.73,1250900,0.0,0
2019-06-27,126.71,127.7,125.76,126.21,901800,0.95,0
2019-06-28,126.42,128.49,126.42,127.16,982600,0.0,0
2019-07-01,127.91,127.91,125.45,127.26,656800,0.0,0
2019-07-02,127.54,129.51,127.18,129.34,569500,0.0,0
2019-07-03,129.72,131.33,129.14,131.15,345900,0.0,0
2019-07-05,130.21,130.68,127.75,129.99,397900,0.0,0
2019-07-08,129.84,130.84,129.36,130.47,575600,0.0,0
2019-07-09,130.24,130.84,129.59,130.17,885400,0.0,0
2019-07-10,130.19,132.27,130.19,131.96,668400,0.0,0
2019-07-11,131.85,132.88,130.12,130.6,709300,0.0,0
2019-07-12,130.66,131.02,130.04,130.42,291700,0.0,0
2019-07-15,130.97,130.97,129.96,130.22,353000,0.0,0
2019-07-16,129.68,130.07,129.23,129.55,433700,0.0,0
2019-07-17,129.82,130.09,127.48,128.29,421100,0.0,0
2019-07-18,128.41,128.92,127.36,128.52,567800,0.0,0
2019-07-19,128.87,129.16,126.15,126.25,565500,0.0,0
2019-07-22,125.98,126.79,125.29,126.57,756500,0.0,0
2019-07-23,127.21,128.37,126.57,128.2,512000,0.0,0
2019-07-24,127.71,128.72,127.42,128.46,486100,0.0,0
2019-07-25,128.34,128.99,127.79,128.74,451200,0.0,0
2019-07-26,128.97,129.67,128.44,129.43,460700,0.0,0
2019-07-29,129.79,131.13,129.37,130.41,660300,0.0,0
2019-07-30,131.1,132.37,130.17,131.12,546900,0.0,0
2019-07-31,132.59,134.69,130.34,131.06,884000,0.0,0
2019-08-01,130.5,131.08,127.11,128.49,1037700,0.0,0
2019-08-02,128.57,129.37,127.73,128.3,506100,0.0,0
2019-08-05,127.29,127.29,123.91,125.53,928400,0.0,0
2019-08-06,125.9,127.15,124.66,125.38,896300,0.0,0
2019-08-07,124.35,127.88,123.56,126.64,733800,0.0,0
2019-08-08,126.94,129.41,126.31,129.04,616500,0.0,0
2019-08-09,128.85,129.14,126.44,127.5,536900,0.0,0
2019-08-12,127.05,127.11,124.59,125.06,725700,0.0,0
2019-08-13,124.95,126.27,124.65,125.47,594100,0.0,0
2019-08-14,124.68,125.06,123.46,123.83,582300,0.0,0
2019-08-15,123.76,125.63,123.76,125.28,760400,0.0,0
2019-08-16,125.66,126.93,124.87,126.39,567400,0.0,0
2019-08-19,127.29,127.38,126.36,126.56,404800,0.0,0
2019-08-20,126.08,126.77,125.54,125.77,492800,0.0,0
2019-08-21,125.93,126.66,125.02,125.85,742100,0.0,0
