Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,61.93,62.56,61.2,62.17,18638300,0.0,0
2019-03-22,61.26,61.51,58.8,59.32,27527400,0.0,0
2019-03-25,59.32,59.98,58.41,58.69,20899300,0.0,0
2019-03-26,59.33,59.68,58.88,59.55,14740300,0.0,0
2019-03-27,59.71,59.98,59.06,59.07,16359600,0.0,0
2019-03-28,59.29,60.31,59.16,60.29,12081000,0.0,0
2019-03-29,60.63,61.1,60.27,60.52,13406300,0.0,0
2019-04-01,61.14,62.87,61.11,62.61,17736300,0.0,0
2019-04-02,62.49,63.09,62.18,62.66,9915800,0.0,0
2019-04-03,63.22,63.57,62.77,63.29,11560800,0.0,0
2019-04-04,63.04,64.4,63.04,64.03,11915700,0.0,0
2019-04-05,64.13,64.6,63.41,63.76,11062400,0.0,0
2019-04-08,63.35,64.3,63.25,64.27,10466400,0.0,0
2019-04-09,63.81,63.81,62.92,63.42,10221000,0.0,0
2019-04-10,63.7,63.9,63.01,63.73,12293300,0.0,0
2019-04-11,64.01,64.63,63.53,64.11,11358700,0.0,0
2019-04-12,65.25,66.45,64.82,65.58,19238700,0.0,0
2019-04-15,65.55,65.93,64.46,65.54,19493900,0.0,0
2019-04-16,65.66,67.53,65.55,67.42,18635700,0.0,0
2019-04-17,68.04,68.82,67.66,68.43,20509000,0.0,0
2019-04-18,68.1,68.47,67.72,67.77,13513800,0.0,0
2019-04-22,67.68,67.81,67.13,67.21,13195600,0.0,0
2019-04-23,66.96,67.41,66.52,67.31,13205000,0.0,0
2019-04-24,67.11,67.33,66.54,66.95,9699900,0.0,0
2019-04-25,66.69,67.29,66.29,66.86,8913600,0.0,0
2019-04-26,67.02,67.68,66.64,67.62,10692700,0.0,0
2019-04-29,67.79,69.98,67.68,69.09,16491400,0.0,0
2019-04-30,69.08,69.39,68.31,68.77,11122000,0.0,0
2019-05-01,68.75,69.23,67.84,68.05,13261700,0.0,0
2019-05-02,67.84,68.56,67.59,68.44,12186700,0.0,0
2019-05-03,68.91,69.49,68.53,69.19,11486700,0.45,0
2019-05-06,67.6,69.19,67.32,68.93,12004000,0.0,0
2019-05-07,67.89,68.04,66.2,66.73,17673400,0.0,0
2019-05-08,66.45,67.4,66.29,66.79,9470500,0.0,0
2019-05-09,65.43,66.44,65.04,66.21,16994200,0.0,0
2019-05-10,65.86,66.67,65.13,66.47,12318700,0.0,0
2019-05-13,64.74,64.94,62.62,63.03,23494400,0.0,0
2019-05-14,63.26,64.58,63.0,63.89,15096400,0.0,0
2019-05-15,63.11,63.85,62.68,63.51,14570900,0.0,0
2019-05-16,63.94,65.0,63.8,64.59,10573100,0.0,0
2019-05-17,63.61,64.55,63.53,63.7,11503500,0.0,0
2019-05-20,63.39,64.12,63.17,63.6,11605900,0.0,0
2019-05-21,64.12,64.7,63.83,64.69,11051500,0.0,0
2019-05-22,64.46,64.54,63.28,63.3,12564900,0.0,0
2019-05-23,62.48,62.6,61.76,62.56,15042200,0.0,0
2019-05-24,62.94,63.35,62.71,63.04,9715400,0.0,0
2019-05-28,62.74,63.1,62.42,62.45,14727400,0.0,0
2019-05-29,61.82,62.49,61.4,62.37,13836300,0.0,0
2019-05-30,63.41,63.88,61.92,62.27,13570900,0.0,0
2019-05-31,61.08,61.55,60.67,60.85,19968900,0.0,0
2019-06-03,60.8,61.46,60.64,61.3,19636800,0.0,0
2019-06-04,62.45,64.56,62.42,64.5,17743100,0.0,0
2019-06-05,64.08,64.63,63.15,64.4,12536300,0.0,0
2019-06-06,64.44,65.37,64.12,65.07,10868900,0.0,0
2019-06-07,64.77,65.4,64.24,64.31,11674200,0.0,0
2019-06-10,65.48,66.55,65.33,65.71,10994700,0.0,0
2019-06-11,66.16,66.6,65.75,66.45,9800900,0.0,0
2019-06-12,66.23,66.39,65.23,65.41,9877700,0.0,0
2019-06-13,65.43,66.02,65.37,65.67,9453600,0.0,0
2019-06-14,65.74,66.3,65.1,66.06,8901900,0.0,0
2019-06-17,66.08,66.09,65.01,65.14,8135900,0.0,0
2019-06-18,65.41,66.82,65.1,66.55,12199100,0.0,0
2019-06-19,66.73,67.15,66.16,66.17,12334800,0.0,0
2019-06-20,67.12,67.28,65.83,66.67,15557100,0.0,0
2019-06-21,66.6,67.51,66.4,66.54,19502500,0.0,0
2019-06-24,66.4,67.06,65.97,65.99,11223700,0.0,0
2019-06-25,66.04,66.06,65.08,65.14,14205600,0.0,0
2019-06-26,65.63,66.3,65.37,65.81,13654100,0.0,0
2019-06-27,66.2,66.99,66.11,66.72,11989100,0.0,0
2019-06-28,67.83,68.74,67.68,68.56,20388700,0.0,0
2019-07-01,69.37,70.14,68.72,69.25,13596400,0.0,0
2019-07-02,68.88,69.49,68.62,68.96,10272200,0.0,0
2019-07-03,69.23,69.71,68.8,69.36,7632400,0.0,0
2019-07-05,69.77,70.29,69.49,69.9,9107300,0.0,0
2019-07-08,69.27,70.18,69.16,69.64,10196000,0.0,0
2019-07-09,69.05,70.17,68.93,70.06,9477700,0.0,0
2019-07-10,70.0,70.43,69.17,69.64,12153200,0.0,0
2019-07-11,69.93,70.49,69.6,70.11,10739400,0.0,0
2019-07-12,70.38,70.51,70.08,70.26,15355700,0.0,0
2019-07-15,70.22,70.64,68.61,70.2,23365800,0.0,0
2019-07-16,70.19,70.49,69.6,69.82,16516600,0.0,0
