Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,23.87,25.44,23.57,25.1,28442700,0.0,0
2019-03-22,25.23,26.27,25.02,25.71,16791900,0.0,0
2019-03-25,25.74,26.97,25.61,26.6,13784800,0.0,0
2019-03-26,26.6,26.94,26.24,26.36,7975500,0.0,0
2019-03-27,26.35,26.66,26.31,26.36,5617700,0.0,0
2019-03-28,26.39,27.06,26.36,26.97,6510400,0.0,0
2019-03-29,26.88,27.09,26.71,26.97,4420400,0.0,0
2019-04-01,26.92,27.06,26.69,26.86,5139800,0.0,0
2019-04-02,26.91,26.93,26.61,26.63,4813600,0.0,0
2019-04-03,26.44,26.82,26.44,26.7,5783000,0.0,0
2019-04-04,26.81,27.16,26.75,27.01,4942600,0.0,0
2019-04-05,27.03,27.51,27.0,27.5,4497300,0.0,0
2019-04-08,27.45,27.7,27.38,27.51,5460900,0.0,0
2019-04-09,27.43,27.65,26.69,26.77,7265800,0.0,0
2019-04-10,26.78,28.86,26.48,28.57,15149000,0.0,0
2019-04-11,29.16,29.45,28.68,28.95,6692700,0.0,0
2019-04-12,28.9,29.17,28.8,28.92,7247800,0.0,0
2019-04-15,28.93,29.31,28.86,29.24,3481000,0.0,0
2019-04-16,29.32,29.59,29.03,29.25,3433100,0.0,0
2019-04-17,29.4,29.4,28.93,29.28,4629400,0.0,0
2019-04-18,29.24,29.75,29.17,29.67,4119400,0.0,0
2019-04-22,29.71,30.03,29.58,30.02,3846000,0.0,0
2019-04-23,29.64,30.14,29.64,30.03,4353000,0.0,0
2019-04-24,30.04,30.42,30.0,30.41,5849300,0.0,0
2019-04-25,30.24,30.43,29.92,30.09,5123300,0.0,0
2019-04-26,30.16,30.3,29.92,30.13,5433300,0.0,0
2019-04-29,30.15,30.24,29.6,29.72,4936500,0.2125,0
2019-04-30,29.79,30.23,29.71,30.13,3831400,0.0,0
2019-05-01,30.23,30.37,29.45,29.5,3777800,0.0,0
2019-05-02,29.32,29.74,29.07,29.32,2922500,0.0,0
2019-05-03,29.47,29.54,29.19,29.37,2142800,0.0,0
2019-05-06,29.11,29.46,28.93,29.17,2900700,0.0,0
2019-05-07,28.91,29.05,28.43,28.58,4710800,0.0,0
2019-05-08,28.6,29.13,28.55,28.96,3665500,0.0,0
2019-05-09,28.66,28.9,28.46,28.61,3433800,0.0,0
2019-05-10,28.52,28.68,27.46,28.11,5516700,0.0,0
2019-05-13,27.8,27.95,27.25,27.51,5355600,0.0,0
2019-05-14,27.56,28.28,27.47,27.99,5678800,0.0,0
2019-05-15,27.88,28.61,27.6,28.39,4492200,0.0,0
2019-05-16,28.47,28.82,28.42,28.48,3199700,0.0,0
2019-05-17,28.19,28.78,28.15,28.46,3447200,0.0,0
2019-05-20,28.3,28.4,27.81,27.88,4438500,0.0,0
2019-05-21,27.95,28.18,27.81,27.95,4045000,0.0,0
2019-05-22,27.99,28.03,27.7,27.85,4107500,0.0,0
2019-05-23,27.7,28.3,27.59,28.28,3849800,0.0,0
2019-05-24,28.3,28.37,27.99,28.22,2991300,0.0,0
2019-05-28,28.19,28.34,27.72,27.86,9846300,0.0,0
2019-05-29,27.57,27.65,26.58,26.67,5856400,0.0,0
2019-05-30,26.77,26.84,26.26,26.29,4173700,0.0,0
2019-05-31,26.04,26.25,25.79,26.2,3989400,0.0,0
2019-06-03,26.16,27.03,26.01,26.94,4364900,0.0,0
2019-06-04,27.12,28.04,27.12,28.01,5142800,0.0,0
2019-06-05,28.26,28.68,27.93,28.63,3888000,0.0,0
2019-06-06,28.64,29.1,28.42,29.02,3770600,0.0,0
2019-06-07,29.07,29.34,28.97,29.0,3140800,0.0,0
2019-06-10,29.04,29.11,28.5,28.73,3176500,0.0,0
2019-06-11,28.73,29.34,28.66,29.17,3193200,0.0,0
2019-06-12,29.16,29.36,28.82,28.92,3380000,0.0,0
2019-06-13,29.01,29.32,28.9,29.17,3307900,0.0,0
2019-06-14,29.26,29.49,28.93,29.25,2880700,0.0,0
2019-06-17,29.32,29.34,28.5,28.72,2781900,0.0,0
2019-06-18,28.87,28.92,28.33,28.37,2982800,0.0,0
2019-06-19,28.39,28.7,28.04,28.62,3827800,0.0,0
2019-06-20,28.7,28.96,28.16,28.58,3789400,0.0,0
2019-06-21,28.48,28.48,27.78,28.11,7267600,0.0,0
2019-06-24,28.06,28.06,27.4,27.5,4837900,0.0,0
2019-06-25,27.58,28.53,27.41,28.28,6614600,0.0,0
2019-06-26,27.77,28.42,27.6,28.32,5947000,0.0,0
2019-06-27,26.72,26.95,24.53,24.89,28681300,0.0,0
2019-06-28,24.91,26.23,24.89,25.96,12196200,0.0,0
2019-07-01,26.09,26.64,25.98,26.33,6693600,0.0,0
2019-07-02,26.34,26.4,25.73,26.11,4660300,0.0,0
2019-07-03,26.44,27.81,26.39,27.66,5552000,0.0,0
2019-07-05,27.42,27.58,26.78,27.47,4013400,0.0,0
2019-07-08,27.32,27.9,27.17,27.87,5594000,0.0,0
2019-07-09,27.86,27.9,27.35,27.41,4853500,0.0,0
2019-07-10,27.56,27.81,27.39,27.74,2650800,0.0,0
2019-07-11,27.75,27.89,26.57,26.9,5475800,0.0,0
2019-07-12,26.93,27.04,26.73,27.03,3603800,0.0,0
2019-07-15,27.01,27.22,26.68,26.94,4372300,0.0,0
2019-07-16,27.0,27.54,26.95,27.54,3993900,0.0,0
2019-07-17,27.61,28.42,27.45,28.35,9317500,0.0,0
2019-07-18,28.43,28.75,28.36,28.49,5284800,0.0,0
2019-07-19,28.49,28.62,28.21,28.29,4505000,0.0,0
2019-07-22,28.3,28.33,27.44,27.65,3816300,0.0,0
2019-07-23,27.65,28.8,27.6,28.58,4250300,0.0,0
2019-07-24,28.34,28.37,27.86,28.02,3693400,0.0,0
2019-07-25,27.91,28.31,27.75,27.94,2619300,0.0,0
2019-07-26,28.11,28.66,27.88,28.54,3490300,0.0,0
2019-07-29,28.47,28.74,28.29,28.61,3036700,0.2125,0
2019-07-30,28.6,28.85,28.32,28.69,3604200,0.0,0
2019-07-31,28.69,28.84,28.13,28.47,5044200,0.0,0
2019-08-01,28.6,29.19,28.48,28.73,7468100,0.0,0
2019-08-02,28.69,28.7,27.84,27.87,4360500,0.0,0
2019-08-05,27.67,27.75,27.42,27.61,4641900,0.0,0
