Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,130.53,133.43,130.43,133.19,1154900,0.73,0
2019-03-22,132.38,135.04,132.04,133.63,1558500,0.0,0
2019-03-25,133.81,134.27,133.11,133.68,1159900,0.0,0
2019-03-26,134.17,134.73,133.7,134.32,1369900,0.0,0
2019-03-27,134.58,136.77,134.45,135.8,1818600,0.0,0
2019-03-28,135.86,136.48,134.77,136.03,1325900,0.0,0
2019-03-29,136.54,137.11,136.12,137.01,2007500,0.0,0
2019-04-01,137.53,138.49,137.27,138.36,1445700,0.0,0
2019-04-02,138.36,138.46,136.66,136.85,1372100,0.0,0
2019-04-03,136.73,136.92,134.17,134.82,1937000,0.0,0
2019-04-04,134.59,134.61,133.2,133.77,2271700,0.0,0
2019-04-05,134.0,134.78,133.65,134.58,1391200,0.0,0
2019-04-08,134.31,134.49,133.48,134.16,1065900,0.0,0
2019-04-09,133.51,133.58,132.75,133.58,1099200,0.0,0
2019-04-10,133.61,134.55,133.45,134.4,1003400,0.0,0
2019-04-11,134.69,135.35,134.39,134.97,1111000,0.0,0
2019-04-12,135.45,136.36,134.86,136.12,1544000,0.0,0
2019-04-15,136.03,136.38,135.61,135.92,1155800,0.0,0
2019-04-16,136.36,137.21,136.32,137.14,1172400,0.0,0
2019-04-17,135.61,136.54,134.34,134.77,1417100,0.0,0
2019-04-18,134.78,137.38,134.78,135.62,1302200,0.0,0
2019-04-22,135.0,135.11,134.16,135.02,855000,0.0,0
2019-04-23,135.23,135.97,134.85,135.56,993200,0.0,0
2019-04-24,135.96,138.31,135.42,137.47,1882700,0.0,0
2019-04-25,136.92,138.9,136.23,138.61,1314900,0.0,0
2019-04-26,138.77,139.93,138.61,139.85,1207800,0.0,0
2019-04-29,139.84,141.24,139.52,140.48,1162800,0.0,0
2019-04-30,140.9,142.06,140.06,142.02,2025900,0.0,0
2019-05-01,139.25,142.41,138.89,141.07,1930800,0.0,0
2019-05-02,141.32,142.16,140.17,141.17,1327700,0.0,0
2019-05-03,141.6,142.57,140.82,141.87,1196900,0.0,0
2019-05-06,140.61,142.16,140.37,141.66,936500,0.0,0
2019-05-07,142.57,142.57,139.08,139.66,1524600,0.0,0
2019-05-08,139.72,140.75,139.06,139.65,1041200,0.0,0
2019-05-09,138.64,140.14,138.31,139.53,1112500,0.0,0
2019-05-10,138.98,141.78,138.69,141.56,1162000,0.0,0
2019-05-13,139.91,141.2,139.27,140.21,1314700,0.0,0
2019-05-14,139.98,142.21,139.98,140.73,1213100,0.0,0
2019-05-15,139.7,141.55,139.7,140.52,967900,0.0,0
2019-05-16,140.79,142.85,140.17,142.43,957400,0.0,0
2019-05-17,141.33,142.99,141.26,141.81,1440700,0.0,0
2019-05-20,141.81,143.1,141.34,142.56,1306400,0.0,0
2019-05-21,142.67,143.44,142.58,143.01,1249000,0.0,0
2019-05-22,143.01,145.14,142.56,144.78,1155600,0.0,0
2019-05-23,143.82,144.16,142.61,143.85,1305700,0.0,0
2019-05-24,144.24,145.13,143.61,144.92,939500,0.0,0
2019-05-28,144.89,145.44,143.21,143.25,1106100,0.0,0
2019-05-29,142.45,142.86,141.3,142.76,1414400,0.0,0
2019-05-30,143.29,143.73,141.62,142.59,1187100,0.0,0
2019-05-31,141.93,143.06,141.59,142.87,1265700,0.0,0
2019-06-03,141.79,144.7,141.79,144.57,1393100,0.0,0
2019-06-04,145.32,145.63,143.95,144.12,2151000,0.0,0
2019-06-05,144.17,146.36,143.92,146.15,1459200,0.0,0
2019-06-06,146.6,146.67,145.18,145.4,1459400,0.0,0
2019-06-07,145.47,147.03,145.2,146.17,1795900,0.0,0
2019-06-10,146.71,146.8,145.31,145.73,1397200,0.0,0
2019-06-11,146.16,146.36,145.09,145.35,1028700,0.0,0
2019-06-12,145.68,146.5,145.27,145.51,1158000,0.0,0
2019-06-13,145.69,145.73,144.68,145.58,1190700,0.0,0
2019-06-14,145.9,147.23,145.3,146.97,1161300,0.0,0
2019-06-17,147.46,148.67,144.9,145.14,1198100,0.0,0
2019-06-18,145.36,146.24,144.66,144.88,1608300,0.0,0
2019-06-19,145.26,146.4,145.05,146.18,1768500,0.0,0
2019-06-20,145.05,147.04,145.05,146.82,1836000,0.75,0
2019-06-21,145.49,147.91,145.49,147.1,2185400,0.0,0
2019-06-24,146.0,148.57,146.0,147.53,1371600,0.0,0
2019-06-25,147.95,148.77,147.4,148.38,1637300,0.0,0
2019-06-26,148.33,148.33,144.45,144.5,1453700,0.0,0
2019-06-27,144.49,145.09,143.98,144.66,1521100,0.0,0
2019-06-28,145.35,145.42,144.35,144.79,2769700,0.0,0
