Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,93.77,94.9,93.1,93.6,554900,0.0,0
2019-03-22,93.2,94.58,92.02,94.32,959200,0.0,0
2019-03-25,94.31,95.02,93.73,94.13,825100,0.0,0
2019-03-26,93.88,94.1,91.97,93.66,933700,0.0,0
2019-03-27,93.41,93.64,92.37,93.18,658200,0.0,0
2019-03-28,93.55,93.6,92.25,93.06,635000,0.0,0
2019-03-29,93.27,94.38,93.27,94.32,665100,0.0,0
2019-04-01,94.33,95.7,93.89,95.7,589200,0.0,0
2019-04-02,95.22,96.34,95.14,95.37,460600,0.0,0
2019-04-03,95.49,96.16,94.55,94.58,606000,0.0,0
2019-04-04,94.4,95.2,93.2,94.63,434800,0.0,0
2019-04-05,94.53,94.99,93.94,94.73,738900,0.0,0
2019-04-08,95.06,95.35,94.23,94.47,421400,0.0,0
2019-04-09,94.62,95.36,93.47,93.8,480400,0.0,0
2019-04-10,93.53,95.2,92.93,95.01,898200,0.0,0
2019-04-11,95.26,95.51,94.23,94.79,572500,0.0,0
2019-04-12,94.89,96.4,94.86,95.02,436600,0.0,0
2019-04-15,95.42,97.19,95.11,96.55,479100,0.0,0
2019-04-16,96.39,98.13,96.39,97.77,466700,0.0,0
2019-04-17,96.93,99.98,96.93,99.62,643400,0.0,0
2019-04-18,99.96,100.49,99.13,100.07,645800,0.0,0
2019-04-22,99.79,100.17,98.95,99.89,488600,0.0,0
2019-04-23,100.47,100.8,99.51,99.94,514200,0.0,0
2019-04-24,99.62,100.43,99.62,100.16,601500,0.0,0
2019-04-25,99.54,100.72,99.31,100.55,387600,0.0,0
2019-04-26,100.16,101.28,99.78,100.36,334800,0.0,0
2019-04-29,100.02,100.98,99.47,99.82,412800,0.0,0
2019-04-30,100.24,100.66,99.69,100.42,777200,0.0,0
2019-05-01,100.04,100.8,99.59,99.86,511400,0.0,0
2019-05-02,99.46,99.73,98.64,98.73,1008900,0.0,0
2019-05-03,99.61,101.12,99.28,99.8,708100,0.0,0
2019-05-06,99.03,102.69,98.83,101.86,704500,0.0,0
2019-05-07,101.76,102.72,100.19,100.59,975300,0.0,0
2019-05-08,100.37,101.79,100.34,101.43,1347000,0.0,0
2019-05-09,100.7,103.25,100.7,102.39,999800,0.0,0
