Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,53.83,54.88,53.83,54.82,2931800,0.0,0
2019-03-22,54.36,54.73,53.85,54.01,3514500,0.0,0
2019-03-25,53.88,54.49,53.6,54.23,4244300,0.0,0
2019-03-26,50.21,51.7,48.9,49.5,18505000,0.0,0
2019-03-27,49.6,49.83,48.31,48.5,7383000,0.0,0
2019-03-28,48.13,48.67,47.78,48.19,5569200,0.0,0
2019-03-29,48.07,48.69,47.92,48.56,4929500,0.0,0
2019-04-01,48.82,49.97,48.82,49.96,5004900,0.0,0
2019-04-02,49.83,50.4,49.75,50.14,4509200,0.0,0
2019-04-03,50.65,51.38,50.59,50.92,4954100,0.0,0
2019-04-04,50.97,51.03,50.53,50.83,2296700,0.0,0
2019-04-05,50.84,51.08,50.56,50.81,3821200,0.0,0
2019-04-08,50.73,50.79,50.09,50.27,3192100,0.0,0
2019-04-09,50.26,50.44,49.56,49.69,4108500,0.0,0
2019-04-10,49.96,50.17,49.58,50.04,2639800,0.0,0
2019-04-11,50.17,50.54,49.95,50.23,4584200,0.0,0
2019-04-12,50.7,51.29,50.62,51.28,3395700,0.0,0
2019-04-15,51.11,51.51,50.98,51.45,3002000,0.0,0
2019-04-16,51.6,52.51,51.49,52.46,3464600,0.0,0
2019-04-17,52.77,52.98,51.98,52.21,4991900,0.0,0
2019-04-18,52.32,52.38,51.1,51.34,4114300,0.0,0
2019-04-22,51.02,51.32,50.78,50.81,2463100,0.0,0
2019-04-23,51.1,51.63,51.04,51.46,2541200,0.0,0
2019-04-24,50.98,51.52,50.83,51.44,2863300,0.0,0
2019-04-25,51.25,51.78,51.09,51.53,2482200,0.0,0
2019-04-26,51.77,52.32,51.66,52.1,1794200,0.0,0
2019-04-29,52.1,52.55,51.89,52.11,4796700,0.0,0
2019-04-30,51.94,52.59,51.67,52.52,4313700,0.0,0
2019-05-01,53.23,53.65,52.52,53.44,6672100,0.0,0
2019-05-02,52.95,53.01,51.79,52.01,7569800,0.0,0
2019-05-03,51.92,52.94,51.9,52.83,3826900,0.0,0
2019-05-06,51.88,52.53,51.75,52.51,2969500,0.0,0
2019-05-07,51.58,51.9,50.94,51.39,5068100,0.0,0
2019-05-08,51.5,52.12,51.21,51.72,3207100,0.0,0
2019-05-09,51.05,51.81,50.69,51.64,2749400,0.0,0
2019-05-10,51.19,52.07,50.64,52.02,2507300,0.0,0
2019-05-13,50.74,50.99,50.1,50.53,4467400,0.0,0
2019-05-14,50.49,51.94,50.38,51.52,4244100,0.0,0
2019-05-15,51.08,51.65,50.84,51.49,3906800,0.0,0
2019-05-16,51.36,51.87,51.24,51.63,2794400,0.0,0
2019-05-17,51.11,51.59,50.97,51.39,3006700,0.0,0
2019-05-20,50.61,50.65,49.94,50.15,2876500,0.0,0
2019-05-21,50.54,50.89,50.39,50.41,3220400,0.0,0
2019-05-22,50.4,50.5,49.99,50.38,2211000,0.0,0
