Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,61.57,63.19,61.57,63.08,1998500,0,0
2019-03-22,63.11,63.24,61.72,61.76,1925100,0,0
2019-03-25,61.76,62.26,61.27,62.11,2123000,0,0
2019-03-26,62.76,62.9,62.03,62.3,1822300,0,0
2019-03-27,62.35,62.45,61.1,61.83,1718700,0,0
2019-03-28,62.03,62.75,61.67,62.65,1478600,0,0
2019-03-29,63.15,63.56,62.8,63.51,1899100,0,0
2019-04-01,65.08,65.24,63.6,64.8,2283800,0,0
2019-04-02,64.75,64.81,63.96,64.61,2256300,0,0
2019-04-03,65.06,65.45,64.56,65.17,2994400,0,0
2019-04-04,65.25,65.25,63.05,63.67,3546100,0,0
2019-04-05,64.13,64.3,63.51,64.2,1939100,0,0
2019-04-08,64.23,64.29,63.28,63.98,1946000,0,0
2019-04-09,63.64,64.59,63.63,64.31,1497000,0,0
2019-04-10,64.31,64.99,64.28,64.47,1589100,0,0
2019-04-11,64.59,64.72,64.08,64.57,1027300,0,0
2019-04-12,64.8,65.0,64.4,64.98,1703300,0,0
2019-04-15,65.0,65.37,64.59,65.06,1332900,0,0
2019-04-16,65.48,65.64,64.25,64.7,2138700,0,0
2019-04-17,65.0,65.06,63.74,63.97,2021200,0,0
2019-04-18,64.33,64.33,62.52,63.37,3021900,0,0
2019-04-22,63.31,64.27,63.25,64.21,2307600,0,0
2019-04-23,68.5,69.69,65.88,66.7,5947500,0,0
2019-04-24,66.79,68.33,66.69,67.65,3186600,0,0
2019-04-25,68.11,68.44,66.69,67.49,2047100,0,0
2019-04-26,67.5,68.25,66.84,68.22,2177900,0,0
2019-04-29,68.42,68.87,67.92,68.18,1683000,0,0
2019-04-30,68.18,69.44,68.16,69.38,2154700,0,0
2019-05-01,69.6,69.99,68.46,68.54,1649300,0,0
2019-05-02,68.54,69.52,68.2,69.45,2359400,0,0
2019-05-03,69.59,70.49,68.75,70.27,2233800,0,0
2019-05-06,68.62,70.19,68.06,70.0,1628900,0,0
2019-05-07,69.11,69.46,67.94,68.6,2380700,0,0
2019-05-08,68.29,69.3,67.89,68.94,1696500,0,0
2019-05-09,68.07,69.0,67.2,68.7,1717200,0,0
2019-05-10,68.45,69.52,67.48,69.36,1736900,0,0
2019-05-13,67.4,68.22,66.67,66.9,1716900,0,0
2019-05-14,67.27,68.49,67.08,68.09,1827200,0,0
2019-05-15,67.55,69.18,67.32,68.74,2438800,0,0
2019-05-16,68.9,70.36,68.75,69.85,2102300,0,0
2019-05-17,69.53,69.93,68.56,68.66,2045800,0,0
2019-05-20,67.37,67.4,64.38,64.62,3520800,0,0
2019-05-21,65.4,65.78,65.17,65.35,2708800,0,0
2019-05-22,65.02,65.14,64.44,64.72,2697900,0,0
2019-05-23,64.21,64.3,63.31,63.72,2613000,0,0
2019-05-24,63.89,64.33,63.78,63.94,2100300,0,0
2019-05-28,64.16,65.13,63.46,63.92,3914500,0,0
2019-05-29,63.44,64.18,62.82,63.75,2704200,0,0
2019-05-30,64.01,64.79,63.82,64.32,1360500,0,0
2019-05-31,63.45,64.27,63.13,63.57,2349300,0,0
2019-06-03,63.31,63.8,61.32,61.7,2636100,0,0
2019-06-04,62.57,63.55,62.22,63.22,4211600,0,0
2019-06-05,64.07,64.84,63.86,64.5,2572700,0,0
2019-06-06,64.7,64.85,63.66,64.69,2461700,0,0
2019-06-07,64.87,65.94,64.85,65.57,1726700,0,0
2019-06-10,66.2,67.31,65.85,67.17,2039600,0,0
2019-06-11,67.83,68.33,67.38,68.2,2760000,0,0
2019-06-12,68.14,69.51,68.0,69.35,2267900,0,0
2019-06-13,69.98,70.08,67.89,68.1,2336200,0,0
2019-06-14,68.0,68.0,67.08,67.72,2064300,0,0
2019-06-17,67.9,68.41,67.31,67.55,2149900,0,0
2019-06-18,68.33,69.37,68.07,69.21,2226700,0,0
2019-06-19,69.35,71.61,69.22,71.44,3280200,0,0
2019-06-20,72.52,73.09,72.21,72.67,3027700,0,0
2019-06-21,72.5,72.87,71.16,71.37,2885700,0,0
2019-06-24,71.57,71.88,70.57,71.28,1960700,0,0
2019-06-25,71.04,71.66,69.36,69.43,2035200,0,0
2019-06-26,69.98,70.76,69.63,69.84,1798100,0,0
2019-06-27,69.99,70.48,69.95,70.17,1451900,0,0
2019-06-28,70.39,70.93,69.95,70.81,3560800,0,0
2019-07-01,72.56,73.53,72.38,73.35,2043100,0,0
2019-07-02,73.35,74.02,73.29,74.02,1966400,0,0
2019-07-03,74.25,75.02,74.02,74.81,1854900,0,0
2019-07-05,74.2,74.43,72.88,74.41,1244800,0,0
2019-07-08,74.08,74.46,73.74,74.37,1341900,0,0
2019-07-09,73.85,74.57,73.54,74.49,1918200,0,0
2019-07-10,74.84,75.6,74.58,75.1,1738900,0,0
2019-07-11,75.55,75.56,74.75,75.2,1904200,0,0
2019-07-12,75.17,75.51,73.95,75.02,1786200,0,0
2019-07-15,75.53,75.53,74.72,75.2,1483900,0,0
2019-07-16,75.05,75.45,74.67,74.69,1924500,0,0
2019-07-17,74.75,75.41,74.29,74.35,1778300,0,0
2019-07-18,74.0,75.04,73.62,74.72,2865800,0,0
2019-07-19,74.8,74.92,72.87,72.92,2148100,0,0
2019-07-22,73.4,73.85,72.49,72.66,3769900,0,0
2019-07-23,71.99,74.43,71.1,74.27,3923700,0,0
2019-07-24,74.01,76.0,73.71,75.79,2229200,0,0
2019-07-25,75.69,77.08,75.38,76.04,2296200,0,0
2019-07-26,76.19,76.77,75.76,75.91,1948000,0,0
2019-07-29,76.01,76.44,74.54,76.35,1427300,0,0
2019-07-30,75.7,76.27,75.23,75.54,1153600,0,0
2019-07-31,75.73,75.83,73.12,73.91,1660400,0,0
2019-08-01,73.91,75.34,72.64,73.04,2114200,0,0
2019-08-02,72.32,72.99,70.66,71.27,1802400,0,0
2019-08-05,69.5,69.6,66.98,67.5,2771300,0,0
2019-08-06,68.15,69.4,68.05,69.15,2132700,0,0
2019-08-07,68.25,69.2,67.77,68.93,2122700,0,0
2019-08-08,69.51,71.67,69.5,71.39,1980800,0,0
2019-08-09,70.83,71.29,69.04,70.24,1200300,0,0
2019-08-12,69.95,70.03,68.39,68.72,1484300,0,0
2019-08-13,68.6,71.13,68.41,70.97,2277800,0,0
2019-08-14,69.42,69.87,67.29,67.73,1883300,0,0
2019-08-15,67.92,68.42,67.3,68.14,1662600,0,0
2019-08-16,69.05,69.49,68.5,69.32,1420200,0,0
2019-08-19,70.59,70.7,69.06,69.6,1146000,0,0
2019-08-20,69.37,69.66,68.5,68.79,1586600,0,0
2019-08-21,69.48,70.4,68.91,69.69,1599800,0,0
2019-08-22,70.18,71.11,69.1,69.81,1915100,0,0
2019-08-23,69.33,69.61,66.55,66.81,2234900,0,0
2019-08-26,67.77,68.04,67.27,67.79,2715900,0,0
2019-08-27,68.25,68.33,66.82,67.11,2491600,0,0
2019-08-28,66.43,67.29,66.03,66.82,1751600,0,0
2019-08-29,67.76,69.38,67.67,69.02,2105000,0,0
2019-08-30,69.51,69.57,68.21,68.48,1665900,0,0
2019-09-03,67.82,68.51,67.51,68.14,2136000,0,0
2019-09-04,69.09,69.49,68.21,68.5,1671400,0,0
2019-09-05,69.44,70.9,68.85,70.61,1600100,0,0
2019-09-06,70.6,70.94,69.89,70.0,1559800,0,0
2019-09-09,70.45,70.45,67.79,68.41,1681100,0,0
2019-09-10,67.85,68.3,65.04,65.77,2319100,0,0
2019-09-11,65.83,66.38,65.25,65.47,1860300,0,0
2019-09-12,65.81,67.59,65.81,66.15,1803600,0,0
2019-09-13,66.09,67.04,65.37,65.54,1588300,0,0
2019-09-16,64.96,65.8,64.26,65.73,1674000,0,0
2019-09-17,66.04,67.47,65.58,67.35,2300300,0,0
2019-09-18,67.06,67.88,66.5,67.79,1901300,0,0
2019-09-19,67.56,68.24,66.86,66.92,1999300,0,0
2019-09-20,67.32,68.2,66.01,66.01,2840200,0,0
2019-09-23,65.49,66.51,65.26,65.97,1001900,0,0
2019-09-24,66.64,66.78,64.83,65.16,1867000,0,0
2019-09-25,65.19,66.43,64.21,66.13,1562700,0,0
2019-09-26,66.22,66.83,65.84,66.58,1029700,0,0
2019-09-27,66.74,66.85,64.38,65.2,1613800,0,0
2019-09-30,65.42,66.46,65.07,66.08,1592200,0,0
2019-10-01,66.35,66.99,65.25,65.29,1226900,0,0
2019-10-02,64.7,64.81,63.14,64.02,1780400,0,0
2019-10-03,64.02,65.22,63.22,65.1,1686800,0,0
2019-10-04,65.41,65.93,64.93,65.91,2988600,0,0
2019-10-07,65.74,66.32,65.45,65.6,1107500,0,0
2019-10-08,64.68,65.09,63.2,63.64,1775300,0,0
2019-10-09,64.41,65.26,64.08,64.85,911800,0,0
2019-10-10,64.68,65.7,64.6,65.54,1247900,0,0
2019-10-11,66.36,67.0,65.69,65.9,1535200,0,0
2019-10-14,66.01,66.87,65.98,66.51,1147400,0,0
2019-10-15,66.77,67.7,66.48,67.63,1481700,0,0
2019-10-16,66.19,67.37,66.14,66.82,1101100,0,0
2019-10-17,67.27,67.77,65.91,66.0,1333800,0,0
2019-10-18,65.67,66.59,64.88,65.6,1879900,0,0
2019-10-21,66.34,66.87,65.8,66.75,1785300,0,0
2019-10-22,69.79,70.5,62.75,62.94,3836400,0,0
2019-10-23,62.42,64.37,62.41,63.47,1876800,0,0
2019-10-24,63.72,65.27,63.62,65.09,1445000,0,0
2019-10-25,64.81,65.39,64.46,65.1,878300,0,0
2019-10-28,65.18,66.0,65.18,65.88,950300,0,0
2019-10-29,65.97,66.57,65.8,65.97,1405800,0,0
2019-10-30,66.16,66.99,65.52,66.94,1233000,0,0
2019-10-31,66.71,67.0,64.91,65.35,1693300,0,0
2019-11-01,65.69,66.42,65.22,65.48,2596800,0,0
2019-11-04,66.08,66.92,65.61,66.88,2450500,0,0
2019-11-05,67.14,67.63,66.55,67.2,2063200,0,0
2019-11-06,67.17,67.21,66.55,67.14,1030400,0,0
2019-11-07,67.37,68.2,66.5,66.87,1158000,0,0
2019-11-08,66.49,67.28,66.25,67.1,897100,0,0
2019-11-11,66.76,67.71,66.46,67.45,823000,0,0
2019-11-12,67.24,68.25,67.23,67.58,867600,0,0
2019-11-13,67.22,67.78,66.83,67.21,836400,0,0
2019-11-14,66.8,67.37,66.75,67.16,907700,0,0
2019-11-15,67.52,67.58,66.7,67.48,1481900,0,0
2019-11-18,67.61,67.74,66.97,67.23,1059400,0,0
2019-11-19,67.5,68.6,67.38,68.49,1561400,0,0
2019-11-20,68.28,68.94,67.5,67.7,1558800,0,0
2019-11-21,67.7,67.98,66.91,67.19,1319000,0,0
2019-11-22,67.51,67.82,66.58,67.19,1444700,0,0
2019-11-25,67.25,68.33,67.25,68.17,1480900,0,0
2019-11-26,68.38,69.69,68.35,69.53,2829200,0,0
2019-11-27,69.68,70.96,69.53,70.9,1484300,0,0
2019-11-29,70.64,70.96,70.09,70.25,1182600,0,0
2019-12-02,70.1,70.21,67.3,67.48,1925400,0,0
2019-12-03,66.5,66.62,64.75,65.22,2858300,0,0
2019-12-04,65.71,66.22,65.16,65.93,1712400,0,0
2019-12-05,65.72,66.35,65.48,65.81,1773500,0,0
2019-12-06,66.46,67.41,66.25,67.18,1303700,0,0
2019-12-09,66.81,67.29,66.01,66.03,1710800,0,0
2019-12-10,66.21,66.72,65.5,65.85,1395700,0,0
2019-12-11,66.22,66.42,65.64,65.89,1931400,0,0
2019-12-12,65.7,67.04,65.09,66.88,1820700,0,0
2019-12-13,66.84,68.08,66.59,67.92,1941500,0,0
2019-12-16,68.39,69.64,68.39,69.06,2388100,0,0
2019-12-17,69.37,69.89,68.64,69.13,2520500,0,0
2019-12-18,69.52,70.43,69.24,69.94,2108700,0,0
2019-12-19,69.68,70.42,69.24,69.68,1580000,0,0
2019-12-20,70.09,70.71,69.34,70.09,4451700,0,0
2019-12-23,70.23,70.62,69.42,70.14,1619900,0,0
2019-12-24,70.15,70.41,69.14,69.65,436500,0,0
2019-12-26,69.65,70.42,69.65,70.05,668500,0,0
2019-12-27,70.39,70.44,69.39,70.29,900600,0,0
2019-12-30,69.99,70.22,69.06,69.99,845700,0,0
2019-12-31,69.81,70.48,69.25,69.36,1538700,0,0
2020-01-02,70.18,71.44,69.59,71.44,1410700,0,0
2020-01-03,70.54,70.99,70.06,70.42,1317600,0,0
2020-01-06,69.98,70.97,69.65,70.85,1544700,0,0
2020-01-07,70.46,71.28,69.94,71.07,1664600,0,0
2020-01-08,71.28,72.76,70.96,72.28,1763100,0,0
2020-01-09,72.82,73.69,72.56,73.36,1514400,0,0
2020-01-10,73.4,73.58,72.67,73.03,950000,0,0
2020-01-13,73.53,73.95,72.95,73.39,1156400,0,0
