Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,98.64,100.94,98.64,100.45,553600,0.0,0
2019-03-22,99.46,99.46,95.95,96.01,771200,0.0,0
2019-03-25,95.86,96.47,94.48,94.63,849100,0.0,0
2019-03-26,95.31,96.13,94.57,94.99,1099700,0.0,0
2019-03-27,95.0,95.87,94.34,94.89,1177300,0.0,0
2019-03-28,95.01,96.23,94.89,96.15,782000,0.0,0
2019-03-29,96.38,97.03,95.91,96.47,774200,0.0,0
2019-04-01,97.32,99.19,97.3,99.04,845100,0.0,0
2019-04-02,99.47,100.17,98.85,99.6,864200,0.0,0
2019-04-03,100.48,101.63,100.23,100.96,892300,0.0,0
2019-04-04,101.44,102.69,101.17,102.63,1073700,0.0,0
2019-04-05,103.01,103.91,102.8,103.47,863800,0.0,0
2019-04-08,102.72,103.53,100.24,100.39,1685100,0.0,0
2019-04-09,99.47,99.76,98.25,99.42,723600,0.0,0
2019-04-10,99.93,100.0,98.3,99.6,761200,0.0,0
2019-04-11,99.79,100.47,99.43,99.89,563300,0.0,0
2019-04-12,101.17,103.08,100.64,103.02,1479400,0.0,0
2019-04-15,102.57,103.56,101.42,101.74,523600,0.0,0
2019-04-16,101.96,103.28,101.84,103.09,754300,0.0,0
2019-04-17,103.9,106.65,103.12,103.15,1057800,0.0,0
2019-04-18,103.71,104.2,102.04,102.91,896500,0.0,0
2019-04-22,102.48,103.5,102.09,102.21,1044100,0.0,0
2019-04-23,107.82,111.37,106.73,109.74,1956300,0.0,0
2019-04-24,109.83,110.39,108.34,108.49,1480200,0.0,0
2019-04-25,108.04,108.04,105.73,106.34,984600,0.0,0
2019-04-26,106.5,107.82,106.11,106.82,573600,0.62,0
2019-04-29,106.89,107.1,105.69,106.1,1255700,0.0,0
2019-04-30,106.17,107.05,105.71,106.16,1616700,0.0,0
2019-05-01,106.02,106.25,104.07,104.13,1414300,0.0,0
2019-05-02,103.77,104.91,103.31,104.5,1974700,0.0,0
2019-05-03,105.05,107.2,105.03,107.02,1335400,0.0,0
2019-05-06,105.09,106.36,103.74,106.09,1308000,0.0,0
2019-05-07,104.8,105.06,103.34,104.2,1110300,0.0,0
2019-05-08,103.79,104.54,102.92,104.05,876900,0.0,0
2019-05-09,102.58,102.72,101.72,101.94,1354800,0.0,0
2019-05-10,101.67,102.11,99.91,101.7,871800,0.0,0
2019-05-13,99.66,99.66,96.58,97.56,1135800,0.0,0
2019-05-14,97.98,99.66,97.72,98.83,1382800,0.0,0
2019-05-15,97.83,99.87,97.58,99.57,1197800,0.0,0
2019-05-16,100.2,101.23,99.72,100.17,1382400,0.0,0
2019-05-17,98.99,100.97,98.96,100.01,953600,0.0,0
2019-05-20,98.86,99.38,97.68,97.94,1082400,0.0,0
2019-05-21,98.74,99.31,98.15,98.7,832200,0.0,0
2019-05-22,98.41,98.89,97.71,98.5,974000,0.0,0
2019-05-23,97.28,97.47,95.29,97.04,957100,0.0,0
2019-05-24,97.95,98.33,96.68,97.78,792600,0.0,0
2019-05-28,97.76,98.71,97.61,98.03,1617600,0.0,0
2019-05-29,97.05,98.24,96.44,98.0,1044600,0.0,0
2019-05-30,98.03,98.98,96.74,97.01,791700,0.0,0
2019-05-31,95.46,96.15,93.21,93.4,1269000,0.0,0
2019-06-03,93.42,95.34,93.35,95.34,1504200,0.0,0
