Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,56.62,58.06,56.62,57.84,1366300,0.0,0
2019-03-22,57.64,57.9,56.48,56.53,1318500,0.0,0
2019-03-25,56.61,56.74,55.8,56.26,1212500,0.0,0
2019-03-26,56.49,56.96,56.1,56.28,1361700,0.0,0
2019-03-27,56.22,56.53,55.69,56.19,999600,0.0,0
2019-03-28,56.27,56.57,55.73,56.11,1378400,0.0,0
2019-03-29,56.44,56.92,56.24,56.78,1440200,0.0,0
2019-04-01,57.23,57.31,56.23,57.09,1771100,0.0,0
2019-04-02,57.05,57.18,56.25,56.5,1158100,0.0,0
2019-04-03,56.83,57.06,56.36,56.69,1678300,0.0,0
2019-04-04,56.78,57.11,56.28,56.62,858400,0.0,0
2019-04-05,56.6,57.08,56.57,56.89,993100,0.0,0
2019-04-08,56.98,57.15,56.09,56.66,1398000,0.0,0
2019-04-09,62.9,65.53,61.42,62.49,15884200,0.0,0
2019-04-10,63.12,63.29,61.2,63.23,5189700,0.0,0
2019-04-11,63.09,63.28,61.51,61.73,3311000,0.0,0
2019-04-12,61.92,62.37,61.73,62.33,2586000,0.0,0
2019-04-15,62.25,63.12,62.01,62.98,3062300,0.0,0
2019-04-16,63.3,63.49,62.17,62.57,2196800,0.0,0
2019-04-17,62.64,62.95,61.76,61.93,3012500,0.0,0
2019-04-18,62.33,62.53,61.39,62.24,2577500,0.0,0
2019-04-22,61.97,62.52,61.77,62.2,2046300,0.0,0
2019-04-23,62.45,63.63,62.39,63.35,3850100,0.0,0
2019-04-24,63.34,63.91,63.3,63.67,2746900,0.0,0
2019-04-25,63.2,64.47,62.68,64.11,2906700,0.0,0
2019-04-26,64.01,64.98,62.31,64.59,4821000,0.0,0
2019-04-29,64.51,65.77,64.35,65.38,2780800,0.0,0
2019-04-30,65.04,66.06,64.82,65.95,2563800,0.0,0
2019-05-01,66.15,66.6,65.63,66.2,2553700,0.0,0
2019-05-02,66.27,67.66,65.93,67.5,3010200,0.0,0
2019-05-03,67.93,68.82,67.62,67.95,2167900,0.0,0
2019-05-06,66.83,68.23,66.61,68.13,2242300,0.0,0
2019-05-07,67.41,67.84,66.9,67.24,2382500,0.0,0
2019-05-08,67.25,67.85,66.92,67.51,1641800,0.0,0
2019-05-09,67.08,68.17,66.73,68.07,2070700,0.0,0
2019-05-10,67.71,68.76,67.1,68.42,2279100,0.0,0
2019-05-13,67.37,67.82,66.55,66.65,2704300,0.0,0
2019-05-14,66.93,67.8,66.77,67.32,2363200,0.0,0
2019-05-15,66.83,68.55,66.58,68.11,2832400,0.0,0
2019-05-16,68.18,69.12,68.11,68.39,2155100,0.0,0
2019-05-17,67.87,69.09,67.81,67.96,2257200,0.0,0
2019-05-20,67.4,69.21,67.36,69.02,3262000,0.0,0
2019-05-21,69.32,70.23,69.19,69.62,3619000,0.0,0
2019-05-22,69.37,69.92,69.03,69.6,2324700,0.0,0
2019-05-23,69.21,69.92,68.89,69.41,3222800,0.0,0
2019-05-24,69.6,70.36,69.47,70.06,3105200,0.0,0
2019-05-28,70.1,70.46,69.51,69.68,4102200,0.0,0
2019-05-29,69.5,69.72,68.53,68.91,2721500,0.0,0
2019-05-30,69.09,70.17,68.98,69.79,2032800,0.0,0
2019-05-31,69.41,69.83,68.83,69.44,1987700,0.0,0
2019-06-03,69.47,69.88,68.23,68.56,3552700,0.0,0
2019-06-04,69.27,70.37,69.11,70.34,3444200,0.0,0
2019-06-05,70.46,71.25,69.99,70.97,3005700,0.0,0
2019-06-06,71.0,71.95,70.94,71.7,2546700,0.0,0
2019-06-07,72.2,72.69,71.9,72.19,1848300,0.0,0
2019-06-10,72.3,72.59,71.68,72.15,1677500,0.0,0
2019-06-11,72.3,72.68,70.7,71.13,3120800,0.0,0
2019-06-12,71.19,71.87,71.15,71.71,2026200,0.0,0
2019-06-13,71.91,72.14,71.61,71.93,1912700,0.0,0
2019-06-14,71.99,72.4,71.65,71.68,1682600,0.0,0
2019-06-17,71.78,71.96,71.06,71.12,1806100,0.18,0
2019-06-18,71.63,71.77,70.16,70.31,2810300,0.0,0
2019-06-19,70.42,70.95,70.2,70.64,3217700,0.0,0
2019-06-20,71.33,71.63,70.64,71.39,3061300,0.0,0
2019-06-21,71.54,72.03,71.08,71.72,3295700,0.0,0
2019-06-24,71.74,72.33,71.21,72.28,1345000,0.0,0
2019-06-25,72.47,72.58,70.64,70.89,2268400,0.0,0
2019-06-26,70.99,71.42,70.31,70.68,1604500,0.0,0
2019-06-27,70.72,71.64,70.45,71.43,1805600,0.0,0
2019-06-28,71.49,72.99,71.48,72.93,6527400,0.0,0
2019-07-01,73.24,74.04,73.13,73.89,2453400,0.0,0
2019-07-02,74.14,74.7,73.77,74.57,2526000,0.0,0
2019-07-03,74.62,75.61,73.74,74.15,1526800,0.0,0
2019-07-05,73.83,74.12,73.17,74.12,1238300,0.0,0
2019-07-08,73.86,74.35,73.48,74.18,1670500,0.0,0
2019-07-09,73.94,74.65,73.82,74.61,1574100,0.0,0
2019-07-10,74.76,75.35,74.62,75.3,1657900,0.0,0
2019-07-11,75.47,75.81,75.1,75.76,1408700,0.0,0
2019-07-12,75.92,76.08,75.13,75.73,1406700,0.0,0
2019-07-15,75.8,75.88,75.34,75.45,1281400,0.0,0
2019-07-16,75.64,75.75,73.76,74.1,3062700,0.0,0
2019-07-17,74.01,74.41,73.69,74.05,2111400,0.0,0
2019-07-18,74.13,74.2,73.41,73.62,2419500,0.0,0
2019-07-19,74.09,74.09,72.27,72.46,2228900,0.0,0
2019-07-22,72.59,72.7,71.55,71.63,3288100,0.0,0
2019-07-23,71.61,71.75,70.7,71.71,2243600,0.0,0
2019-07-24,71.26,72.03,70.79,71.84,2739200,0.0,0
2019-07-25,71.13,72.96,70.16,72.55,4066500,0.0,0
2019-07-26,72.41,73.14,71.59,72.74,2691900,0.0,0
2019-07-29,72.63,73.45,72.16,73.3,1542900,0.0,0
2019-07-30,73.03,73.6,72.83,73.22,1652600,0.0,0
2019-07-31,73.04,73.41,70.67,71.29,2479300,0.0,0
2019-08-01,71.39,72.41,71.21,71.57,3233000,0.0,0
2019-08-02,71.62,71.63,70.23,70.61,2207400,0.0,0
2019-08-05,69.84,70.55,69.12,69.32,2784600,0.0,0
2019-08-06,69.46,70.28,69.01,70.14,1824500,0.0,0
2019-08-07,69.53,69.99,68.75,69.73,2402800,0.0,0
2019-08-08,69.86,71.27,69.72,71.13,1943200,0.0,0
2019-08-09,71.12,71.43,70.52,71.05,1515500,0.0,0
2019-08-12,70.87,71.12,69.73,69.88,1775100,0.0,0
2019-08-13,69.97,71.38,69.66,70.52,1709300,0.0,0
2019-08-14,69.82,70.1,68.96,69.07,2270100,0.0,0
2019-08-15,69.1,69.61,68.87,68.9,2293700,0.0,0
2019-08-16,69.59,70.61,69.18,70.29,1945600,0.0,0
2019-08-19,70.92,71.85,70.56,71.47,1883800,0.0,0
2019-08-20,71.54,71.61,70.94,71.02,1685700,0.0,0
2019-08-21,71.6,71.71,71.25,71.42,1331000,0.0,0
2019-08-22,72.47,72.49,71.01,71.32,1361100,0.0,0
2019-08-23,70.89,71.12,67.23,67.59,3778400,0.0,0
2019-08-26,67.89,68.51,67.64,68.17,1835400,0.0,0
2019-08-27,68.51,68.95,67.62,67.84,2069700,0.0,0
2019-08-28,67.57,68.73,67.56,68.23,1309600,0.0,0
2019-08-29,68.73,69.05,68.29,68.65,1142300,0.0,0
2019-08-30,69.2,69.51,68.08,68.56,1965200,0.0,0
2019-09-03,67.95,68.41,66.5,67.05,2275700,0.0,0
2019-09-04,67.61,67.91,66.37,66.94,1403000,0.0,0
2019-09-05,67.58,67.86,67.04,67.51,1467400,0.0,0
