Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,40.38,40.45,39.59,40.01,3431800,0.0,0
2019-03-22,39.69,39.9,37.92,37.96,4735100,0.0,0
2019-03-25,38.06,38.63,37.89,38.53,2811500,0.0,0
2019-03-26,38.9,38.93,37.98,38.66,2962400,0.0,0
2019-03-27,38.55,39.42,38.5,39.12,1920400,0.0,0
2019-03-28,39.34,40.27,39.03,39.28,2360700,0.0,0
2019-03-29,39.38,39.87,39.13,39.78,2154300,0.0,0
2019-04-01,40.34,40.72,39.68,40.7,2043600,0.0,0
2019-04-02,40.81,41.05,40.36,40.56,2531700,0.0,0
2019-04-03,41.03,42.08,41.03,41.78,3200900,0.0,0
2019-04-04,41.59,42.04,41.28,42.02,1624100,0.0,0
2019-04-05,42.1,42.38,41.76,42.31,2300800,0.0,0
2019-04-08,42.47,42.55,41.83,42.39,1645000,0.0,0
2019-04-09,41.97,42.05,41.4,41.6,1773900,0.0,0
2019-04-10,41.61,41.81,41.04,41.41,1663000,0.0,0
2019-04-11,41.11,41.51,40.81,41.12,1292600,0.0,0
2019-04-12,41.65,41.99,41.04,41.44,1374300,0.0,0
2019-04-15,41.4,41.98,41.38,41.72,1383500,0.0,0
2019-04-16,41.72,42.9,41.36,42.68,2148200,0.0,0
2019-04-17,42.92,43.7,42.77,43.42,4331200,0.0,0
2019-04-18,42.27,44.09,41.68,43.93,4662100,0.0,0
2019-04-22,43.73,44.49,43.66,43.74,3036000,0.0,0
2019-04-23,43.5,43.79,42.15,43.37,3199900,0.0,0
2019-04-24,43.24,43.45,42.4,43.35,1552100,0.0,0
2019-04-25,43.03,43.54,42.88,42.89,1848500,0.0,0
2019-04-26,43.36,44.31,43.05,43.95,1758300,0.0,0
2019-04-29,43.5,44.12,42.79,43.71,2209000,0.0,0
2019-04-30,43.84,44.06,43.22,43.58,2535700,0.0,0
2019-05-01,43.22,43.49,42.03,42.13,2746400,0.0,0
2019-05-02,42.03,43.79,41.52,42.29,3895300,0.0,0
2019-05-03,42.68,43.14,42.1,43.03,1467400,0.0,0
2019-05-06,41.87,43.01,41.57,42.62,1731500,0.0,0
2019-05-07,42.12,42.13,40.11,40.41,3940400,0.0,0
2019-05-08,40.26,40.91,39.82,40.72,3473900,0.0,0
2019-05-09,40.09,40.2,39.46,40.05,2153500,0.0,0
2019-05-10,39.88,40.72,39.39,40.5,2373000,0.0,0
2019-05-13,39.52,39.82,38.77,39.72,2481800,0.0,0
2019-05-14,40.08,40.7,39.62,40.38,2688800,0.3,0
2019-05-15,40.32,41.32,40.17,41.1,1670300,0.0,0
2019-05-16,41.42,42.25,41.25,41.91,2936200,0.0,0
2019-05-17,41.49,42.33,41.49,41.64,1699100,0.0,0
2019-05-20,41.12,41.44,40.45,40.48,1886100,0.0,0
2019-05-21,41.05,41.43,40.78,41.25,2445400,0.0,0
2019-05-22,40.66,41.17,40.27,40.33,2699400,0.0,0
2019-05-23,39.67,40.02,39.19,39.7,2493500,0.0,0
2019-05-24,40.23,40.44,39.77,40.0,1918800,0.0,0
2019-05-28,39.97,40.06,39.19,39.46,2161200,0.0,0
2019-05-29,39.05,39.48,38.93,39.05,1973900,0.0,0
2019-05-30,39.06,39.95,38.97,39.79,1855700,0.0,0
2019-05-31,39.06,39.6,38.4,39.45,2460900,0.0,0
2019-06-03,39.36,40.68,39.33,40.6,3181700,0.0,0
2019-06-04,41.33,42.66,40.98,42.66,3378700,0.0,0
2019-06-05,42.64,42.64,41.05,41.69,2509000,0.0,0
2019-06-06,41.48,42.72,41.18,42.52,2020200,0.0,0
2019-06-07,42.65,42.65,40.67,41.2,2804000,0.0,0
2019-06-10,41.39,41.77,40.82,41.12,2257100,0.0,0
2019-06-11,41.72,41.77,41.06,41.25,2748300,0.0,0
2019-06-12,41.29,42.58,41.26,42.26,2182600,0.0,0
2019-06-13,43.19,44.28,42.9,44.25,3260600,0.0,0
2019-06-14,44.14,45.75,43.74,45.1,2993900,0.0,0
2019-06-17,45.53,46.04,45.14,45.62,2971100,0.0,0
2019-06-18,45.89,46.91,45.65,46.29,2838400,0.0,0
2019-06-19,46.19,46.51,45.45,45.56,2791100,0.0,0
2019-06-20,46.34,46.42,45.24,45.94,2545000,0.0,0
2019-06-21,45.97,46.77,45.8,45.85,3086800,0.0,0
2019-06-24,45.93,46.54,45.57,46.13,2093100,0.0,0
2019-06-25,46.47,46.98,46.2,46.55,2824000,0.0,0
2019-06-26,46.56,46.66,45.85,45.88,1431300,0.0,0
2019-06-27,46.15,46.65,45.54,46.21,1661800,0.0,0
2019-06-28,46.23,46.83,45.33,45.79,4454200,0.0,0
2019-07-01,45.88,46.52,44.03,45.61,2787900,0.0,0
2019-07-02,45.49,45.83,44.75,45.38,2375800,0.0,0
2019-07-03,45.59,46.04,45.4,45.72,641200,0.0,0
2019-07-05,45.18,45.63,44.9,45.39,1191300,0.0,0
2019-07-08,45.33,45.33,44.36,44.63,1627600,0.0,0
2019-07-09,44.3,44.39,43.5,43.52,2618000,0.0,0
2019-07-10,43.77,44.41,43.23,43.35,1972000,0.0,0
2019-07-11,43.13,44.07,42.95,44.06,2426700,0.0,0
2019-07-12,44.21,45.49,43.99,45.26,2653700,0.0,0
2019-07-15,45.59,47.23,45.35,46.94,2268000,0.0,0
2019-07-16,46.94,47.68,46.61,46.77,1769900,0.0,0
2019-07-17,46.73,46.9,46.07,46.49,1469700,0.0,0
2019-07-18,46.12,46.53,45.65,46.06,1771700,0.0,0
2019-07-19,46.14,46.42,45.96,46.23,1344500,0.0,0
2019-07-22,46.25,46.46,45.99,46.41,1298500,0.0,0
2019-07-23,46.75,47.47,46.38,47.39,1758100,0.0,0
2019-07-24,47.53,48.03,47.14,47.96,2151100,0.0,0
2019-07-25,47.54,47.85,47.08,47.43,2012500,0.0,0
2019-07-26,47.49,47.54,46.83,47.2,1607600,0.0,0
2019-07-29,47.14,47.29,46.57,46.59,1760000,0.0,0
2019-07-30,46.12,48.79,46.08,48.76,2611100,0.0,0
2019-07-31,48.74,49.62,48.32,48.59,2685500,0.0,0
2019-08-01,51.21,54.07,50.38,51.32,6314900,0.0,0
