Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,84.25,85.25,83.83,85.04,763500,0.0,0
2019-03-22,84.71,84.71,82.46,82.5,1094900,0.0,0
2019-03-25,82.4,82.67,80.82,81.29,1619100,0.0,0
2019-03-26,81.75,83.44,81.02,83.34,1645500,0.0,0
2019-03-27,83.4,84.19,82.86,83.61,1027300,0.0,0
2019-03-28,83.69,84.62,83.53,84.06,910300,0.0,0
2019-03-29,84.33,84.81,84.13,84.75,1273400,0.0,0
2019-04-01,85.37,86.2,84.96,86.03,695500,0.0,0
2019-04-02,86.31,86.64,85.71,86.22,1268600,0.0,0
2019-04-03,86.66,88.01,86.22,86.42,1178100,0.0,0
2019-04-04,86.67,88.01,86.63,86.94,659300,0.0,0
2019-04-05,87.02,87.61,86.73,87.16,476200,0.0,0
2019-04-08,87.06,87.69,86.76,87.32,624200,0.0,0
2019-04-09,86.87,87.13,86.18,86.94,673100,0.0,0
2019-04-10,86.81,86.81,85.53,86.06,760600,0.0,0
2019-04-11,86.66,87.56,86.48,87.36,871300,0.0,0
2019-04-12,87.69,88.63,87.39,88.46,813200,0.0,0
2019-04-15,88.6,89.14,87.88,88.54,946200,0.0,0
2019-04-16,85.46,87.57,85.25,87.22,1869200,0.0,0
2019-04-17,87.78,87.82,87.03,87.17,872800,0.0,0
2019-04-18,87.46,88.55,87.0,87.68,760800,0.0,0
2019-04-22,87.29,87.91,86.99,87.84,641500,0.0,0
2019-04-23,88.26,89.08,87.9,88.4,932100,0.0,0
2019-04-24,88.32,89.61,88.32,89.07,910900,0.0,0
2019-04-25,88.93,88.93,85.62,86.3,1059900,0.0,0
2019-04-26,86.42,86.65,85.24,85.5,1893000,0.0,0
2019-04-29,85.19,85.19,78.89,79.02,3803300,0.0,0
2019-04-30,79.37,80.0,78.87,78.92,2914600,0.0,0
2019-05-01,76.6,80.31,75.72,78.65,5235600,0.0,0
2019-05-02,78.96,82.48,78.64,81.28,3730700,0.0,0
2019-05-03,82.08,82.79,81.02,81.74,1673600,0.0,0
2019-05-06,80.68,81.81,80.04,81.07,1144900,0.0,0
2019-05-07,80.54,81.0,79.97,80.43,1769000,0.0,0
2019-05-08,80.51,82.29,79.92,81.12,2017800,0.0,0
2019-05-09,80.94,81.73,80.2,80.55,1783500,0.0,0
2019-05-10,80.44,80.44,78.44,79.63,1349300,0.0,0
2019-05-13,78.35,79.24,77.7,77.99,1388300,0.0,0
2019-05-14,78.35,80.02,78.26,79.3,1057800,0.0,0
2019-05-15,78.93,79.9,78.54,79.76,915500,0.0,0
2019-05-16,80.09,81.5,79.71,80.78,1631500,0.0,0
2019-05-17,80.08,81.1,79.66,80.11,809000,0.0,0
2019-05-20,79.73,80.31,79.4,79.69,1009200,0.0,0
2019-05-21,80.07,80.62,79.68,79.78,718700,0.0,0
2019-05-22,79.28,79.53,78.01,79.09,755600,0.0,0
2019-05-23,78.58,79.53,78.1,78.66,1542800,0.0,0
2019-05-24,78.92,79.17,77.43,77.67,1453500,0.0,0
2019-05-28,77.77,77.77,76.52,76.98,1994300,0.0,0
2019-05-29,76.92,77.94,75.99,77.64,1260200,0.0,0
2019-05-30,77.79,78.17,75.89,76.76,1400600,0.0,0
