Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,361.8,368.02,360.85,366.27,1100000,0,0
2019-03-22,365.7,366.49,360.38,360.78,5241900,0,0
2019-03-25,360.75,362.51,355.77,356.84,1365600,0,0
2019-03-26,356.8,358.72,354.59,356.03,1150200,0,0
2019-03-27,356.39,360.26,354.77,355.51,1372200,0,0
2019-03-28,356.17,358.61,352.22,352.87,834200,0,0
2019-03-29,352.12,354.6,345.67,346.91,1410800,0,0
2019-04-01,349.81,350.6,343.7,346.22,1153100,0,0
2019-04-02,346.75,347.51,344.36,346.63,1233100,0,0
2019-04-03,348.66,349.1,343.15,345.37,1195900,0,0
2019-04-04,346.25,347.0,343.95,345.72,1214700,0,0
2019-04-05,345.79,352.2,344.99,351.44,1247200,0,0
2019-04-08,350.53,355.12,350.53,354.14,830900,0,0
2019-04-09,351.89,355.56,350.54,354.56,808800,0,0
2019-04-10,353.48,355.47,353.04,354.35,574000,0,0
2019-04-11,356.35,356.59,353.25,355.25,689100,0,0
2019-04-12,355.89,356.95,354.0,356.05,734000,0,0
2019-04-15,356.59,358.38,355.52,357.34,749600,0,0
2019-04-16,359.01,359.67,356.97,358.05,472400,0,0
2019-04-17,360.0,362.25,358.51,361.69,842100,0,0
2019-04-18,367.2,367.2,356.79,359.37,640800,0,0
2019-04-22,358.54,359.91,356.46,358.05,610300,0,0
2019-04-23,356.5,361.32,355.33,358.63,762400,0,0
2019-04-24,358.04,361.99,355.28,360.5,817100,0,0
2019-04-25,357.91,368.78,357.32,366.76,1190900,0,0
2019-04-26,368.19,370.33,364.69,370.15,782400,0,0
2019-04-29,370.0,371.63,368.58,370.97,924500,0,0
2019-04-30,371.44,375.0,368.37,371.19,1322600,0,0
2019-05-01,373.13,378.36,370.72,371.04,1079100,0,0
2019-05-02,370.97,371.63,365.9,370.41,678200,0,0
2019-05-03,372.12,377.93,369.61,377.68,917100,0,0
2019-05-06,372.67,376.97,372.58,376.28,1059900,0,0
2019-05-07,372.31,375.31,368.2,374.74,896700,0,0
2019-05-08,374.64,375.51,370.14,372.32,787700,0,0
2019-05-09,369.46,375.32,368.33,374.33,733600,0,0
2019-05-10,372.37,378.3,369.8,377.89,594000,0,0
2019-05-13,372.31,375.54,367.35,368.89,1094700,0,0
2019-05-14,369.38,376.66,368.78,373.15,846500,0,0
2019-05-15,370.38,378.34,368.92,377.19,935200,0,0
2019-05-16,378.19,384.0,378.19,382.19,981800,0,0
2019-05-17,381.83,387.41,381.83,386.41,882500,0,0
2019-05-20,378.43,380.0,375.26,377.29,1140000,0,0
2019-05-21,379.39,381.98,376.46,379.21,889400,0,0
2019-05-22,378.21,380.51,376.82,378.08,665400,0,0
2019-05-23,375.43,377.46,374.0,375.51,867000,0,0
2019-05-24,376.74,379.14,374.89,375.0,597200,0,0
2019-05-28,377.2,379.92,375.08,377.0,1748800,0,0
2019-05-29,375.98,376.61,372.23,375.37,1326600,0,0
2019-05-30,377.69,379.93,375.74,379.22,995700,0,0
2019-05-31,376.16,380.0,373.04,376.8,1552000,0,0
2019-06-03,376.34,379.55,375.24,377.65,1315400,0,0
2019-06-04,380.94,392.14,378.51,387.67,1748100,0,0
2019-06-05,389.06,389.29,382.41,384.96,1573000,0,0
2019-06-06,384.62,388.53,384.01,387.31,479900,0,0
2019-06-07,389.0,395.3,387.58,394.04,1310800,0,0
2019-06-10,395.89,396.89,392.99,395.41,890600,0,0
2019-06-11,397.68,397.68,388.63,391.64,918500,0,0
2019-06-12,391.43,394.5,389.94,391.16,1188000,0,0
2019-06-13,392.91,392.91,387.9,389.72,657400,0,0
2019-06-14,390.32,393.21,386.66,392.08,730500,0,0
2019-06-17,393.74,397.18,391.3,394.07,623100,0,0
2019-06-18,397.52,400.0,394.67,395.21,1011800,0,0
2019-06-19,395.63,398.17,394.36,397.75,572600,0,0
2019-06-20,400.48,401.38,395.88,398.77,792100,0,0
2019-06-21,400.0,400.0,390.67,394.69,1402200,0,0
2019-06-24,396.01,396.01,391.01,392.44,801700,0,0
2019-06-25,391.18,392.47,385.75,390.91,1121800,0,0
2019-06-26,391.49,392.51,385.24,388.24,949700,0,0
2019-06-27,389.75,393.63,387.17,391.41,552900,0,0
2019-06-28,391.46,398.0,390.38,395.18,1454500,0,0
2019-07-01,400.0,400.0,396.02,397.74,743000,0,0
2019-07-02,398.84,399.81,395.3,398.69,673100,0,0
2019-07-03,399.58,401.97,397.68,400.0,406400,0,0
2019-07-05,397.37,402.62,397.37,401.68,648100,0,0
2019-07-08,399.87,402.47,398.1,399.4,472000,0,0
2019-07-09,397.92,402.67,396.69,401.22,472600,0,0
2019-07-10,404.34,408.26,402.7,407.21,1335800,0,0
2019-07-11,408.15,411.7,406.99,410.25,1193600,0,0
2019-07-12,411.5,415.14,409.02,414.31,1229800,0,0
2019-07-15,415.73,415.73,411.68,414.63,1142800,0,0
