Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,81.77,83.15,81.65,82.95,384200,0.0,0
2019-03-22,82.54,83.46,82.54,82.68,544000,0.0,0
2019-03-25,82.78,83.48,82.28,82.7,406300,0.0,0
2019-03-26,83.11,83.36,82.56,83.08,489700,0.0,0
2019-03-27,83.29,83.71,82.84,83.4,398200,0.0,0
2019-03-28,83.55,83.9,82.7,83.47,364100,0.0,0
2019-03-29,83.94,84.01,83.45,83.92,532200,0.0,0
2019-04-01,84.36,84.75,83.73,84.32,526700,0.0,0
2019-04-02,84.32,84.52,83.4,83.54,423000,0.0,0
2019-04-03,83.91,83.91,82.86,83.5,571100,0.0,0
2019-04-04,83.55,83.93,83.31,83.67,358100,0.0,0
2019-04-05,83.77,84.39,83.57,84.23,505600,0.0,0
2019-04-08,84.28,84.28,83.25,83.68,304100,0.0,0
2019-04-09,83.49,83.63,82.94,83.11,369600,0.0,0
2019-04-10,83.28,84.11,83.11,84.06,347000,0.0,0
2019-04-11,84.22,84.94,84.13,84.86,328200,0.0,0
2019-04-12,85.18,85.5,84.89,85.47,505900,0.0,0
2019-04-15,85.39,85.63,84.97,85.12,443200,0.0,0
2019-04-16,85.31,85.74,85.29,85.69,412300,0.0,0
2019-04-17,85.67,85.67,84.35,84.47,526800,0.0,0
2019-04-18,84.57,85.0,84.34,84.6,1090400,0.0,0
2019-04-22,84.29,84.44,83.58,83.98,427800,0.0,0
2019-04-23,84.21,85.02,83.97,84.95,663000,0.0,0
2019-04-24,85.0,85.94,84.86,85.66,547700,0.0,0
2019-04-25,85.38,91.56,84.99,91.41,1426700,0.0,0
2019-04-26,91.55,92.26,90.66,92.01,916700,0.0,0
2019-04-29,92.16,93.11,91.97,92.8,657700,0.0,0
2019-04-30,92.82,94.09,92.54,93.96,880300,0.0,0
2019-05-01,94.25,94.25,92.91,93.02,586800,0.0,0
2019-05-02,93.11,93.91,92.82,93.73,752000,0.0,0
2019-05-03,93.8,94.14,93.13,93.85,474600,0.0,0
2019-05-06,92.87,94.01,92.87,93.93,402000,0.0,0
2019-05-07,93.35,93.76,92.28,92.82,527800,0.0,0
2019-05-08,92.85,94.03,92.22,92.96,547300,0.0,0
2019-05-09,92.44,93.32,92.29,92.89,555800,0.0,0
2019-05-10,92.43,94.26,92.17,94.18,449100,0.0,0
2019-05-13,92.92,93.58,92.52,93.02,710500,0.0,0
2019-05-14,92.91,93.7,92.85,93.53,1621300,0.0,0
2019-05-15,93.0,94.53,92.95,94.19,858000,0.0,0
2019-05-16,94.39,95.25,94.19,94.91,899400,0.0,0
2019-05-17,95.2,96.01,94.91,95.47,970300,0.0,0
2019-05-20,95.36,96.22,95.31,95.82,956800,0.0,0
2019-05-21,96.12,97.02,96.1,96.94,890100,0.0,0
2019-05-22,96.85,97.69,96.65,97.34,754100,0.0,0
2019-05-23,96.76,96.98,95.99,96.93,668600,0.0,0
2019-05-24,97.39,97.46,96.84,97.39,435200,0.0,0
2019-05-28,97.35,97.77,96.54,96.57,1177100,0.0,0
2019-05-29,96.16,96.81,95.52,96.21,701600,0.0,0
2019-05-30,96.32,96.9,95.94,96.12,456200,0.0,0
2019-05-31,95.56,96.49,95.17,95.97,692800,0.0,0
2019-06-03,96.23,97.37,95.75,97.27,960200,0.0,0
2019-06-04,97.73,97.84,96.79,97.45,929000,0.0,0
2019-06-05,97.51,99.35,97.42,99.25,1241500,0.0,0
