Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,152.08,154.53,152.08,153.95,840000,0.0,0
2019-03-22,154.1,155.72,153.47,154.02,784800,0.0,0
2019-03-25,153.53,154.97,153.4,154.03,608800,0.0,0
2019-03-26,154.8,156.29,154.22,155.79,673800,0.0,0
2019-03-27,155.55,156.71,155.22,156.16,804300,0.0,0
2019-03-28,156.96,157.46,156.35,157.11,727500,0.0,0
2019-03-29,156.38,157.09,154.76,156.28,1104100,0.0,0
2019-04-01,155.51,155.84,153.42,154.41,1151000,0.0,0
2019-04-02,153.89,154.27,153.07,153.54,844200,0.0,0
2019-04-03,153.22,153.3,151.37,152.86,956800,0.0,0
2019-04-04,153.67,153.67,152.61,152.89,718300,0.0,0
2019-04-05,152.35,152.7,151.11,151.55,929600,0.0,0
2019-04-08,148.49,150.49,147.58,149.4,1507200,0.0,0
2019-04-09,148.99,149.93,148.32,148.96,783200,0.0,0
2019-04-10,148.67,149.95,148.42,149.79,965000,0.0,0
2019-04-11,150.77,151.59,149.7,151.29,955700,0.0,0
2019-04-12,151.47,152.43,150.66,151.44,919400,0.0,0
2019-04-15,151.0,151.35,149.7,150.43,772500,0.0,0
2019-04-16,150.84,151.33,147.37,148.38,1084800,0.0,0
2019-04-17,148.72,149.29,147.99,149.03,710800,0.0,0
2019-04-18,149.68,150.33,148.8,149.49,653600,0.0,0
2019-04-22,150.44,150.86,149.33,150.49,1041600,0.0,0
2019-04-23,150.34,150.92,148.89,150.47,1087400,0.96,0
2019-04-24,150.73,151.88,150.12,151.15,951100,0.0,0
2019-04-25,150.53,152.56,150.07,152.0,926300,0.0,0
2019-04-26,152.71,154.62,152.05,154.42,1213300,0.0,0
2019-04-29,153.93,154.42,152.41,153.26,1089300,0.0,0
2019-04-30,152.72,156.62,151.92,156.55,2439900,0.0,0
2019-05-01,150.53,151.3,145.16,145.21,4161900,0.0,0
2019-05-02,145.15,146.17,142.75,145.78,2018600,0.0,0
2019-05-03,145.99,146.01,144.56,145.23,1169600,0.0,0
2019-05-06,145.27,146.87,144.08,145.29,1305400,0.0,0
2019-05-07,145.05,145.92,144.16,145.5,844700,0.0,0
2019-05-08,145.66,147.1,144.35,145.85,970200,0.0,0
2019-05-09,145.85,146.1,143.65,144.03,1074600,0.0,0
2019-05-10,143.45,145.43,142.69,145.24,896300,0.0,0
2019-05-13,144.15,146.7,144.15,146.17,951700,0.0,0
2019-05-14,145.35,146.44,144.21,144.3,870600,0.0,0
2019-05-15,144.44,146.25,144.44,145.36,685600,0.0,0
2019-05-16,145.61,146.83,145.07,145.76,714400,0.0,0
2019-05-17,145.07,145.34,143.84,144.12,1117600,0.0,0
2019-05-20,142.6,144.77,142.35,143.8,1067200,0.0,0
2019-05-21,144.75,146.25,144.19,145.23,1062100,0.0,0
2019-05-22,145.25,147.97,144.56,147.6,1074200,0.0,0
2019-05-23,147.32,148.08,145.96,147.87,988600,0.0,0
2019-05-24,148.31,148.96,146.56,146.65,728700,0.0,0
2019-05-28,146.48,147.83,143.77,143.9,1592000,0.0,0
2019-05-29,143.1,144.6,141.71,144.46,1285800,0.0,0
2019-05-30,144.21,147.01,144.21,146.66,1148100,0.0,0
2019-05-31,146.42,146.65,145.26,145.84,914600,0.0,0
2019-06-03,145.94,149.9,144.38,149.54,1123200,0.0,0
2019-06-04,149.91,150.65,148.57,149.75,926400,0.0,0
2019-06-05,150.49,152.44,149.44,152.3,989700,0.0,0
