Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,73.2,73.31,71.73,71.86,2831900,0.0,0
2019-03-22,71.14,71.14,68.08,68.72,2509700,0.0,0
2019-03-25,68.83,69.64,67.87,68.46,2244300,0.0,0
2019-03-26,68.9,69.63,68.23,69.46,2338000,0.0,0
2019-03-27,69.37,69.9,68.18,68.9,1833300,0.0,0
2019-03-28,69.08,69.77,68.67,69.71,1584900,0.0,0
2019-03-29,70.32,70.74,69.47,69.92,1678800,0.0,0
2019-04-01,70.45,72.71,70.43,72.55,2311200,0.0,0
2019-04-02,72.29,73.96,72.02,73.36,2282400,0.0,0
2019-04-03,74.51,75.3,73.04,73.32,1904400,0.0,0
2019-04-04,71.79,74.43,71.79,73.86,2197000,0.0,0
2019-04-05,73.96,74.48,72.99,74.03,2283000,0.0,0
2019-04-08,73.99,74.95,73.84,74.6,1837600,0.0,0
2019-04-09,74.14,74.36,73.1,73.56,1347300,0.0,0
2019-04-10,73.58,73.99,72.56,73.87,1924200,0.0,0
2019-04-11,74.17,75.28,73.81,74.45,2159200,0.0,0
2019-04-12,75.8,76.88,75.01,76.6,2358200,0.0,0
2019-04-15,76.29,76.59,75.02,75.28,2218500,0.0,0
2019-04-16,73.8,76.23,72.7,75.7,3417700,0.0,0
2019-04-17,75.61,75.97,74.78,75.58,1802800,0.0,0
2019-04-18,75.64,75.79,74.42,74.62,2017600,0.0,0
2019-04-22,74.64,75.25,74.21,74.67,1277500,0.0,0
2019-04-23,74.54,75.37,73.24,75.34,1872400,0.0,0
2019-04-24,74.58,74.58,72.43,73.65,2086700,0.0,0
2019-04-25,73.47,74.28,72.9,73.69,1880100,0.0,0
2019-04-26,73.68,74.52,73.17,74.14,1180100,0.0,0
2019-04-29,74.61,76.04,74.32,75.13,1823000,0.0,0
2019-04-30,75.19,75.31,73.82,74.94,1756200,0.0,0
2019-05-01,74.78,75.46,73.06,73.42,1817700,0.0,0
2019-05-02,73.47,74.99,73.47,74.56,1415300,0.0,0
2019-05-03,74.62,75.24,74.41,74.51,1506400,0.0,0
2019-05-06,73.35,74.67,73.08,74.29,1082400,0.0,0
2019-05-07,73.45,73.64,72.49,72.94,1445300,0.0,0
2019-05-08,72.44,73.04,71.8,72.35,1899200,0.0,0
2019-05-09,71.44,72.84,70.99,72.68,1763500,0.0,0
2019-05-10,72.38,73.55,71.56,73.16,1485300,0.0,0
2019-05-13,71.77,72.14,69.71,70.01,2229200,0.0,0
2019-05-14,70.18,71.75,69.96,71.15,2395300,0.0,0
2019-05-15,70.25,70.25,68.51,69.54,1663000,0.0,0
2019-05-16,70.07,71.28,69.98,70.65,1566800,0.0,0
2019-05-17,69.75,70.84,69.44,70.1,1052500,0.0,0
2019-05-20,70.07,70.53,69.84,70.27,1289600,0.0,0
2019-05-21,70.78,71.08,70.41,71.04,1079000,0.0,0
2019-05-22,70.55,70.7,69.92,70.05,1075900,0.0,0
2019-05-23,69.34,69.34,67.94,68.32,1261400,0.0,0
2019-05-24,68.63,69.36,68.62,69.06,1295300,0.0,0
2019-05-28,68.77,69.1,68.02,68.08,1587200,0.0,0
2019-05-29,67.21,68.47,66.69,68.28,1723100,0.0,0
2019-05-30,68.45,68.8,66.9,67.57,1175300,0.0,0
2019-05-31,66.6,66.9,65.43,65.62,2212200,0.0,0
2019-06-03,65.53,67.02,65.3,66.63,1635000,0.0,0
2019-06-04,67.63,68.87,67.63,68.7,1669900,0.0,0
2019-06-05,68.57,68.71,67.18,67.91,1704500,0.0,0
2019-06-06,67.79,68.1,66.79,67.91,1389600,0.0,0
2019-06-07,67.77,67.77,66.64,66.88,1860000,0.0,0
2019-06-10,67.74,68.51,66.8,66.9,1927800,0.0,0
2019-06-11,67.39,68.77,67.2,67.81,2255300,0.0,0
2019-06-12,67.87,67.91,66.23,66.73,1671900,0.0,0
2019-06-13,66.92,67.44,66.5,66.82,1405700,0.67,0
2019-06-14,67.03,67.82,65.83,67.6,1349700,0.0,0
2019-06-17,67.41,67.96,66.49,66.62,1100600,0.0,0
2019-06-18,66.08,68.3,66.08,67.89,1718400,0.0,0
2019-06-19,68.29,69.36,66.49,66.66,2444700,0.0,0
2019-06-20,67.07,67.45,65.65,67.41,2171000,0.0,0
2019-06-21,67.32,68.17,67.24,67.44,3068500,0.0,0
2019-06-24,67.19,68.07,66.71,66.9,1488400,0.0,0
2019-06-25,66.81,67.71,65.62,67.3,1912600,0.0,0
2019-06-26,67.7,68.68,67.55,67.84,1495600,0.0,0
2019-06-27,68.1,69.08,68.09,68.71,1646400,0.0,0
2019-06-28,69.41,70.16,68.49,69.94,2698300,0.0,0
2019-07-01,70.76,71.35,69.96,70.29,1642000,0.0,0
2019-07-02,68.84,69.53,67.44,67.96,2568700,0.0,0
2019-07-03,68.3,69.13,67.87,69.06,970700,0.0,0
2019-07-05,69.86,70.74,69.32,70.26,1384300,0.0,0
2019-07-08,69.54,69.95,69.0,69.2,1154400,0.0,0
2019-07-09,68.81,69.98,68.69,69.95,1607800,0.0,0
2019-07-10,69.96,70.21,68.57,68.82,1746400,0.0,0
2019-07-11,68.67,70.18,68.38,69.85,1604300,0.0,0
2019-07-12,69.8,70.25,69.44,70.13,1496000,0.0,0
2019-07-15,70.14,70.24,68.44,68.72,1675000,0.0,0
2019-07-16,68.92,69.48,68.19,69.08,2456800,0.0,0
2019-07-17,67.39,67.39,64.88,66.61,3994200,0.0,0
2019-07-18,66.26,67.61,66.09,66.76,3425100,0.0,0
2019-07-19,66.67,68.17,65.53,68.04,3435700,0.0,0
2019-07-22,67.77,68.36,67.22,67.72,1762700,0.0,0
2019-07-23,67.89,68.77,67.54,68.6,2066800,0.0,0
2019-07-24,68.33,70.03,68.33,69.68,1980800,0.0,0
2019-07-25,69.94,70.27,68.81,69.12,1574400,0.0,0
2019-07-26,69.33,70.57,69.0,70.35,1709800,0.0,0
2019-07-29,70.09,70.78,69.41,69.41,2005300,0.0,0
2019-07-30,68.86,70.51,68.78,70.5,1349400,0.0,0
2019-07-31,70.3,71.29,69.62,70.48,4073600,0.0,0
2019-08-01,70.27,70.36,65.65,65.86,3212100,0.0,0
2019-08-02,65.94,66.38,63.96,65.36,1990600,0.0,0
2019-08-05,62.74,63.57,61.4,62.03,2360000,0.0,0
2019-08-06,63.29,63.49,61.46,62.71,1847300,0.0,0
2019-08-07,60.75,61.04,59.75,60.37,2884400,0.0,0
2019-08-08,61.21,61.49,60.46,60.87,2588600,0.0,0
2019-08-09,60.49,60.71,59.75,60.3,1110300,0.0,0
2019-08-12,59.56,59.56,58.53,58.92,1517700,0.0,0
2019-08-13,58.55,60.82,58.49,59.58,2103800,0.0,0
2019-08-14,57.78,58.43,57.05,57.55,2240500,0.0,0
2019-08-15,57.66,58.0,56.8,57.06,1936000,0.0,0
2019-08-16,57.63,59.33,57.63,59.05,1513400,0.0,0
2019-08-19,60.32,60.32,59.54,59.76,1426700,0.0,0
2019-08-20,59.16,59.16,58.43,58.62,1201300,0.0,0
2019-08-21,59.36,59.47,58.72,59.24,1326200,0.0,0
2019-08-22,59.73,60.14,58.9,59.27,1204000,0.0,0
2019-08-23,58.8,59.57,57.13,57.4,1330100,0.0,0
2019-08-26,58.02,58.25,57.19,57.59,1077600,0.0,0
2019-08-27,57.76,58.16,56.36,56.61,1688000,0.0,0
2019-08-28,56.5,58.09,56.42,57.83,1610400,0.0,0
2019-08-29,58.34,59.53,58.28,59.24,2015900,0.0,0
2019-08-30,59.78,60.32,59.26,59.36,1652600,0.0,0
2019-09-03,58.61,58.83,57.31,57.7,2231500,0.0,0
2019-09-04,57.78,58.49,57.73,58.28,1349300,0.0,0
2019-09-05,59.37,61.04,59.15,60.06,3188100,0.0,0
2019-09-06,59.93,60.41,58.86,59.32,2349500,0.0,0
2019-09-09,59.12,61.25,57.82,60.86,3040800,0.0,0
2019-09-10,61.4,62.29,60.62,61.69,2650300,0.0,0
2019-09-11,61.69,63.38,60.18,63.32,2419000,0.0,0
2019-09-12,62.0,63.52,61.03,62.99,2777700,0.67,0
2019-09-13,63.92,64.58,63.14,63.81,2074600,0.0,0
2019-09-16,62.41,64.73,62.41,64.68,1576800,0.0,0
2019-09-17,64.12,64.13,63.08,63.69,1458400,0.0,0
2019-09-18,63.21,65.35,62.92,65.09,2367100,0.0,0
2019-09-19,64.77,65.14,64.01,64.2,1551700,0.0,0
2019-09-20,64.71,65.04,63.94,64.17,3287200,0.0,0
2019-09-23,63.53,64.5,63.25,64.01,1098200,0.0,0
2019-09-24,63.92,64.11,62.25,62.76,1743100,0.0,0
2019-09-25,62.88,63.98,62.79,63.71,1077900,0.0,0
2019-09-26,63.38,63.88,63.09,63.21,1127300,0.0,0
2019-09-27,63.82,64.8,63.49,63.99,728000,0.0,0
2019-09-30,64.2,64.51,63.82,64.19,1169300,0.0,0
2019-10-01,64.62,65.01,61.97,62.3,1736300,0.0,0
2019-10-02,61.84,62.02,61.0,61.5,1311900,0.0,0
2019-10-03,60.98,61.72,59.75,61.69,1658400,0.0,0
2019-10-04,61.57,62.16,60.67,62.16,1074500,0.0,0
2019-10-07,62.33,63.13,61.81,62.28,1113800,0.0,0
2019-10-08,61.13,61.5,60.48,60.63,1393700,0.0,0
2019-10-09,61.28,61.37,60.42,60.88,1311900,0.0,0
2019-10-10,61.52,62.86,61.31,62.12,1506100,0.0,0
2019-10-11,63.57,64.48,63.4,63.58,1750800,0.0,0
2019-10-14,63.03,63.72,62.56,63.48,1143400,0.0,0
2019-10-15,63.91,65.57,63.46,65.17,2014700,0.0,0
2019-10-16,66.14,66.14,63.02,63.7,2340200,0.0,0
2019-10-17,62.39,64.29,62.36,62.83,1942200,0.0,0
2019-10-18,62.45,64.04,62.35,63.66,1670300,0.0,0
2019-10-21,64.38,64.94,63.49,63.72,1429100,0.0,0
2019-10-22,63.71,64.92,62.69,64.08,1794800,0.0,0
2019-10-23,63.97,64.38,63.58,63.97,823800,0.0,0
2019-10-24,64.31,64.32,62.45,62.89,1005800,0.0,0
2019-10-25,62.82,64.12,62.82,63.8,1122100,0.0,0
2019-10-28,64.26,65.1,64.0,64.63,1247100,0.0,0
2019-10-29,64.25,65.27,64.13,65.15,1182900,0.0,0
2019-10-30,64.87,65.45,63.82,64.7,1589700,0.0,0
2019-10-31,64.19,64.25,62.26,63.63,1588400,0.0,0
2019-11-01,64.4,65.87,63.88,65.77,1557700,0.0,0
2019-11-04,66.61,68.28,66.45,68.18,2118800,0.0,0
2019-11-05,68.74,69.95,68.58,69.23,1398400,0.0,0
2019-11-06,69.13,69.13,67.35,68.43,1609300,0.0,0
2019-11-07,69.29,70.63,69.25,69.82,1455500,0.0,0
2019-11-08,69.54,69.99,68.97,69.87,976000,0.0,0
2019-11-11,69.11,69.81,69.02,69.51,474700,0.0,0
2019-11-12,69.5,69.98,68.98,69.47,1262100,0.0,0
2019-11-13,68.57,68.8,67.64,68.13,1070300,0.0,0
2019-11-14,67.71,68.0,66.76,67.66,1027900,0.0,0
2019-11-15,68.13,68.31,67.55,68.05,813800,0.0,0
2019-11-18,67.75,67.92,66.86,67.29,1161600,0.0,0
2019-11-19,67.69,68.09,67.36,67.55,1347200,0.0,0
2019-11-20,66.78,67.75,66.23,67.4,1510200,0.0,0
