Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,38.69,39.39,38.49,39.28,17684000,0.0,0
2019-03-22,39.17,39.2,38.59,38.7,17030100,0.0,0
2019-03-25,38.72,38.76,38.19,38.42,15844100,0.0,0
2019-03-26,38.64,38.95,38.45,38.86,11188300,0.0,0
2019-03-27,38.91,39.61,38.91,39.43,18266600,0.0,0
2019-03-28,39.43,39.72,39.34,39.64,10454400,0.0,0
2019-03-29,39.42,39.56,38.82,39.21,21135700,0.0,0
2019-04-01,39.56,39.61,39.2,39.53,14326000,0.0,0
2019-04-02,39.6,39.82,39.24,39.45,14237200,0.21,0
2019-04-03,39.73,40.0,39.4,39.7,21040200,0.0,0
2019-04-04,39.75,40.04,39.55,39.84,12294800,0.0,0
2019-04-05,39.86,39.97,39.74,39.85,21141000,0.0,0
2019-04-08,39.78,40.17,39.6,40.13,12467200,0.0,0
2019-04-09,40.12,40.56,39.99,40.46,14949600,0.0,0
2019-04-10,40.59,40.7,40.2,40.5,13375200,0.0,0
2019-04-11,40.54,40.56,40.27,40.46,9249400,0.0,0
2019-04-12,40.49,40.74,40.37,40.71,11536400,0.0,0
2019-04-15,40.73,41.21,40.67,41.19,12729100,0.0,0
2019-04-16,41.25,41.58,40.92,41.37,10053600,0.0,0
2019-04-17,41.54,42.03,41.29,41.97,15338700,0.0,0
2019-04-18,42.13,42.22,41.44,41.83,13959300,0.0,0
2019-04-22,41.66,41.81,41.27,41.4,10179600,0.0,0
2019-04-23,41.37,41.59,41.12,41.39,16963600,0.0,0
2019-04-24,41.43,41.65,41.15,41.26,25514100,0.0,0
2019-04-25,41.85,43.19,41.51,42.32,27730500,0.0,0
2019-04-26,43.31,43.34,42.26,42.47,16530400,0.0,0
2019-04-29,42.56,42.88,42.3,42.83,11832500,0.0,0
2019-04-30,42.94,43.04,42.43,42.91,15703000,0.0,0
2019-05-01,42.86,43.18,42.68,42.8,14327500,0.0,0
2019-05-02,42.7,42.77,41.76,42.04,18051100,0.0,0
2019-05-03,42.36,42.89,42.13,42.67,12751000,0.0,0
2019-05-06,42.16,42.79,42.09,42.68,13307500,0.0,0
2019-05-07,42.39,42.5,41.77,42.15,15505200,0.0,0
2019-05-08,42.12,42.35,41.76,41.95,13076900,0.0,0
2019-05-09,41.69,42.37,41.56,42.31,13624400,0.0,0
2019-05-10,42.09,42.61,41.62,42.54,12931500,0.0,0
2019-05-13,41.97,42.45,41.54,41.68,17108700,0.0,0
2019-05-14,41.67,42.77,41.67,42.3,16592600,0.0,0
2019-05-15,42.14,42.31,41.55,41.89,37268400,0.0,0
2019-05-16,41.97,42.68,41.81,42.58,17593700,0.0,0
2019-05-17,42.45,43.19,42.41,42.92,13915900,0.0,0
2019-05-20,42.76,42.76,41.81,42.17,14094100,0.0,0
2019-05-21,42.45,42.69,42.07,42.67,16482100,0.0,0
2019-05-22,42.65,42.88,42.47,42.68,11964300,0.0,0
2019-05-23,42.39,42.54,41.9,42.12,14755000,0.0,0
2019-05-24,42.2,42.45,42.02,42.06,9361800,0.0,0
2019-05-28,42.24,42.42,41.83,41.87,15224600,0.0,0
2019-05-29,41.64,41.77,41.16,41.32,16520000,0.0,0
2019-05-30,41.63,41.64,40.83,41.15,22663900,0.0,0
