Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,160.06,161.12,158.67,159.94,1839500,0.0,0
2019-03-22,157.82,160.05,157.09,158.96,2894900,0.0,0
2019-03-25,158.73,160.4,158.57,159.79,1532500,0.0,0
2019-03-26,160.54,161.16,159.32,159.77,1850400,0.0,0
2019-03-27,159.36,159.62,157.67,158.24,1335300,0.0,0
2019-03-28,158.38,158.7,156.75,158.41,1557600,0.0,0
2019-03-29,159.42,160.51,158.56,160.19,1485200,0.0,0
2019-04-01,161.24,162.34,160.35,162.1,1346700,0.0,0
2019-04-02,162.5,163.98,161.66,163.58,1473700,0.0,0
2019-04-03,163.78,166.05,163.34,163.94,1767300,0.0,0
2019-04-04,163.33,165.06,163.33,164.84,1270600,0.0,0
2019-04-05,165.17,166.04,164.48,165.55,1668100,0.0,0
2019-04-08,165.49,167.95,164.83,167.79,1630300,0.0,0
2019-04-09,166.9,167.87,164.88,166.2,1639600,0.0,0
2019-04-10,166.2,166.58,164.85,165.52,1596900,0.0,0
2019-04-11,166.21,166.92,165.51,165.99,1081900,0.0,0
2019-04-12,167.55,168.96,167.27,168.3,1528200,0.0,0
2019-04-15,168.32,169.78,167.95,168.77,1149200,0.0,0
2019-04-16,169.64,169.96,168.47,169.28,1281800,0.0,0
2019-04-17,169.28,172.41,169.28,172.2,2247400,0.0,0
2019-04-18,172.98,174.36,171.23,171.65,2021800,0.0,0
2019-04-22,170.73,171.3,169.7,170.11,1498400,0.0,0
2019-04-23,170.13,170.77,168.93,170.12,1403500,0.0,0
2019-04-24,169.69,171.55,169.6,171.5,1537500,0.0,0
2019-04-25,170.82,173.47,170.5,173.26,1210100,0.0,0
2019-04-26,172.99,175.17,172.99,174.23,1658400,0.0,0
2019-04-29,173.84,174.78,171.88,172.79,2537100,0.0,0
2019-04-30,173.08,174.2,172.36,174.12,1828400,0.0,0
2019-05-01,170.05,171.62,166.92,170.62,2580900,0.0,0
2019-05-02,170.25,170.25,167.95,168.19,2503900,0.0,0
2019-05-03,168.35,169.65,167.71,169.27,1872700,0.0,0
2019-05-06,166.44,173.69,166.44,173.39,1617900,0.0,0
2019-05-07,172.37,176.13,172.37,173.35,2517800,0.0,0
2019-05-08,173.7,175.01,172.45,173.46,1549300,0.0,0
2019-05-09,172.06,176.29,171.82,175.2,1563600,0.0,0
2019-05-10,175.1,178.14,174.6,178.06,1533000,0.0,0
2019-05-13,176.17,178.73,175.97,177.43,1720500,0.0,0
2019-05-14,177.61,179.93,177.25,178.4,1621900,0.0,0
2019-05-15,177.04,178.8,176.42,176.97,995600,0.0,0
2019-05-16,177.76,178.76,176.68,177.91,1061200,0.0,0
2019-05-17,177.33,179.81,177.33,178.94,1223700,0.0,0
2019-05-20,179.02,181.22,178.97,180.68,1250500,0.0,0
2019-05-21,181.4,182.78,180.92,181.59,1121400,0.0,0
2019-05-22,181.26,182.13,180.1,180.86,773700,0.0,0
2019-05-23,180.06,182.48,179.98,181.81,1189700,0.0,0
2019-05-24,182.66,183.23,180.6,182.9,800700,0.0,0
2019-05-28,182.45,185.84,181.99,182.26,2557700,0.0,0
2019-05-29,182.32,185.69,182.32,185.43,2018000,0.0,0
2019-05-30,185.6,188.11,185.38,187.22,1183500,0.0,0
2019-05-31,184.99,187.56,184.99,186.99,1782500,0.0,0
2019-06-03,187.31,188.06,185.87,187.85,1745800,0.0,0
2019-06-04,189.2,190.46,187.36,189.75,1344800,0.0,0
2019-06-05,189.9,194.66,189.81,194.54,1630200,0.0,0
2019-06-06,194.6,196.05,191.78,195.53,1296300,0.0,0
2019-06-07,195.11,198.3,195.11,197.45,1104500,0.75,0
2019-06-10,198.57,199.84,198.02,198.5,1294700,0.0,0
2019-06-11,198.89,199.59,192.95,194.17,2506100,0.0,0
2019-06-12,193.87,195.65,193.25,194.3,1161900,0.0,0
2019-06-13,194.19,194.3,190.02,192.2,1609000,0.0,0
2019-06-14,192.8,193.25,191.15,192.56,1147600,0.0,0
2019-06-17,192.53,193.52,189.93,190.28,1174700,0.0,0
2019-06-18,190.47,192.3,190.3,191.31,1364700,0.0,0
2019-06-19,191.3,193.17,190.8,192.77,1071300,0.0,0
2019-06-20,194.25,195.37,192.02,194.24,1163700,0.0,0
2019-06-21,193.31,196.31,192.67,192.91,2699900,0.0,0
2019-06-24,193.43,194.57,192.93,193.85,1200800,0.0,0
2019-06-25,194.32,194.52,192.81,193.75,1174200,0.0,0
2019-06-26,193.8,193.8,187.53,187.6,1488000,0.0,0
2019-06-27,188.2,190.89,188.09,189.43,1252000,0.0,0
2019-06-28,190.25,190.49,188.6,189.64,2138900,0.0,0
2019-07-01,190.96,192.45,188.92,192.06,1421100,0.0,0
2019-07-02,191.77,195.74,190.86,195.16,1031500,0.0,0
2019-07-03,195.39,197.05,194.61,197.02,865100,0.0,0
2019-07-05,197.18,198.66,195.97,198.13,884600,0.0,0
2019-07-08,197.84,198.84,196.58,197.33,718200,0.0,0
2019-07-09,196.66,197.46,195.85,197.33,971000,0.0,0
2019-07-10,197.5,199.65,197.26,198.49,1099100,0.0,0
2019-07-11,198.97,201.72,197.83,201.65,1168800,0.0,0
2019-07-12,202.24,203.05,200.4,202.69,1425700,0.0,0
2019-07-15,202.73,202.73,200.3,201.27,1221900,0.0,0
2019-07-16,201.91,202.4,198.61,198.79,1214000,0.0,0
2019-07-17,198.76,200.27,198.72,199.38,972700,0.0,0
2019-07-18,199.16,201.8,198.7,201.5,811300,0.0,0
2019-07-19,201.71,202.62,200.04,200.13,823700,0.0,0
2019-07-22,200.88,201.95,199.31,201.39,962200,0.0,0
2019-07-23,200.07,201.04,199.23,200.62,1007300,0.0,0
