Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,668.09,680.0,667.81,670.45,606000,0,0
2019-03-22,675.4,679.24,666.85,671.46,609100,0,0
2019-03-25,669.99,679.0,657.56,676.77,682300,0,0
2019-03-26,679.99,692.75,678.58,688.82,719400,0,0
2019-03-27,689.95,701.99,689.95,697.87,693800,0,0
2019-03-28,697.32,703.16,694.01,702.51,488300,0,0
2019-03-29,704.82,711.49,701.2,710.31,756200,0,0
2019-04-01,712.15,715.62,696.96,705.74,697900,0,0
2019-04-02,703.0,707.76,698.03,704.8,565200,0,0
2019-04-03,704.59,707.66,701.32,705.64,420100,0,0
2019-04-04,704.99,708.86,695.37,703.38,541200,0,0
2019-04-05,703.45,709.68,701.08,708.37,791100,0,0
2019-04-08,708.0,716.49,707.85,714.68,557600,0,0
2019-04-09,713.08,721.21,709.89,710.67,507400,0,0
2019-04-10,711.0,719.44,711.0,718.85,460500,0,0
2019-04-11,711.84,713.02,705.18,707.53,781800,0,0
2019-04-12,707.5,715.25,707.5,712.44,417200,0,0
2019-04-15,712.19,714.49,708.35,712.27,271800,0,0
2019-04-16,716.65,716.65,704.76,706.48,444300,0,0
2019-04-17,699.41,699.94,686.5,688.21,865900,0,0
2019-04-18,695.0,700.0,687.0,700.0,644000,0,0
2019-04-22,699.0,702.84,692.0,701.67,463300,0,0
2019-04-23,701.9,704.64,696.0,702.46,526100,0,0
2019-04-24,705.96,714.29,698.79,709.75,1184600,0,0
2019-04-25,711.01,713.55,658.5,678.07,2336400,0,0
2019-04-26,682.0,689.31,674.58,676.79,766000,0,0
2019-04-29,680.35,680.5,669.12,677.9,634800,0,0
2019-04-30,677.91,689.36,670.0,688.04,591500,0,0
2019-05-01,688.86,697.33,685.4,688.56,410600,0,0
2019-05-02,687.4,708.86,686.15,707.87,623400,0,0
2019-05-03,707.57,710.93,703.42,709.52,436300,0,0
2019-05-06,703.23,720.0,702.9,716.67,518000,0,0
2019-05-07,716.63,721.42,702.1,706.52,463100,0,0
2019-05-08,706.38,713.86,701.55,709.57,475300,0,0
2019-05-09,706.0,708.26,697.41,705.13,322200,0,0
2019-05-10,702.8,708.65,693.49,705.44,520800,0,0
2019-05-13,697.6,698.62,680.69,687.27,469800,0,0
2019-05-14,690.51,708.85,687.0,703.18,504900,0,0
2019-05-15,700.01,710.67,698.52,705.89,307800,0,0
2019-05-16,708.07,719.14,705.12,708.93,422400,0,0
2019-05-17,705.0,718.96,705.0,715.91,538400,0,0
2019-05-20,717.0,727.0,715.02,718.0,473700,0,0
2019-05-21,721.56,723.0,714.99,715.0,441500,0,0
2019-05-22,715.0,718.26,704.62,706.04,677400,0,0
2019-05-23,682.0,687.0,656.14,667.12,1491000,0,0
2019-05-24,670.0,671.97,658.73,662.56,605500,0,0
2019-05-28,662.9,681.64,662.38,680.07,644800,0,0
2019-05-29,676.4,676.4,660.03,667.97,570800,0,0
2019-05-30,667.98,678.84,665.01,678.0,338800,0,0
2019-05-31,662.95,669.0,657.71,659.97,634500,0,0
2019-06-03,657.63,667.91,636.73,641.66,624600,0,0
2019-06-04,649.07,665.39,647.95,662.18,842600,0,0
2019-06-05,663.5,679.48,663.32,679.48,678500,0,0
2019-06-06,683.15,694.0,677.43,692.18,592000,0,0
2019-06-07,698.0,714.42,697.85,709.87,595900,0,0
2019-06-10,716.7,730.0,714.85,720.52,540800,0,0
2019-06-11,720.51,730.41,718.01,729.24,476700,0,0
2019-06-12,733.77,743.43,732.22,737.74,450900,0,0
2019-06-13,741.84,749.25,728.66,732.29,417700,0,0
2019-06-14,733.88,742.27,730.61,740.59,380900,0,0
2019-06-17,743.0,749.23,730.01,731.65,358300,0,0
2019-06-18,733.75,740.0,724.3,732.54,384800,0,0
2019-06-19,732.19,737.16,723.06,736.35,314300,0,0
2019-06-20,742.0,742.64,732.73,738.8,366600,0,0
2019-06-21,739.66,739.66,726.85,726.85,362900,0,0
2019-06-24,726.77,731.0,720.32,724.13,378300,0,0
2019-06-25,733.94,739.96,727.74,733.22,461000,0,0
2019-06-26,735.1,737.83,723.53,727.49,288200,0,0
2019-06-27,730.3,730.3,720.7,724.12,409000,0,0
2019-06-28,723.17,732.88,720.57,732.88,487300,0,0
2019-07-01,738.43,740.53,723.55,725.39,391500,0,0
2019-07-02,726.15,729.67,717.24,723.08,303500,0,0
2019-07-03,722.03,734.25,721.37,730.98,227800,0,0
2019-07-05,729.95,739.81,728.33,739.54,328700,0,0
2019-07-08,737.63,752.79,735.76,748.8,534000,0,0
2019-07-09,748.81,754.54,742.16,745.49,315600,0,0
2019-07-10,745.51,751.98,737.46,743.01,297300,0,0
2019-07-11,744.5,746.44,736.31,740.06,240000,0,0
2019-07-12,744.1,753.48,741.5,750.85,576700,0,0
2019-07-15,754.0,760.59,747.01,759.87,464100,0,0
2019-07-16,758.7,765.05,757.76,761.85,405900,0,0
2019-07-17,760.37,762.05,751.69,752.56,292200,0,0
2019-07-18,753.24,765.99,750.84,764.04,484200,0,0
2019-07-19,764.1,765.36,743.53,746.52,540100,0,0
2019-07-22,746.51,752.09,738.03,742.51,451900,0,0
2019-07-23,746.0,747.18,728.06,739.6,931300,0,0
2019-07-24,760.5,789.5,753.77,777.96,1572700,0,0
2019-07-25,778.77,781.86,770.0,777.53,587200,0,0
2019-07-26,782.85,785.5,775.63,779.86,521700,0,0
2019-07-29,791.06,811.95,785.01,809.03,971800,0,0
2019-07-30,803.2,807.94,801.51,805.25,446400,0,0
2019-07-31,804.85,805.0,786.65,795.53,534900,0,0
2019-08-01,794.73,802.63,784.84,790.43,511100,0,0
2019-08-02,790.55,801.12,777.5,792.21,402400,0,0
2019-08-05,784.24,786.1,770.53,780.21,558300,0,0
2019-08-06,785.92,793.95,775.0,790.61,482900,0,0
2019-08-07,783.75,796.4,780.11,795.05,328400,0,0
2019-08-08,799.97,814.05,799.71,814.05,578600,0,0
2019-08-09,812.82,822.88,806.0,817.9,472800,0,0
2019-08-12,817.71,822.27,806.32,812.82,351200,0,0
2019-08-13,807.8,821.28,806.81,816.96,356600,0,0
2019-08-14,807.81,811.89,794.33,796.57,438700,0,0
