Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,53.25,53.96,52.96,53.82,2142200,0.0,0
2019-03-22,54.05,54.52,53.86,54.23,3300200,0.0,0
2019-03-25,54.37,54.62,54.0,54.42,1756900,0.0,0
2019-03-26,54.47,54.88,54.32,54.81,1362600,0.0,0
2019-03-27,54.87,54.87,54.18,54.46,1694500,0.0,0
2019-03-28,54.51,54.62,53.54,53.81,2209900,0.0,0
2019-03-29,53.87,54.18,53.5,54.14,2332100,0.0,0
2019-04-01,54.14,54.19,53.3,53.6,3074000,0.0,0
2019-04-02,53.69,53.81,53.29,53.51,3251700,0.0,0
2019-04-03,53.5,53.71,52.97,53.47,2133500,0.0,0
2019-04-04,53.55,53.71,52.71,53.19,2128000,0.0,0
2019-04-05,53.26,53.72,53.02,53.72,1657200,0.0,0
2019-04-08,53.68,53.68,52.95,52.97,2022700,0.0,0
2019-04-09,52.87,53.28,52.87,53.24,1866300,0.0,0
2019-04-10,53.53,53.9,52.94,53.02,1702000,0.0,0
2019-04-11,53.44,53.59,52.92,53.54,2993700,0.0,0
2019-04-12,53.38,53.64,53.07,53.59,1935100,0.0,0
2019-04-15,53.71,53.8,53.31,53.48,1810500,0.0,0
2019-04-16,53.41,53.62,52.55,52.68,1995800,0.0,0
2019-04-17,52.66,53.03,52.52,52.72,1551800,0.0,0
2019-04-18,52.82,53.08,52.42,52.45,2178400,0.0,0
2019-04-22,52.43,52.71,52.2,52.21,3798500,0.0,0
2019-04-23,52.31,52.84,52.22,52.82,3014000,0.0,0
2019-04-24,52.8,53.18,52.74,53.03,2043100,0.0,0
2019-04-25,52.65,53.73,52.54,53.38,1869000,0.0,0
2019-04-26,53.64,54.14,53.43,53.51,2117100,0.0,0
2019-04-29,53.41,53.5,53.08,53.25,2062100,0.0,0
2019-04-30,53.26,54.17,53.11,54.15,2091000,0.0,0
2019-05-01,53.96,54.11,53.46,53.59,1892000,0.0,0
2019-05-02,53.57,53.83,53.13,53.57,2338100,0.3825,0
2019-05-03,53.63,54.36,53.56,54.24,1459300,0.0,0
2019-05-06,54.24,54.48,53.97,54.09,1316800,0.0,0
2019-05-07,53.98,54.27,53.75,53.93,1529000,0.0,0
2019-05-08,53.81,53.95,53.23,53.27,1551200,0.0,0
2019-05-09,53.37,53.68,53.07,53.4,2349900,0.0,0
2019-05-10,53.45,54.6,53.32,54.6,1676900,0.0,0
2019-05-13,54.52,55.5,54.39,55.41,2095600,0.0,0
2019-05-14,55.31,55.37,54.73,54.82,1699000,0.0,0
2019-05-15,54.85,55.14,54.75,54.82,1146900,0.0,0
2019-05-16,54.73,55.38,54.55,55.18,1530900,0.0,0
2019-05-17,55.05,55.76,55.04,55.42,1819600,0.0,0
2019-05-20,55.69,56.04,55.44,55.67,1365300,0.0,0
2019-05-21,55.72,55.92,55.28,55.31,2077700,0.0,0
2019-05-22,55.41,55.68,55.25,55.65,1561700,0.0,0
2019-05-23,55.77,56.3,55.69,56.29,1499300,0.0,0
2019-05-24,56.33,56.65,56.15,56.18,1398900,0.0,0
2019-05-28,56.36,56.36,55.09,55.13,2562200,0.0,0
2019-05-29,55.34,55.4,54.24,54.47,2433900,0.0,0
2019-05-30,54.48,54.84,54.31,54.72,3115800,0.0,0
2019-05-31,54.73,55.36,54.53,55.08,4776600,0.0,0
2019-06-03,55.14,55.99,54.96,55.95,2605200,0.0,0
2019-06-04,55.9,55.94,54.35,55.54,3343500,0.0,0
2019-06-05,55.74,57.22,55.5,56.89,2323200,0.0,0
2019-06-06,57.0,57.36,56.9,57.14,2134800,0.0,0
2019-06-07,57.54,57.95,56.72,56.72,2182000,0.0,0
