Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,58.5,59.1,58.14,58.91,4065700,0,0
2019-03-22,58.63,58.84,57.05,57.14,3472400,0,0
2019-03-25,57.04,58.15,55.81,57.05,2250000,0,0
2019-03-26,56.84,56.84,54.21,54.85,5782300,0,0
2019-03-27,50.15,52.52,49.56,52.12,34966800,0,0
2019-03-28,52.34,53.4,52.04,52.82,9488800,0,0
2019-03-29,53.14,53.34,51.74,53.1,7023200,0,0
2019-04-01,53.67,54.27,53.06,54.16,6150900,0,0
2019-04-02,54.88,54.88,53.32,53.69,7161000,0,0
2019-04-03,54.0,54.61,53.16,53.37,6392800,0,0
2019-04-04,53.44,54.08,53.3,53.56,5019200,0,0
2019-04-05,53.77,56.15,53.52,55.84,10474500,0,0
2019-04-08,55.84,56.72,55.21,56.64,8552900,0,0
2019-04-09,56.37,58.25,56.0,57.88,10971700,0,0
2019-04-10,58.16,58.17,56.86,57.29,9565400,0,0
2019-04-11,57.42,57.9,55.03,55.13,8799000,0,0
2019-04-12,55.32,55.45,52.36,52.92,10855400,0,0
2019-04-15,53.07,53.24,52.26,53.22,6655100,0,0
2019-04-16,53.98,53.98,49.27,50.07,12233500,0,0
2019-04-17,50.06,50.07,46.1,47.01,19375300,0,0
2019-04-18,47.01,48.43,45.44,48.2,17863700,0,0
2019-04-22,48.41,49.24,47.71,48.08,8426000,0,0
2019-04-23,48.16,50.51,46.85,50.31,17295900,0,0
2019-04-24,50.48,50.71,49.77,50.2,7281000,0,0
2019-04-25,49.98,50.5,49.26,50.23,6044600,0,0
2019-04-26,50.5,52.67,50.39,52.63,10804700,0,0
2019-04-29,52.51,52.94,51.96,52.26,8974100,0,0
2019-04-30,52.66,52.66,50.35,51.56,8574700,0,0
2019-05-01,51.39,51.55,49.63,49.73,7569500,0,0
2019-05-02,49.59,51.62,49.4,51.62,8194800,0,0
2019-05-03,51.61,52.83,50.72,52.59,9997800,0,0
2019-05-06,51.41,57.3,51.35,56.04,20699200,0,0
2019-05-07,55.64,56.95,54.9,55.85,17145600,0,0
2019-05-08,55.49,57.45,54.78,56.62,10633800,0,0
2019-05-09,55.97,56.87,53.44,54.74,9278300,0,0
2019-05-10,54.99,55.36,52.8,55.05,12889400,0,0
2019-05-13,53.85,55.06,53.38,54.9,10612300,0,0
2019-05-14,55.1,55.46,53.5,54.74,16414500,0,0
2019-05-15,54.05,55.3,54.05,54.43,12671200,0,0
2019-05-16,54.51,56.16,54.23,55.57,14879800,0,0
