Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,28.99,29.49,28.93,29.35,2916500,0.0,0
2019-03-22,29.45,29.64,29.38,29.45,3836600,0.0,0
2019-03-25,29.39,29.6,29.31,29.53,2888500,0.0,0
2019-03-26,29.53,29.79,29.5,29.65,2445500,0.0,0
2019-03-27,29.69,29.72,29.23,29.28,3800200,0.0,0
2019-03-28,29.29,29.38,28.89,29.08,4122700,0.0,0
2019-03-29,29.11,29.51,28.99,29.43,4084500,0.0,0
2019-04-01,29.42,29.49,29.18,29.43,3133500,0.0,0
2019-04-02,29.54,29.58,29.31,29.51,3940600,0.0,0
2019-04-03,29.43,29.61,29.2,29.43,3372000,0.0,0
2019-04-04,29.62,29.66,29.16,29.27,2680500,0.0,0
2019-04-05,29.36,29.59,29.25,29.59,3856900,0.0,0
2019-04-08,29.51,29.53,29.13,29.2,4356900,0.0,0
2019-04-09,29.21,29.27,28.93,29.07,4005600,0.0,0
2019-04-10,29.12,29.26,28.84,28.95,4637300,0.0,0
2019-04-11,28.99,29.12,28.86,29.04,4812800,0.0,0
2019-04-12,28.94,29.36,28.78,29.31,5162400,0.0,0
2019-04-15,29.42,29.5,29.14,29.24,4584900,0.0,0
2019-04-16,29.12,29.24,28.74,28.9,3432600,0.0,0
2019-04-17,28.89,28.93,28.72,28.77,3000200,0.0,0
2019-04-18,28.91,29.2,28.87,29.04,3892500,0.0,0
2019-04-22,28.99,29.24,28.96,29.22,3154700,0.0,0
2019-04-23,29.32,29.46,29.14,29.35,3940200,0.0,0
2019-04-24,29.4,29.49,29.03,29.04,6149900,0.0,0
2019-04-25,28.94,29.35,28.78,29.25,4768600,0.0,0
2019-04-26,29.44,29.6,29.2,29.21,2843200,0.0,0
2019-04-29,29.11,29.27,29.05,29.19,2378500,0.0,0
2019-04-30,29.27,29.76,29.13,29.72,4436200,0.0,0
2019-05-01,29.61,29.81,29.48,29.51,6036200,0.0,0
2019-05-02,29.5,29.75,29.43,29.48,5859300,0.0,0
2019-05-03,29.54,29.87,29.54,29.86,2679400,0.0,0
2019-05-06,29.86,29.88,29.66,29.77,2891100,0.0,0
2019-05-07,29.75,29.83,29.43,29.54,4483700,0.0,0
2019-05-08,29.45,29.57,29.15,29.19,3748200,0.0,0
2019-05-09,29.12,29.19,27.94,28.04,9882700,0.0,0
2019-05-10,27.82,28.48,27.57,28.43,7523000,0.0,0
2019-05-13,28.29,28.94,28.26,28.91,6339700,0.0,0
2019-05-14,28.84,28.89,28.41,28.55,8550200,0.0,0
2019-05-15,28.61,28.71,28.44,28.48,5835400,0.2875,0
2019-05-16,28.46,28.79,28.38,28.65,4546200,0.0,0
2019-05-17,28.52,28.96,28.52,28.82,4612500,0.0,0
2019-05-20,28.85,29.07,28.61,28.69,3895100,0.0,0
2019-05-21,28.69,28.95,28.56,28.58,3804700,0.0,0
2019-05-22,28.6,28.73,28.42,28.61,6442100,0.0,0
2019-05-23,28.62,28.66,28.24,28.48,6392600,0.0,0
2019-05-24,28.65,28.77,28.43,28.45,3848500,0.0,0
2019-05-28,28.55,28.57,27.9,27.9,6517400,0.0,0
2019-05-29,28.0,28.0,27.5,27.54,4157400,0.0,0
2019-05-30,27.55,27.69,27.3,27.37,3999300,0.0,0
2019-05-31,27.39,27.63,27.3,27.53,5326400,0.0,0
2019-06-03,27.7,27.82,27.38,27.74,4841700,0.0,0
2019-06-04,27.78,27.92,27.25,27.9,5360500,0.0,0
2019-06-05,28.03,28.26,27.88,28.11,5904100,0.0,0
2019-06-06,28.26,28.47,28.13,28.22,4823300,0.0,0
2019-06-07,28.47,28.6,27.87,27.9,4009000,0.0,0
2019-06-10,27.91,28.05,27.67,28.0,3184300,0.0,0
2019-06-11,27.94,28.0,27.62,27.72,6415600,0.0,0
2019-06-12,27.82,28.13,27.75,28.05,2896200,0.0,0
2019-06-13,28.61,28.61,28.24,28.32,4925600,0.0,0
2019-06-14,28.43,28.79,28.36,28.67,4508700,0.0,0
2019-06-17,28.67,28.8,28.51,28.65,4389200,0.0,0
2019-06-18,28.84,28.85,28.4,28.6,3700100,0.0,0
2019-06-19,28.42,29.13,28.42,29.02,3814400,0.0,0
2019-06-20,29.15,29.27,28.72,29.08,2881000,0.0,0
