Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,80.83,82.12,80.12,81.51,2569500,0.0,0
2019-03-22,80.77,80.9,78.35,78.67,3119800,0.0,0
2019-03-25,78.53,79.15,77.14,78.04,2327500,0.0,0
2019-03-26,78.67,79.34,78.1,79.32,1668600,0.0,0
2019-03-27,79.04,79.62,78.49,78.74,1902000,0.0,0
2019-03-28,78.99,79.71,78.72,79.61,1268600,0.0,0
2019-03-29,80.38,80.96,80.06,80.33,2945600,0.0,0
2019-04-01,80.98,83.47,80.9,83.07,3036500,0.0,0
2019-04-02,83.09,84.14,82.61,83.27,2342100,0.0,0
2019-04-03,83.69,84.76,83.51,83.89,2852600,0.0,0
2019-04-04,84.09,85.29,83.7,85.25,2137200,0.0,0
2019-04-05,85.55,85.8,84.47,85.1,1554000,0.0,0
2019-04-08,84.37,84.7,83.87,84.61,2023200,0.0,0
2019-04-09,84.07,84.28,83.18,83.68,1212100,0.0,0
2019-04-10,83.85,84.35,83.12,84.2,1413200,0.0,0
2019-04-11,84.68,85.24,84.19,84.81,1390900,0.0,0
2019-04-12,85.89,87.21,85.49,86.37,1637100,0.0,0
2019-04-15,86.35,86.48,85.11,85.43,1215400,0.0,0
2019-04-16,85.99,86.88,85.58,86.44,1888400,0.0,0
2019-04-17,86.63,86.78,85.84,86.45,2337000,0.0,0
2019-04-18,86.25,86.82,86.04,86.64,1413900,0.0,0
2019-04-22,86.41,86.76,85.85,86.15,1060800,0.0,0
2019-04-23,86.35,87.16,85.94,86.72,1789000,0.0,0
2019-04-24,86.53,87.13,86.07,86.33,1759900,0.0,0
2019-04-25,86.25,87.28,85.91,86.58,2135600,0.0,0
2019-04-26,89.19,92.57,89.19,92.17,4310300,0.0,0
2019-04-29,92.29,92.81,90.74,90.84,2466400,0.0,0
2019-04-30,91.47,91.71,90.05,91.28,2211300,0.0,0
2019-05-01,91.02,91.93,90.7,91.04,2210800,0.0,0
2019-05-02,91.12,91.71,90.61,91.37,2062700,0.0,0
2019-05-03,91.67,92.73,91.57,92.69,1694500,0.0,0
2019-05-06,90.52,92.51,90.35,92.05,2208400,0.0,0
2019-05-07,90.87,91.07,89.38,90.07,1901500,0.0,0
2019-05-08,89.66,90.12,88.67,88.72,2183300,0.0,0
2019-05-09,87.63,88.84,86.9,88.7,2240800,0.0,0
2019-05-10,88.55,89.65,87.23,89.28,1348800,0.4,0
2019-05-13,87.4,87.79,86.25,86.46,1819400,0.0,0
2019-05-14,87.16,88.94,87.02,88.16,1640700,0.0,0
2019-05-15,87.21,88.95,86.17,88.28,1900000,0.0,0
2019-05-16,88.77,90.43,88.77,89.86,1631000,0.0,0
2019-05-17,88.92,90.26,88.82,89.43,1518100,0.0,0
2019-05-20,89.3,90.75,88.89,90.26,1460100,0.0,0
2019-05-21,90.84,91.14,90.47,91.07,1859200,0.0,0
2019-05-22,90.53,91.03,90.13,90.14,1117200,0.0,0
2019-05-23,89.3,89.3,87.51,88.15,1584300,0.0,0
2019-05-24,88.77,89.76,88.63,89.66,1175700,0.0,0
2019-05-28,89.25,89.79,87.6,87.66,2016500,0.0,0
2019-05-29,87.14,88.46,86.47,88.34,1605000,0.0,0
2019-05-30,88.45,89.09,86.59,87.26,1376400,0.0,0
2019-05-31,86.15,86.5,84.67,84.81,2785100,0.0,0
2019-06-03,84.92,86.35,84.81,86.01,2050000,0.0,0
2019-06-04,87.28,88.83,86.91,88.81,2047400,0.0,0
2019-06-05,88.89,89.09,87.43,88.8,1666600,0.0,0
2019-06-06,88.7,89.56,88.51,89.25,1474500,0.0,0
2019-06-07,89.05,89.83,88.93,89.15,1296200,0.0,0
2019-06-10,89.8,90.61,89.25,89.32,1402800,0.0,0
2019-06-11,90.19,91.11,89.86,90.22,1194400,0.0,0
2019-06-12,90.26,90.58,88.9,89.44,1011000,0.0,0
2019-06-13,89.49,90.32,89.38,89.65,1313300,0.0,0
2019-06-14,89.88,89.88,88.48,89.46,1310000,0.0,0
2019-06-17,89.46,89.93,88.64,88.84,1416800,0.0,0
2019-06-18,88.89,90.74,88.8,90.17,2205600,0.0,0
2019-06-19,90.3,90.91,89.11,89.37,1715500,0.0,0
2019-06-20,90.43,90.81,89.39,90.5,1365300,0.0,0
2019-06-21,90.6,91.23,89.72,90.4,3195400,0.0,0
2019-06-24,89.88,90.06,86.91,87.63,3038200,0.0,0
2019-06-25,87.48,88.62,86.99,87.73,1859200,0.0,0
2019-06-26,87.91,88.61,87.56,88.28,1559000,0.0,0
2019-06-27,88.49,89.28,87.9,88.23,1439600,0.0,0
2019-06-28,89.1,89.97,88.24,89.62,3156300,0.0,0
2019-07-01,91.17,91.69,90.11,90.91,1732900,0.0,0
2019-07-02,90.67,90.84,89.52,89.98,1637900,0.0,0
2019-07-03,90.65,91.86,90.42,91.85,1297000,0.0,0
2019-07-05,91.86,91.99,90.82,91.4,1106900,0.0,0
2019-07-08,90.94,91.32,90.36,90.67,1409800,0.0,0
2019-07-09,89.9,91.32,89.89,91.16,1982500,0.0,0
2019-07-10,91.09,91.51,88.89,89.05,2495500,0.0,0
2019-07-11,89.5,90.1,89.06,89.6,1492000,0.0,0
2019-07-12,89.99,90.24,89.46,89.95,1499800,0.0,0
2019-07-15,90.26,90.26,88.29,88.65,2104800,0.0,0
2019-07-16,89.04,89.41,88.44,88.82,2270400,0.0,0
2019-07-17,88.45,88.75,87.07,87.11,1875000,0.0,0
2019-07-18,87.21,88.08,86.76,87.67,2882300,0.0,0
2019-07-19,90.9,91.01,89.12,89.54,4118000,0.0,0
2019-07-22,89.41,91.08,89.23,90.59,2917100,0.0,0
2019-07-23,90.8,93.34,90.67,93.18,2275600,0.0,0
2019-07-24,93.1,95.94,92.59,95.73,3945000,0.0,0
2019-07-25,95.66,95.68,94.38,94.72,2427700,0.0,0
2019-07-26,94.81,97.41,94.42,96.87,3221300,0.0,0
2019-07-29,96.83,97.07,95.4,95.73,2427900,0.0,0
2019-07-30,90.36,90.87,88.19,90.09,12268200,0.0,0
2019-07-31,90.18,92.26,89.82,91.28,5102800,0.0,0
2019-08-01,91.28,92.5,89.95,90.18,3517000,0.0,0
