Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,290.69,297.83,290.69,297.2,243800,0.0,0
2019-03-22,296.58,297.57,291.55,291.71,271600,0.0,0
2019-03-25,292.35,293.79,289.92,292.26,240200,0.0,0
2019-03-26,294.26,297.04,293.74,294.06,364600,0.0,0
2019-03-27,294.06,294.76,290.89,292.8,237100,0.0,0
2019-03-28,294.17,295.64,291.46,294.92,256000,0.0,0
2019-03-29,295.27,297.89,292.82,296.12,356500,0.0,0
2019-04-01,297.95,302.31,294.42,295.77,366200,0.0,0
2019-04-02,296.4,298.45,292.13,297.54,288100,0.0,0
2019-04-03,298.32,299.34,295.5,297.02,365800,0.0,0
2019-04-04,297.03,297.03,289.41,290.68,421500,0.0,0
2019-04-05,289.54,291.47,288.19,289.39,721100,0.0,0
2019-04-08,289.08,289.99,284.53,289.98,295800,0.0,0
2019-04-09,288.9,292.7,288.36,289.41,398500,0.0,0
2019-04-10,290.05,293.13,288.28,291.63,196300,0.0,0
2019-04-11,293.06,293.06,289.02,291.83,299900,0.0,0
2019-04-12,291.95,297.17,291.53,292.89,281000,0.0,0
2019-04-15,294.33,295.89,292.82,295.57,222500,0.0,0
2019-04-16,296.56,297.4,287.2,288.93,280500,0.0,0
2019-04-17,290.22,290.22,278.45,279.24,417400,0.0,0
2019-04-18,280.39,284.58,278.71,281.17,495500,0.0,0
2019-04-22,279.9,286.79,279.9,284.26,318300,0.0,0
2019-04-23,285.51,288.54,283.99,286.69,304000,0.0,0
2019-04-24,287.78,288.32,281.7,282.41,363800,0.0,0
2019-04-25,280.99,282.6,279.37,281.45,547900,0.0,0
2019-04-26,283.4,288.35,280.38,288.25,352300,0.0,0
2019-04-29,288.1,289.94,285.28,285.84,272300,0.0,0
2019-04-30,286.89,290.66,285.07,289.87,312900,0.0,0
2019-05-01,289.71,290.87,286.4,287.35,206400,0.0,0
2019-05-02,287.86,290.95,284.43,290.76,277500,0.0,0
2019-05-03,290.76,294.53,290.49,293.86,266500,0.0,0
2019-05-06,290.85,296.26,288.27,294.71,313600,0.0,0
2019-05-07,292.37,293.72,286.74,289.18,232800,0.0,0
2019-05-08,288.99,292.39,287.51,290.88,172900,0.0,0
2019-05-09,289.06,292.33,285.64,291.37,202000,0.0,0
2019-05-10,290.48,292.75,284.07,291.74,149000,0.0,0
2019-05-13,287.07,289.04,284.55,286.74,180600,0.0,0
2019-05-14,286.76,290.13,286.76,287.75,157700,0.0,0
2019-05-15,287.48,291.6,285.45,290.71,183800,0.0,0
