Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,66.08,66.62,65.62,66.48,5580900,0.0,0
2019-03-22,65.82,66.1,63.8,64.46,5182100,0.0,0
2019-03-25,64.43,65.85,63.93,65.44,8070000,0.0,0
2019-03-26,66.32,67.91,66.26,66.89,7245200,0.0,0
2019-03-27,66.64,67.4,65.94,66.26,5015600,0.0,0
2019-03-28,65.76,65.97,65.14,65.74,5122100,0.0,0
2019-03-29,66.62,66.87,64.96,65.12,6810900,0.0,0
2019-04-01,65.85,66.46,65.67,66.04,5309000,0.0,0
2019-04-02,65.95,66.18,64.48,64.74,5833000,0.0,0
2019-04-03,65.18,65.33,63.58,63.92,5490800,0.0,0
2019-04-04,63.98,64.17,63.39,63.57,6397900,0.0,0
2019-04-05,63.92,64.58,63.67,64.51,8337800,0.0,0
2019-04-08,64.89,65.88,64.58,64.93,5705200,0.0,0
2019-04-09,64.6,64.67,63.86,64.1,4707300,0.0,0
2019-04-10,64.47,65.55,64.42,65.34,6629000,0.0,0
2019-04-11,65.02,65.96,64.12,64.76,9486900,0.0,0
2019-04-12,65.92,66.56,65.61,65.73,9913100,0.0,0
2019-04-15,65.43,65.59,64.6,64.73,7284800,0.0,0
2019-04-16,65.14,65.28,64.24,64.24,7790500,0.0,0
2019-04-17,64.87,65.37,64.18,64.18,7907100,0.0,0
2019-04-18,64.34,64.78,63.93,64.3,6033400,0.0,0
2019-04-22,65.08,65.66,64.72,65.33,9061600,0.0,0
2019-04-23,65.36,65.78,64.81,64.83,8133500,0.0,0
2019-04-24,65.37,65.37,63.12,63.13,7624600,0.0,0
2019-04-25,63.06,63.08,62.37,62.41,7305000,0.0,0
2019-04-26,62.03,62.1,60.57,61.25,9216800,0.0,0
2019-04-29,61.24,61.58,60.84,61.13,6769300,0.0,0
2019-04-30,62.0,62.41,61.03,61.58,9358300,0.0,0
2019-05-01,62.18,62.96,61.15,61.15,12032000,0.0,0
2019-05-02,60.69,61.77,59.79,59.8,12614200,0.0,0
