Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,234.52,237.66,234.39,237.35,1617000,0.0,0
2019-03-22,237.56,238.14,234.73,235.39,1873600,0.0,0
2019-03-25,234.76,235.9,233.63,234.8,1357100,0.0,0
2019-03-26,235.82,238.05,235.19,236.88,1193000,0.0,0
2019-03-27,236.53,238.01,235.98,237.22,1351200,0.0,0
2019-03-28,237.79,239.74,237.39,239.02,1396700,0.0,0
2019-03-29,239.45,240.22,238.57,239.93,1968000,0.0,0
2019-04-01,240.85,242.18,240.36,241.96,1610200,0.0,0
2019-04-02,241.77,241.96,238.11,238.3,1574300,0.0,0
2019-04-03,239.48,241.32,238.82,240.26,1663600,0.0,0
2019-04-04,239.96,242.52,239.04,242.17,1319700,0.0,0
2019-04-05,242.72,244.83,241.78,243.62,1616200,0.0,0
2019-04-08,243.74,244.57,242.96,244.27,1244200,0.0,0
2019-04-09,242.87,243.43,241.78,242.67,1450200,0.0,0
2019-04-10,243.04,244.42,242.47,243.36,1556600,0.0,0
2019-04-11,241.39,241.95,238.72,239.03,2719800,0.0,0
2019-04-12,239.3,240.5,238.7,239.74,2187600,0.0,0
2019-04-15,240.15,244.49,239.75,244.08,1859700,0.0,0
2019-04-16,244.4,244.56,242.02,243.1,1360500,0.0,0
2019-04-17,244.05,244.21,242.09,243.32,1363000,0.0,0
2019-04-18,244.53,244.99,242.46,243.56,1365000,0.0,0
2019-04-22,242.95,243.52,240.34,241.19,1300000,0.0,0
2019-04-23,242.41,244.28,240.0,243.34,1524600,0.0,0
2019-04-24,243.43,246.43,243.36,245.69,1156400,0.0,0
2019-04-25,243.96,244.89,241.71,243.35,1278200,0.0,0
2019-04-26,243.37,243.64,239.85,241.59,1842900,0.0,0
2019-04-29,242.76,243.5,241.26,242.05,1429700,0.0,0
2019-04-30,242.53,243.54,240.8,243.29,1427600,0.0,0
2019-05-01,243.1,243.22,239.34,239.38,1350400,0.0,0
2019-05-02,239.55,240.67,238.22,240.47,1237600,0.0,0
2019-05-03,241.05,242.64,240.5,242.38,905900,0.0,0
2019-05-06,240.63,242.59,239.85,242.0,1194900,0.0,0
2019-05-07,239.51,240.52,236.04,237.98,1775200,0.0,0
2019-05-08,237.37,240.83,236.01,239.13,1611900,0.0,0
2019-05-09,239.1,242.48,238.61,241.9,1919300,0.65,0
2019-05-10,241.37,246.94,238.48,245.42,2036500,0.0,0
2019-05-13,242.54,243.35,239.11,240.36,1962800,0.0,0
2019-05-14,240.72,243.51,240.25,241.16,1635100,0.0,0
2019-05-15,240.54,243.81,239.67,243.09,1194800,0.0,0
2019-05-16,244.04,248.12,243.62,245.84,1800600,0.0,0
2019-05-17,244.29,248.43,244.0,246.74,1672000,0.0,0
2019-05-20,245.55,248.32,245.55,247.29,1600500,0.0,0
2019-05-21,247.5,249.21,246.5,248.31,1504200,0.0,0
2019-05-22,249.39,249.39,247.53,247.9,1242300,0.0,0
2019-05-23,247.02,248.3,245.58,246.92,1822800,0.0,0
2019-05-24,247.5,247.95,245.17,245.7,1340200,0.0,0
2019-05-28,246.97,248.58,244.55,244.72,3164100,0.0,0
2019-05-29,242.55,243.19,237.37,239.13,2594900,0.0,0
2019-05-30,240.58,242.01,239.19,239.98,2030300,0.0,0
2019-05-31,237.43,239.1,231.54,238.03,4058100,0.0,0
2019-06-03,238.23,239.98,236.54,239.51,2512500,0.0,0
2019-06-04,241.43,244.23,240.93,244.02,1761500,0.0,0
2019-06-05,244.51,247.15,243.44,246.36,1825500,0.0,0
2019-06-06,246.4,250.31,246.14,249.59,1487800,0.0,0
2019-06-07,249.54,254.94,249.4,254.35,2270200,0.0,0
2019-06-10,254.74,257.16,254.45,255.19,1839500,0.0,0
2019-06-11,257.24,257.94,254.55,255.45,1613500,0.0,0
2019-06-12,255.91,257.08,254.12,255.57,1071700,0.0,0
2019-06-13,256.04,258.19,255.88,258.03,1228500,0.0,0
2019-06-14,258.32,259.51,257.24,258.47,1287800,0.0,0
2019-06-17,259.44,260.55,258.75,259.74,1191900,0.0,0
2019-06-18,261.91,262.49,260.36,261.04,2763200,0.0,0
2019-06-19,260.61,262.39,259.25,261.96,1628400,0.0,0
2019-06-20,263.29,266.06,262.84,265.62,1745100,0.0,0
2019-06-21,265.05,267.2,264.27,264.41,2964000,0.0,0
2019-06-24,265.58,266.24,264.8,265.05,1586100,0.0,0
2019-06-25,264.99,265.35,263.64,264.64,1182400,0.0,0
2019-06-26,264.73,265.09,262.63,262.7,1334400,0.0,0
2019-06-27,263.19,264.76,261.29,263.86,1122900,0.0,0
2019-06-28,263.78,264.67,261.66,262.55,1952500,0.0,0
2019-07-01,264.71,265.27,260.15,261.85,1955800,0.0,0
2019-07-02,262.21,263.85,259.98,263.75,1201300,0.0,0
2019-07-03,263.43,267.42,263.43,267.4,986500,0.0,0
2019-07-05,266.47,266.87,264.55,266.52,1081500,0.0,0
2019-07-08,266.6,267.95,265.62,267.66,1236000,0.0,0
2019-07-09,267.62,269.03,266.75,268.22,1400300,0.0,0
2019-07-10,268.3,269.77,267.6,269.67,1257000,0.0,0
2019-07-11,270.57,274.98,270.05,274.75,1985600,0.0,0
2019-07-12,274.71,278.19,274.23,277.63,2046400,0.0,0
2019-07-15,278.13,278.89,277.1,278.77,1568000,0.0,0
2019-07-16,279.18,279.55,277.97,278.84,1379200,0.0,0
2019-07-17,279.23,281.02,278.41,279.74,1716600,0.0,0
2019-07-18,280.38,281.23,277.39,281.08,1696100,0.0,0
2019-07-19,281.24,282.47,279.53,279.69,1607600,0.0,0
