Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,35.36,36.73,35.05,36.66,2709500,0.0,0
2019-03-22,36.55,37.16,36.52,37.03,2796700,0.0,0
2019-03-25,36.99,37.13,36.67,37.07,2059600,0.0,0
2019-03-26,37.18,37.61,37.01,37.3,1791000,0.0,0
2019-03-27,37.16,37.33,36.55,36.75,1863300,0.0,0
2019-03-28,36.82,37.31,36.73,37.09,1194400,0.0,0
2019-03-29,37.12,37.23,36.58,36.92,1931700,0.0,0
2019-04-01,36.84,36.89,36.33,36.65,2194200,0.0,0
2019-04-02,36.71,36.88,36.3,36.43,1157900,0.0,0
2019-04-03,36.43,36.48,36.0,36.07,1705200,0.0,0
2019-04-04,36.18,36.36,36.09,36.27,1174500,0.0,0
2019-04-05,36.33,37.08,36.33,37.05,1883800,0.0,0
2019-04-08,36.98,37.56,36.91,37.31,2522900,0.0,0
2019-04-09,37.24,38.55,37.24,38.24,5173300,0.0,0
2019-04-10,38.29,38.66,38.02,38.23,2936200,0.35,0
2019-04-11,38.36,38.95,38.29,38.75,2410200,0.0,0
2019-04-12,38.63,39.04,38.56,38.9,2268400,0.0,0
2019-04-15,38.63,39.3,38.63,38.92,2111800,0.0,0
2019-04-16,38.92,39.06,38.48,38.52,1557700,0.0,0
2019-04-17,38.68,38.79,38.18,38.23,1542900,0.0,0
2019-04-18,38.31,38.69,38.2,38.49,1573100,0.0,0
2019-04-22,38.51,38.67,38.26,38.42,1416900,0.0,0
2019-04-23,38.37,38.59,37.89,38.01,1627600,0.0,0
2019-04-24,38.14,38.58,37.86,38.1,1679500,0.0,0
2019-04-25,37.98,37.98,37.24,37.3,2273900,0.0,0
2019-04-26,37.36,37.77,37.21,37.75,1568100,0.0,0
2019-04-29,37.74,37.84,37.36,37.46,1574500,0.0,0
2019-04-30,37.48,37.83,37.26,37.8,1533700,0.0,0
2019-05-01,37.85,37.89,37.23,37.44,1622900,0.0,0
2019-05-02,37.06,37.15,36.73,37.04,1464900,0.0,0
2019-05-03,37.05,37.45,36.79,37.39,1134500,0.0,0
2019-05-06,37.31,37.54,37.03,37.33,1600600,0.0,0
2019-05-07,37.24,37.43,36.76,37.35,1339400,0.0,0
2019-05-08,37.41,37.97,37.17,37.7,1369300,0.0,0
2019-05-09,37.5,38.09,37.39,38.06,1113000,0.0,0
2019-05-10,37.92,38.09,37.28,37.85,1271600,0.0,0
2019-05-13,37.72,38.26,37.64,37.83,2179200,0.0,0
2019-05-14,37.83,37.96,37.4,37.78,1109100,0.0,0
2019-05-15,37.77,38.19,37.51,38.08,950600,0.0,0
2019-05-16,38.21,38.53,37.97,38.04,1588400,0.0,0
2019-05-17,37.88,38.49,37.86,38.23,1301000,0.0,0
2019-05-20,38.23,38.36,37.8,37.86,2019800,0.0,0
2019-05-21,38.03,38.11,37.34,37.54,2017800,0.0,0
2019-05-22,37.36,37.36,36.9,36.99,1913400,0.0,0
2019-05-23,36.85,37.33,36.69,37.23,2151800,0.0,0
2019-05-24,37.31,37.31,36.65,36.67,1156900,0.0,0
2019-05-28,36.62,36.89,35.8,35.93,3153000,0.0,0
2019-05-29,35.57,35.87,35.19,35.39,2281000,0.0,0
2019-05-30,35.44,35.77,34.93,34.98,1859500,0.0,0
2019-05-31,34.86,35.6,34.46,35.48,3185100,0.0,0
2019-06-03,35.39,36.56,35.39,36.51,3450100,0.0,0
2019-06-04,36.56,37.79,36.56,37.23,5354500,0.0,0
2019-06-05,39.38,41.04,38.98,40.97,8902400,0.0,0
2019-06-06,40.77,42.23,40.7,42.02,5299500,0.0,0
2019-06-07,42.2,42.66,41.69,42.09,3613200,0.0,0
2019-06-10,42.09,42.12,40.62,41.04,3260300,0.0,0
2019-06-11,40.99,41.56,40.76,41.55,2300800,0.0,0
2019-06-12,41.7,42.07,41.3,41.46,2611900,0.0,0
2019-06-13,41.45,41.74,41.15,41.66,2331000,0.0,0
2019-06-14,41.76,41.76,41.18,41.29,1823200,0.0,0
2019-06-17,41.25,41.25,39.95,40.42,2905200,0.0,0
2019-06-18,40.57,40.68,39.68,39.92,2396500,0.0,0
2019-06-19,39.82,40.43,39.76,40.31,2163500,0.0,0
2019-06-20,40.33,40.51,39.67,40.09,1820200,0.0,0
2019-06-21,40.12,40.31,39.67,39.76,4017000,0.0,0
2019-06-24,39.95,40.15,39.49,39.6,3297900,0.0,0
2019-06-25,39.57,40.19,39.57,40.1,2922100,0.0,0
2019-06-26,39.57,39.98,39.13,39.53,3931800,0.0,0
2019-06-27,39.15,39.21,38.34,38.84,2590800,0.0,0
2019-06-28,38.96,39.34,38.86,39.15,3221400,0.0,0
2019-07-01,39.51,39.65,38.87,39.2,1865500,0.0,0
2019-07-02,39.34,39.75,39.07,39.71,1984700,0.0,0
2019-07-03,39.91,40.82,39.87,40.71,1625400,0.0,0
2019-07-05,40.52,40.7,39.87,40.61,1615000,0.0,0
2019-07-08,40.62,40.69,40.34,40.55,1275100,0.0,0
2019-07-09,40.61,40.65,40.23,40.51,1586800,0.0,0
2019-07-10,40.55,40.71,40.37,40.45,2645400,0.0,0
2019-07-11,40.63,40.63,39.8,40.27,1284200,0.35,0
2019-07-12,40.31,40.45,40.16,40.32,1056600,0.0,0
2019-07-15,40.35,40.67,40.11,40.52,1227500,0.0,0
2019-07-16,40.57,40.8,40.49,40.69,1550600,0.0,0
2019-07-17,40.77,40.88,40.48,40.74,1022800,0.0,0
2019-07-18,40.92,41.16,40.67,41.07,1101500,0.0,0
2019-07-19,41.04,41.19,40.63,40.67,1388600,0.0,0
2019-07-22,40.68,40.8,40.35,40.54,1374800,0.0,0
2019-07-23,40.69,41.03,40.46,40.86,1427200,0.0,0
2019-07-24,40.72,40.72,39.79,39.93,1517000,0.0,0
2019-07-25,39.74,40.06,39.44,39.81,1483200,0.0,0
2019-07-26,39.99,40.47,39.59,40.36,1224600,0.0,0
2019-07-29,40.42,40.81,40.21,40.73,1384800,0.0,0
2019-07-30,40.76,41.18,40.57,41.05,1749500,0.0,0
2019-07-31,41.04,41.14,40.22,40.73,1532200,0.0,0
2019-08-01,40.92,41.85,40.92,41.49,2265900,0.0,0
2019-08-02,41.63,42.09,41.25,41.72,1957700,0.0,0
2019-08-05,41.48,41.67,40.22,40.61,1621700,0.0,0
2019-08-06,40.58,40.82,40.09,40.66,1421600,0.0,0
2019-08-07,40.57,41.12,40.02,40.96,2088000,0.0,0
2019-08-08,40.61,41.51,40.55,41.41,1692300,0.0,0
2019-08-09,41.53,42.07,41.04,41.18,1252300,0.0,0
2019-08-12,41.14,41.68,41.01,41.49,1290100,0.0,0
2019-08-13,41.44,41.95,41.18,41.64,1526000,0.0,0
2019-08-14,41.61,41.62,40.77,40.85,1626000,0.0,0
2019-08-15,40.86,41.73,40.66,41.54,1266200,0.0,0
2019-08-16,41.79,42.09,41.57,42.02,935800,0.0,0
2019-08-19,42.04,42.73,41.85,42.56,2145700,0.0,0
2019-08-20,42.79,42.79,42.18,42.45,2634000,0.0,0
2019-08-21,42.66,43.12,42.24,42.64,4363900,0.0,0
2019-08-22,42.64,43.2,42.64,43.04,1120300,0.0,0
2019-08-23,43.04,43.06,41.78,42.05,1531200,0.0,0
2019-08-26,42.2,42.48,41.79,42.04,1581500,0.0,0
2019-08-27,41.98,42.04,41.06,41.43,1829100,0.0,0
2019-08-28,41.37,41.46,40.95,41.36,1641800,0.0,0
2019-08-29,41.61,42.88,41.28,42.68,4164400,0.0,0
2019-08-30,44.26,47.33,44.09,44.34,11450600,0.0,0
2019-09-03,44.15,44.83,43.49,44.76,3118200,0.0,0
2019-09-04,45.03,45.52,44.39,44.41,2396600,0.0,0
2019-09-05,44.47,44.47,43.62,43.97,2129300,0.0,0
2019-09-06,44.12,44.54,43.88,44.32,1851600,0.0,0
2019-09-09,44.41,44.42,43.46,43.94,2620300,0.0,0
2019-09-10,43.78,45.27,43.65,45.22,3165200,0.0,0
2019-09-11,45.22,45.98,44.97,45.98,3144400,0.0,0
2019-09-12,46.21,46.76,46.2,46.46,4153800,0.0,0
2019-09-13,46.2,46.66,45.34,45.6,4608600,0.0,0
2019-09-16,45.4,46.09,45.15,46.06,1932200,0.0,0
