Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,45.41,45.75,44.17,45.36,1578600,0,0
2019-03-22,44.96,44.99,43.06,43.7,4224700,0,0
2019-03-25,43.46,44.03,43.1,43.84,1844000,0,0
2019-03-26,44.29,44.83,44.12,44.37,2366500,0,0
2019-03-27,44.78,45.45,44.56,45.38,1941200,0,0
2019-03-28,46.26,46.76,45.65,46.65,3597700,0,0
2019-03-29,46.68,46.77,45.65,45.75,1971500,0,0
2019-04-01,45.96,47.18,45.96,47.14,2768200,0,0
2019-04-02,46.98,46.98,46.38,46.63,2069600,0,0
2019-04-03,46.94,47.34,46.54,46.95,1571900,0,0
2019-04-04,47.77,49.38,47.53,49.31,3335100,0,0
2019-04-05,49.43,49.86,47.95,48.09,2888100,0,0
2019-04-08,49.18,49.32,48.45,48.86,3064800,0,0
2019-04-09,48.71,48.79,47.86,48.55,2031800,0,0
2019-04-10,48.61,49.89,48.22,49.83,4144200,0,0
2019-04-11,49.98,50.0,47.96,48.06,2202900,0,0
2019-04-12,48.34,48.86,47.75,48.46,2290000,0,0
2019-04-15,48.59,48.78,48.04,48.09,1528900,0,0
2019-04-16,48.09,48.24,47.8,47.84,1682400,0,0
2019-04-17,48.33,49.1,48.18,48.66,1696400,0,0
2019-04-18,48.58,49.42,48.38,49.22,3260500,0,0
2019-04-22,48.86,48.89,46.47,46.59,4423400,0,0
2019-04-23,46.72,47.09,45.75,46.08,2772000,0,0
2019-04-24,46.15,46.49,45.7,46.11,1968700,0,0
2019-04-25,46.05,46.07,44.36,44.52,2538400,0,0
2019-04-26,44.43,45.0,44.12,44.67,1427700,0,0
2019-04-29,44.62,45.2,44.37,44.87,1781400,0,0
2019-04-30,44.63,44.95,43.95,44.08,2062500,0,0
2019-05-01,44.06,44.7,43.19,43.19,2324300,0,0
2019-05-02,43.45,43.71,43.03,43.65,1898200,0,0
2019-05-03,43.66,44.24,43.34,44.07,1417200,0,0
2019-05-06,43.1,43.98,42.76,43.71,2711600,0,0
2019-05-07,43.42,43.55,41.67,41.97,2555800,0,0
2019-05-08,41.97,43.2,41.77,42.29,2350900,0,0
2019-05-09,43.47,43.63,42.31,43.09,2649000,0,0
2019-05-10,43.1,43.59,42.01,42.79,2120400,0,0
2019-05-13,41.85,42.09,40.23,40.47,2623700,0,0
2019-05-14,40.62,41.13,39.8,40.74,2208800,0,0
2019-05-15,40.5,40.64,39.96,40.19,2129600,0,0
2019-05-16,40.77,41.03,40.18,40.28,1619100,0,0
2019-05-17,40.11,40.63,39.85,39.98,2322500,0,0
2019-05-20,39.56,40.33,39.28,39.96,2454200,0,0
2019-05-21,40.24,40.96,39.97,40.62,1963800,0,0
2019-05-22,40.28,40.49,39.69,39.74,1977300,0,0
2019-05-23,39.34,39.93,38.82,39.48,1678000,0,0
2019-05-24,39.8,40.21,38.94,38.99,2651900,0,0
2019-05-28,39.1,39.67,38.63,38.89,5133500,0,0
2019-05-29,36.04,36.43,34.25,35.06,10511600,0,0
2019-05-30,34.5,34.65,33.64,33.79,4804600,0,0
2019-05-31,33.2,33.41,32.09,32.48,4720800,0,0
2019-06-03,32.35,34.79,32.25,34.02,6761100,0,0
2019-06-04,34.21,35.67,34.04,35.4,4798500,0,0
2019-06-05,36.02,36.3,34.21,35.06,3756300,0,0
2019-06-06,34.89,35.17,33.25,33.95,3674700,0,0
2019-06-07,34.07,34.44,33.58,34.21,2886700,0,0
2019-06-10,34.41,35.3,34.33,34.51,2749000,0,0
2019-06-11,34.87,35.23,33.84,33.93,2608900,0,0
2019-06-12,33.76,33.84,32.94,33.12,2238800,0,0
2019-06-13,33.35,34.05,32.95,33.67,2640200,0,0
2019-06-14,34.1,34.1,33.02,33.51,2197100,0,0
2019-06-17,33.49,34.4,33.14,33.86,2664100,0,0
2019-06-18,33.96,35.44,33.96,34.68,3156200,0,0
2019-06-19,34.84,34.84,34.01,34.24,2726200,0,0
2019-06-20,34.62,34.98,34.34,34.95,2145200,0,0
2019-06-21,34.79,34.99,34.14,34.7,2312000,0,0
2019-06-24,34.73,34.8,33.91,34.13,2395900,0,0
2019-06-25,34.04,34.2,33.61,33.67,2409000,0,0
2019-06-26,33.79,34.92,33.66,34.23,2787100,0,0
2019-06-27,34.42,34.53,33.75,34.0,1742000,0,0
2019-06-28,34.21,34.96,34.04,34.68,2410100,0,0
2019-07-01,35.3,35.89,34.43,34.84,2649600,0,0
2019-07-02,34.76,34.76,33.99,34.25,2089900,0,0
2019-07-03,34.33,35.03,34.06,34.76,1299800,0,0
2019-07-05,34.69,35.26,34.51,34.75,1154300,0,0
2019-07-08,34.56,34.73,33.95,34.5,1904700,0,0
2019-07-09,34.28,34.38,33.74,34.3,2579400,0,0
2019-07-10,34.41,34.69,34.13,34.63,2139800,0,0
2019-07-11,34.73,35.52,34.52,35.1,2613300,0,0
2019-07-12,35.36,36.85,35.25,36.47,2297800,0,0
2019-07-15,36.8,37.67,36.43,36.94,2442600,0,0
2019-07-16,36.93,37.59,36.9,37.06,2700800,0,0
